@relation segment

@attribute original numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
20,-4.18885,21,12.142858,-0.486789,21,10.454545,Spots
21,-5.297716,21,13.857142,-0.69603,30,11.969697,Spots
30,-4.437873,30,11.428572,-0.395865,30,9.727273,Spots
18,-3.136573,18,8.714286,-0.34257,18,6.757576,'Not Spots'
16,-4.405917,16,11.142858,-0.430677,16,7.212121,'Not Spots'
17,-4.530975,17,11.571428,-0.653996,17,9.333333,'Not Spots'
18,-2.886755,18,8,-0.39686,18,7.121212,'Not Spots'
18,-3.400158,18,7.571429,-0.004851,18,6,'Not Spots'
30,-11.262041,41,26.714285,-2.56768,47,22.69697,Spots
32,-11.481068,41,29,-2.855034,47,23.818182,Spots
41,-17.309631,47,34.42857,-2.866551,47,24.90909,Spots
36,-12.636404,41,26.714285,-2.391449,47,21.848484,Spots
35,-11.443618,41,26,-2.337843,47,21.848484,Spots
32,-14.657742,50,31.714285,-2.687103,50,23.636364,Spots
50,-16.601913,50,30.857143,-2.986013,50,25.969696,Spots
45,-15.556888,45,30.714285,-2.570839,50,22.969696,Spots
41,-15.84714,50,35,-2.835361,50,22.969696,Spots
38,-9.029209,38,23.857143,-2.217501,50,19.90909,Spots
50,-16.191507,50,26.714285,-1.88543,50,17.969696,Spots
33,-9.385199,40,22.571428,-1.915485,40,17.333334,Spots
30,-7.481463,36,19.428572,-1.663589,40,15.666667,Spots
36,-13.781978,36,28.285715,-2.355249,40,19.878788,Spots
46,-15.326661,46,27.714285,-2.021819,46,18.060606,Spots
31,-11.523711,46,22.571428,-1.73001,46,16.727272,Spots
42,-14.677079,42,28.142857,-2.641327,54,21.666666,Spots
38,-14.175321,42,28.142857,-2.536913,54,21.030304,Spots
41,-12.361366,41,26.285715,-2.521904,63,21.181818,Spots
30,-7.243567,41,22.142857,-1.665579,41,15.121212,Spots
30,-10.806189,41,26.142857,-2.463153,63,20.787878,Spots
28,-6.000381,30,18.714285,-1.598414,41,14.969697,Spots
32,-11.526907,38,25.714285,-2.227214,47,21.212122,Spots
47,-19.200417,47,35.42857,-2.868176,47,25.363636,Spots
38,-16.038027,47,31.714285,-2.440612,47,22.272728,Spots
27,-9.851698,47,25,-2.215554,47,20.69697,Spots
28,-9.961,50,27.285715,-2.631056,50,22.757576,Spots
31,-7.368526,31,22.285715,-2.553052,50,20.69697,Spots
28,-9.793539,41,24.714285,-2.499231,50,22.69697,Spots
40,-11.69369,40,23.857143,-1.859165,40,17.151516,Spots
27,-12.148899,40,25.857143,-2.238213,40,19.848484,Spots
27,-10.464022,27,22.285715,-2.352622,40,21.09091,Spots
25,-5.571535,29,20.285715,-1.788939,29,15.363636,Spots
29,-6.77645,29,18.428572,-1.720083,40,16.212122,Spots
27,-8.80069,27,17.857143,-1.211784,50,14.090909,Spots
24,-9.439585,50,21.571428,-1.334534,50,14.545455,Spots
19,-4.677551,21,15.571428,-1.275585,46,13.727273,Spots
18,-6.19792,22,16.857143,-1.469738,46,15.121212,Spots
22,-8.915678,46,20.285715,-1.551249,46,16.212122,Spots
20,-6.697459,31,18.857143,-1.263354,46,13.212121,Spots
19,-2.046577,20,11,-0.672248,31,9.636364,Spots
29,-9.368641,40,23.857143,-2.004719,54,17.454546,Spots
40,-16.978861,54,31.142857,-2.632714,54,22.363636,Spots
24,-6.239888,54,19.714285,-1.864641,54,16.333334,Spots
54,-19.54159,54,34,-2.591788,54,21.69697,Spots
39,-17.311853,54,30.428572,-2.560236,54,22.727272,Spots
25,-10.037092,54,23,-1.906764,54,17.878788,Spots
6,0.207118,9,6,0.076298,11,5.909091,'Not Spots'
6,0.708001,9,5.714286,0.067077,11,5.606061,'Not Spots'
8,0.836028,8,4.714286,0.033161,12,5.666667,'Not Spots'
8,0.095385,8,5.571429,0.020475,13,6,'Not Spots'
5,-0.132936,8,6.142857,-0.018761,16,6.636364,'Not Spots'
5,-0.20388,16,7.142857,-0.030739,16,6.212121,'Not Spots'
7,0.118553,10,5.857143,-0.025437,16,6.060606,'Not Spots'
7,0.776449,7,5.714286,-0.024018,12,6.090909,'Not Spots'
2,1.815083,7,4.428571,0.073484,13,6.151515,'Not Spots'
3,1.937548,6,4.428571,0.140042,11,5.121212,'Not Spots'
3,1.543685,9,5.285714,0.115353,11,5.242424,'Not Spots'
9,0.330311,11,6.285714,0.027126,13,6.060606,'Not Spots'
5,0.149077,11,6.571429,-0.041866,11,6.393939,'Not Spots'
11,-0.85966,11,7.142857,-0.10626,11,6.787879,'Not Spots'
6,-0.516986,11,7.428571,-0.103571,11,6.939394,'Not Spots'
6,0.153723,11,7,-0.060374,13,6.606061,'Not Spots'
6,0.2338,9,5.714286,-0.017773,11,6.151515,'Not Spots'
9,-0.847563,11,7.428571,-0.000159,11,6.333333,'Not Spots'
6,-0.267698,10,7.142857,-0.009843,11,6.242424,'Not Spots'
3,0.99112,7,5.142857,-0.042772,12,6.363636,'Not Spots'
7,-0.031842,12,6.714286,-0.086451,13,6.515152,'Not Spots'
3,1.143616,10,6,0.332816,11,6.181818,'Not Spots'
7,0.908206,9,5.142857,0.355069,12,5.939394,'Not Spots'
4,0.814459,12,6.714286,0.345511,12,6.090909,'Not Spots'
7,0.663261,10,5.285714,0.285129,12,6.060606,'Not Spots'
4,0.604155,10,6.428571,0.184719,11,6.333333,'Not Spots'
7,0.252268,11,6.428571,0.088024,14,6.424242,'Not Spots'
4,0.894953,13,6.428571,0.276398,15,6.545455,'Not Spots'
7,1.573271,8,5.571429,0.316008,13,6.090909,'Not Spots'
5,1.487216,9,5.285714,0.309378,13,6.878788,'Not Spots'
5,1.471671,11,5.857143,0.29276,13,7.090909,'Not Spots'
11,-1.656907,11,7.571429,0.085355,14,6.909091,'Not Spots'
8,-0.134243,13,6.857143,0.258788,13,6.575758,'Not Spots'
5,1.098728,9,5.857143,0.322651,13,6.242424,'Not Spots'
11,0.048096,11,6.142857,0.15823,14,5.939394,'Not Spots'
3,1.308729,11,4.428571,0.175064,13,5.848485,'Not Spots'
11,-0.868096,11,8,0.200496,11,6.636364,'Not Spots'
7,0.04923,11,7.285714,0.296776,13,6.787879,'Not Spots'
3,1.021416,8,5.285714,0.175635,11,5.606061,'Not Spots'
9,-0.213971,11,6.714286,0.22219,11,6.363636,'Not Spots'
5,0.34609,9,6,0.175553,10,5.787879,'Not Spots'
5,0.616808,9,7.285714,0.212785,16,7.121212,'Not Spots'
7,0.077773,10,6.285714,0.180933,10,5.636364,'Not Spots'
6,0.497126,10,7.285714,0.197149,12,6.909091,'Not Spots'
5,-0.089505,8,6.285714,0.183567,11,6.242424,'Not Spots'
9,0.247099,12,7,0.215981,13,6.969697,'Not Spots'
8,-0.464425,10,6.571429,0.180954,11,6.424242,'Not Spots'
5,0.297046,10,7,0.280601,13,6.969697,'Not Spots'
6,1.561752,11,6.428571,0.272303,13,7.606061,'Not Spots'
4,0.117373,8,6.571429,0.174576,11,6.212121,'Not Spots'
11,0.77951,11,7.857143,0.38236,11,6.575758,'Not Spots'
6,-0.496628,11,7,0.16116,13,6.454545,'Not Spots'
11,0.988274,11,6.428571,0.403124,11,6.515152,'Not Spots'
6,2.145185,11,7.285714,0.197959,15,7.575758,'Not Spots'
10,1.926064,13,8.714286,-0.2336,24,9.69697,'Not Spots'
9,2.328651,14,10.571428,-0.758089,24,11.69697,'Not Spots'
11,2.133437,19,11.428572,-1.086726,43,13.393939,'Not Spots'
5,0.379657,11,5.857143,0.162334,13,6.757576,'Not Spots'
8,1.756263,17,10.857142,-0.936441,35,12.939394,'Not Spots'
6,3.384253,13,8.571428,-0.62492,30,10.848485,'Not Spots'
9,2.515343,10,7.714286,-0.121204,26,9.060606,'Not Spots'
5,2.26501,9,6.285714,0.296314,14,7,'Not Spots'
7,1.964412,9,5.571429,0.460413,12,6.454545,'Not Spots'
4,0.439981,8,5.714286,0.13983,13,6.545455,'Not Spots'
3,2.005206,7,5.142857,0.393696,12,6.121212,'Not Spots'
3,1.159909,11,5.571429,0.331996,12,6.181818,'Not Spots'
5,0.23575,11,6.285714,0.204138,12,6.666667,'Not Spots'
