@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {SPOTS,NOTSPOTS}

@data
21,24.825623,2.402885,1.955247,0.62276,-0.99355,0.651315,2.598837,-18.400564,-39.881474,0.175122,1.140179,5.722231,1.487144,5.185391,4.06988,20,33,25.428572,22,29.952381,25.935118,1.109495,0.743821,0.342978,0.057742,-0.125877,0.00088,0.005899,0.001524,-0.000036,0.343101,1.294614,1.596283,0.125905,1.028789,0.529248,12,41,25.121212,25,37.797348,25.073858,0.248236,-0.861259,0.165228,0.066825,0.029505,-0.003159,-0.000047,0.000008,-0,-0,-0.261558,0.568955,0.352976,0.004458,0.472953,0.017706,12,102,26.140078,25,89.159988,23.68745,-1.138172,-2.247667,-1.386408,0.033697,0.011718,0.003276,-0.000012,-0,0,0,-0,-0.048691,0.270883,0.071104,0.000128,0.057401,0.000954,0,112,25.318634,25,55.228596,SPOTS
22,24.255379,2.824589,1.345067,0.553901,-1.187598,0.311782,-1.688131,11.551824,84.303055,3.615755,1.977619,9.612202,1.787922,5.689872,4.343559,17,29,21.857143,22,15.809524,26.395952,2.140574,0.819658,0.43008,0.147824,-0.092252,0.009631,0.005861,-0.001176,-0.000835,0.241754,1.453208,1.832766,0.18333,1.073907,0.55975,12,47,24.515152,24,55.882576,25.148521,0.893143,-1.247431,0.169695,0.076544,0.034322,-0.002233,-0.000061,0.000005,-0,-0,-0.280561,0.558018,0.344027,0.005237,0.473279,0.019193,12,102,27.163424,25,106.145065,23.679453,-0.575926,-2.716499,-1.469069,0.033622,0.012343,0.003017,-0.000009,-0,0,0,-0,-0.048982,0.271034,0.071183,0.000141,0.057451,0.001024,0,112,25.285444,25,55.400455,SPOTS
24,24.270758,3.316148,0.725807,0.493966,-0.270714,-0.307343,-1.566161,6.468933,-59.754856,3.084307,2.20657,11.12332,1.589648,5.76119,4.297657,13,29,23.857143,25,28.476191,26.486006,2.215248,0.854486,0.437327,0.206928,-0.018918,0.01304,0.001048,-0.00231,-0.000522,0.210231,1.473351,1.855584,0.197726,1.0916,0.560008,12,43,23.151516,22,34.632576,25.147511,0.876753,-1.338495,0.171679,0.082566,0.030203,-0.000984,-0.000062,0.000001,-0,-0,-0.284448,0.556033,0.343674,0.005861,0.47627,0.020048,12,102,27.400778,26,105.202034,23.65976,-0.610998,-2.826246,-1.487751,0.033513,0.012703,0.002679,-0.000008,-0,0,0,-0,-0.048895,0.271871,0.07161,0.000149,0.057738,0.001072,0,112,25.269321,25,55.669365,SPOTS
25,24.592237,3.081445,1.159582,0.58204,0.605197,0.239597,0.013768,-13.396269,99.844475,1.339823,1.367172,8.500601,1.145591,5.377881,3.938478,20,30,25.285715,25,9.904762,26.180756,1.588518,0.871902,0.388509,0.226269,0.05391,0.007338,-0.004182,-0.000829,0.000804,0.257123,1.315017,1.64275,0.162096,1.07862,0.532777,13,35,24.454546,25,21.943182,25.068377,0.476139,-1.112379,0.170807,0.08257,0.019502,0.000366,-0.000051,-0.000003,-0,0,-0.272878,0.564381,0.352913,0.005761,0.48184,0.019733,11,102,26.653696,25,90.672577,23.62775,-0.964487,-2.553005,-1.440626,0.033374,0.012777,0.002261,-0.000008,-0,0,0,-0,-0.048411,0.273344,0.072369,0.000151,0.05825,0.001095,0,112,25.273115,25,55.568638,SPOTS
20,26.268791,3.867235,3.090385,1.485655,-1.303468,0.378852,0.89355,-4.241376,-82.230576,2.262505,3.41541,16.307522,3.666154,6.481819,5.250192,18,41,25.142857,21,65.14286,27.317373,1.048582,0.705386,0.57182,0.291875,-0.157858,-0.001389,0.011398,0.001414,-0.002391,-0.15831,1.860807,2.43803,0.27108,1.119613,0.62185,13,47,26.030304,25,59.467804,25.334572,-0.934219,-1.982801,0.173479,0.077988,0.057793,-0.003112,-0.000108,0.000008,0,-0,-0.30926,0.532186,0.320175,0.005747,0.465433,0.020519,12,102,27.968872,25,151.756836,23.745169,-2.523623,-3.572205,-1.589403,0.033925,0.011891,0.004231,0.000001,-0,0,0,-0,-0.050047,0.2685,0.069884,0.000131,0.056598,0.000967,0,112,25.366524,25,55.663982,SPOTS
18,27.642172,5.609475,3.243735,0.569578,-1.462912,0.411163,-0.771166,-35.903027,45.663158,2.935318,5.315814,25.208241,6.021285,7.161421,5.626254,18,47,26.714285,22,97.904762,28.096418,0.454247,0.750373,0.627345,0.447904,-0.098757,0.000511,0.008426,0.000608,-0.004084,-0.570931,2.046139,2.655091,0.403123,1.171145,0.662861,13,58,28.151516,28,100.882576,25.41366,-2.228512,-2.682758,0.17762,0.087812,0.066159,-0.002337,-0.000132,0.000005,0,-0,-0.331591,0.514606,0.306544,0.006542,0.464793,0.022053,12,112,28.766537,26,179.117157,23.734125,-3.908047,-4.362293,-1.679535,0.033842,0.012479,0.004016,0,-0,0,0,-0,-0.050337,0.268849,0.070065,0.000144,0.056727,0.001039,0,112,25.303936,25,55.723991,SPOTS
29,28.079178,5.49234,2.435607,0.80374,-0.30242,-0.202473,0.542622,23.843355,63.795074,2.252994,6.5153,28.599566,6.083896,7.276417,5.582152,15,43,25.857143,24,86.476189,28.236958,0.15778,0.787019,0.596123,0.491697,0.000135,0.001382,-0.001744,0.00034,-0.000583,-0.682593,2.097233,2.698944,0.449548,1.188202,0.664583,13,65,28.121212,26,103.422348,25.405983,-2.673195,-2.830975,0.178968,0.095485,0.060149,-0.001224,-0.000131,0.000001,0,0,-0.334603,0.512724,0.306109,0.00747,0.467425,0.022854,12,112,29.287937,26,179.674576,23.711197,-4.367981,-4.525761,-1.694786,0.033726,0.012802,0.003716,-0,-0,0,0,-0,-0.050244,0.269915,0.070609,0.000152,0.057101,0.001089,0,112,25.310574,25,55.408718,SPOTS
30,27.157709,5.113209,2.304392,1.541288,0.746867,-0.399282,1.285346,7.438023,-130.912308,1.267529,4.925312,23.1705,4.222954,6.78914,5.148525,21,35,27.428572,27,19.952381,27.663235,0.505526,0.711264,0.689167,0.439327,0.087572,0.000186,-0.009713,0.000563,0.00295,-0.41723,1.988328,2.589815,0.375813,1.167419,0.629817,13,45,26.272728,25,60.579544,25.3088,-1.848909,-2.354435,0.177301,0.095003,0.045554,0.000024,-0.000106,-0.000003,0,0,-0.317858,0.528092,0.319973,0.007361,0.473326,0.022347,12,112,28.603113,26,158.802795,23.675737,-3.481972,-3.987497,-1.633062,0.033577,0.012839,0.003333,-0.000002,-0,0,0,-0,-0.049749,0.271643,0.071495,0.000154,0.057706,0.001114,0,112,25.330963,25,55.31451,SPOTS
25,25.479029,3.77489,2.020788,0.353405,0.782299,-0.455258,-0.762861,-10.841007,105.304771,1.400696,2.607171,13.292064,1.934677,5.825514,4.436284,20,33,25.571428,25,21.619047,26.636171,1.157143,0.842484,0.493499,0.329939,0.125633,-0.000785,-0.009172,0.00011,0.002592,0.019046,1.665537,2.155084,0.235845,1.113852,0.57389,14,36,25.151516,25,33.757576,25.134869,-0.34416,-1.501303,0.172608,0.087738,0.025416,0.001194,-0.000064,-0.000006,0,0,-0.285763,0.553395,0.343301,0.006414,0.481479,0.020552,12,102,27.194553,25,109.508873,23.628366,-1.850662,-3.007805,-1.506502,0.033398,0.01259,0.002861,-0.000005,-0,0,0,-0,-0.048848,0.273896,0.07267,0.00015,0.058506,0.001114,0,112,25.278332,25,55.761681,SPOTS
27,29.611389,5.83417,3.361869,0.956089,-1.402179,0.13759,-5.399693,5.652206,221.269928,1.516212,6.400249,28.651522,7.696667,7.543676,6.292869,16,47,27.857143,27,128.476196,28.848019,-0.763371,0.846465,0.668555,0.491927,-0.141064,-0.002023,0.012855,-0.000677,-0.004763,-1.023093,2.090505,2.665637,0.494002,1.187781,0.693116,16,58,29.39394,28,106.433716,25.52927,-4.082119,-3.318748,0.179058,0.092033,0.07599,-0.002593,-0.000162,0.000007,0,-0,-0.347082,0.491599,0.287289,0.007533,0.457684,0.022972,12,112,29.634241,26,201.943817,23.797606,-5.813784,-5.050413,-1.731665,0.034124,0.011989,0.004925,0.000011,-0,0,0,-0,-0.051038,0.266092,0.068666,0.000133,0.055775,0.000973,0,112,25.409674,25,55.975353,SPOTS
