@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'No Spots'}

@data
45,21.484478,-19.792522,57,29.857143,30,326.142853,9.370123,-12.114355,-3.189838,58,23,16,302.625,Spots
13,18.678295,-12.824609,51,25.285715,18,382.571442,9.032646,-9.645649,-2.845867,58,20.545454,13,344.755676,Spots
57,25.392607,-29.7929,57,43.714287,47,238.571426,9.713841,-15.678765,-3.573759,58,25.151516,19,273.695068,Spots
51,23.484306,-26.002258,58,36.42857,36,412.952393,9.417305,-14.067001,-3.290673,58,23.666666,18,317.041656,Spots
38,19.763062,-17.488764,57,27.142857,28,325.809509,8.890746,-10.872315,-2.903636,58,21.272728,14,314.392059,Spots
36,19.182114,-17.748175,51,28.428572,30,229.619049,8.690033,-10.492081,-2.73405,58,19.30303,13,315.530304,Spots
11,10.972252,-2.649102,38,12,7,144,7.277065,-3.695187,-1.64542,57,11.545455,7,165.443176,Spots
13,11.012496,-3.545418,36,12.428572,11,126.619049,7.185159,-3.827337,-1.585846,51,11.151515,6,151.132568,Spots
4,12.063164,-6.929357,41,15.428572,12,198.952377,6.295746,-5.767418,-1.79366,44,13.272727,8,169.017044,Spots
27,13.873775,-12.669357,44,20.142857,15,227.809525,6.440905,-7.43287,-1.927884,44,14.212121,11,161.672348,Spots
15,10.307482,-5.976926,27,12.428572,11,83.285713,5.874566,-4.432916,-1.447478,44,10.787879,5,140.047348,Spots
15,14.285202,-9.680389,44,16.857143,15,225.476196,6.855553,-7.429649,-2.178848,44,16.030304,11,175.842804,Spots
44,17.056068,-19.423561,44,28.714285,27,127.238098,7.006926,-10.049143,-2.347206,44,16.757576,14,145.126892,Spots
21,12.871425,-10.575986,44,19,15,156,6.37446,-6.496964,-1.819138,44,13.212121,8,149.109848,Spots
8,11.234241,-3.311202,28,10.285714,8,81.238098,6.506064,-4.728177,-1.850371,44,12.69697,7,142.592804,Spots
28,13.77955,-12.251699,44,22,23,197.333328,6.620386,-7.159163,-1.99691,44,13.242424,9,140.376892,Spots
23,10.872911,-7.343421,28,13.285714,9,108.904762,6.026056,-4.846855,-1.556076,44,11.212121,6,134.797348,Spots
19,13.941354,-8.096995,48,18.428572,15,197.952377,8.183978,-5.757376,-1.816356,61,13.878788,9,167.297348,Spots
48,18.497736,-18.45116,61,29.142857,19,399.809509,8.732085,-9.765651,-2.390684,61,18.363636,12,257.238647,Spots
17,16.321159,-11.890636,48,23.714285,17,309.238098,8.460702,-7.860457,-2.245435,61,16.757576,11,246.189392,Spots
20,15.423759,-9.468658,61,20,14,350.666656,8.550711,-6.873049,-2.106696,61,15.848485,9,183.945068,Spots
