@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
1,4.154441,0.683283,0.313302,0.224723,0.120506,0.212218,-0.092312,-11.190054,3.928293,0.594703,0.508383,0.212013,0.067088,0.133233,0.090789,1,6,4.142857,4,2.476191,4.355791,0.20135,0.064961,0.038131,0.012211,0.006997,0.001243,-0.000389,-0.00033,0.000182,0.014618,0.125208,0.011764,0.001677,0.058353,0.005572,1,11,4.30303,4,5.342803,4.544893,0.390452,0.189102,0.012432,0.009226,0.00709,-0.000504,-0.000019,-0,0,0,0.028748,0.206649,0.045455,0.000118,0.053516,0.001151,0,18,4.48249,4,5.781919,5.256341,1.1019,0.900549,0.711447,0.004804,0.004625,0.002452,0.00002,0.000001,0,0,-0,0.006977,0.131142,0.016643,0.000023,0.013232,0.000164,0,18,4.446183,4,4.90187,'class 1'
6,4.019457,0.742416,0.157429,0.058467,-0.014337,0.090018,0.976366,9.088443,1.975653,0.841378,0.718727,0.32856,0.061702,0.134175,0.09516,1,6,2.714286,3,3.571429,4.310341,0.290884,0.065372,0.022636,0.018486,0.010515,0.000699,-0.00034,-0.000173,-0.000133,0.02425,0.159395,0.016789,0.001693,0.057768,0.005676,1,18,4.30303,4,10.467803,4.515402,0.495945,0.205061,0.01235,0.009973,0.006646,-0.000424,-0.000013,-0.000001,-0,0,0.028969,0.204802,0.044667,0.000115,0.05299,0.001102,0,18,4.354085,4,5.97179,5.238605,1.219147,0.928263,0.723202,0.004876,0.004803,0.002131,0.000017,0.000001,0,0,-0,0.007548,0.131831,0.016821,0.000024,0.013379,0.000168,0,18,4.428165,4,4.917632,'class 1'
4,3.982128,0.466764,0.200685,0.165907,-0.038483,-0.064678,0.317881,-0.036979,-33.356144,0.501542,0.735215,0.319188,0.060222,0.135534,0.096935,2,6,4.142857,4,2.142857,4.248051,0.265923,0.073911,0.020161,0.007384,0.009333,0.00007,0.000091,0.000118,-0.000474,0.046366,0.166741,0.019429,0.001591,0.057813,0.005805,1,8,3.757576,3,3.376894,4.49331,0.511182,0.245259,0.013147,0.010408,0.006349,-0.000335,-0.000006,-0.000001,-0,0,0.029904,0.2041,0.044366,0.000118,0.052778,0.001067,0,18,4.237354,4,6.033287,5.225891,1.243763,0.977839,0.732581,0.005029,0.004793,0.001912,0.000016,0.000001,0,0,-0,0.00791,0.132298,0.01694,0.000025,0.013475,0.000173,0,18,4.415363,4,4.955475,'class 1'
3,3.994517,0.352782,0.301062,0.03085,0.10572,-0.02025,-1.836335,-1.817298,51.67831,0.08257,0.673303,0.22339,0.061192,0.136438,0.095376,1,8,3.857143,3,5.809524,4.181474,0.186957,0.088477,0.01661,0.000068,0.005888,-0.000111,0.000043,0.000395,-0.000003,0.071936,0.145864,0.018265,0.001445,0.058237,0.005867,0,10,4,4,4.625,4.478412,0.483895,0.296938,0.014227,0.010823,0.006424,-0.000247,0.000001,-0.000001,-0,0,0.031475,0.204369,0.044472,0.000126,0.052867,0.001053,0,18,4.29572,4,5.795021,5.21823,1.223713,1.036756,0.739818,0.005098,0.004764,0.001803,0.000018,0.000001,0,0,-0,0.008059,0.132547,0.017004,0.000025,0.01352,0.000175,0,18,4.400664,4,4.955616,'class 1'
3,4.447634,0.452176,0.34273,0.216455,-0.027045,-0.099686,0.334972,6.618465,-35.803505,0.3259,0.425922,0.118204,0.093364,0.14085,0.090771,2,9,4.142857,4,5.142857,4.463667,0.016034,0.046596,0.028302,0.02067,0.001534,0.000485,0.000645,-0.000378,-0.000357,-0.038964,0.095446,0.008207,0.001537,0.061722,0.005867,0,11,4.272727,4,6.704545,4.600266,0.152632,0.136598,0.015027,0.00754,0.006132,-0.000528,-0.000023,0,0,-0,0.028698,0.213652,0.048334,0.000119,0.055259,0.001173,0,18,4.494164,4,5.883755,5.291365,0.843731,0.827698,0.6911,0.004651,0.004219,0.002838,0.000007,0,0,-0,-0,0.006031,0.13095,0.016595,0.000023,0.013199,0.000165,0,18,4.522997,4,4.992474,'class 1'
4,4.83057,0.944826,0.585914,0.087869,0.131957,0.100879,-0.513636,7.173667,37.52702,-0.446782,0.812248,0.273976,0.157947,0.139389,0.097102,1,11,4.714286,4,14.904762,4.477037,-0.353532,0.072958,0.042116,0.01974,0.009394,-0.000637,-0.00046,-0.000377,0.000709,-0.095334,0.132951,0.012772,0.002146,0.059669,0.005769,1,18,4.878788,4,11.734848,4.560745,-0.269825,0.083708,0.013791,0.007569,0.006671,-0.000506,-0.00002,-0,0,0,0.028031,0.209617,0.046645,0.000104,0.054272,0.001121,0,18,4.498055,4,6.040035,5.268583,0.438013,0.791545,0.707838,0.004825,0.004417,0.002422,0.000005,0.000001,0,0,-0,0.00682,0.131877,0.016833,0.000024,0.013397,0.00017,0,18,4.477952,4,4.999158,'class 1'
1,5.040942,0.518539,0.480909,0.281115,0.21195,0.61019,-0.192475,-19.222908,-13.310585,-0.718333,1.270543,0.439624,0.163131,0.139614,0.101526,1,18,5.857143,4,31.142857,4.465024,-0.575918,0.070361,0.058514,0.005884,0.012905,-0.002037,-0.000931,0.000007,0.000946,-0.122991,0.17404,0.019249,0.00265,0.058592,0.00576,1,18,5.363636,4,14.738636,4.530046,-0.510896,0.065022,0.013378,0.007857,0.006716,-0.000438,-0.000016,-0.000001,0,0,0.027951,0.207165,0.0456,0.000094,0.053608,0.001066,0,18,4.392996,4,6.114482,5.250749,0.209806,0.785724,0.720702,0.004981,0.00452,0.0021,0.000006,0.000001,0,0,-0,0.007401,0.132562,0.017011,0.000025,0.013544,0.000174,0,18,4.44476,4,4.993745,'class 1'
4,4.859231,0.722841,0.71734,0.438979,0.120768,-0.018337,-0.026332,4.388073,-5.132137,-0.44448,1.025311,0.424953,0.175335,0.139877,0.102827,1,7,4.428571,4,3.619048,4.408816,-0.450415,0.07551,0.031771,0.010641,0.011853,-0.002146,-0.000723,0.000483,0.000502,-0.09664,0.199722,0.024541,0.003,0.058217,0.005778,1,18,5.030303,5,8.655303,4.506964,-0.352267,0.098148,0.013736,0.008409,0.006472,-0.000349,-0.00001,-0.000001,-0,0,0.028617,0.206003,0.045102,0.000093,0.053285,0.001026,0,18,4.276265,4,5.841349,5.23805,0.378819,0.829234,0.731086,0.005078,0.004571,0.00188,0.00001,0.000001,0,0,-0,0.007769,0.133038,0.017133,0.000026,0.013641,0.000176,0,18,4.401138,4,4.933888,'class 1'
6,4.564449,0.864195,0.34988,0.13385,0.015248,-0.574985,-0.461207,10.88273,10.248034,-0.648165,0.539516,0.279771,0.14747,0.139236,0.100429,3,6,4.714286,5,1.904762,4.321387,-0.243062,0.073048,0.044098,0.004077,0.007967,-0.000672,-0.000308,0.000555,-0.000277,-0.033027,0.195244,0.025795,0.002789,0.058306,0.005735,1,10,4.272727,4,4.517045,4.491201,-0.073248,0.169814,0.014481,0.009085,0.006489,-0.000255,-0.000003,-0.000001,-0,0,0.030055,0.205927,0.045062,0.000099,0.053299,0.001015,0,18,4.280156,4,5.671206,5.230487,0.666038,0.9091,0.739286,0.005096,0.004591,0.001767,0.000015,0.000001,0,0,-0,0.00792,0.133307,0.017201,0.000026,0.01369,0.000176,0,18,4.386913,4,4.952694,'class 1'
6,4.234226,0.720682,0.209737,0.149851,-0.083301,-0.234143,0.732974,-4.401879,-0.746555,-0.361095,0.422173,0.156494,0.094066,0.137745,0.094584,2,10,5,5,7.333333,4.23276,-0.001466,0.071089,0.062203,0.016852,0.002209,0.001139,0.000082,0.000088,-0.000917,0.025738,0.165004,0.022835,0.002138,0.058704,0.005582,1,10,4.121212,3,4.234848,4.482434,0.248208,0.249673,0.015337,0.00988,0.006945,-0.000166,0.000002,-0.000001,-0,0,0.032161,0.206798,0.045436,0.00011,0.053636,0.001035,0,18,4.256809,4,5.816604,5.2283,0.994074,0.99554,0.745866,0.00503,0.004591,0.001767,0.000023,0.000001,0,0,-0,0.007854,0.133364,0.017214,0.000025,0.013686,0.000172,0,18,4.414888,4,4.963934,'class 1'
