@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
24,12.12055,3.426227,1.498353,0.710263,0.465083,-0.66499,-1.732377,14.439016,38.657024,-5.634843,2.022381,2.338926,1.676783,0.680832,0.393001,6,25,14.571428,14,53.952381,8.941309,-3.179241,0.369368,0.28471,0.160045,0.00575,-0.008528,-0.000215,0.001738,0.000912,-0.814123,0.310772,0.099565,0.050259,0.0883,0.030761,5,34,12.181818,10,44.965908,7.738749,-4.381801,-1.20256,0.044532,0.012844,0.002572,-0.000176,-0.000064,-0,0,0,-0.059948,0.06333,0.00622,0.000923,0.018596,0.003197,0,34,8.684825,8,19.091682,7.832197,-4.288353,-1.109112,0.093448,0.01253,0.004872,0.003913,-0.000072,0,0,0,-0,-0.003745,0.064479,0.004078,0.000078,0.003541,0.000579,0,34,7.608345,7,9.950898,'class 1'
25,12.977014,4.265369,2.904623,1.071081,-0.018054,-0.952528,1.007551,-1.610743,-92.662338,-8.241074,1.205438,2.984782,1.684887,0.700473,0.411165,6,34,18.714285,21,104.571426,8.944656,-4.032357,0.387347,0.321235,0.165137,-0.00254,-0.011063,0.00131,0.002664,-0.001698,-0.87372,0.302119,0.101324,0.059301,0.087358,0.032169,5,34,12.606061,10,46.371212,7.712637,-5.264376,-1.232019,0.044726,0.012079,0.003446,-0.000501,-0.000071,-0,0,0,-0.06025,0.066863,0.006556,0.000907,0.018494,0.003016,1,34,8.692607,8,18.252796,7.81578,-5.161234,-1.128877,0.103142,0.012424,0.004956,0.00422,-0.000078,0,0,0,-0,-0.003248,0.063942,0.004014,0.000076,0.003508,0.000569,0,34,7.613561,7,9.938354,'class 1'
34,12.728815,4.132355,3.158765,1.754019,0.006256,-1.700374,-1.216961,26.785654,63.83424,-9.045139,1.286852,2.388916,1.456096,0.669624,0.385867,9,34,18.142857,16,73.809525,8.776118,-3.952697,0.354414,0.286955,0.13384,-0.00725,-0.010467,0.000509,0.002349,-0.000305,-0.775209,0.341823,0.081784,0.056646,0.082614,0.029734,5,34,11.818182,10,40.340908,7.75409,-4.974725,-1.022028,0.042162,0.009965,0.003068,-0.000503,-0.000068,0,0,-0,-0.049059,0.070062,0.007024,0.000847,0.018811,0.003599,1,34,8.385214,8,18.206499,7.88224,-4.846575,-0.893878,0.12815,0.012763,0.004878,0.003547,-0.000084,0,0,0,-0,-0.004338,0.066782,0.004376,0.000083,0.003804,0.000609,0,34,7.648649,7,9.959511,'class 1'
12,10.978494,3.689073,1.229022,0.386891,-0.586725,-0.302437,-0.540949,-22.838995,11.55272,-5.304986,2.040932,2.61826,1.4853,0.876794,0.608624,6,36,15.571428,12,99.952377,8.425895,-2.552599,0.347291,0.265102,0.003589,-0.03995,-0.008537,0.003163,0.002105,-0.001273,-0.608805,0.493981,0.151066,0.060983,0.087454,0.047535,2,36,10.606061,9,45.621212,7.37113,-3.607363,-1.054764,0.043793,0.016375,0.006073,-0.000417,-0.000054,0.000002,0,-0,-0.06624,0.059652,0.005058,0.000609,0.014468,0.000832,1,62,8.381323,7,30.783712,7.505775,-3.472719,-0.92012,0.134645,0.010785,0.006615,0.005112,0.000032,-0,0,0,-0,0.000942,0.034458,0.001182,0.000055,0.001151,0.000421,0,62,7.272167,7,10.837655,'class 1'
20,10.274318,3.230307,1.670354,0.271132,-0.354225,-0.867656,0.638725,14.363796,-1.00355,-5.171793,2.009471,1.801045,1.029514,0.755558,0.506924,5,25,13,10,48.666668,8.087946,-2.186372,0.276129,0.21658,0.047509,-0.03508,-0.005797,0.000969,0.001496,-0.000018,-0.445199,0.460224,0.137379,0.042378,0.078721,0.039751,1,36,9.939394,9,44.246212,7.327846,-2.946472,-0.7601,0.040996,0.014682,0.000328,-0.000605,-0.000038,0.000002,0,-0,-0.05535,0.061899,0.004934,0.000648,0.013737,0.000891,1,62,8.085603,7,27.562956,7.509226,-2.765092,-0.57872,0.18138,0.010755,0.006642,0.005198,0.000034,-0,0,0,-0,0.001085,0.035484,0.001254,0.000056,0.001228,0.000425,0,62,7.271219,7,10.978588,'class 1'
15,11.669941,2.13832,0.94546,0.572747,-0.728371,-0.493734,-1.341039,-10.682376,50.269596,-1.765608,2.222021,1.980371,1.224613,1.172575,0.785066,9,27,14,11,37,10.626693,-1.043248,0.320625,0.297279,0.133655,-0.048978,-0.000032,0.003451,0.00077,-0.000283,-0.484249,0.388464,0.098135,0.07311,0.136793,0.10448,1,27,11.333333,10,31.041666,9.216887,-2.453053,-1.409805,0.075111,0.042067,0.021849,-0.00029,-0.000061,0.000002,0,-0,-0.139028,0.144574,0.023456,0.003943,0.038224,0.011093,1,45,10.945525,9,36.161083,8.507472,-3.162469,-2.119221,-0.709415,0.017342,0.004137,0.002538,-0.000077,-0,0,0,0,-0.018941,0.05957,0.00349,0.000189,0.003088,0.001252,0,45,9.190138,9,15.682521,'class 1'
27,13.299614,3.421032,2.85023,0.265873,-0.091259,-0.902,-1.343791,18.478317,16.203444,-6.005389,1.542611,2.022613,1.83999,1.219612,0.809358,8,27,16.714285,15,51.238094,10.615322,-2.684292,0.419377,0.384467,0.093794,-0.00082,-0.001782,0.000644,0.001249,-0.000445,-0.710051,0.455678,0.207394,0.080603,0.143582,0.117021,1,27,12.636364,11,38.488636,9.059574,-4.24004,-1.555748,0.0717,0.037553,0.021594,-0.000031,-0.000066,-0,0,0,-0.130847,0.185691,0.034984,0.003705,0.040594,0.011786,1,45,10.754864,9,36.857643,8.441016,-4.858598,-2.174306,-0.618558,0.017008,0.003272,0.002999,-0.000077,-0,0,0,0,-0.017281,0.063835,0.003992,0.000175,0.003437,0.001178,0,45,8.993836,9,15.545978,'class 1'
24,14.05252,3.831469,2.999783,0.170033,-0.216245,-1.167479,0.365357,5.122934,47.12608,-7.001286,1.824032,2.788345,2.618723,1.372095,0.886981,14,27,19.857143,17,35.142857,10.847403,-3.205117,0.48291,0.397018,0.020787,0.004253,-0.001873,-0.000128,0.000394,-0.001532,-0.859142,0.518412,0.239562,0.090789,0.146567,0.129363,1,27,13.060606,11,42.996212,9.085608,-4.966911,-1.761794,0.0728,0.038424,0.023801,0.000135,-0.000075,-0,0,0,-0.135025,0.182066,0.033956,0.003922,0.040632,0.012176,1,45,10.937743,9,45.011734,8.448462,-5.604058,-2.398941,-0.637147,0.017003,0.003265,0.002765,-0.00009,-0,-0,0,0,-0.017503,0.064507,0.004075,0.000176,0.0035,0.00118,0,45,9.029398,9,15.622475,'class 1'
27,13.531774,3.730062,2.538518,0.673616,0.665125,-0.53834,-0.445562,4.570144,-33.034512,-6.942196,2.554469,3.730837,2.303437,1.326259,0.854918,7,27,17.428572,18,53.619049,10.39902,-3.132753,0.403481,0.374283,0.016985,0.037693,-0.005002,-0.003823,0.001124,0.001612,-0.760779,0.770565,0.439074,0.085535,0.157107,0.126268,3,27,13.424242,13,40.939392,8.888135,-4.643639,-1.510885,0.067748,0.027903,0.02219,0.000261,-0.000073,-0.000002,0,0,-0.117841,0.217817,0.045701,0.003447,0.042884,0.012086,1,45,10.435798,9,41.528088,8.377407,-5.154366,-2.021613,-0.510728,0.01662,0.003247,0.00229,-0.000089,-0,-0,0,0,-0.015663,0.068042,0.004521,0.000162,0.003806,0.001104,0,45,8.817449,8,15.358026,'class 1'
7,10.648774,1.715321,0.921211,0.472423,0.719607,0.680855,-1.310068,-9.940277,35.374493,-1.266533,3.214825,4.01081,1.232619,1.190036,0.765499,3,27,11.857142,10,60.142857,9.615375,-1.0334,0.317848,0.164998,0.089089,0.049162,-0.00387,-0.003717,0.000277,0.00236,-0.393757,0.907035,0.556815,0.060938,0.16093,0.114522,3,27,10.848485,9,35.382576,8.662427,-1.986347,-0.952948,0.061326,0.020564,0.011966,0.000315,-0.00006,-0.000002,0,0,-0.093856,0.24058,0.05418,0.002888,0.044332,0.011388,1,45,9.692607,8,31.854359,8.303151,-2.345623,-1.312223,-0.359276,0.016192,0.003731,0.001244,-0.000085,-0,-0,0,0,-0.013705,0.070701,0.00487,0.000149,0.004042,0.001028,0,45,8.641062,8,15.154309,'class 1'
13,8.281415,1.507859,0.711093,0.374916,0.172766,-0.079923,-1.313959,-2.763225,44.918179,-2.593867,0.471717,0.237629,0.123399,0.364091,0.099748,6,15,10.857142,12,9.476191,7.427207,-0.854208,0.086951,0.038928,0.036348,0.015414,-0.002465,-0.001296,0.000308,-0.000277,-0.084371,0.125802,0.014808,0.00368,0.09116,0.006043,4,18,7.939394,7,11.433712,7.285178,-0.996237,-0.142029,0.047641,0.003902,0.001332,-0.00025,0.000001,-0,0,0,-0.042407,0.103768,0.013529,0.000204,0.02128,0.000555,0,18,7.178988,7,7.608463,7.534232,-0.747183,0.107025,0.249054,0.008382,0.006904,0.005305,-0.000019,-0,0,0,-0,0.003827,0.036474,0.001273,0.000046,0.001046,0.000375,0,25,7.276566,7,8.606437,'class 1'
12,7.951577,1.393858,0.341636,0.311361,0.189295,-0.183922,0.270469,5.965786,-24.309496,-1.363584,0.418225,0.243787,0.120385,0.370172,0.108399,4,13,9,9,10.666667,7.486785,-0.464792,0.090145,0.037651,0.03417,0.013768,-0.001932,-0.001594,0.000248,0.000219,-0.086664,0.16659,0.021412,0.004048,0.090888,0.006465,0,15,7.666667,8,10.354167,7.302395,-0.649181,-0.18439,0.047709,0.003471,0.000138,-0.000391,-0.000005,-0,0,0,-0.044099,0.103779,0.013489,0.00021,0.021141,0.000554,0,25,7.478599,7,8.641142,7.538624,-0.412953,0.051839,0.236228,0.008385,0.00686,0.005316,-0.000027,-0,0,0,-0,0.003791,0.036935,0.001308,0.000044,0.001094,0.000367,0,25,7.259962,7,8.571211,'class 1'
8,7.824466,1.093869,0.532638,0.159039,0.164167,0.049212,0.648437,-2.535229,-0.419454,-0.402192,0.272156,0.232788,0.178849,0.37537,0.114297,4,12,8.571428,8,7.285714,7.553117,-0.271349,0.095808,0.031077,0.020505,0.004595,-0.000891,-0.001196,0.000364,0.001276,-0.10638,0.188455,0.024257,0.004563,0.090587,0.006529,0,13,7.727273,8,9.642045,7.320601,-0.503866,-0.232516,0.04767,0.003974,0.001715,-0.00051,-0.000012,0,0,0,-0.045412,0.102585,0.013235,0.000209,0.020901,0.000561,0,25,7.583658,7,9.251763,7.549023,-0.275444,-0.004094,0.228422,0.008417,0.006831,0.0053,-0.000036,-0,0,0,-0,0.003714,0.037981,0.001389,0.000044,0.001176,0.000363,0,25,7.233397,7,8.653616,'class 1'
12,7.951577,1.393858,0.341636,0.311361,0.189295,-0.183922,0.270469,5.965786,-24.309496,-1.363584,0.418225,0.243787,0.120385,0.370172,0.108399,4,13,9,9,10.666667,7.486785,-0.464792,0.090145,0.037651,0.03417,0.013768,-0.001932,-0.001594,0.000248,0.000219,-0.086664,0.16659,0.021412,0.004048,0.090888,0.006465,0,15,7.666667,8,10.354167,7.302395,-0.649181,-0.18439,0.047709,0.003471,0.000138,-0.000391,-0.000005,-0,0,0,-0.044099,0.103779,0.013489,0.00021,0.021141,0.000554,0,25,7.478599,7,8.641142,7.538624,-0.412953,0.051839,0.236228,0.008385,0.00686,0.005316,-0.000027,-0,0,0,-0,0.003791,0.036935,0.001308,0.000044,0.001094,0.000367,0,25,7.259962,7,8.571211,'class 1'
13,8.281415,1.507859,0.711093,0.374916,0.172766,-0.079923,-1.313959,-2.763225,44.918179,-2.593867,0.471717,0.237629,0.123399,0.364091,0.099748,6,15,10.857142,12,9.476191,7.427207,-0.854208,0.086951,0.038928,0.036348,0.015414,-0.002465,-0.001296,0.000308,-0.000277,-0.084371,0.125802,0.014808,0.00368,0.09116,0.006043,4,18,7.939394,7,11.433712,7.285178,-0.996237,-0.142029,0.047641,0.003902,0.001332,-0.00025,0.000001,-0,0,0,-0.042407,0.103768,0.013529,0.000204,0.02128,0.000555,0,18,7.178988,7,7.608463,7.534232,-0.747183,0.107025,0.249054,0.008382,0.006904,0.005305,-0.000019,-0,0,0,-0,0.003827,0.036474,0.001273,0.000046,0.001046,0.000375,0,25,7.276566,7,8.606437,'class 1'
12,8.306686,1.392214,1.046766,0.109668,0.206776,0.2047,0.111865,-11.944791,-23.030092,-2.548648,0.213288,0.202498,0.142476,0.358442,0.090486,6,18,10.285714,10,19.571428,7.385764,-0.920922,0.082881,0.038545,0.036903,0.010151,-0.002161,-0.000434,0.000495,-0.000204,-0.081239,0.084619,0.008366,0.003551,0.091463,0.00538,3,18,8.454545,8,11.068182,7.270148,-1.036539,-0.115616,0.04746,0.005362,0.001361,-0.000112,0.000006,-0,-0,0,-0.040737,0.10273,0.013396,0.000189,0.021327,0.000564,0,18,7.2607,7,7.654426,7.53572,-0.770967,0.149956,0.265572,0.008413,0.006962,0.005261,-0.00001,-0,0,0,-0,0.00381,0.036673,0.001284,0.000047,0.001034,0.000388,0,25,7.270399,7,8.390068,'class 1'
6,7.838754,1.005291,0.371908,0.145848,0.22955,0.454036,-0.923568,-19.514414,14.695652,-1.231352,0.667619,0.16393,0.158279,0.352071,0.089182,5,12,9.428572,10,8.619047,7.29335,-0.545403,0.059316,0.048154,0.041285,0.004641,-0.000482,-0.000191,-0.000615,0.000762,-0.052447,0.118301,0.011011,0.002311,0.089336,0.005679,4,18,8.151515,7,10.632576,7.240255,-0.598498,-0.053095,0.047173,0.007271,0.002962,-0.000122,0.00001,-0,-0,0,-0.036939,0.10095,0.013052,0.000168,0.021052,0.000574,0,18,7.120623,7,7.403362,7.521277,-0.317477,0.227927,0.281022,0.008382,0.006974,0.005397,-0.000011,-0,0,0,-0,0.003989,0.034404,0.001123,0.000049,0.000877,0.000401,0,25,7.223434,7,8.270414,'class 1'
