@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
45,30.930922,14.19323,11.373835,1.763774,0.743347,-0.400002,-1.511037,-38.663395,-27.662279,-27.330839,12.356529,45.190712,42.248119,8.24083,6.895162,18,105,46.857143,44,779.809509,14.849979,-16.080942,1.487448,1.394833,1.007984,-0.007892,-0.042547,-0.002171,0.006233,0.003079,-3.890264,1.434547,1.529696,0.998092,0.520469,0.500729,9,106,32.545456,20,759.693176,9.116296,-21.814625,-5.733684,0.079278,0.070013,0.065111,-0.000871,-0.000233,0.000001,0.000001,-0,-0.214403,0.137408,0.019695,0.004657,0.027396,0.009974,1,106,13.490273,10,205.227448,8.13846,-22.792461,-6.711519,-0.977836,0.01824,0.002061,0.000869,-0.000093,-0,0,0,-0,-0.019432,0.051485,0.002723,0.000142,0.003148,0.000744,1,106,8.493125,8,36.118195,'class 1'
44,23.204212,10.050264,8.001856,5.15204,-1.19625,-1.595731,4.319068,46.268208,-68.4132,-12.900081,11.085143,45.45927,26.902393,7.625776,6.389825,12,45,27.285715,20,213.571426,13.803759,-9.400454,1.251072,1.154567,0.504335,-0.032329,-0.026025,0.004039,0.002312,-0.00386,-2.909975,1.946986,2.134384,0.775384,0.51074,0.468312,4,105,23.181818,15,492.215912,9.080602,-14.12361,-4.723157,0.07424,0.064081,0.058125,-0.000837,-0.000205,0.000001,0.000001,-0,-0.196446,0.153664,0.02239,0.00409,0.026873,0.009122,1,106,13.070039,9,209.018509,8.162035,-15.042177,-5.641724,-0.918567,0.018299,0.002153,0.000693,-0.000086,-0,0,0,-0,-0.019759,0.052626,0.002846,0.00014,0.003279,0.00075,1,106,8.501659,8,36.004387,'class 1'
12,14.47779,5.616554,4.137413,2.803639,-1.005868,0.522449,-1.390796,-8.514203,145.749893,-1.324498,6.790787,31.75705,10.337602,6.4751,5.394372,9,44,16.857143,12,149.142853,11.976836,-2.500954,0.869661,0.775905,0.218025,-0.040941,-0.001645,0.006023,-0.00234,-0.004827,-1.427541,2.089346,2.438961,0.462907,0.476879,0.402052,4,45,14.030303,12,98.717804,8.984472,-5.493318,-2.992364,0.066102,0.057341,0.037359,-0.000726,-0.000143,0.000001,0,-0,-0.160802,0.17969,0.02738,0.00333,0.025723,0.00807,1,106,12.552529,9,212.466949,8.186504,-6.291286,-3.790332,-0.797968,0.018362,0.002216,0.000613,-0.000077,-0,0,0,-0,-0.019965,0.053765,0.002972,0.000139,0.003415,0.000754,1,106,8.524894,8,36.083466,'class 1'
44,23.204212,10.050264,8.001856,5.15204,-1.19625,-1.595731,4.319068,46.268208,-68.4132,-12.900081,11.085143,45.45927,26.902393,7.625776,6.389825,12,45,27.285715,20,213.571426,13.803759,-9.400454,1.251072,1.154567,0.504335,-0.032329,-0.026025,0.004039,0.002312,-0.00386,-2.909975,1.946986,2.134384,0.775384,0.51074,0.468312,4,105,23.181818,15,492.215912,9.080602,-14.12361,-4.723157,0.07424,0.064081,0.058125,-0.000837,-0.000205,0.000001,0.000001,-0,-0.196446,0.153664,0.02239,0.00409,0.026873,0.009122,1,106,13.070039,9,209.018509,8.162035,-15.042177,-5.641724,-0.918567,0.018299,0.002153,0.000693,-0.000086,-0,0,0,-0,-0.019759,0.052626,0.002846,0.00014,0.003279,0.00075,1,106,8.501659,8,36.004387,'class 1'
16,11.973031,2.53854,1.843683,1.212633,-0.303943,0.077675,-2.597596,9.714399,96.420868,-1.90749,2.726089,4.025038,2.255516,1.000192,0.653196,7,17,12.857142,14,15.142858,10.161027,-1.812004,0.399282,0.281024,0.000558,-0.022167,-0.002114,0.001254,-0.001118,-0.000492,-0.679747,0.635377,0.217632,0.074087,0.073476,0.048045,3,25,11.69697,11,27.780304,9.051607,-2.921424,-1.10942,0.034513,0.017798,0.011519,0.000328,-0.000061,0.000001,0,-0,-0.063829,0.117355,0.013804,0.000937,0.021847,0.006323,2,43,9.968872,9,31.920902,8.659678,-3.313354,-1.501349,-0.39193,0.019153,0.00262,0.000191,0.000002,-0,-0,0,0,-0.021963,0.07014,0.005014,0.000087,0.005412,0.000404,0,43,8.894262,8,13.173349,'class 1'
16,14.501936,3.86674,2.497144,0.658131,-0.660514,0.998084,1.699849,-25.006664,-14.187877,-5.705753,3.725081,4.601657,4.071566,1.102169,0.71218,15,25,18.428572,17,13.619047,10.558015,-3.943921,0.500112,0.385201,0.18526,-0.01568,-0.008414,0.001015,0.000031,-0.001293,-1.070573,0.548267,0.179273,0.106704,0.077344,0.054555,3,43,15.30303,14,74.655304,9.018417,-5.483519,-1.539598,0.035133,0.018588,0.015179,0.000445,-0.000078,0.000001,0,-0,-0.0689,0.121646,0.014729,0.000949,0.021555,0.006468,2,43,10.132296,9,31.396492,8.635193,-5.866743,-1.922822,-0.383224,0.018961,0.002344,0.000036,-0.000015,-0,-0,0,0,-0.021341,0.069655,0.00494,0.000088,0.005309,0.000409,0,43,8.809862,8,13.005102,'class 1'
17,14.002132,2.79796,2.43256,0.663182,0.349831,0.290089,-1.542418,10.756901,-1.885832,-4.567338,4.397053,6.583466,2.51489,1.116001,0.710055,7,20,15,16,16.666666,10.441257,-3.560876,0.445237,0.391223,0.209019,-0.003164,-0.008321,-0.001184,0.000011,0.001344,-1.045478,0.683512,0.295027,0.07665,0.084894,0.053435,6,43,14.575758,13,64.564392,8.926723,-5.075409,-1.514533,0.033314,0.018116,0.013997,0.0006,-0.000081,0,0,-0,-0.065427,0.131915,0.016665,0.000934,0.020494,0.006833,2,43,10.101168,9,31.770975,8.605931,-5.396201,-1.835325,-0.320792,0.018653,0.001499,0.00019,-0.000017,-0,-0,0,0,-0.019963,0.069558,0.004914,0.000089,0.005232,0.000413,0,43,8.744903,8,13.013642,'class 1'
14,11.320284,1.866077,1.847295,1.015543,0.69998,-0.663022,-2.482999,7.54198,16.312151,-0.996761,3.769147,6.255724,1.345118,1.048001,0.657857,9,17,11.571428,11,9.285714,9.906107,-1.414177,0.322709,0.277326,0.054844,0.00882,-0.003137,-0.002025,0.000157,0.00232,-0.654879,0.857093,0.413643,0.058209,0.088543,0.049083,4,43,11.212121,9,47.859848,8.81913,-2.501154,-1.086977,0.030425,0.015283,0.010109,0.000677,-0.000069,0,0,0,-0.055817,0.141135,0.018424,0.000832,0.019409,0.006943,0,43,9.984436,9,32.148193,8.57503,-2.745254,-1.331077,-0.2441,0.018346,0.000661,0.000421,-0.000018,0,-0,0,0,-0.018586,0.069125,0.004848,0.000089,0.005134,0.000412,0,43,8.643433,8,12.995191,'class 1'
12,12.263737,2.483362,2.048083,1.6505,0.499477,0.188317,-4.256518,-0.634102,86.234444,-2.085778,4.250777,6.405294,1.998267,1.052478,0.678039,5,20,11.714286,12,22.904762,10.006412,-2.257325,0.39034,0.303898,0.102185,-0.004424,-0.006062,-0.000136,-0.000016,0.001418,-0.796423,0.828147,0.393676,0.077133,0.088074,0.052455,4,43,13.121212,11,73.734848,8.775908,-3.487829,-1.230504,0.030243,0.01839,0.008135,0.000516,-0.000075,0.000001,0,-0,-0.056767,0.143351,0.018877,0.000822,0.018953,0.006889,0,43,9.914397,9,31.695768,8.549483,-3.714253,-1.456928,-0.226424,0.018143,0.000576,0.000417,-0.000032,0,-0,0,0,-0.017984,0.068281,0.004729,0.000088,0.005009,0.000408,0,43,8.570887,8,12.629342,'class 1'
10,9.636497,1.863058,1.413289,0.414847,0.069994,0.474762,3.516771,-1.59994,-178.74556,0.034922,2.140114,3.820443,0.906677,0.911356,0.589171,7,13,10,10,4.666667,9.283076,-0.35342,0.27387,0.183399,0.155586,-0.002826,0.001537,0.000635,-0.001329,-0.000082,-0.301682,0.806462,0.399217,0.045521,0.085814,0.044568,4,20,9.515152,9,12.882576,8.660666,-0.97583,-0.62241,0.026602,0.015807,0.000811,0.000382,-0.00005,0.000001,0,-0,-0.04322,0.14576,0.019192,0.000679,0.017746,0.006659,0,43,9.560311,8,30.091074,8.517847,-1.118649,-0.765229,-0.142819,0.017834,0.000786,0.000415,-0.00003,0,-0,0,0,-0.016633,0.067402,0.004609,0.000085,0.004886,0.000398,0,43,8.513988,8,12.703433,'class 1'
