@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute class {Spot,NotSpot}

@data
35,24.003689,10.019298,9.974561,6.755064,-6.799801,14.160514,17.353294,-6.650394,1.581883,1.329215,0.132468,-2.77863,3.501215,11.333484,-12.670205,-6.019811,0.177603,0.125827,0.085218,-0.388647,0.289463,9.164989,-14.8387,-8.188306,-2.168495,0.021258,0.008243,0.003582,-0.033083,0.036192,Spot
23,21.445009,10.277972,7.671439,5.408971,-2.802438,13.518887,16.762676,-4.682333,1.442044,1.272332,0.325641,-2.388735,3.476535,11.259036,-10.185973,-5.50364,0.173893,0.121002,0.077033,-0.371928,0.313993,9.172775,-12.272234,-7.589901,-2.086261,0.021242,0.008212,0.003122,-0.032576,0.035383,Spot
7,15.216211,9.838902,3.205552,1.993961,4.63939,8.773527,15.044314,-0.171897,1.081751,0.983177,0.783159,-1.281769,3.220871,11.07024,-4.145971,-3.974074,0.164658,0.109134,0.053665,-0.327456,0.354949,9.171984,-6.044228,-5.872331,-1.898256,0.021169,0.007961,0.002545,-0.031676,0.036318,Spot
45,33.370686,15.244529,9.589457,6.533044,-18.30094,19.422714,19.507212,-13.863474,2.061414,1.593849,0.73985,-4.395113,3.321168,11.513406,-21.857281,-7.993806,0.187308,0.136803,0.109481,-0.433593,0.216479,9.156106,-24.214581,-10.351106,-2.3573,0.021358,0.008475,0.00414,-0.033974,0.038187,Spot
66,41.901829,21.216146,14.269294,0.544568,-36.030006,20.821383,20.649483,-21.252346,2.277985,1.857857,1.291665,-5.427507,2.957106,11.573526,-30.328302,-9.075956,0.1907,0.139679,0.120176,-0.450556,0.184466,9.172881,-32.728947,-11.476602,-2.400645,0.02141,0.008632,0.003873,-0.033915,0.035353,Spot
61,36.6591,16.75786,13.231528,3.067071,-26.922318,21.318718,19.785301,-16.873798,2.033526,1.794903,0.894748,-4.723177,3.281989,11.495317,-25.163784,-8.289985,0.186675,0.13193,0.113065,-0.43167,0.233017,9.18058,-27.478519,-10.604721,-2.314736,0.0214,0.00854,0.003468,-0.033408,0.034358,Spot
15,22.913647,11.340266,7.884023,5.988538,-2.532295,16.104187,17.335781,-5.577866,1.508526,1.370476,0.079979,-2.799022,3.587064,11.290315,-11.623332,-6.045466,0.176247,0.117916,0.086472,-0.380634,0.310975,9.179335,-13.734312,-8.156446,-2.11098,0.021332,0.008198,0.002949,-0.032479,0.035337,Spot
15,25.707136,9.665908,8.501903,4.598962,-3.434957,16.920374,18.331459,-7.375677,1.806791,1.308842,0.27224,-3.387872,3.517763,11.423831,-14.283305,-6.907628,0.181843,0.130357,0.099554,-0.411754,0.261327,9.13306,-16.574076,-9.198399,-2.290771,0.021339,0.008385,0.004223,-0.033947,0.042806,Spot
89,44.968204,21.408665,14.160538,4.394813,-39.964016,20.228682,21.364708,-23.603497,2.455302,1.914343,1.61191,-5.981556,2.559327,11.624512,-33.343693,-9.740196,0.193263,0.142253,0.128529,-0.464044,0.146423,9.159395,-35.808807,-12.205313,-2.465117,0.021458,0.008811,0.004116,-0.034384,0.038223,Spot
174,57.414623,29.714674,23.411173,19.26343,-72.389275,9.91713,22.681086,-34.733536,2.733372,2.443438,2.058092,-7.234902,1.123191,11.692172,-45.72245,-10.988914,0.197301,0.147653,0.137567,-0.48252,0.054822,9.176807,-48.237816,-13.504278,-2.515365,0.021518,0.00898,0.003873,-0.034371,0.034936,Spot
129,48.701126,21.447056,19.740309,11.068652,-52.25602,20.52492,21.613432,-27.087694,2.323308,2.21211,1.739193,-6.274611,2.447948,11.614697,-37.08643,-9.998735,0.193187,0.135556,0.133799,-0.462543,0.157754,9.184886,-39.516239,-12.428546,-2.429811,0.021516,0.008866,0.003508,-0.033891,0.033611,Spot
21,28.250498,10.119132,9.685301,7.611853,-8.045683,20.162989,18.699924,-9.550573,1.763432,1.564617,0.467797,-3.795846,3.556697,11.404096,-16.846401,-7.295829,0.181923,0.122827,0.10343,-0.408181,0.273569,9.18373,-19.066769,-9.516194,-2.220366,0.021454,0.008472,0.003044,-0.03297,0.034462,Spot
10,14.566127,10.708616,2.615803,0.65534,7.437473,8.664502,15.245638,0.679511,1.103496,0.945735,0.701205,-1.348026,3.379005,11.090799,-3.475327,-4.154839,0.165354,0.105922,0.059509,-0.330786,0.353814,9.17355,-5.392577,-6.072088,-1.91725,0.021336,0.00781,0.002497,-0.031642,0.037038,Spot
11,25.126541,8.97294,8.034483,2.448692,-1.510235,16.799973,18.246286,-6.880255,1.761093,1.330176,0.26498,-3.356249,3.524326,11.393259,-13.733282,-6.853027,0.179527,0.124339,0.102443,-0.406309,0.280695,9.130868,-15.995673,-9.115418,-2.262391,0.021386,0.008551,0.00394,-0.033876,0.04385,Spot
53,42.900379,17.466616,14.803498,0.244451,-32.514565,19.806618,21.21368,-21.686699,2.318385,2.190432,1.339877,-5.848693,2.593655,11.598125,-31.302254,-9.615556,0.190892,0.134342,0.133258,-0.458492,0.174872,9.158339,-33.742043,-12.055342,-2.439786,0.021514,0.00905,0.003817,-0.034381,0.038857,Spot
94,52.99897,25.954937,21.365067,9.154581,-56.474583,15.031283,22.441187,-30.557783,2.722765,2.436785,1.809093,-6.968643,1.474944,11.67062,-41.32835,-10.770567,0.195342,0.147216,0.134396,-0.476955,0.097769,9.176747,-43.822224,-13.26444,-2.493873,0.021584,0.009265,0.00358,-0.034429,0.035088,Spot
65,43.45594,19.261669,10.258039,4.501838,-34.021545,22.694429,21.322958,-22.132982,2.434117,1.80885,1.698,-5.940968,2.661082,11.598827,-31.857113,-9.724131,0.191674,0.141983,0.123608,-0.457264,0.166911,9.185658,-34.270283,-12.1373,-2.41317,0.02159,0.009172,0.00324,-0.034002,0.0333,Spot
10,24.992563,12.180358,8.060873,3.230712,0.888773,18.503574,18.435427,-6.557137,1.804651,1.363278,0.344011,-3.51194,3.597007,11.394592,-13.597971,-7.040834,0.18043,0.127492,0.095687,-0.403609,0.272036,9.18512,-15.807444,-9.250307,-2.209473,0.021536,0.008773,0.002816,-0.033126,0.033828,Spot
