@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
2,2.285567,0.607968,0.381608,0.138923,0.01148,-0.022068,0.304457,4.958375,6.382875,-0.365283,0.919844,0.681638,0.073763,0.471738,0.241015,0,6,2.142857,2,3.476191,2.096694,-0.188872,0.165475,0.108316,0.097227,0.004111,0.000971,-0.000032,0.00006,-0.001369,-0.040067,0.657411,0.381255,0.010319,0.165093,0.036132,0,6,2.30303,2,2.717803,1.821057,-0.464509,-0.275637,0.031502,0.027345,0.017903,-0.000058,-0.000006,0,-0,0,-0.040944,0.262224,0.061948,0.000878,0.034652,0.004251,0,22,2.027237,1,5.182849,Spot
2,2.498729,0.48775,0.236594,0.196647,-0.035348,-0.228197,0.430143,-3.413284,-27.66914,-0.527698,0.719301,0.558904,0.067879,0.442797,0.243222,1,6,3,2,4,2.258268,-0.240461,0.138603,0.113711,0.097232,-0.011757,0.00163,-0.000544,0.000426,0.000006,-0.07234,0.625154,0.347663,0.011465,0.156655,0.036392,0,6,2.515152,2,2.070076,1.895532,-0.603198,-0.362736,0.032757,0.026505,0.011163,-0.000436,-0.000011,0.000001,-0,0,-0.048099,0.262254,0.062037,0.000941,0.034808,0.00437,0,22,2.252918,2,5.213126,Spot
1,2.472663,0.24912,0.193304,0.066718,0.016937,0.128393,-0.74813,-1.015082,8.350656,-0.010902,0.573965,0.393086,0.049062,0.391713,0.227976,1,4,2,2,1,2.320265,-0.152398,0.11262,0.106855,0.083263,-0.022845,0.001163,-0.000643,0.000034,0.001498,-0.077499,0.558035,0.287646,0.010283,0.143692,0.034475,0,6,2.69697,2,2.342803,1.941774,-0.530889,-0.37849,0.032666,0.024801,0.00618,-0.000731,-0.000015,0.000002,-0,-0,-0.051288,0.25936,0.060949,0.000937,0.03467,0.004363,0,22,2.342412,2,4.936983,Spot
5,2.031891,0.604194,0.437384,0.10212,0.050293,-0.136309,-0.925898,5.700379,45.385197,-0.26893,1.048966,0.978632,0.09198,0.559929,0.278372,1,5,2.142857,1,2.809524,2.069418,0.037528,0.200657,0.107764,0.083295,0.028926,-0.002285,0.000378,-0.000119,-0.000637,0.009598,0.740651,0.470828,0.010697,0.183598,0.039451,0,6,2.060606,2,3.558712,1.817701,-0.21419,-0.251717,0.03136,0.026937,0.016872,0.000447,-0.000007,-0.000002,0,0,-0.041425,0.272337,0.066445,0.000879,0.035797,0.004334,0,12,2.058366,1,4.930174,Spot
4,2.780873,0.74465,0.379512,0.206826,0.100916,0.169394,1.214903,-5.793291,-58.34227,-0.917337,1.267356,1.242847,0.163455,0.598053,0.32613,1,6,3.714286,4,4.238095,2.474413,-0.30646,0.167332,0.145836,0.125751,0.026108,-0.001632,-0.001086,0.000242,-0.001045,-0.104254,0.807061,0.525064,0.016786,0.186623,0.045094,0,7,2.727273,2,4.204545,1.956841,-0.824033,-0.517573,0.034251,0.030917,0.007213,0.000096,-0.000019,-0.000001,0,0,-0.057955,0.274966,0.067611,0.001022,0.036406,0.004662,0,22,2.564202,2,8.121839,Spot
6,3.256062,0.71617,0.576637,0.195578,0.280904,0.067162,-0.204084,-0.524964,24.167583,-1.097229,1.111995,1.243354,0.222196,0.594612,0.35223,2,6,4.142857,4,1.809524,2.778337,-0.477724,0.172945,0.159946,0.142497,0.009663,0.000084,-0.001963,0.000473,0.000015,-0.190394,0.799287,0.506,0.02197,0.180712,0.048246,0,9,3.363636,3,4.301136,2.069863,-1.186198,-0.708474,0.036823,0.032181,0.000974,-0.000306,-0.000027,0.000001,0,0,-0.069978,0.271876,0.066304,0.001157,0.036273,0.004941,0,28,2.929961,2,10.924763,Spot
5,3.261219,0.668552,0.420002,0.335394,0.105951,-0.367581,-0.535231,6.869998,19.038673,-0.583943,0.820091,1.061868,0.205275,0.551098,0.351278,1,6,3.571429,4,2.952381,2.919672,-0.341547,0.181381,0.162572,0.139608,-0.013499,0.001656,-0.001152,0.0002,0.00103,-0.204344,0.731947,0.433382,0.024165,0.167702,0.048387,0,6,3.090909,3,2.897727,2.150812,-1.110407,-0.76886,0.038165,0.031617,0.006771,-0.000683,-0.000032,0.000002,0,-0,-0.076553,0.265411,0.063597,0.001232,0.035702,0.005124,0,28,3.105058,2,10.531888,Spot
4,3.035442,0.441781,0.379683,0.070812,-0.247573,-0.104991,0.471214,-5.549118,-22.405304,-0.13291,0.607563,0.735472,0.139745,0.478309,0.324702,1,6,3.571429,4,2.952381,2.904209,-0.131233,0.166682,0.144353,0.134824,-0.031082,0.001842,0.000539,-0.000387,0.000629,-0.157153,0.627788,0.338277,0.021226,0.150327,0.045589,0,6,2.969697,3,2.717803,2.197893,-0.837549,-0.706316,0.038008,0.03019,0.009619,-0.000963,-0.000031,0.000003,0,-0,-0.077817,0.257543,0.06037,0.001221,0.034951,0.005138,0,28,3.023346,2,9.608828,Spot
1,2.857062,0.662455,0.518814,0.130269,0.033975,0.12051,0.785563,-2.087432,-33.487953,-0.013372,1.3816,1.586637,0.176657,0.67227,0.382772,0,6,2.857143,2,5.809524,2.700517,-0.156544,0.154102,0.149344,0.1391,0.038724,-0.003307,-0.001279,0.000738,-0.000833,-0.143858,0.868998,0.588787,0.019737,0.197045,0.049828,0,7,2.909091,3,4.022727,2.042189,-0.814872,-0.658328,0.036128,0.030568,0.001036,0.000205,-0.000023,-0.000002,0,0,-0.067731,0.280681,0.070316,0.001138,0.037209,0.004911,0,22,2.836576,2,10.231001,Spot
6,3.883592,1.042549,0.453856,0.381394,0.363749,-0.22717,-0.286877,4.83292,28.637949,-1.115011,1.532054,2.039372,0.386445,0.715035,0.445178,1,7,4.571429,5,4.285714,3.208263,-0.675329,0.223924,0.189273,0.085103,0.0319,-0.003407,-0.00332,0.001299,0.000699,-0.328093,0.910122,0.608663,0.03141,0.196179,0.056774,0,9,3.666667,3,5.666667,2.194657,-1.688935,-1.013606,0.039103,0.034864,0.011836,-0.000127,-0.000039,-0.000001,0,0,-0.085804,0.275084,0.067923,0.00131,0.03697,0.005303,0,28,3.44358,2,15.279031,Spot
