@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
3,5.758879,2.269329,1.748781,1.228326,-0.098754,0.616377,1.464705,-10.91262,-29.00762,-1.748875,3.568835,5.517359,1.800069,1.131544,0.652021,2,15,6.285714,4,25.904762,3.798478,-1.960401,0.423138,0.32931,0.003326,0.00443,-0.000867,-0.000236,-0.000665,-0.001184,-0.755773,1.132587,0.874333,0.097989,0.246345,0.096641,0,35,6.515152,4,56.820076,2.213178,-3.5457,-1.5853,0.047683,0.042754,0.010137,-0.000597,-0.000054,0,0,0,-0.100573,0.306818,0.084868,0.001912,0.047429,0.006974,0,35,3.754864,2,22.709206,Spot
12,7.10437,2.74809,1.841203,0.917142,-0.193634,-0.357492,-0.065395,19.615305,10.364614,-3.672151,4.730008,8.421456,2.189123,1.342605,0.753695,2,15,7.428571,7,23.285715,4.258159,-2.846211,0.442298,0.399616,0.138253,-0.007954,-0.005512,0.000951,0.000368,-0.001264,-0.980168,1.2166,0.977028,0.102152,0.265066,0.100968,0,35,7.333333,4,63.229168,2.326496,-4.777874,-1.931663,0.04893,0.045354,0.016728,-0.000804,-0.000068,0.000001,0,-0,-0.111012,0.302566,0.082568,0.001987,0.046046,0.007102,0,35,4.210117,3,26.072866,Spot
15,9.330169,4.117841,2.51651,0.896637,0.482271,-0.147577,-1.532632,-16.057741,47.840603,-7.530987,4.049985,6.252316,3.255794,1.305274,0.795062,3,35,14.714286,12,146.904755,4.834195,-4.495974,0.568392,0.452046,0.250328,0.005489,-0.008748,-0.001996,0.000565,0.00127,-1.270766,1.00217,0.733275,0.144351,0.247032,0.109196,1,35,9.393939,7,57.808712,2.492676,-6.837493,-2.341519,0.053353,0.048382,0.028142,-0.000685,-0.000082,0,0,0,-0.129876,0.289855,0.077005,0.002351,0.045552,0.008028,0,35,4.622568,3,25.642145,Spot
8,9.501574,3.578134,1.731284,1.010261,0.225471,0.331901,-1.350266,-27.352745,39.623852,-6.319679,4.828336,9.01319,3.16101,1.435203,0.846391,5,35,13.571428,11,104.619049,5.02008,-4.481493,0.530164,0.441345,0.380224,-0.003104,-0.010319,-0.001302,0.000553,0.001031,-1.351733,1.062096,0.821625,0.128295,0.261847,0.112713,1,35,10.181818,8,71.153412,2.562236,-6.939338,-2.457844,0.052365,0.04857,0.031272,-0.000804,-0.000086,0.000001,0,0,-0.132206,0.283425,0.073664,0.002231,0.043494,0.007728,0,35,4.7393,3,26.123177,Spot
35,11.869139,5.546233,3.464732,2.151143,0.650796,-1.036571,-1.473636,34.953671,-39.314342,-11.162107,2.662482,6.536135,4.011905,1.39738,0.891184,8,35,16.571428,15,92.952377,5.60381,-6.265329,0.676495,0.525796,0.437747,0.001091,-0.014476,-0.002307,0.001488,0.002572,-1.640039,0.653397,0.473654,0.161041,0.236978,0.118217,3,35,12,9,59.8125,2.738948,-9.130191,-2.864862,0.056942,0.052512,0.042183,-0.000698,-0.000099,0.000001,0.000001,0,-0.151636,0.259547,0.063728,0.002632,0.041792,0.008778,0,35,5.155642,4,24.538181,Spot
10,9.698728,3.738518,1.309506,0.12559,0.086891,-0.311628,0.216274,-2.739642,15.986556,-4.922434,3.783319,5.357467,3.282757,1.257991,0.856108,5,35,11.571428,8,110.285713,5.556349,-4.142379,0.57393,0.479621,0.347508,0.000803,-0.010793,-0.000892,0.001185,0.000485,-1.401058,0.61152,0.313003,0.177104,0.205456,0.117137,3,35,10.181818,8,59.528408,2.861958,-6.836769,-2.694391,0.058252,0.053754,0.047103,-0.00054,-0.000094,0,0,0,-0.15911,0.23684,0.054572,0.002791,0.039561,0.009552,0,35,5.342412,4,23.382296,Spot
8,6.118491,1.979822,1.934148,0.990484,0.153205,-0.255549,0.151967,16.81345,14.989148,-0.94481,4.068072,7.918667,1.737876,1.345982,0.757513,2,11,5.714286,5,9.904762,4.365854,-1.752637,0.402176,0.345509,0.097767,0.000753,-0.003046,-0.001973,-0.000695,0.000871,-0.845452,1.193768,0.931433,0.092405,0.262919,0.103719,1,21,6.060606,4,33.433712,2.531181,-3.58731,-1.834673,0.04959,0.042036,0.02325,-0.000742,-0.000065,0.000001,0,0,-0.114876,0.283251,0.072601,0.001968,0.041285,0.00688,0,35,4.389105,3,26.402693,Spot
11,10.404525,3.749214,2.323927,1.016606,0.350278,0.166523,0.132837,-3.066524,-32.116318,-7.089747,4.311118,8.020445,3.430298,1.418177,0.874446,8,21,13.285714,11,30.904762,5.3945,-5.010025,0.599111,0.485438,0.376504,-0.000541,-0.011559,-0.002411,0.000783,0.002012,-1.461053,0.858008,0.625519,0.137371,0.247601,0.117161,2,35,11.030303,8,67.842804,2.757301,-7.647224,-2.637199,0.054545,0.048765,0.041087,-0.000703,-0.000091,0.000001,0,0,-0.144398,0.257208,0.062151,0.002324,0.039769,0.00796,0,35,5,4,24.8125,Spot
19,12.344046,5.797154,3.509634,1.264953,0.097405,0.158682,-0.464258,-15.91849,21.394262,-10.571742,1.926765,6.329735,3.994605,1.382483,0.919726,5,35,18.428572,19,119.952377,5.921729,-6.422317,0.693859,0.527319,0.472555,-0.006785,-0.014937,-0.000518,0.001865,0.000828,-1.693733,0.296552,0.298935,0.157948,0.219402,0.122306,3,35,13.121212,11,53.422348,2.939188,-9.404858,-2.982541,0.058981,0.053917,0.050238,-0.000622,-0.0001,0,0.000001,0,-0.163137,0.222197,0.048921,0.002674,0.036911,0.009085,0,35,5.400778,4,23.303593,Spot
5,9.792845,3.331416,1.002106,0.273734,-0.400221,0.060031,0.052056,2.332516,8.280177,-4.059789,3.830012,5.79194,2.895116,1.248792,0.883528,5,19,10.428572,10,24.952381,5.809268,-3.983576,0.517723,0.462334,0.414944,-0.013673,-0.010364,0.002284,0.001343,-0.001683,-1.395002,0.434699,0.198988,0.131486,0.185373,0.117602,3,35,10.424242,8,55.564392,3.064818,-6.728026,-2.74445,0.060384,0.056474,0.05273,-0.000506,-0.000092,0,0,-0,-0.169588,0.1897,0.037663,0.002907,0.033662,0.009999,0,35,5.583658,4,22.720512,Spot
