@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
16,15.678386,8.501507,2.184567,1.970055,2.322938,0.144847,-0.708676,27.543489,98.54895,4.346885,6.291764,52.453091,10.394588,14.937696,11.910336,18.666666,16.593073,0.914687,1.001196,0.980311,0.798759,0.226888,-0.000416,-0.021619,-0.000451,0.00684,-0.819645,2.761398,4.831538,0.715805,1.162363,0.949933,124.530304,13.290079,-2.388307,-3.302994,0.174019,0.092553,0.042103,0.003488,-0.000186,-0.000009,0.000001,0,-0.308676,0.274412,0.065067,0.027227,0.157534,0.039088,438.995728,Spot
19,22.286226,9.999837,6.732159,5.770698,3.858412,0.694841,1.177624,-50.60865,-132.824265,-2.50302,12.028625,82.172974,28.6577,16.991955,13.984784,401.571442,18.526203,-3.760023,1.42295,1.212316,0.519363,0.180715,-0.011412,-0.023853,0.000389,0.01332,-2.115903,3.022453,4.969371,1.209935,1.232807,1.076414,485.172363,13.486602,-8.799624,-5.039601,0.182228,0.114796,0.054876,0.002869,-0.000244,-0.000006,0.000001,0,-0.3519,0.201639,0.040468,0.027584,0.161235,0.035751,504.887939,Spot
38,26.128515,9.935826,9.907779,7.766366,1.367441,-0.675624,-2.198124,6.370638,20.251102,-7.794414,14.20573,93.107239,41.848869,17.816151,14.886166,949.666687,19.410027,-6.718489,1.607001,1.397834,0.22773,0.039046,-0.015376,-0.006208,0.000108,0.005239,-2.777105,3.038924,4.749945,1.503638,1.244927,1.143446,546.121216,13.571336,-12.557179,-5.838691,0.185372,0.126301,0.057564,0.002072,-0.000263,-0.000002,0.000001,0,-0.369236,0.146318,0.03344,0.017428,0.162351,0.033453,504.420807,Spot
13,22.165022,11.900826,6.284734,4.355821,-3.187157,-0.47672,-0.088791,26.905926,85.429001,1.260271,12.245644,91.067818,30.152987,17.234884,14.343162,99.238098,18.78479,-3.380232,1.464226,1.241572,0.422843,-0.118932,-0.009628,0.016855,-0.000136,-0.010188,-2.282955,3.085609,5.060871,1.304973,1.212608,1.125748,382.859863,13.53143,-8.633592,-5.25336,0.18278,0.12291,0.050285,0.001201,-0.000236,0.000003,0.000001,-0,-0.355975,0.168503,0.034932,0.021152,0.160513,0.032863,497.784912,Spot
13,19.274759,11.129547,4.662682,3.747333,2.82584,1.630087,5.549858,-31.754477,-209.559845,2.719532,10.944896,86.921623,20.55216,17.164896,13.861472,450.952393,17.881073,-1.393686,1.210799,1.156205,0.67454,0.15299,-0.000793,-0.020452,-0.002977,0.01037,-1.692464,3.181306,5.709996,0.960147,1.275508,1.043519,416.626892,13.380794,-5.893966,-4.500279,0.179016,0.093059,0.06702,0.003042,-0.000225,-0.000005,0.000001,0,-0.339094,0.263496,0.061926,0.029199,0.162867,0.039975,510.48645,Spot
67,32.110443,13.800229,11.628417,7.665933,5.075272,-2.746382,-9.928977,7.805719,91.405525,-17.762712,18.113228,118.217316,53.670879,19.585472,16.224785,1220.571411,20.409073,-11.70137,1.820267,1.709494,0.151657,0.117962,-0.034734,-0.02162,0.005757,0.018613,-3.681418,3.087243,4.920657,1.60851,1.361564,1.178014,1282.467773,13.585814,-18.52463,-6.823259,0.187829,0.121631,0.078401,0.002866,-0.000302,-0.000003,0.000001,0,-0.387861,0.167109,0.03523,0.029103,0.167215,0.037198,508.710175,Spot
99,39.845928,19.345129,16.421202,3.424572,1.674679,-4.118495,-8.378448,65.656792,133.3974,-32.341759,19.680737,115.876053,85.02623,20.596485,17.19582,1051.476196,21.569206,-18.276722,2.119119,1.938231,0.633171,0.018813,-0.050863,-0.004556,0.009039,0.005403,-4.69052,2.782047,3.914157,2.224257,1.393363,1.235171,1567.439453,13.670843,-26.175085,-7.898363,0.191319,0.135945,0.080377,0.00263,-0.000328,-0,0.000002,0,-0.407641,0.081188,0.033859,0.015185,0.168949,0.035606,506.198303,Spot
23,32.2411,12.807898,10.766532,9.565455,-3.952327,0.823183,9.737266,-22.707991,-110.534859,-11.606821,20.394543,137.128357,57.623737,19.958986,16.501825,1108.952393,20.740433,-11.500668,1.852383,1.724091,0.357053,-0.088309,-0.035779,0.016554,0.003394,-0.014679,-3.933528,3.11691,4.999248,1.726048,1.371394,1.201815,1519.308716,13.621829,-18.61927,-7.118604,0.18941,0.130382,0.073363,0.00235,-0.000298,0.000002,0.000001,-0,-0.393154,0.135195,0.033858,0.022993,0.167658,0.035758,508.011536,Spot
69,35.523739,17.15436,11.501408,7.090504,0.921215,-2.846661,-6.162882,73.529083,117.662766,-21.565264,20.967903,139.719177,75.677483,20.466478,17.348515,845.238098,20.936934,-14.586805,1.991723,1.751106,0.464374,-0.002995,-0.040868,-0.001134,0.005755,0.002175,-4.207202,3.130873,5.139899,1.914029,1.402833,1.207686,1596.95459,13.595169,-21.92857,-7.341764,0.186796,0.123072,0.087788,0.002811,-0.000312,0.000001,0.000001,-0,-0.397655,0.171325,0.042695,0.024399,0.170409,0.037339,514.586914,Spot
82,45.144276,22.005526,17.999399,1.440981,-0.344281,-0.853471,2.839864,-24.59486,-79.197289,-41.445908,22.731531,145.499329,103.220116,21.571581,18.329441,3336.952393,22.190163,-22.954113,2.281061,2.022326,1.037825,-0.010557,-0.060679,0.001131,0.00957,-0.001607,-5.341212,2.684432,4.008087,2.467289,1.442518,1.261102,2068.030273,13.676324,-31.467953,-8.513839,0.18954,0.13922,0.089832,0.003221,-0.000343,0.000001,0.000002,-0,-0.418592,0.099154,0.040193,0.015292,0.172974,0.036382,509.109863,Spot
26,36.482578,14.996495,11.331189,7.528536,-0.835959,2.265352,4.598747,-60.129044,-70.374748,-18.799149,24.365801,165.688171,71.881203,20.959776,17.50749,1778.142822,21.292578,-15.190001,1.952211,1.790178,0.745218,-0.01188,-0.043799,0.002151,0.003911,-0.002722,-4.487607,3.14788,5.273045,1.87111,1.429509,1.21731,1948.590942,13.620039,-22.862539,-7.672539,0.187909,0.131482,0.084599,0.003617,-0.000313,0,0.000001,-0,-0.403991,0.159625,0.045023,0.02116,0.17262,0.037203,510.699402,Spot
63,42.555649,18.265158,13.370485,1.60928,-1.547505,-2.337006,5.49214,43.863552,-115.843132,-30.026363,24.344467,160.22374,87.761269,21.589811,17.813711,1506,22.292297,-20.263351,2.226812,1.9235,1.292459,-0.038222,-0.06274,0.005319,0.010241,-0.004073,-5.442772,2.8022,4.786492,2.304732,1.468267,1.287685,2031.022705,13.585467,-28.970181,-8.70683,0.180667,0.133401,0.087631,0.001865,-0.000367,0.000001,0.000002,-0,-0.401699,0.186628,0.053102,0.018391,0.158722,0.035308,504.04892,Spot
10,23.094223,14.854097,6.355976,2.68618,1.430802,4.453844,-4.236764,-8.156547,20.769691,5.811941,16.597507,140.356079,36.774494,19.534229,15.77171,117.666664,19.215643,-3.87858,1.543552,1.242432,0.050304,0.020111,0.001735,-0.005572,-0.01095,0.006042,-2.836288,3.68214,7.136317,1.370493,1.431451,1.100708,1077.876953,13.375191,-9.719032,-5.840452,0.168944,0.093773,0.087585,0.001852,-0.000273,0,0.000001,0,-0.350303,0.280987,0.074179,0.022375,0.151193,0.038567,515.084839,Spot
39,45.396263,18.930897,13.289847,1.675754,1.530522,1.798985,-8.927783,-68.783264,216.539688,-33.8965,25.428764,178.916885,92.925957,22.29213,18.493464,3285.571533,22.520521,-22.875742,2.224189,1.992303,1.548486,0.006516,-0.067515,-0.003804,0.010412,0.004836,-5.764978,2.802613,5.190138,2.255433,1.524114,1.255707,2166.876953,13.586481,-31.809782,-8.93404,0.180453,0.127429,0.098369,0.002043,-0.000376,0.000001,0.000002,-0,-0.406252,0.180189,0.047306,0.021023,0.156941,0.036395,509.889648,Spot
179,62.688694,33.429741,28.633186,20.994076,-0.748227,-9.280498,4.973001,68.380196,-134.645752,-83.057007,10.09547,160.703506,133.600479,23.427975,19.598478,2396.476074,24.096703,-38.591991,2.723238,2.463059,2.122861,-0.014428,-0.108342,0.001357,0.026959,-0.002459,-7.309158,1.056067,3.208966,2.837272,1.554062,1.320798,1847.653442,13.672395,-49.0163,-10.424308,0.185946,0.143251,0.100887,0.002333,-0.000418,0.000001,0.000002,-0,-0.430084,0.094325,0.038056,0.015801,0.159577,0.035657,509.066193,Spot
