@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
16,15.104587,3.532445,3.261739,2.381404,0.491773,1.321483,3.796121,-18.243454,-191.59845,-2.652111,5.915627,17.088346,7.986435,7.814761,3.698187,58.952381,12.08328,-3.021307,1.06319,0.650498,0.129409,0.035864,0.00009,-0.00201,-0.002055,-0.000381,-1.584279,1.726503,2.094897,0.483361,1.011892,0.358155,192.030304,9.637553,-5.467033,-2.445726,0.064007,0.055532,0.029491,0.001339,-0.000047,-0.000001,0,0,-0.14903,0.293993,0.074091,0.003346,0.039828,0.010689,115.885719,Spot
17,14.352588,3.289824,2.423662,2.268081,0.386894,0.048985,-0.799188,-6.848416,84.282951,-3.445405,5.056052,12.918154,5.902085,7.460831,3.272884,112.285713,11.770909,-2.581678,1.0043,0.598102,0.24154,0.045315,-0.002181,-0.002432,0.000501,0.001022,-1.360862,1.623457,1.955613,0.410209,1.013136,0.324297,64.530304,9.612325,-4.740263,-2.158585,0.063206,0.053634,0.026898,0.00208,-0.000045,-0.000002,0,-0,-0.143738,0.295062,0.074507,0.003264,0.039837,0.010662,106.277557,Spot
9,13.850386,6.194587,3.118273,1.424791,-1.668874,0.357302,5.125497,-6.884643,-81.600616,1.651523,7.234577,26.372595,9.333082,8.218495,4.299184,89.333336,12.258424,-1.591962,1.068493,0.59219,0.0839,-0.028249,-0.002715,0.005655,-0.000781,-0.007229,-1.576782,1.865098,2.218258,0.574449,0.976961,0.401074,204.068176,9.661708,-4.188678,-2.596716,0.067575,0.057346,0.029688,-0.000224,-0.000058,0,0,0,-0.154609,0.291183,0.072972,0.003791,0.040403,0.012632,127.805008,Spot
32,19.772491,6.556897,4.039735,2.328278,0.037951,-0.728504,2.33565,33.624992,-59.366577,-8.268353,9.461585,29.00382,15.400038,8.821962,4.538527,173.238098,13.423884,-6.348607,1.25984,0.838261,0.336504,0.007404,-0.015282,-0.000604,0.002315,-0.001158,-2.434605,1.712232,2.014878,0.713705,1.025271,0.424089,333.592804,9.793581,-9.97891,-3.630303,0.072071,0.065138,0.042357,0.000458,-0.000075,-0.000001,0,0,-0.179566,0.266252,0.062033,0.004217,0.037385,0.013266,130.094223,Spot
33,22.214111,8.075076,6.262601,0.497032,1.729052,-0.850696,-5.416569,-30.75565,120.654228,-13.840645,7.79371,21.082771,17.840078,8.910004,4.388373,574.904785,13.769027,-8.445085,1.327132,0.974428,0.392038,0.03826,-0.020195,-0.006033,0.004009,0.006151,-2.693598,1.531378,1.851948,0.681123,1.056397,0.414843,319.085236,9.845559,-12.368552,-3.923468,0.073947,0.067591,0.046875,0.001158,-0.000081,-0.000001,0,0,-0.188414,0.253408,0.056634,0.004325,0.035785,0.013063,129.442886,Spot
41,19.153194,6.533954,5.206821,1.643067,1.133024,-1.174231,-1.021767,22.27354,-96.237015,-10.097709,6.539336,18.413441,10.34406,8.465768,3.896525,127.904762,13.176344,-5.976851,1.230985,0.854749,0.112605,0.048094,-0.013279,-0.005335,0.002054,0.005606,-2.198339,1.602632,1.927557,0.521296,1.065115,0.374625,206.195068,9.812385,-9.34081,-3.363959,0.074047,0.062167,0.043739,0.001751,-0.000074,-0.000001,0,-0,-0.179953,0.259879,0.058997,0.004368,0.036125,0.012912,121.20121,Spot
41,26.080202,9.716052,7.275964,3.081417,0.78878,-1.575248,-1.43412,-37.832428,-52.707424,-20.073433,9.40577,33.635677,20.44521,9.499804,4.906713,776,14.687871,-11.392331,1.394498,1.025177,0.896935,0.00893,-0.029225,-0.002911,0.006658,0.003037,-3.31661,1.19573,1.468007,0.889222,1.038519,0.455993,421.132568,9.927305,-16.152897,-4.760566,0.081391,0.075065,0.050361,0.0004,-0.000099,0,0,-0,-0.206817,0.229619,0.047573,0.00524,0.034394,0.015426,128.9272,Spot
80,27.958265,12.058377,9.177293,3.50013,1.854064,-3.446214,-7.191562,65.165543,195.448807,-24.735798,5.211486,27.266687,17.864153,9.590867,4.757001,368.285706,14.985147,-12.973118,1.497551,1.179826,0.855102,0.028739,-0.033183,-0.006559,0.007481,0.007359,-3.532479,0.843327,1.418133,0.728569,1.076425,0.444702,385.672363,9.980097,-17.978168,-5.005051,0.082855,0.078962,0.053213,0.000825,-0.000104,-0,0.000001,-0,-0.21503,0.212404,0.040996,0.005089,0.032363,0.015562,129.4272,Spot
34,21.87991,7.277696,4.651308,0.554539,0.6604,-0.092711,1.585623,-21.702383,-44.526634,-11.374465,7.872837,24.151154,11.696594,9.088325,4.240506,616.571411,14.144676,-7.735233,1.376139,0.938519,0.473903,0.032478,-0.019123,-0.004166,0.001517,0.003346,-2.788562,1.411411,1.77644,0.550735,1.093003,0.400666,224.439392,9.940714,-11.939196,-4.203962,0.081735,0.071564,0.050631,0.001178,-0.000093,-0.000001,0,-0,-0.20393,0.226169,0.045741,0.005324,0.033149,0.015046,128.046814,Spot
9,11.753926,3.160956,1.310751,0.005332,-0.320853,0.630702,0.805377,-7.452569,22.044794,1.844873,3.217268,11.701851,1.852939,3.16504,2.365998,12.666667,11.739145,-0.014781,0.521708,0.475892,0.298597,0.017637,0.007966,0.001249,-0.002356,-0.002958,-0.699002,1.384902,1.127983,0.194522,0.410112,0.264313,15.863636,9.324903,-2.429024,-2.414243,0.131685,0.05872,0.035718,0.000288,-0.000095,-0.000001,0,0,-0.226123,0.148776,0.029103,0.006014,0.061397,0.008299,82.957291,Spot
17,13.107823,3.096692,2.560695,1.854183,1.602733,-0.551426,-2.826547,-14.391106,11.354282,-1.318186,3.803249,10.811033,3.842639,3.001399,2.324012,4.238095,11.646999,-1.460824,0.60042,0.52686,0.244232,0.09002,-0.006593,-0.010274,0.002235,0.005574,-0.883049,1.378381,1.146268,0.233042,0.416596,0.283841,54.647728,9.180071,-3.927752,-2.466928,0.133032,0.054528,0.028038,0.000683,-0.000099,-0.000003,0,0,-0.215598,0.188272,0.036035,0.010596,0.061158,0.011999,72.986595,Spot
17,15.606924,3.688032,3.568059,1.995611,1.266906,0.208147,0.132284,7.3048,42.242245,-2.115584,5.478058,15.396577,6.371383,3.495542,2.675852,27.285715,12.602318,-3.004606,0.764711,0.675072,0.000185,0.076415,-0.008987,-0.009673,0.001159,0.004994,-1.439968,1.406844,1.079655,0.344972,0.445483,0.297695,72.507576,9.313913,-6.293011,-3.288404,0.135687,0.062011,0.042977,0.000433,-0.000131,-0.000002,0,0,-0.240675,0.161179,0.032517,0.007851,0.06297,0.010548,83.175583,Spot
16,16.160177,4.434935,3.342251,2.104543,-0.02542,0.413387,3.32231,1.474021,-64.451378,-1.01186,6.092994,19.413382,5.713394,3.741284,2.840273,23.142857,13.00366,-3.156517,0.787288,0.733568,0.125969,0.029008,-0.005816,-0.001834,-0.001087,-0.000277,-1.646824,1.406742,1.059216,0.345923,0.453513,0.304095,74.36364,9.393101,-6.767076,-3.610559,0.135697,0.065401,0.05084,0.000149,-0.000142,-0.000001,0,0,-0.251938,0.13586,0.029932,0.004669,0.063461,0.009104,84.917984,Spot
16,14.312646,4.981007,2.188526,1.546361,-0.925262,0.026051,-0.865775,1.513166,4.261042,1.24612,5.479779,19.652449,4.24865,3.670312,2.775793,26.571428,12.684119,-1.628527,0.706185,0.643948,0.001826,-0.029732,0.000411,0.006862,-0.002204,-0.004564,-1.348307,1.484018,1.182231,0.305627,0.438107,0.29874,50.69318,9.409137,-4.903509,-3.274982,0.133305,0.062398,0.051338,-0.000142,-0.000131,0.000001,0,-0,-0.247042,0.129014,0.028562,0.003444,0.062581,0.008,86.052742,Spot
9,11.638556,4.517325,1.673225,0.149588,-1.321528,-0.272047,-0.431001,-7.691466,19.102005,2.694512,3.355638,14.126987,2.61647,3.301582,2.498615,18.238094,11.812487,0.17393,0.577596,0.461467,0.29626,-0.070159,0.004437,0.009567,-0.001454,-0.004325,-0.742803,1.449101,1.223981,0.226723,0.40229,0.278149,21.772728,9.363785,-2.274772,-2.448702,0.128681,0.056416,0.042224,-0.000409,-0.000099,0.000003,0,-0,-0.227321,0.142431,0.02817,0.004965,0.060446,0.007436,84.796844,Spot
13,14.599739,3.767458,3.129342,2.185091,1.054449,-0.142718,-0.466355,13.653353,36.085884,-1.546975,5.397921,14.67071,5.579773,3.311994,2.552243,40.476189,12.089526,-2.510213,0.68912,0.640549,0.093618,0.042281,-0.007888,-0.005951,0.000881,0.002692,-1.236051,1.491221,1.297651,0.27945,0.435352,0.316024,78.814392,9.183829,-5.41591,-2.905697,0.134666,0.053199,0.036137,0.000106,-0.000118,-0.000001,0,0,-0.224002,0.196978,0.039044,0.011077,0.061892,0.013086,79.799339,Spot
24,19.299376,5.69178,3.995359,2.090413,1.839989,-0.070075,-1.727476,-7.189449,-62.67524,-7.596726,7.114546,17.198061,11.741782,3.830173,2.95621,128.476196,13.279035,-6.020341,0.915201,0.839591,0.2875,0.04519,-0.018145,-0.008172,0.002164,0.00656,-2.042292,1.340094,1.029276,0.430456,0.467318,0.329606,163.689392,9.325588,-9.973787,-3.953446,0.137318,0.062031,0.052645,0.000037,-0.000156,-0.000001,0.000001,0,-0.251994,0.165327,0.034507,0.008274,0.063782,0.011525,83.975616,Spot
