@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
6,3.99517,0.813698,0.463638,0.136894,-0.17095,-0.126461,1.494506,14.910632,-34.418789,0.213166,0.595558,0.325187,0.072905,0.130341,0.087896,1,6,3.142857,2,4.809524,4.037905,0.042735,0.057076,0.049886,0.016857,-0.007789,-0.000083,-0.000231,-0.000082,0.000038,-0.024046,0.269809,0.059305,0.002115,0.040853,0.007162,0,8,4,4,4.8125,4.144499,0.149328,0.106594,0.008672,0.00383,0.000989,-0.000908,-0.000009,0.000001,0,-0,0.013491,0.141948,0.018639,0.000054,0.012311,0.000788,0,16,4.124514,4,4.742249,4.378561,0.383391,0.340656,0.234062,0.00711,0.003739,0.000192,-0.000045,0,0,-0,0,-0.003563,0.048809,0.002358,0.000015,0.002157,0.000101,0,16,4.097677,4,4.813984,'class 1'
1,4.012925,1.016172,0.113722,0.023483,0.06775,0.349372,-0.732187,-14.790749,20.090368,0.878967,1.028602,0.554963,0.066265,0.139966,0.095543,1,8,3.714286,4,6.904762,4.196424,0.183499,0.048681,0.018507,0.000072,-0.006054,-0.000012,-0.000212,-0.000267,-0.000175,-0.030247,0.298313,0.067637,0.002198,0.043231,0.007834,1,16,4.454545,4,9.255682,4.241818,0.228893,0.045394,0.008757,0.004129,0.000732,-0.000773,-0.000008,0.000001,0,-0,0.00536,0.143476,0.018888,0.000066,0.01231,0.000822,0,16,4.299611,4,4.960664,4.398258,0.385333,0.201834,0.156439,0.007244,0.003507,0.000973,-0.000032,0,0,-0,0,-0.00471,0.04748,0.002237,0.000013,0.002073,0.000092,0,16,4.194879,4,4.939708,'class 1'
1,4.011405,1.076838,0.295803,0.051682,0.108725,0.152701,-0.90817,0.268085,20.108162,1.424323,1.109833,0.638114,0.052216,0.144169,0.100067,1,4,2.857143,4,2.142857,4.333969,0.322565,0.033995,0.023133,0.009808,-0.003668,0.000193,0.00002,-0.00066,-0.000099,-0.02067,0.30237,0.068483,0.002271,0.043714,0.009029,1,9,4.030303,4,4.030303,4.337443,0.326038,0.003474,0.012351,0.009043,0.000221,-0.000522,-0.000006,0,0,-0,-0.003087,0.139093,0.017735,0.0001,0.011847,0.000896,0,16,4.284047,4,5.165096,4.416779,0.405374,0.082809,0.079336,0.007364,0.003273,0.001698,-0.000017,-0,-0,-0,0,-0.005788,0.045906,0.002097,0.000012,0.001977,0.000084,0,16,4.272641,4,5.10732,'class 1'
4,4.150877,0.804367,0.410026,0.174222,-0.084725,-0.066353,0.070216,11.424447,-21.811102,1.040171,0.946529,0.499095,0.059731,0.142092,0.100844,1,4,3,4,2,4.44726,0.296384,0.056522,0.044262,0.013289,-0.001731,0.000247,0.000485,-0.000304,-0.00004,0.00103,0.281956,0.06189,0.002825,0.042225,0.010794,1,10,4.212121,4,5.172348,4.424211,0.273335,-0.023049,0.020159,0.009378,0.000097,-0.000185,-0.000002,-0,0,-0,-0.010877,0.129182,0.015399,0.000188,0.010976,0.001102,0,16,4.470817,4,5.773559,4.43339,0.282514,-0.01387,0.009179,0.007459,0.003043,0.002333,-0,-0,-0,-0,0,-0.006749,0.044204,0.001951,0.000011,0.001876,0.000077,0,16,4.379801,4,5.096195,'class 1'
1,4.026862,0.712559,0.102109,0.00392,0.051805,0.438057,-0.712036,-3.7201,-6.257649,0.614369,0.50064,0.233323,0.062272,0.120278,0.081732,0,6,3.571429,4,4.952381,3.996521,-0.030341,0.058074,0.048356,0.039782,-0.01038,0.000877,0.00022,-0.001244,0.000062,-0.066648,0.253867,0.051305,0.002167,0.035722,0.006446,0,8,4.030303,4,4.155303,4.06777,0.040908,0.071249,0.008762,0.005456,0.001524,-0.001142,-0.000011,0.000001,0,-0,0.015742,0.134569,0.01691,0.000043,0.011597,0.000761,0,16,3.964981,4,4.79955,4.353435,0.326573,0.356914,0.285665,0.007009,0.004117,0.000576,-0.000046,0,0,0,-0,-0.002316,0.048796,0.002357,0.000017,0.002157,0.000116,0,16,4.027027,4,4.588928,'class 1'
6,4.685895,0.879891,0.505074,0.417278,0.038929,-0.246481,-0.834075,-3.660391,-0.274668,-0.792095,1.037334,0.432182,0.154191,0.132314,0.090811,1,8,5.571429,6,6.952381,4.20669,-0.479205,0.0885,0.048261,0.000268,-0.010659,-0.001421,0.000116,-0.000335,0.000009,-0.13703,0.277677,0.059091,0.003837,0.038541,0.006688,0,16,4.454545,4,8.943182,4.159837,-0.526058,-0.046853,0.006549,0.002072,0.000638,-0.001148,-0.000014,0.000001,0,-0,0.007983,0.13901,0.017839,0.000037,0.011862,0.000748,0,16,4.101167,4,5.0366,4.372984,-0.312911,0.166295,0.213147,0.007146,0.003929,0.000229,-0.000036,0,0,-0,0,-0.003446,0.047701,0.002256,0.000016,0.002086,0.000107,0,16,4.111901,4,4.768307,'class 1'
8,5.314122,1.090107,0.614936,0.087377,0.003313,-0.366873,0.061209,8.702329,16.704771,-1.79242,1.371072,0.667833,0.159011,0.141171,0.097659,1,16,6.285714,6,23.571428,4.399215,-0.914907,0.104974,0.051718,0.034645,-0.008142,-0.003654,-0.000154,0.000783,0.000005,-0.191337,0.272695,0.058564,0.004562,0.03987,0.007392,1,16,5,4,10,4.254356,-1.059766,-0.144859,0.006939,0.006937,0.000397,-0.001004,-0.000015,0.000001,0,-0,-0.000398,0.138087,0.017522,0.000053,0.0117,0.000794,0,16,4.280156,4,5.225893,4.392093,-0.922029,-0.007122,0.137737,0.007274,0.003739,0.001012,-0.000023,-0,0,-0,0,-0.004548,0.046306,0.002132,0.000014,0.002,0.000099,0,16,4.206259,4,4.862086,'class 1'
4,5.435687,0.744203,0.332566,0.130167,0.044895,0.175464,0.306695,-2.389922,-25.010715,-1.206936,1.50621,0.745999,0.132838,0.144296,0.101135,1,9,5.571429,6,7.619048,4.542581,-0.893106,0.112371,0.065196,0.019854,-0.004232,-0.004139,-0.000268,0.001108,-0.000022,-0.197422,0.248441,0.052321,0.003696,0.039486,0.008649,1,16,5.848485,5,9.945076,4.344759,-1.090928,-0.197822,0.014761,0.007622,0.00137,-0.000718,-0.000014,0,0,-0,-0.008509,0.131357,0.015901,0.000096,0.011107,0.000908,0,16,4.350194,4,5.087822,4.410011,-1.025675,-0.132569,0.065253,0.007384,0.003551,0.00174,-0.000007,-0,-0,-0,0,-0.005573,0.044682,0.001992,0.000013,0.001904,0.000091,0,16,4.256994,4,4.933923,'class 1'
4,5.216206,1.031057,0.309638,0.041581,-0.08616,0.106978,0.137969,-8.463473,13.91323,-0.679837,1.175393,0.546581,0.142475,0.140819,0.101029,4,10,5.571429,5,4.619048,4.628368,-0.587838,0.11771,0.035828,0.000842,-0.00014,-0.002524,-0.000056,0.000622,-0.000213,-0.152696,0.219189,0.043334,0.003252,0.037475,0.010509,1,12,5.515152,6,6.445076,4.423892,-0.792314,-0.204476,0.021867,0.008497,0.001944,-0.000328,-0.000011,-0,0,0,-0.015314,0.1196,0.013318,0.000197,0.010155,0.001144,0,16,4.521401,4,5.391142,4.425999,-0.790207,-0.202369,0.002107,0.007466,0.00337,0.002381,0.000009,-0,-0,-0,0,-0.006477,0.042951,0.001848,0.000012,0.001804,0.000084,0,16,4.36937,4,5.066063,'class 1'
6,4.855642,0.83033,0.706772,0.187029,-0.091643,-0.178907,0.503848,5.271159,-14.232003,0.063472,0.587383,0.265146,0.124663,0.132286,0.097888,1,9,4.428571,4,7.619048,4.672597,-0.183045,0.109345,0.013977,0.002254,0.004385,0.000045,0.000036,-0.000215,-0.000092,-0.097621,0.186883,0.03293,0.004279,0.034201,0.01296,1,12,4.878788,4,6.984848,4.485982,-0.36966,-0.186615,0.027133,0.009506,0.002303,0.000106,-0.000007,-0.000001,-0,0,-0.01993,0.105226,0.010437,0.00037,0.008978,0.001515,0,16,4.622568,4,5.587458,4.439287,-0.416355,-0.23331,-0.046695,0.007515,0.003203,0.002909,0.000026,-0,-0,-0,0,-0.007221,0.041262,0.001712,0.000012,0.001709,0.000079,0,16,4.459934,4,5.08912,'class 1'
5,4.261431,0.594128,0.298134,0.007416,-0.040732,0.330907,-0.336456,-1.409535,-0.657831,0.30341,0.628335,0.254158,0.082076,0.120364,0.082721,1,6,3.714286,4,2.571429,4.079616,-0.181815,0.067343,0.055293,0.017929,-0.010763,0.000074,0.000745,-0.000841,-0.000589,-0.104707,0.253907,0.050213,0.002841,0.034505,0.00614,0,16,4.575758,4,8.126894,4.087711,-0.17372,0.008095,0.006811,0.004351,0.001461,-0.001285,-0.000012,0.000001,0,-0,0.012624,0.133781,0.016652,0.000036,0.011416,0.000722,0,16,4.07393,4,5.107794,4.352715,0.091284,0.273099,0.265004,0.007073,0.004155,0.000523,-0.000037,-0,0,0,-0,-0.002395,0.047912,0.002276,0.000017,0.002101,0.000117,0,16,4.014225,4,4.588982,'class 1'
3,5.097217,0.90194,0.503084,0.222016,-0.053316,0.016388,-0.147697,-6.752468,25.49118,-1.183008,1.051937,0.371216,0.234899,0.131118,0.091069,2,16,6,5,21.666666,4.307511,-0.789705,0.110685,0.061351,0.024774,-0.011145,-0.002894,0.000521,0.00027,-0.000417,-0.196809,0.252352,0.051403,0.005261,0.036287,0.006348,0,16,5.181818,5,9.340909,4.178802,-0.918415,-0.128709,0.005139,0.002286,0.001496,-0.001298,-0.000017,0.000001,0,-0,0.004349,0.136018,0.017068,0.000031,0.01151,0.000716,0,16,4.287938,4,5.463643,4.371508,-0.725709,0.063996,0.192706,0.007205,0.004003,0.000276,-0.000027,-0,0,0,-0,-0.003479,0.046712,0.002168,0.000016,0.002026,0.000109,0,16,4.117591,4,4.686356,'class 1'
16,6.039757,1.784532,0.877325,0.754011,-0.032862,-0.687843,0.50696,15.933568,-31.56101,-3.415868,0.687792,0.550713,0.239572,0.138908,0.096759,2,16,7.142857,7,21.809525,4.510464,-1.529293,0.144778,0.068394,0.055027,-0.008942,-0.00536,0.000005,0.00152,0.000009,-0.268199,0.212059,0.043103,0.007287,0.036631,0.007017,1,16,6.121212,6,9.422348,4.270384,-1.769373,-0.24008,0.009085,0.005843,0.00095,-0.001144,-0.000019,0.000001,0,-0,-0.004192,0.132779,0.016247,0.000046,0.011192,0.000779,0,16,4.322957,4,5.453885,4.389842,-1.649915,-0.120622,0.119458,0.007325,0.003853,0.001054,-0.000014,-0,0,0,0,-0.004526,0.045228,0.002039,0.000015,0.001937,0.000102,0,16,4.228544,4,4.763682,'class 1'
7,6.282222,2.036702,0.994868,0.472837,0.137554,-0.216021,-0.259506,-8.836386,19.911699,-3.504406,0.345339,0.62896,0.197872,0.141189,0.099029,4,16,8.857142,8,13.476191,4.650425,-1.631797,0.153529,0.078752,0.042538,-0.004811,-0.005445,-0.000482,0.00172,0.000395,-0.274819,0.158799,0.031846,0.007201,0.035464,0.00826,1,16,6.121212,6,10.172348,4.355815,-1.926407,-0.29461,0.01646,0.006863,0.002442,-0.000834,-0.00002,0.000001,0,-0,-0.012039,0.123914,0.014247,0.000093,0.010477,0.000928,0,16,4.428016,4,5.183275,4.406966,-1.875256,-0.243459,0.051151,0.007423,0.003711,0.001779,0.000001,-0,0,0,0,-0.005492,0.043539,0.001897,0.000014,0.001839,0.000095,0,16,4.296823,4,4.81508,'class 1'
10,5.763931,1.496114,0.362185,0.277808,0.062149,-0.136203,0.24819,-0.549495,-0.888785,-2.136107,0.925606,0.457718,0.214505,0.137108,0.098037,3,12,6.857143,6,10.142858,4.717762,-1.046169,0.13307,0.056538,0.024716,0.000272,-0.002781,-0.000592,0.000497,0.000238,-0.214324,0.133713,0.023748,0.005274,0.033007,0.010134,1,16,5.848485,5,9.820076,4.427983,-1.335948,-0.289779,0.022846,0.00815,0.003404,-0.000411,-0.000017,0,0,0,-0.0181,0.110546,0.011502,0.000198,0.009453,0.001184,0,16,4.638132,4,5.239634,4.422146,-1.341785,-0.295616,-0.005837,0.007492,0.00358,0.002419,0.000018,-0,-0,0,0,-0.00633,0.041767,0.001753,0.000013,0.00174,0.00009,0,16,4.368895,4,4.91888,'class 1'
3,4.948184,0.743945,0.480153,0.008541,0.034393,0.255445,0.461105,2.829951,-17.973484,0.255251,0.764269,0.230389,0.150732,0.12838,0.094466,2,10,4.857143,4,6.809524,4.732187,-0.215997,0.09492,0.032859,0.011113,0.006037,0.000791,-0.000504,-0.001165,0.000014,-0.138892,0.132368,0.018951,0.004257,0.0297,0.012612,1,12,4.848485,5,5.257576,4.48147,-0.466714,-0.250717,0.027204,0.009629,0.003954,0.000061,-0.000013,-0.000001,0,0,-0.021529,0.095498,0.008698,0.000373,0.00826,0.001552,0,16,4.688716,4,5.496474,4.434629,-0.513555,-0.297558,-0.046841,0.007525,0.003466,0.002947,0.000034,-0,-0,-0,0,-0.007007,0.040064,0.00162,0.000012,0.001645,0.000085,0,16,4.432907,4,4.929676,'class 1'
6,4.436817,0.672833,0.365434,0.279106,-0.066991,-0.386897,0.058791,8.905342,6.992713,-0.586506,0.316915,0.177408,0.105315,0.117729,0.081471,2,6,4.857143,5,2.142857,4.098718,-0.338099,0.077269,0.046948,0.026581,-0.008063,-0.001601,0.000567,0.000631,-0.000342,-0.097637,0.23132,0.044653,0.002968,0.03365,0.00605,1,8,3.909091,4,4.897727,4.111105,-0.325712,0.012387,0.006008,0.004235,0.001086,-0.001344,-0.000012,0.000001,0,-0,0.011329,0.133055,0.016444,0.00004,0.011327,0.000691,0,16,4.128405,4,5.018604,4.356212,-0.080606,0.257494,0.245107,0.00716,0.004069,0.000463,-0.000028,-0,0,0,-0,-0.002628,0.047218,0.002214,0.000016,0.002059,0.000113,0,16,4.042674,4,4.601593,'class 1'
6,4.803967,1.08497,0.662916,0.147072,-0.115278,-0.074938,0.772066,4.034968,-23.957666,-0.569125,0.778178,0.302247,0.212093,0.126456,0.088844,1,8,4.571429,6,6.619048,4.30551,-0.498457,0.102661,0.049561,0.006223,-0.009196,-0.002768,0.000641,0.000664,-0.000392,-0.158445,0.229765,0.044123,0.0047,0.034497,0.006229,1,16,5.060606,5,8.871212,4.200732,-0.603235,-0.104777,0.005048,0.003953,0.001656,-0.001351,-0.000017,0.000001,0,-0,0.00275,0.13327,0.016396,0.000035,0.011258,0.000693,0,16,4.338521,4,5.381049,4.374085,-0.429882,0.068576,0.173353,0.007285,0.003949,0.000323,-0.000018,-0,0,0,-0,-0.003659,0.045903,0.002097,0.000015,0.001979,0.000106,0,16,4.1266,4,4.697912,'class 1'
2,5.262164,0.895949,0.293302,0.15328,-0.069398,0.16835,-0.11329,-15.848748,24.55971,-1.035971,1.350147,0.541125,0.170212,0.132752,0.093503,1,16,6.428571,6,26.952381,4.490125,-0.772039,0.10949,0.048976,0.043711,-0.008653,-0.003095,0.000381,0.000553,-0.000281,-0.202177,0.200862,0.035823,0.005966,0.033997,0.006825,1,16,5.30303,5,10.342803,4.28934,-0.972824,-0.200785,0.010727,0.005878,0.001048,-0.001188,-0.00002,0.000001,0,-0,-0.005897,0.128031,0.015157,0.000047,0.010795,0.000776,0,16,4.416342,4,5.408013,4.391483,-0.870681,-0.098642,0.102143,0.007394,0.003838,0.00109,-0.000005,-0,0,0,0,-0.004646,0.044328,0.001963,0.000015,0.001886,0.0001,0,16,4.245614,4,4.739455,'class 1'
8,5.400837,0.934044,0.400357,0.077998,0.04568,-0.28728,0.096397,8.577676,-18.451094,-1.256404,1.464545,0.620411,0.157717,0.134327,0.094953,2,8,5.428571,6,6.619048,4.621267,-0.77957,0.101356,0.062354,0.032868,-0.006153,-0.002279,-0.000178,0.000399,0.000164,-0.196578,0.158936,0.024766,0.00594,0.032182,0.007994,1,16,5.545455,5,11.630682,4.37029,-1.030547,-0.250977,0.017604,0.007047,0.003055,-0.000866,-0.000022,0.000001,0,-0,-0.013612,0.117407,0.012875,0.000088,0.009972,0.000952,0,16,4.51751,4,5.422544,4.40766,-0.993177,-0.213607,0.03737,0.007479,0.00374,0.001806,0.000009,-0,0,0,0,-0.005545,0.042572,0.001818,0.000014,0.001787,0.000095,0,16,4.32954,4,4.876646,'class 1'
6,5.03989,0.834243,0.454452,0.00422,0.088389,0.027875,0.051989,6.577446,-5.79532,-0.384011,1.273218,0.479444,0.151013,0.130452,0.093638,1,10,5.285714,5,9.904762,4.691614,-0.348277,0.095951,0.034552,0.016399,-0.001976,-0.000455,-0.000615,-0.000137,0.000527,-0.146902,0.127096,0.016261,0.004916,0.029359,0.00982,1,12,4.848485,4,8.132576,4.436548,-0.603342,-0.255065,0.023317,0.008507,0.004451,-0.000427,-0.00002,0,0,0,-0.019261,0.102786,0.010043,0.000194,0.008889,0.001226,0,16,4.680934,4,5.554049,4.421889,-0.618001,-0.269724,-0.014659,0.007533,0.003658,0.002439,0.000025,-0,-0,0,0,-0.006314,0.04076,0.001674,0.000013,0.001687,0.000091,0,16,4.384068,4,4.914092,'class 1'
5,4.610578,1.134853,0.392951,0.052517,0.102983,0.337081,-0.887918,-8.72963,26.878864,0.79442,0.533164,0.264466,0.097398,0.122971,0.090354,3,6,4.285714,4,1.238095,4.714923,0.104346,0.076171,0.027297,0.003297,0.003549,0.00126,-0.000585,-0.000757,0.000303,-0.100171,0.112478,0.012467,0.003522,0.026017,0.012265,1,12,4.787879,4,6.172348,4.482977,-0.127601,-0.231946,0.026897,0.010166,0.005274,0.00006,-0.000016,-0,0,0,-0.022004,0.087334,0.007347,0.000371,0.00769,0.001593,0,16,4.770428,5,5.357247,4.433444,-0.177134,-0.28148,-0.049533,0.007552,0.003594,0.002962,0.000041,-0,-0,0,0,-0.006919,0.039049,0.001543,0.000013,0.001593,0.000088,0,16,4.449028,4,4.934426,'class 1'
5,4.316356,0.727484,0.316674,0.204485,-0.013017,-0.41856,0.275394,1.918489,6.333566,-0.615295,0.364796,0.116253,0.081671,0.113632,0.078183,1,8,4.714286,5,7.571429,4.057184,-0.259172,0.060908,0.037946,0.023841,-0.003607,-0.002192,-0.000151,0.001393,0.000373,-0.046803,0.205141,0.038668,0.002026,0.033438,0.006129,1,9,4.121212,4,5.922348,4.138568,-0.177788,0.081384,0.006799,0.005034,0.000256,-0.001332,-0.00001,0,-0,-0,0.011576,0.13274,0.016343,0.000054,0.011328,0.000667,0,16,4.042801,4,4.955192,4.363757,0.0474,0.306572,0.225188,0.007263,0.003858,0.000404,-0.00002,-0,0,0,-0,-0.003002,0.046709,0.002169,0.000015,0.002032,0.000104,0,16,4.0844,4,4.710141,'class 1'
1,4.057954,0.757093,0.328955,0.020119,0.074646,0.249154,-1.177337,-2.55019,5.989676,1.106168,0.724926,0.250377,0.094207,0.119895,0.084421,1,6,3,2,4,4.222131,0.164177,0.056817,0.024944,0.019446,-0.005022,-0.000746,0.000282,0.000063,0.000231,-0.051319,0.215414,0.039679,0.002495,0.033493,0.0063,1,9,4.30303,4,5.842803,4.226475,0.168521,0.004344,0.006345,0.005682,0.002133,-0.001323,-0.000015,0.000001,-0,-0,0.002796,0.13118,0.015895,0.00005,0.011104,0.000682,0,16,4.29572,4,5.341896,4.380612,0.322658,0.158481,0.154137,0.007379,0.003765,0.000362,-0.00001,-0,0,0,-0,-0.003976,0.045288,0.002044,0.000014,0.001946,0.000099,0,16,4.183499,4,4.799804,'class 1'
