@relation segment

@attribute original numeric
@attribute Bilateral_5.0_50.0 numeric
@attribute Bilateral_5.0_100.0 numeric
@attribute Bilateral_10.0_50.0 numeric
@attribute Bilateral_10.0_100.0 numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Derivatives_2_2_1.0 numeric
@attribute Derivatives_3_3_1.0 numeric
@attribute Derivatives_4_4_1.0 numeric
@attribute Derivatives_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Entropy_1_32 numeric
@attribute Entropy_1_64 numeric
@attribute Entropy_1_128 numeric
@attribute Entropy_1_256 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Derivatives_2_2_2.0 numeric
@attribute Derivatives_3_3_2.0 numeric
@attribute Derivatives_4_4_2.0 numeric
@attribute Derivatives_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Entropy_2_32 numeric
@attribute Entropy_2_64 numeric
@attribute Entropy_2_128 numeric
@attribute Entropy_2_256 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Median_4.0 numeric
@attribute Derivatives_2_2_4.0 numeric
@attribute Derivatives_3_3_4.0 numeric
@attribute Derivatives_4_4_4.0 numeric
@attribute Derivatives_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Entropy_4_32 numeric
@attribute Entropy_4_64 numeric
@attribute Entropy_4_128 numeric
@attribute Entropy_4_256 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Variance_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Median_8.0 numeric
@attribute Derivatives_2_2_8.0 numeric
@attribute Derivatives_3_3_8.0 numeric
@attribute Derivatives_4_4_8.0 numeric
@attribute Derivatives_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Entropy_8_32 numeric
@attribute Entropy_8_64 numeric
@attribute Entropy_8_128 numeric
@attribute Entropy_8_256 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Variance_16.0 numeric
@attribute Mean_16.0 numeric
@attribute Minimum_16.0 numeric
@attribute Maximum_16.0 numeric
@attribute Median_16.0 numeric
@attribute Derivatives_2_2_16.0 numeric
@attribute Derivatives_3_3_16.0 numeric
@attribute Derivatives_4_4_16.0 numeric
@attribute Derivatives_5_5_16.0 numeric
@attribute Laplacian_16.0 numeric
@attribute Structure_largest_16.0_1.0 numeric
@attribute Structure_smallest_16.0_1.0 numeric
@attribute Structure_largest_16.0_3.0 numeric
@attribute Structure_smallest_16.0_3.0 numeric
@attribute Entropy_16_32 numeric
@attribute Entropy_16_64 numeric
@attribute Entropy_16_128 numeric
@attribute Entropy_16_256 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute Neighbors_1_0 numeric
@attribute Neighbors_1_1 numeric
@attribute Neighbors_1_2 numeric
@attribute Neighbors_1_3 numeric
@attribute Neighbors_1_4 numeric
@attribute Neighbors_1_5 numeric
@attribute Neighbors_1_6 numeric
@attribute Neighbors_1_7 numeric
@attribute Neighbors_2_0 numeric
@attribute Neighbors_2_1 numeric
@attribute Neighbors_2_2 numeric
@attribute Neighbors_2_3 numeric
@attribute Neighbors_2_4 numeric
@attribute Neighbors_2_5 numeric
@attribute Neighbors_2_6 numeric
@attribute Neighbors_2_7 numeric
@attribute Neighbors_4_0 numeric
@attribute Neighbors_4_1 numeric
@attribute Neighbors_4_2 numeric
@attribute Neighbors_4_3 numeric
@attribute Neighbors_4_4 numeric
@attribute Neighbors_4_5 numeric
@attribute Neighbors_4_6 numeric
@attribute Neighbors_4_7 numeric
@attribute Neighbors_8_0 numeric
@attribute Neighbors_8_1 numeric
@attribute Neighbors_8_2 numeric
@attribute Neighbors_8_3 numeric
@attribute Neighbors_8_4 numeric
@attribute Neighbors_8_5 numeric
@attribute Neighbors_8_6 numeric
@attribute Neighbors_8_7 numeric
@attribute Neighbors_16_0 numeric
@attribute Neighbors_16_1 numeric
@attribute Neighbors_16_2 numeric
@attribute Neighbors_16_3 numeric
@attribute Neighbors_16_4 numeric
@attribute Neighbors_16_5 numeric
@attribute Neighbors_16_6 numeric
@attribute Neighbors_16_7 numeric
@attribute class {Yes,No}

@data
224,125,126,120,112,188,200,212,222,227,189.021744,248.078949,248.078949,273.408112,1042.826904,960,-134144,1333.866455,-373.866486,-0.2793,1343855001600,1458176,229.607788,238.930328,846.421753,682.151611,-173468.671875,1102.392212,-420.240662,-0.306344,539414036480,1159205.5,1163.061768,257.777771,208,320,272,-17.373339,14.637988,-73.970657,267.342896,6.151124,345.677002,69.912964,652.943542,440.132629,0,0,0.918296,2.419382,252.789795,69.450333,537.994202,-638.335999,32638.324219,52.933842,-691.269836,-0.530629,112837206016,276919.5625,-23.182007,1794.902466,263.619049,208,368,272,0.503131,-0.305285,-0.240443,-0.051197,-16.687408,248.485626,58.891853,217.246353,145.014404,0,0,0.918296,3.023037,247.014679,97.5541,810.536011,-1142.998413,323937.5,-498.371033,-644.62738,-0.442557,13973038080,10695.462891,-17.406891,5.775116,4805.614258,224,64,368,224,0.073886,0.00274,0.001928,-0.000011,-2.756755,19.717066,1.075982,14.193033,2.693185,0,1.378783,3.111197,4.011276,200.113632,68.122574,268.784668,-372.331512,33103.757813,-130.417557,-241.913956,0.172652,861690240,6215.722168,29.494156,52.676163,46.901047,5209.413086,166.985916,48,384,160,-0.000206,-0.000018,-0.000001,-0,-0.034948,0.174057,0.007595,0.161702,0.057524,0,1.984695,3.404649,4.030186,178.054993,5.513009,9.990266,-6.192719,-54.951637,8.264897,-14.457616,-0.523987,9900.233398,258.156311,51.552795,74.734802,68.959686,22.05864,5712.401367,180.889435,48,432,176,0.000019,-0,0,-0,-0.072285,0.333772,0.000073,0.389291,0.000539,0,1.924694,3.423972,4.128846,192.631561,208,181.777771,1926.315674,10.451635,188.631592,272,288,240,320,208,272,224,272,176,320,208,256,288,272,272,240,80,128,96,128,320,128,176,256,80,112,256,272,128,432,96,80,144,256,176,112,96,96,128,320,Yes
208,119,124,113,107,177,196,215,230,236,189.021744,248.078949,248.078949,208.614471,1155.550049,1152,-77824,1481.09668,-329.09668,0.321751,2174327193600,1638400,215.572372,176.776337,1027.098999,983.769226,-102145.632813,1321.45813,-337.688934,0.311525,1332067565568,1376384.5,1125.135742,259.555542,208,304,272,-15.969617,15.385695,-37.992981,-80.912994,16.548183,108.106987,65.941986,576.542542,453.241821,0,0,0.918296,2.419382,248.653229,46.067375,419.068939,54.26593,-98053.859375,471.632813,-417.366882,0.254349,1163664384,395160.25,-33.080856,1181.895752,262.095245,208,320,272,-0.025735,0.145603,-0.519863,0.279549,-15.597919,152.626175,57.038254,213.6548,145.452484,0,0,0.970951,2.815202,251.95282,60.056572,691.362915,-974.27002,235236.234375,-422.88089,-551.38916,0.32271,7837738496,8257.186523,-36.380447,-3.299591,3773.734619,237.192978,80,384,240,0.095217,-0.001215,0.001913,0.000044,-3.377822,16.199846,1.153579,15.087372,2.654739,0,0.918296,2.827747,3.842808,204.665085,54.962563,312.350647,-439.9935,47919.316406,-189.036957,-250.956543,-0.343446,371123648,1917.017578,10.907288,43.988144,47.287735,5278.997559,165.558685,64,384,144,-0.000114,-0.000038,0,-0,-0.027377,0.132656,0.007783,0.133211,0.057101,0,1.961028,3.38788,4.012628,177.745102,4.6179,11.722433,-7.369141,-78.008438,9.849424,-17.218565,-0.551114,19893.705078,366.338013,37.827271,70.908127,74.207718,26.919983,5750.413574,181.823608,48,432,176,0.000014,-0,0,-0,-0.07044,0.310042,0.000078,0.363639,0.000575,0,1.931414,3.427817,4.142046,191.529816,202.666672,182.315796,1915.298218,7.221929,190.50293,288,240,304,224,288,224,272,288,208,256,208,320,240,208,208,208,112,176,144,128,176,160,272,272,96,160,192,160,160,176,112,144,224,208,80,144,80,80,288,320,Yes
288,150,141,149,134,216,230,244,255,255,241.342102,241.342102,248.078949,113.137085,1148.773315,-1504,377856,-139.385925,-1364.614014,0.748429,1697851113472,750592,283.710968,105.839172,1056.245117,-1372.106567,297596.3125,-97.711922,-1274.394653,0.74298,1303360176128,692291.125,853.333313,266.666656,208,304,272,7.958,0.041985,42.761848,35.257027,-19.73877,180.057861,49.56662,503.906647,476.635925,0,0,0,2.19716,267.097107,54.548992,683.434998,-862.626648,91869.226563,2.6497,-865.276367,0.737565,280272961536,376647.8125,16.613861,1202.793701,250.666672,208,320,240,0.007416,0.384628,-0.210124,0.262457,-14.730966,149.682816,50.731121,204.521088,147.758408,0,0,0.863121,2.715209,251.434479,73.046082,673.791931,-947.716858,219729.1875,-375.750122,-571.966736,0.857472,17290145792,19250.474609,32.276489,15.662628,2974.296143,242.807022,128,384,240,0.10135,-0.005173,0.001546,0.000107,-3.552231,12.258295,1.730114,15.539791,2.759102,0,0,2.765138,3.809087,205.712311,47.03059,317.122345,-442.920197,46804.707031,-154.529266,-288.39093,-0.619539,1757654272,8959.473633,77.998657,61.384796,45.722168,5473.826172,166.985916,64,384,144,0.000002,-0.000057,0.000001,-0,-0.020763,0.096793,0.007608,0.109042,0.054225,0,1.969726,3.385159,4.011286,177.442657,3.639374,13.191503,-8.060364,-102.417793,11.375022,-19.435387,-0.558142,30837.146484,474.640625,106.268311,89.654449,73.991821,28.269653,5851.841797,182.221115,48,432,176,0.000009,-0,-0,-0,-0.068648,0.28744,0.000084,0.339137,0.00061,0,1.940709,3.427301,4.149085,192.00235,212,176,1920.023438,12.182948,190.105255,240,304,272,208,240,272,288,288,320,208,160,224,320,272,240,384,80,128,128,256,128,192,208,176,96,128,208,112,144,240,112,112,288,128,144,144,96,80,208,256,Yes
272,144,135,143,129,207,212,217,222,227,241.342102,241.342102,248.078949,357.770874,2336.876465,-3264,2554880,-1166.072998,-2097.927002,1.038947,4625579114496,434176,273.082947,303.509064,2213.92627,-3096.331055,2312589.5,-1137.733276,-1958.597778,1.064359,3230039015424,336909.28125,2262.913574,268.444458,208,368,272,4.927209,12.300194,-34.646278,-89.786697,-42.353123,585.924683,273.640259,646.081604,459.328796,0,0,0.918296,2.419382,267.818512,81.109421,1545.524048,-2166.727539,1151314.875,-871.882507,-1294.844971,1.369473,419935191040,89448.625,5.264435,3644.371826,240.761902,128,368,240,0.949532,-0.074826,0.080688,0.218171,-14.616312,315.248901,52.478008,194.615189,150.696426,0,0,2.321928,3.363287,236.588562,147.669785,774.136841,-1093.943604,298683.125,-515.506958,-578.436646,-0.175544,2369576192,1980.071167,36.494385,31.22995,5143.638184,213.89473,64,368,208,0.075916,0.001917,0.001781,-0.000026,-2.206201,13.239139,1.371981,11.647884,2.784637,0,1.921928,3.325365,4.074398,197.188309,65.927254,221.152481,-281.993835,15304.766602,-45.337479,-236.656357,0.011861,1455341440,18301.457031,75.894638,70.630203,39.400253,5774.069824,175.023468,48,384,160,0.000036,-0.000011,-0,-0,-0.056672,0.226528,0.007808,0.190563,0.057345,0,2.028778,3.437291,4.100332,179.041473,5.8218,10.180561,-8.610931,-32.897663,5.836989,-14.447921,-0.49872,15255.148438,205.738785,94.041473,88.777039,57.547089,18.146835,5747.150391,179.736649,48,432,176,0.000023,-0,0,-0,-0.070865,0.283338,0.000075,0.335206,0.000549,0,1.923971,3.42242,4.123542,191.492401,215.555557,168.421051,1914.92395,14.858016,189.35672,256,320,224,368,224,272,208,272,80,272,240,208,272,176,144,336,144,192,256,112,288,160,192,288,304,128,112,288,96,368,112,80,144,288,208,80,112,160,80,240,Yes
224,124,126,120,113,186,196,206,216,226,236.289474,236.289474,241.342102,113.137085,1574.191895,1664,-200704,2168.359131,-504.359222,0.538427,9889699069952,3571712,229.425552,104.314178,1335.234131,1351.989502,-260571.4375,1873.943359,-521.953796,0.546793,5246298357760,2870161.5,1422.222168,245.333328,208,320,224,-24.377575,18.566118,-125.025024,101.049934,14.282023,180.969452,118.964363,577.998962,463.413422,0,0,0.970951,1.891061,248.440414,42.606022,388.85321,-120.29776,-130990.765625,458.712677,-579.010437,0.651955,7791984128,538434.625,-19.014862,2599.473877,263.619049,144,368,272,0.115537,0.197929,-0.446714,0.429602,-14.748663,169.812057,54.301086,193.213608,155.325256,0,0,1.459148,3.100917,249.120331,78.858429,673.45459,-948.910522,221788.453125,-392.977295,-555.933228,0.807033,11955308544,13277.31543,-19.694778,-0.679916,3833.14502,236.631577,80,384,240,0.112951,-0.000056,0.0022,0.000057,-3.213157,10.661265,1.459892,13.105371,2.687201,0,1,2.941524,3.9117,204.580383,50.31641,295.49646,-410.656921,40604.339844,-149.553223,-261.103699,-0.136007,1049231040,6221.753906,24.845169,43.860031,44.539948,5789.338867,168.638504,48,384,144,0.000081,-0.000033,0,-0,-0.045714,0.194214,0.007987,0.169868,0.056428,0,2.036534,3.434396,4.072541,178.614288,5.194285,11.858841,-9.68869,-53.530205,7.565157,-17.253847,-0.543187,28911.384766,307.991516,50.811264,69.826126,70.506042,25.966095,5669.306641,181.127945,48,432,176,0.000018,-0,0,-0,-0.068968,0.262568,0.000082,0.312544,0.000587,0,1.928926,3.42578,4.13243,189.543869,205.89473,177.263153,1895.438721,9.759666,187.42691,320,224,208,272,272,208,272,208,240,288,304,368,288,176,336,304,96,192,160,176,240,128,224,336,224,128,256,176,96,256,96,112,160,320,224,112,112,128,144,240,Yes
272,144,139,142,129,210,227,244,255,255,236.289474,236.289474,241.342102,160,988.768921,1312,350208,1056.319824,255.68013,-1.158108,551711408128,320512,265.95578,139.970337,876.167664,1182.162842,304132.125,891.897278,290.265564,-1.18968,252921659392,180980.34375,973.432129,247.111115,208,288,240,-10.429562,-28.533667,78.933578,-123.964302,14.795252,69.95208,44.636684,519.48584,465.202423,0,0,1,2.281036,251.065781,52.91153,287.877472,379.766144,25512.40625,335.094482,44.671677,0.713066,6082244608,42172.699219,14.889999,1744.979614,265.142853,208,336,272,-0.351231,0.116341,-0.513105,0.03295,-13.833515,71.386467,52.677078,193.493713,155.088745,0,0,0.918296,2.891852,254.842987,29.929512,571.300964,-796.575745,149618.25,-264.012085,-532.56366,0.839039,22881236992,36059.96875,11.112793,-3.777206,2893.769043,245.052628,128,384,240,0.134246,-0.001882,0.002244,0.000147,-3.854685,7.695586,1.36135,14.323636,2.717542,0,0,2.617423,3.738728,209.063873,26.450867,345.35553,-485.875671,58152.207031,-201.306549,-284.569122,-0.431518,818314176,3466.328857,56.891907,42.001907,45.779114,5260.365723,163.830978,64,384,144,0.000138,-0.000053,0.000001,-0,-0.034936,0.161397,0.007745,0.150104,0.053187,0,2.035723,3.419474,4.039148,178.172653,4.54253,13.285938,-10.260712,-78.21254,9.328765,-19.589478,-0.563067,44021.894531,418.132355,87.783127,72.893127,76.670334,30.89122,5807.827148,181.863358,48,432,176,0.000013,-0,0,-0,-0.067091,0.242886,0.000088,0.290943,0.000627,0,1.94233,3.432196,4.138784,191.953217,218.526321,181.052628,1919.532104,11.206654,188.935669,224,208,288,224,288,272,208,240,272,240,272,272,288,144,336,256,80,224,96,208,176,80,288,240,96,80,272,224,144,304,80,96,208,288,112,112,128,96,176,208,Yes
288,150,142,149,134,214,226,238,250,255,236.289474,236.289474,236.289474,143.108353,520.676453,96,-198656,681.971619,-585.971619,-1.089299,7408189440,803840,285.153992,125.014511,462.513824,51.199295,-154664.609375,582.950439,-531.75116,-1.111741,1628602880,621279.8125,1144.098755,248.888885,208,288,240,3.902598,-7.584894,-11.951543,10.667016,-7.00957,91.052757,30.037186,495.376801,452.067139,0,0,0,1.891061,264.697479,56.887554,294.835144,-298.921204,490.247803,59.576344,-358.497559,-1.44072,7808894464,87392.890625,20.456512,2027.102051,267.428558,208,384,272,-0.154659,-0.049965,-0.138329,-0.325854,-13.920208,79.900536,38.545429,191.199829,155.171219,0,0,0.970951,3.141619,255.994644,26.183325,607.733337,-838.923462,162732.640625,-256.885529,-582.037964,1.085992,37203914752,52862.046875,29.159348,8.702835,2982.333008,247.017548,128,384,240,0.13737,-0.00387,0.00201,0.000201,-4.007013,6.048832,2.183089,15.268974,2.830932,0,0,2.512565,3.69954,209.697372,17.195477,352.181183,-494.224121,59418.34375,-189.735611,-304.488525,-0.58237,1608219136,6584.114258,75.456619,55.000107,46.297272,5377.518066,163.755875,64,384,144,0.000199,-0.00007,0.000002,-0,-0.024563,0.131185,0.007171,0.132143,0.048194,0,1.978189,3.380122,4.002799,177.715729,3.989254,14.307964,-10.126038,-104.1493,11.048062,-21.174099,-0.564798,53230.238281,519.13385,107.438263,86.98175,78.278915,31.981644,5813.111328,181.624847,48,432,176,0.000008,-0,-0,-0,-0.065265,0.224211,0.000094,0.270382,0.000666,0,1.939233,3.428951,4.143462,191.022202,212.210526,178.947372,1910.222046,11.775473,187.438599,208,288,240,272,288,208,240,208,288,304,240,224,240,336,304,240,64,224,160,368,224,224,176,128,96,96,192,112,112,320,80,128,240,256,112,144,128,80,176,288,Yes
288,149,140,149,134,209,216,223,230,237,141.973679,234.239136,234.239136,93.295227,1231.480469,-1280,-25600,292.952301,-1572.952271,1.229638,2852126720000,1740800,281.595917,76.225876,1204.376831,-1295.80957,47880.796875,214.533478,-1510.343018,1.250513,2497861648384,1487599.5,2503.111084,277.333344,208,384,288,6.496796,17.628954,124.095276,22.909967,-19.887812,322.226593,34.488445,517.702698,414.830017,0,0,0,2.113283,268.056549,20.381088,1061.978516,-1306.340332,278393.9375,-108.675331,-1197.665039,1.373352,1011882786816,592949.25,13.539368,2376.562256,256.761902,176,384,240,0.36597,-0.016109,0.192867,-0.24044,-13.951632,173.515915,35.447739,187.650787,154.789917,0,0,0.970951,2.915196,250.235962,94.199348,693.522705,-943.658508,202726.125,-272.346375,-671.312134,1.33628,70871400448,79586.84375,31.359955,17.820587,3608.741211,235.508774,96,384,240,0.12346,-0.006189,0.001591,0.000188,-3.651121,7.326678,3.290021,15.919041,2.971951,0,1,2.947142,3.8614,206.37146,39.513943,316.093994,-435.917297,43442.34375,-127.807358,-308.109924,-0.549428,3088745216,16254.509766,75.224457,61.685089,43.864502,5621.312988,167.586853,64,384,160,0.000255,-0.000083,0.000003,-0,-0.014915,0.106098,0.006457,0.116232,0.042566,0,1.99313,3.401228,4.032797,177.251602,3.67952,14.860771,-9.242126,-126.918983,12.59946,-21.841587,-0.552706,50660.152344,593.092834,104.344315,90.804947,72.98436,29.119858,5894.671875,180.949066,48,432,176,0.000003,-0,-0,-0,-0.063513,0.206518,0.0001,0.250835,0.000703,0,1.956567,3.430966,4.148954,191.111115,217.263153,174.736847,1911.111084,15.931658,182.900589,288,240,320,288,240,240,208,384,240,272,208,272,176,336,256,144,192,256,144,272,96,192,288,80,112,112,208,112,144,240,96,80,224,144,96,176,128,80,160,224,Yes
208,114,115,112,106,174,181,188,195,202,125.131577,236.289474,236.289474,336.380737,1516.543457,-256,-2200576,1977.6875,-2233.6875,0.70989,581162762240,8867840,213.195877,313.531982,1364.569336,-371.688721,-1731541,1693.559326,-2065.248047,0.723539,975953002496,7064316.5,4652.24707,252.444443,144,368,272,-6.467737,62.282715,-10.887438,503.094177,-3.78826,717.579468,159.099747,585.290833,483.223206,0,0,2,2.641604,238.142609,210.538361,864.799438,-898.917847,-135500.34375,372.141541,-1271.059326,0.85413,1090916057088,1350054.625,-24.946732,3883.537354,237.714279,144,368,224,0.666788,0.460217,-0.222621,0.484479,-11.320869,332.055511,33.131741,175.414413,155.988998,0,0,2.459148,3.272804,229.5504,169.752182,573.831909,-808.661377,161667.09375,-344.061066,-464.600311,1.061638,4750731776,7264.857422,-16.354523,8.592209,5010.004395,212.491226,80,368,208,0.095541,-0.003658,0.001682,-0.000022,-2.182618,7.903248,1.646549,10.514025,2.636542,0,1.891061,3.304446,4.073457,197.888657,60.725887,200.497971,-258.757599,12421.716797,-36.457783,-222.29982,-0.364152,1156229760,17268.630859,15.30722,40.253952,31.661743,5951.496582,175.549301,48,384,160,0.000313,-0.000023,0.000001,-0,-0.068838,0.243475,0.007967,0.198975,0.055433,0,2.058045,3.462232,4.124197,179.572067,5.544292,11.558295,-11.377594,-24.349495,4.961265,-16.33886,-0.544708,29365.34375,226.847626,33.62381,58.570541,49.978333,18.316589,5640.007813,179.27951,48,432,176,0.000022,-0,0,-0,-0.067535,0.220126,0.000085,0.266551,0.000599,0,1.934176,3.421986,4.118467,191.873688,217.777771,166.315796,1918.736816,18.240337,190.959061,368,272,224,272,272,176,144,336,128,320,208,160,208,160,192,272,96,208,208,112,208,160,192,208,272,64,160,112,128,208,112,128,144,256,160,128,176,224,96,288,Yes
272,144,137,143,129,213,226,234,239,244,211.282608,211.282608,211.282608,249.927994,1581.573853,-288,-2413568,2062.492188,-2350.492188,0.734033,807643643904,9737216,267.737061,215.32312,1447.895874,-302.921936,-2007459.75,1863.681885,-2166.60376,0.735541,745251930112,8121601,3514.469238,252.444443,144,336,272,7.322193,17.588614,87.349701,-139.480087,-7.683997,365.511902,79.888458,535.064453,477.354584,0,0,1.5,2.19716,253.60408,97.601166,799.579834,-497.985779,-452426.4375,765.32843,-1263.314209,0.764372,510287577088,2057695.5,14.13298,3452.807373,252.952377,144,368,272,0.172555,0.48887,-0.220092,0.475419,-12.619531,204.808655,34.244534,173.88179,163.191147,0,0,2.19716,3.32734,244.535156,111.561157,577.100464,-795.88916,142815.9375,-221.626984,-574.262207,0.898449,39384604672,62175.792969,23.201904,9.068924,3698.565674,235.508774,80,384,240,0.131232,-0.003625,0.002134,0.000113,-3.167998,5.409566,2.154054,12.172634,2.615281,0,0,2.856458,3.869618,204.930695,45.083534,280.344086,-389.075317,35557.433594,-126.899391,-262.175934,-0.512708,1385103744,9149.870117,62.806366,48.673386,39.604462,5943.145508,170.291077,48,384,160,0.00033,-0.000044,0.000002,-0,-0.055079,0.223822,0.007698,0.188272,0.051894,0,2.070491,3.456384,4.104061,179.028152,5.235578,12.862653,-11.885101,-46.223717,6.827542,-18.712643,-0.57767,46070.597656,326.150513,88.708908,74.575928,65.507004,25.902542,5640.349609,180.134155,48,432,176,0.000016,-0,0,-0,-0.065623,0.203063,0.000092,0.247622,0.000642,0,1.93225,3.424344,4.131408,193.071365,216.421051,177.684204,1930.713623,14.644025,187.333344,272,224,272,208,208,144,336,336,256,224,288,272,240,192,176,208,96,320,160,144,384,144,144,160,224,80,208,128,128,240,64,112,208,256,128,128,240,144,80,304,Yes
