@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
9,2.828427,106.188515,-148,5216,-51.196491,-96.803505,-1.044971,22780160,1040,8.609117,2.643356,99.56768,-139.33728,4683.130859,-51.197666,-88.139618,-1.022958,13247817,682.353882,6.880038,3.414733,65.584518,-92.645973,2140.223389,-42.977589,-49.668385,-0.272235,192122.71875,22.383377,1.729079,5.46042,2.646604,24.72123,-34.486053,287.947632,-12.913059,-21.572994,0.256209,44595.015625,37.497242,3.148697,1.419618,4.549605,0.551935,2.028202,-2.585735,1.266772,-0.393163,-2.192573,-0.157567,10.824268,1.618939,4.059511,2.330432,0.910814,4.532368,0.395352,0.237439,0.289259,0.013614,0.265492,0.023767,-0.047615,0.002444,0.029215,4.076749,2.34767,0.928052,0.017238,4.766374,5.473684,4.342105,47.663742,0.366267,4.703947,'class 1'
7,14.142136,59.899918,-72,700,-1.474647,-70.525352,-1.265433,12358656,2384,6.80129,12.704683,55.392807,-66.072029,564.368713,-0.570351,-65.501678,-1.270398,9202670,2108.038574,5.815685,7.823601,33.510502,-39.42823,186.895126,0.373254,-39.801483,-1.288282,1254557.75,807.004761,0.985605,5.108181,3.844285,13.662604,-18.252222,72.834091,-4.554063,-13.698159,-1.429858,13927.816406,41.807243,1.693109,0.707504,4.509339,0.693278,2.034382,-2.858467,2.014952,-1.193622,-1.664845,1.427511,0.90717,0.111025,2.291951,1.306346,0.598842,4.485209,0.382995,0.270489,0.361316,0.028357,0.273185,0.08813,-0.203625,0.002235,0.017123,2.316081,1.330476,0.622972,0.02413,4.445175,5,3.972222,44.451752,0.323284,4.460526,'class 1'
3,10,52.86776,74,1328,46.055386,27.944614,0.448028,898064,164,3.276221,9.743601,46.261814,65.088821,1044.984619,37.864914,27.223906,0.369797,239854.828125,56.61554,4.524896,7.874641,15.541791,20.091377,62.341843,18.829084,1.262293,-0.871841,62283.679688,154.296066,-1.248675,4.934907,3.76281,6.428483,-8.019968,7.154405,0.215076,-8.235044,-0.867737,2296.365967,35.702271,-1.658686,-0.410011,4.514488,0.682541,2.238328,-3.148677,2.451403,-1.341366,-1.807311,-1.462854,1.076207,0.108552,-1.238267,0.010408,0.420419,4.490775,0.383983,0.290849,0.394953,0.035519,0.280875,0.114077,-0.162918,0.00217,0.013911,-1.214554,0.034121,0.444132,0.023713,4.316667,4.777778,3.75,43.166668,0.290009,4.324562,'class 1'
2,9.055386,55.533775,56,-696,82.405884,-26.405882,-0.707097,18565120,5920,2.426349,8.05676,50.147812,50.207096,-605.577087,74.818039,-24.610943,-0.723799,12460233,4943.061035,4.039263,4.506042,25.448858,22.362967,-258.284271,38.869381,-16.506414,-0.882526,766776.5,1533.23938,-1.612914,4.478722,3.221792,8.024294,3.035594,-35.410664,10.202769,-7.167175,-1.220866,1390.126221,150.857483,-2.052373,-0.439459,4.416467,0.787951,1.5752,-1.671461,0.151213,0.210436,-1.881897,1.502663,6.115388,2.188928,-1.990118,-0.377203,0.062255,4.444549,0.364669,0.304715,0.422065,0.041905,0.283557,0.138508,-0.423821,0.001874,0.01052,-2.018199,-0.405285,0.034173,-0.028082,4.268129,4.638889,3.75,42.68129,0.292365,4.302631,'class 1'
4,7.211102,44.676617,60,704,49.798988,10.20101,-0.785398,2822400,784,3.993508,5.988386,41.28249,55.115517,574.051514,46.812817,8.302702,-0.782792,2252513.25,741.514404,3.922267,0.294511,25.124908,32.330177,152.697739,30.903633,1.426543,-0.793495,454104.09375,434.449432,0.071241,4.362221,2.540366,6.430963,6.472955,-7.288443,9.196885,-2.72393,-0.983458,2977.056396,71.052917,-0.368713,-0.439954,4.392323,0.822365,1.046594,-1.255569,0.229035,-0.053192,-1.202376,-1.379435,1.040949,0.660311,-0.398815,-0.470056,-0.030102,4.454497,0.367497,0.32043,0.447694,0.048461,0.281222,0.166472,-0.395238,0.00132,0.006584,-0.46099,-0.532231,-0.092277,-0.062174,4.249415,4.631579,3.777778,42.494152,0.247846,4.236842,'class 1'
5,7.615773,9.797959,0,-80,12.649111,-12.649111,1.017222,0,320,4.809463,6.54577,9.050312,3.113532,-59.855026,12.71728,-9.603749,1.039837,2414.932617,249.114182,4.197513,1.574628,10.34169,13.667147,39.288349,10.683085,2.984061,1.357939,5536.012207,29.637484,0.61195,4.311285,1.983301,4.069579,4.297767,-2.681095,5.969563,-1.671796,-0.815983,539.25824,29.195177,0.498178,-0.113772,4.350066,0.810764,0.528928,-0.348166,-0.173858,0.464921,-0.813087,-0.648192,0.098994,0.816652,0.459397,-0.152553,-0.038781,4.468449,0.374266,0.328646,0.461976,0.052499,0.272364,0.189612,-0.384914,0.000731,0.003424,0.341014,-0.270936,-0.157164,-0.118383,4.284649,4.861111,3.916667,42.846493,0.295678,4.355263,'class 1'
6,3.162278,25.514702,-18,-344,20.15476,-38.154758,0.586137,550800,1700,5.688302,2.627115,22.170464,-15.102489,-278.28598,18.344982,-33.447472,0.604115,305914.5,1341.229126,4.490963,1.374227,7.286196,-3.496322,-43.90062,7.94273,-11.439052,0.775121,2296.043945,187.826736,1.19734,4.312304,1.724131,2.408047,-1.034656,-4.686715,2.630479,-3.665134,-0.659174,21.214735,19.817369,1.375998,0.178659,4.305661,0.712128,1.22689,0.762815,-0.709279,1.688887,-0.926072,-0.432534,1.98947,3.419004,1.382641,0.185301,0.006642,4.486407,0.384245,0.327912,0.462852,0.053262,0.255751,0.207101,-0.449227,0.000254,0.001183,1.201895,0.004555,-0.174104,-0.180746,4.424562,5.083333,3.921053,44.245613,0.370281,4.391082,'class 1'
4,5.09902,41.605289,42,-8,50.966648,-8.966648,-1.402459,3168144,1796,4.042033,4.616299,35.999489,35.725807,-37.220932,44.557632,-8.831826,-1.369275,1819052.125,1425.217163,4.353948,2.673827,11.289596,6.546379,-75.026245,16.368227,-9.821849,-1.039398,14697.580078,342.960052,-0.311915,4.518583,1.60303,6.52266,-3.888221,-28.031303,6.032213,-9.920434,-0.62468,1923.699951,127.243469,-0.47655,-0.164635,4.385491,0.682796,1.194642,0.016843,-0.78527,1.26169,-1.244847,-0.220968,0.000891,3.141364,-0.343458,-0.031543,0.133092,4.531851,0.4073,0.306168,0.428163,0.044778,0.259973,0.16819,-0.08306,0.000772,0.004212,-0.489818,-0.177903,-0.013268,-0.14636,4.426023,5.388889,3.666667,44.260235,0.4793,4.391082,'class 1'
5,3.162278,23.579653,-24,-88,9.540659,-33.540661,-0.987844,534528,928,4.927366,2.768465,22.687155,-23.576912,-69.41993,8.626617,-32.203529,-0.974399,463346.34375,833.550476,4.750679,1.006005,17.858074,-21.225767,20.053528,2.99445,-24.220217,-0.839115,166841.03125,370.319061,0.176687,4.455561,1.124894,8.236609,-7.647308,-18.871094,4.360651,-12.007959,-0.584759,7834.491699,133.965698,0.471805,0.295117,4.342947,0.550148,1.747089,1.464478,-0.560505,2.213239,-0.74876,-0.228416,9.408184,4.386719,0.584419,0.407732,0.112615,4.553567,0.419354,0.29219,0.411555,0.041991,0.232354,0.179201,-0.121031,0.000239,0.001413,0.373798,0.197111,-0.098006,-0.210621,4.481725,5.555555,3.694444,44.817249,0.534183,4.447369,'class 1'
5,9.055386,39.93745,-34,-584,24.785164,-58.785164,-0.576286,4036752,3492,5.032228,7.927648,36.852547,-30.636539,-542.394409,24.103649,-54.740189,-0.590901,2917325.75,3108.175293,4.924976,2.872172,21.838011,-14.409407,-303.849365,19.469521,-33.878929,-0.67414,295464.8125,1423.028442,0.107253,4.682229,1.729766,9.731057,-7.94647,-35.642509,6.168669,-14.115139,-0.5369,12990.25,205.716431,0.349999,0.242747,4.449718,0.586197,1.307048,-0.167665,-0.874529,1.24399,-1.411656,0.14156,0.099128,3.526228,0.58251,0.475258,0.232511,4.580212,0.425867,0.279728,0.379198,0.032771,0.269303,0.109895,0.00649,0.001827,0.012705,0.452016,0.344764,0.102017,-0.130494,4.46886,4.777778,4.027778,44.688595,0.310378,4.605263,'class 1'
