@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {spots,'no spots'}

@data
5,3.632414,1.173075,0.895982,0.575392,-0.209731,-0.093317,-0.080289,-3.39111,-16.159086,-1.493665,1.643756,1.174751,0.487963,0.2404,0.233925,1,8,4.571429,5,4.952381,2.609743,-1.022671,0.190323,0.171734,0.01221,-0.019745,-0.002959,0.00196,0.000383,-0.001112,-0.374266,0.394061,0.087946,0.020943,0.026774,0.019241,0,9,3.606061,3,7.433712,1.900985,-1.731429,-0.708758,0.018773,0.010163,0.007096,-0.000225,-0.000037,0.000001,0,-0,-0.036032,0.088853,0.007697,0.000148,0.006007,0.000306,0,25,2.677043,2,7.617948,1.892059,-1.740356,-0.717684,-0.008926,0.001251,0.000953,0.000496,0.000013,-0,-0,0,-0,0.000793,0.028094,0.00075,0.000001,0.00054,0.000014,0,25,1.787688,2,2.700779,spots
7,4.585251,1.607347,1.167796,0.379353,0.148209,-0.249119,-1.028105,7.397153,30.979797,-2.39579,2.079357,1.555301,0.882355,0.279127,0.261307,0,8,5,5,8.666667,2.826566,-1.758685,0.249821,0.210433,0.083665,-0.005067,-0.004894,0.000185,0.00084,0.00009,-0.543918,0.368195,0.079863,0.031949,0.028889,0.020084,0,15,4.757576,4,12.876894,1.906903,-2.678349,-0.919664,0.01924,0.0142,0.008015,-0.000147,-0.000043,0,0,-0,-0.041456,0.088399,0.007671,0.000175,0.006047,0.000325,0,25,2.750973,2,7.726806,1.887688,-2.697563,-0.938878,-0.019215,0.001219,0.000758,0.000613,0.000004,-0,0,0,-0,0.001074,0.028797,0.000789,0.000001,0.000569,0.000014,0,25,1.771207,2,2.599423,spots
8,4.953891,1.895949,1.522551,0.12241,-0.299717,-0.390506,0.032682,0.565723,26.894848,-3.54091,1.705719,1.070851,0.937927,0.271029,0.259192,3,9,6.857143,7,4.809524,2.856441,-2.09745,0.25361,0.229934,0.089837,-0.01499,-0.005631,0.001934,0.001168,-0.001408,-0.573381,0.33605,0.069212,0.032138,0.028551,0.020008,0,15,5.090909,4,10.522727,1.920503,-3.033388,-0.935937,0.018937,0.013562,0.007955,-0.000185,-0.000044,0.000001,0,-0,-0.040454,0.088957,0.007794,0.000171,0.006182,0.000323,0,25,2.821012,2,7.530338,1.897087,-3.056803,-0.959353,-0.023416,0.0011,0.000877,0.000506,0.000006,-0,0,0,-0,0.000729,0.028734,0.000785,0.000001,0.000566,0.000013,0,25,1.784295,2,2.671683,spots
7,3.988581,1.28801,1.03464,0.318039,-0.363747,-0.265442,0.803485,-0.97912,-51.482803,-2.004611,1.679114,1.022739,0.50993,0.243739,0.235364,1,9,5,6,10.666667,2.679359,-1.309222,0.207856,0.190606,0.026388,-0.018935,-0.003316,0.002056,0.00052,-0.001199,-0.42485,0.362211,0.075366,0.023726,0.026976,0.018506,0,12,4,3,8.6875,1.926042,-2.06254,-0.753318,0.018105,0.012277,0.005624,-0.00021,-0.000039,0.000001,0,-0,-0.036007,0.089601,0.007902,0.000149,0.006291,0.000303,0,25,2.649806,2,7.658135,1.907013,-2.081568,-0.772346,-0.019028,0.000993,0.00098,0.000372,0.000008,-0,0,0,-0,0.000359,0.028587,0.000777,0.000001,0.00056,0.000012,0,25,1.79205,2,2.709888,spots
5,4.669502,1.817531,1.077616,0.460843,-0.013718,0.608752,0.583083,-11.949946,-47.036915,-2.434304,2.309017,1.880064,0.936574,0.289733,0.267402,0,15,6.142857,5,24.142857,2.8529,-1.816602,0.25078,0.207406,0.102935,-0.005331,-0.003254,0.000519,-0.000304,-0.000048,-0.561121,0.378074,0.086626,0.031143,0.029831,0.019559,0,25,5.212121,4,24.672348,1.910838,-2.758665,-0.942062,0.01842,0.014905,0.00834,-0.000137,-0.000042,0,0,-0,-0.041666,0.089891,0.007928,0.000168,0.006221,0.000317,0,25,2.77821,2,7.720149,1.893427,-2.776075,-0.959472,-0.01741,0.001073,0.0007,0.000649,-0.000003,-0,0,0,-0,0.001022,0.029336,0.000819,0.000001,0.000591,0.000013,0,25,1.776539,2,2.61105,spots
9,5.01235,1.825866,1.761638,0.017472,-0.031582,-0.202189,0.202424,2.711169,-0.018353,-3.604977,1.929618,1.466301,0.909653,0.280891,0.266152,3,12,7.142857,8,10.476191,2.882493,-2.129857,0.252758,0.240947,0.094786,-0.002559,-0.005158,0.000297,0.000628,-0.000159,-0.588491,0.337794,0.072758,0.029275,0.029367,0.019538,0,15,4.878788,4,13.547348,1.926194,-3.086155,-0.956298,0.01808,0.014943,0.007728,-0.000113,-0.000044,0,0,-0,-0.040752,0.089933,0.007979,0.00017,0.00634,0.000318,0,25,2.77821,2,7.743586,1.903156,-3.109194,-0.979337,-0.023038,0.000948,0.000815,0.000527,-0.000001,-0,0,0,-0,0.00066,0.029267,0.000815,0.000001,0.000588,0.000012,0,25,1.775085,2,2.626401,spots
9,4.094158,1.535463,1.326786,0.549682,0.024098,-0.693449,-0.441579,9.204501,30.97316,-2.312567,1.568222,1.026183,0.682584,0.251592,0.242985,2,9,5.571429,5,7.952381,2.704166,-1.389992,0.22335,0.191518,0.022669,0.000325,-0.004282,-0.000243,0.000929,0.000101,-0.437537,0.356576,0.073063,0.025775,0.027549,0.018121,0,12,3.787879,3,8.547348,1.933564,-2.160594,-0.770602,0.017386,0.013959,0.005045,-0.000094,-0.000039,-0,0,0,-0.03639,0.090118,0.008019,0.000153,0.006433,0.000301,0,25,2.696498,2,7.727839,1.913409,-2.180748,-0.790756,-0.020155,0.000927,0.000823,0.000378,0.000001,-0,0,0,0,0.000274,0.029112,0.000807,0.000001,0.000582,0.000011,0,25,1.784779,2,2.695656,spots
4,3.525591,1.025634,1.011439,0.487979,0.307642,0.254218,-0.002253,-3.24172,-27.655418,-0.502174,2.110635,1.721114,0.600975,0.268478,0.251534,0,9,3.714286,4,8.571428,2.669175,-0.856417,0.198106,0.170853,0.031482,0.010594,-0.001941,-0.001547,-0.000574,0.001217,-0.40044,0.418265,0.099409,0.021453,0.028998,0.018021,0,15,3.727273,3,14.454545,1.917591,-1.608,-0.751583,0.016962,0.013318,0.006371,-0.000037,-0.000037,-0,0,0,-0.036651,0.092086,0.008282,0.000142,0.006479,0.000295,0,25,2.708171,2,7.879347,1.910101,-1.61549,-0.759073,-0.00749,0.000802,0.000774,0.000561,-0.000007,-0,0,0,0,0.000588,0.029682,0.000839,0.000001,0.000605,0.000011,0,25,1.777508,2,2.616332,spots
1,2.377927,1.051984,0.284422,0.108432,-0.088118,0.313205,-0.064234,-2.272917,35.684631,0.659129,1.111541,0.988234,0.215671,0.220358,0.212531,0,6,2,1,4,2.353806,-0.024121,0.144613,0.112493,0.085045,-0.005997,0.001198,0.000136,-0.001289,-0.000207,-0.172062,0.401555,0.095684,0.013514,0.019719,0.019211,0,8,2.454545,2,3.755682,1.908172,-0.469755,-0.445634,0.016085,0.009046,0.004392,-0.000096,-0.000028,0,0,-0,-0.029523,0.07468,0.005519,0.000118,0.004975,0.000298,0,25,2.509728,2,7.469632,1.896703,-0.481224,-0.457103,-0.011469,0.002061,0.001425,0.000427,0.000017,-0,-0,0,-0,-0.000209,0.027002,0.000695,0.000002,0.000505,0.000017,0,25,1.825901,2,2.61277,spots
2,2.393525,0.920282,0.440556,0.085718,-0.026883,-0.030647,-0.955531,3.925684,3.486533,0.394008,1.191157,1.004022,0.197609,0.217166,0.209013,0,6,2.285714,2,4.238095,2.360662,-0.032862,0.126528,0.112608,0.070667,-0.013016,0.000936,0.000199,-0.001098,0.000661,-0.168469,0.406262,0.095962,0.011703,0.019584,0.018971,0,9,2.181818,2,4.465909,1.920968,-0.472557,-0.439694,0.016354,0.00662,0.005748,-0.000118,-0.000028,0.000001,0,-0,-0.028721,0.075527,0.005663,0.000119,0.0051,0.000295,0,25,2.51751,2,7.391294,1.90467,-0.488855,-0.455993,-0.016299,0.00219,0.001328,0.000355,0.000021,-0,-0,0,-0,-0.000508,0.026807,0.000686,0.000002,0.0005,0.000016,0,25,1.853416,2,2.66621,spots
