@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {spots,'not spots'}

@data
2,4.115532,0.986146,0.858566,0.40269,-0.298208,0.291032,-0.784285,-2.877619,-2.181447,-0.275109,1.467957,1.102888,0.396618,0.299054,0.245297,1,6,3.714286,4,2.904762,3.605007,-0.510525,0.143355,0.13466,0.061445,-0.026203,-0.001392,0.002224,-0.000057,-0.000904,-0.21657,0.452131,0.128713,0.014697,0.02946,0.020504,1,16,4.454545,4,11.318182,3.085527,-1.030005,-0.51948,0.021783,0.008972,0.00563,-0.000343,-0.000026,0.000001,0,-0,-0.036385,0.101354,0.009824,0.000333,0.008747,0.001075,0,19,3.583658,3,8.814263,3.089715,-1.025817,-0.515292,0.004189,0.004083,0.003254,0.000991,-0.000014,-0,0,0,-0,0.000162,0.051775,0.002617,0.000011,0.002172,0.000084,0,20,2.990043,3,4.155973,spots
5,5.885145,1.920012,1.353455,0.432707,-0.137181,-0.155895,-0.262186,-4.242767,25.28533,-2.84076,2.181775,1.450278,1.003828,0.366529,0.301945,4,16,7.571429,6,19.619047,4.053124,-1.832021,0.23726,0.227869,0.031421,-0.011191,-0.004292,0.001194,0.000965,-0.00058,-0.496551,0.453226,0.122715,0.029752,0.030811,0.025883,1,18,5.969697,5,18.842804,3.139141,-2.746005,-0.913984,0.023648,0.014228,0.010422,-0.000166,-0.000045,0,0,-0,-0.048298,0.099543,0.009695,0.000363,0.008974,0.001065,0,19,3.85214,3,9.978052,3.088491,-2.796654,-0.964633,-0.050649,0.004142,0.003136,0.000754,-0.00001,-0,0,0,0,-0.000252,0.050581,0.002495,0.00001,0.002057,0.000083,0,20,3,3,4.250474,spots
4,5.243206,1.4853,0.976793,0.787891,-0.407044,0.073034,-0.274291,-7.918618,49.752979,-1.674202,2.161062,1.548193,0.732787,0.354544,0.287241,1,11,6,5,16.666666,3.947439,-1.295767,0.209382,0.200012,0.000951,-0.02682,-0.003288,0.002447,0.0008,-0.00109,-0.408442,0.456844,0.123526,0.025601,0.029742,0.024062,1,18,5.575758,4,17.939394,3.148831,-2.094375,-0.798608,0.022222,0.011023,0.010262,-0.000385,-0.000038,0.000001,0,-0,-0.043507,0.098657,0.009524,0.000329,0.008988,0.000997,0,19,3.809339,3,9.787724,3.114248,-2.128958,-0.833191,-0.034583,0.004148,0.003057,0.000443,-0.000011,0,0,0,0,-0.000648,0.051779,0.002615,0.00001,0.002159,0.000078,0,20,3.009483,3,4.169739,spots
1,3.828033,1.515117,0.636445,0.233531,-0.382406,0.316031,1.698706,3.920378,-78.266846,0.645142,1.327109,1.218388,0.27932,0.318565,0.25117,1,6,3,3,3.333333,3.681548,-0.146485,0.162341,0.125139,0.086034,-0.028585,-0.000288,0.001897,-0.000143,-0.000463,-0.201446,0.427301,0.115232,0.017645,0.027164,0.021427,0,11,3.848485,3,8.570076,3.148443,-0.67959,-0.533105,0.019833,0.010038,0.004877,-0.000573,-0.000026,0.000002,0,-0,-0.034748,0.097272,0.00926,0.000269,0.008954,0.000903,0,19,3.836576,3,8.652876,3.142765,-0.685268,-0.538782,-0.005677,0.004151,0.003004,0.000065,-0.000012,0,0,0,-0,-0.001083,0.052857,0.002725,0.000009,0.002252,0.000074,0,20,3.023708,3,4.112341,spots
11,6.633568,2.298395,1.866494,0.066799,-0.124453,-0.337057,0.027548,2.134982,12.802277,-4.09809,2.397079,1.849258,1.326601,0.399265,0.332371,2,18,8.285714,7,29.904762,4.273166,-2.360402,0.273405,0.263865,0.082408,-0.008687,-0.004403,0.000618,0.00131,-0.000242,-0.619678,0.418356,0.103285,0.037926,0.030067,0.028481,1,19,7.121212,6,23.984848,3.187861,-3.445706,-1.085304,0.02241,0.016458,0.01218,-0.000239,-0.000052,0,0,-0,-0.051048,0.095554,0.009178,0.000303,0.009067,0.000932,0,20,4.124514,3,11.109436,3.115262,-3.518306,-1.157904,-0.0726,0.004213,0.002908,0.000229,-0.000008,0,0,0,0,-0.001075,0.050499,0.002485,0.000009,0.002042,0.000075,0,20,3.024182,3,4.172565,spots
11,5.860711,1.965588,1.470567,0.617996,-0.183132,-0.708816,1.559383,14.64914,-62.238811,-2.818159,2.352544,1.851945,1.031259,0.387125,0.315124,2,11,6.714286,5,16.904762,4.147113,-1.713597,0.246986,0.233268,0.030322,-0.016836,-0.003264,0.001287,0.001096,-0.000369,-0.510576,0.43592,0.108271,0.032173,0.028757,0.026431,1,18,5.69697,4,21.280304,3.199402,-2.661308,-0.947711,0.021344,0.014666,0.010323,-0.000381,-0.000044,0.000001,0,-0,-0.046333,0.094152,0.008928,0.000285,0.009066,0.000873,0,20,4.085603,3,11.062956,3.139923,-2.720788,-1.007191,-0.05948,0.004219,0.002835,0.000084,-0.000008,0,0,0,0,-0.001467,0.051474,0.002583,0.000008,0.002125,0.000071,0,20,3.044571,3,4.152661,spots
3,4.041595,1.504024,0.51695,0.409583,-0.083039,0.131345,-0.902184,-6.769146,44.74609,0.577491,1.710225,1.518351,0.409748,0.348051,0.274411,1,11,3.428571,3,12.619047,3.832919,-0.208676,0.173142,0.153208,0.068426,-0.017112,0.000077,0.001093,-0.000068,0.000068,-0.257923,0.439049,0.114182,0.020644,0.025869,0.023966,0,11,4.363636,4,10.051136,3.200101,-0.841494,-0.632818,0.019247,0.012859,0.005239,-0.0005,-0.000029,0.000001,0,-0,-0.037345,0.092904,0.008673,0.000237,0.009019,0.000794,0,19,3.949416,3,9.696651,3.167076,-0.874519,-0.665843,-0.033026,0.004221,0.002799,0.000469,-0.000008,0,0,0,0,-0.001892,0.052304,0.002668,0.000008,0.002198,0.000068,0,20,3.073969,3,4.169099,spots
5,5.171508,1.566339,1.448532,0.721727,0.275887,-0.028636,-0.808421,-3.957537,11.438831,-0.839535,2.222459,1.984482,0.940641,0.38877,0.321801,2,11,5.571429,5,9.619047,4.131313,-1.040195,0.247877,0.199416,0.013039,0.001143,-0.000772,-0.000702,0.000029,0.000768,-0.460331,0.448975,0.111825,0.032889,0.028589,0.025649,1,18,5.242424,4,17.876894,3.235176,-1.936332,-0.896138,0.019631,0.015888,0.008572,-0.000327,-0.000042,-0,0,0,-0.044091,0.089647,0.008282,0.000216,0.009,0.000724,0,20,4.155642,3,11.280369,3.166314,-2.005194,-0.965,-0.068862,0.004301,0.00259,0.000574,-0.000003,0,0,0,0,-0.002285,0.050846,0.00252,0.000007,0.002071,0.000063,0,20,3.088193,3,4.174381,spots
4,5.886123,1.238226,1.026,0.58926,-0.024275,0.582361,-0.531258,-14.745885,-9.075013,-1.674965,2.178325,2.189734,0.794855,0.451474,0.44591,4,12,7.714286,9,10.904762,4.333695,-1.552428,0.306209,0.283103,0.021829,-0.007577,-0.0002,0.000375,-0.00081,0.000042,-0.611142,0.647342,0.247676,0.054241,0.054851,0.046287,0,18,5.909091,5,14.772727,3.125016,-2.761106,-1.208678,0.022893,0.021252,0.013253,-0.000067,-0.000049,0,0,-0,-0.057398,0.107097,0.010718,0.000381,0.008471,0.001153,0,25,4.315175,4,12.701057,3.079473,-2.80665,-1.254222,-0.045544,0.004825,0.00295,0.002507,0.000002,-0,-0,0,-0,0.000633,0.054254,0.002886,0.000011,0.002475,0.000078,0,25,2.94642,3,4.481473,spots
10,5.43205,1.323118,0.793969,0.636681,-0.249896,-0.200651,-0.203745,13.100325,31.807421,-1.480406,1.855751,1.899972,0.710443,0.43878,0.417999,2,10,5.428571,4,9.285714,4.179783,-1.252267,0.276516,0.250735,0.023613,-0.019278,-0.000825,0.00184,0.000484,-0.000834,-0.503638,0.638428,0.242497,0.047691,0.051313,0.046335,0,13,5.606061,5,12.183712,3.101736,-2.330315,-1.078048,0.024119,0.021912,0.010877,-0.000254,-0.000044,0.000001,0,-0,-0.056908,0.10671,0.010576,0.000398,0.008226,0.001206,0,25,4.256809,3,12.504104,3.05186,-2.380191,-1.127924,-0.049876,0.004797,0.00321,0.002629,-0.000008,-0,-0,0,-0,0.001042,0.052465,0.0027,0.000012,0.002324,0.000085,0,25,2.928402,3,4.527604,spots
