@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {spots,'not spots'}

@data
1,2.45226,1.512514,0.789177,0.497904,0.405131,-0.128433,0.322905,1.90745,-4.369597,0.225433,1.659778,2.474912,0.553682,0.825749,0.63724,0,6,2.285714,2,3.571429,2.35083,-0.10143,0.247162,0.236052,0.200115,0.037211,0.00034,-0.002588,0.000712,-0.0005,-0.211225,0.752154,0.38174,0.047525,0.083193,0.067077,0,9,2.545455,2,6.755682,1.554978,-0.897281,-0.795851,0.028209,0.026478,0.010096,0.000456,-0.000039,-0.000001,0,0,-0.064783,0.113176,0.011032,0.000595,0.005536,0.001541,0,51,2.610895,1,23.629255,1.24,-1.21226,-1.11083,-0.314979,0.001362,0.001124,0.000551,0.000022,-0,-0,0,0,-0.003037,0.018365,0.000323,0.000001,0.000239,0.000007,0,51,1.455882,1,5.99473,spots
2,2.62164,1.501021,0.731331,0.522819,-0.009947,-0.267885,-0.021749,-6.430732,13.782242,0.24687,2.028231,2.832162,0.659641,0.829336,0.676698,0,9,2.714286,2,10.571428,2.441796,-0.179843,0.27557,0.224383,0.212497,-0.005585,0.00111,-0.000252,0.000557,0.000031,-0.263684,0.770035,0.388541,0.05516,0.082799,0.070029,0,9,2.606061,1,8.746212,1.570522,-1.051118,-0.871274,0.029463,0.025957,0.011314,-0.000024,-0.000039,0,0,-0,-0.066734,0.111116,0.010648,0.000652,0.005425,0.001617,0,51,2.680934,1,25.304049,1.244306,-1.377334,-1.19749,-0.326216,0.001357,0.001154,0.000673,0.000021,-0,-0,0,0,-0.003184,0.018212,0.000318,0.000001,0.000237,0.000007,0,51,1.452562,1,5.985883,spots
2,2.15073,1.681157,0.585595,0.315805,-0.321775,0.107743,-0.215717,3.579181,-10.701475,0.779756,1.644723,2.451003,0.452742,0.77492,0.644989,0,3,1.285714,1,1.238095,2.273745,0.123015,0.25454,0.236569,0.184081,-0.044185,0.000991,0.002156,-0.0001,0.000544,-0.16611,0.728497,0.365424,0.043987,0.080919,0.064889,0,9,2.242424,1,8.251894,1.559451,-0.591279,-0.714294,0.028974,0.023924,0.009081,-0.000494,-0.000032,0.000002,0,-0,-0.061979,0.110559,0.010484,0.000635,0.005265,0.001603,0,51,2.59144,1,24.711332,1.247667,-0.903064,-1.026079,-0.311785,0.001363,0.001123,0.000761,0.00002,-0,0,0,-0,-0.003247,0.018049,0.000312,0.000001,0.000233,0.000007,0,51,1.464421,1,5.990665,spots
2,2.83197,1.287493,1.09101,0.372944,0.443957,0.465581,-0.398275,-11.287766,-30.404516,-0.176462,1.803701,2.848724,0.590564,0.906804,0.643867,0,8,3.428571,3,7.285714,2.515976,-0.315994,0.256006,0.235957,0.207158,0.052911,-0.000244,-0.00401,0.000236,0.000592,-0.284805,0.805057,0.416642,0.049427,0.087833,0.068259,0,9,2.909091,2,7.272727,1.577574,-1.254396,-0.938401,0.029281,0.02686,0.013763,0.000647,-0.000048,-0.000002,0,0,-0.069904,0.112167,0.010898,0.000639,0.005574,0.00158,0,51,2.793774,1,28.476835,1.243107,-1.588863,-1.272869,-0.334468,0.001491,0.001079,0.000577,0.00002,-0,-0,0,0,-0.003147,0.017936,0.000308,0.000001,0.000229,0.000008,0,51,1.436907,1,6.033512,spots
6,4.090934,1.529371,1.25373,0.996968,0.426679,0.021994,0.981158,-4.002671,0.694461,-1.272608,2.569324,3.983635,1.255248,0.994724,0.746859,1,9,4.857143,6,11.809524,2.942631,-1.148303,0.348456,0.31112,0.101077,0.032253,-0.000287,-0.003665,0.000214,0.001471,-0.558499,0.864755,0.438497,0.078752,0.090309,0.078532,0,12,4,2,13,1.623152,-2.467782,-1.319479,0.030325,0.029754,0.019518,0.000363,-0.000061,-0.000001,0,0,-0.079597,0.106464,0.010016,0.000711,0.005502,0.00171,0,51,3.194552,2,33.493252,1.248644,-2.842289,-1.693987,-0.374508,0.001499,0.001163,0.000728,0.00002,-0,-0,0,0,-0.00339,0.017771,0.000303,0.000001,0.000227,0.000008,0,51,1.453036,1,6.039084,spots
9,4.577856,1.550874,1.420641,1.052225,0.014727,-0.56635,-0.15887,16.480875,43.223248,-1.919289,2.893407,4.321398,1.547181,1.0051,0.786171,2,9,5.571429,6,10.285714,3.074187,-1.503668,0.389948,0.33314,0.070612,-0.005157,-0.000305,-0.000214,-0.000121,0.000877,-0.652476,0.861463,0.426864,0.092552,0.088678,0.082689,0,12,4.363636,2,13.863636,1.640762,-2.937093,-1.433425,0.032177,0.028732,0.021122,0.000026,-0.000063,0,0,-0,-0.082031,0.1028,0.009418,0.000775,0.005365,0.001784,0,51,3.280156,2,33.577457,1.253196,-3.324659,-1.820991,-0.387566,0.001496,0.001215,0.000836,0.00002,-0,-0,0,0,-0.003547,0.017572,0.000296,0.000001,0.000223,0.000009,0,51,1.464896,1,6.02487,spots
3,3.689286,1.51211,1.194651,1.101336,-0.335949,-0.30584,-0.643918,-6.411045,-43.152267,-0.783878,2.619878,4.032746,1.023118,0.940154,0.747216,1,9,4.714286,3,14.238095,2.837566,-0.85172,0.335366,0.291187,0.14033,-0.039085,-0.00049,0.003326,-0.000171,-0.000676,-0.486223,0.846669,0.425467,0.073483,0.087414,0.075945,0,12,3.515152,2,12.945076,1.628643,-2.060643,-1.208923,0.031978,0.026546,0.018066,-0.000309,-0.000055,0.000001,0,-0,-0.07659,0.103311,0.009371,0.000761,0.005193,0.001766,0,51,3.062257,2,29.011734,1.256742,-2.432544,-1.580823,-0.371901,0.001488,0.001226,0.0009,0.00002,-0,0,0,-0,-0.003614,0.017377,0.00029,0.000001,0.000219,0.000009,0,51,1.464896,1,6.01348,spots
1,2.26991,1.744725,0.644946,0.477921,-0.387689,0.185121,0.48541,-1.402805,-0.678228,0.621858,1.645876,2.707576,0.404883,0.817261,0.638738,0,3,1.428571,1,0.952381,2.354627,0.084717,0.242662,0.221974,0.205127,-0.053121,-0.000517,0.00404,0.000054,-0.001358,-0.184439,0.758609,0.382997,0.041061,0.082623,0.06358,0,10,2.454545,1,8.693182,1.590105,-0.679805,-0.764522,0.029679,0.02355,0.011279,-0.00059,-0.000037,0.000002,0,-0,-0.064508,0.105773,0.009611,0.000666,0.004989,0.001654,0,51,2.669261,1,25.026903,1.259258,-1.010652,-1.095369,-0.330847,0.00148,0.001197,0.000915,0.000019,-0,0,0,-0,-0.003593,0.017196,0.000284,0.000001,0.000215,0.000009,0,51,1.472486,1,6.033889,spots
8,3.79852,1.622223,1.246321,0.975462,0.271195,-0.328143,0.338217,5.765152,45.68494,-1.351363,2.128054,3.686235,0.945252,0.992249,0.705022,0,8,4.428571,5,9.619047,2.854004,-0.944516,0.31692,0.305147,0.13755,0.024652,-0.000093,-0.002981,0.000529,0.001225,-0.484517,0.853114,0.435009,0.064972,0.090852,0.073615,0,12,3.757576,3,9.751894,1.619151,-2.179369,-1.234853,0.031174,0.028035,0.01873,0.000342,-0.000058,-0.000001,0,0,-0.07794,0.106739,0.010026,0.000716,0.005456,0.001688,0,51,3.214008,1,34.067303,1.250218,-2.548302,-1.603786,-0.368933,0.001592,0.001098,0.000715,0.000018,-0,-0,0,0,-0.003405,0.017342,0.000288,0.000002,0.000216,0.000009,0,51,1.460626,1,6.028349,spots
7,5.494674,2.107519,1.320804,0.986561,0.354003,0.193354,0.097226,-7.139768,-6.782906,-2.441762,3.006602,4.805715,2.006995,1.09336,0.810412,1,11,6.857143,7,9.142858,3.364899,-2.129775,0.417675,0.399356,0.029336,0.014798,-0.001268,-0.002488,-0.000733,0.00245,-0.846368,0.864222,0.419457,0.100694,0.093346,0.08394,0,12,5.575758,6,14.126894,1.667813,-3.826861,-1.697086,0.031832,0.030688,0.026056,0.000226,-0.000074,-0,0,0,-0.088576,0.098054,0.00881,0.000786,0.005365,0.001809,0,51,3.463035,2,34.273041,1.256003,-4.23867,-2.108896,-0.41181,0.001615,0.001182,0.00086,0.000019,-0,-0,0,0,-0.003657,0.017121,0.000281,0.000002,0.000212,0.00001,0,51,1.466319,1,6.055344,spots
