@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {spots,'not spots'}

@data
6,4.706948,2.768594,1.35183,0.750225,-0.617604,-0.27038,-1.520198,1.924442,61.946526,0.666538,2.74814,13.472995,2.362152,6.201626,5.709866,1,6,4.285714,4,3.571429,4.880878,0.17393,0.75579,0.577015,0.499751,-0.065099,0.006831,0.002395,-0.001836,0.000225,-0.320976,1.910994,2.853747,0.292399,0.799796,0.675466,1,11,4.454545,4,7.568182,3.205978,-1.50097,-1.674901,0.090198,0.085657,0.00817,-0.001065,-0.000042,0.000004,-0,-0,-0.167685,0.395941,0.13243,0.006904,0.054611,0.022601,0,72,5.373541,3,88.859924,2.00895,-2.697999,-2.871929,-1.197028,0.006184,0.005703,0.003786,-0.000037,-0.000001,0,0,-0,-0.015672,0.049416,0.002344,0.000034,0.001764,0.000202,0,90,3.142722,2,49.172695,spots
1,3.653795,1.378976,0.959,0.20255,-0.557403,-0.080275,0.35826,-5.721537,-39.353943,0.217425,1.689817,6.823658,1.115575,4.988368,4.808905,1,9,3.857143,3,8.809524,3.988717,0.334922,0.732788,0.443584,0.348261,-0.077894,-0.00745,0.004337,0.00189,-0.000941,-0.059057,1.502321,2.039366,0.18555,0.707649,0.569245,1,11,3.575758,3,5.939394,2.993437,-0.660357,-0.99528,0.080176,0.074833,0.024831,-0.001357,-0.000051,0.000005,0,-0,-0.130178,0.386305,0.12769,0.005577,0.053648,0.020219,0,72,4.420233,2,71.861778,1.981721,-1.672074,-2.006996,-1.011716,0.006043,0.005542,0.00291,-0.000036,-0,0,0,-0,-0.014494,0.050591,0.002452,0.00003,0.001827,0.000185,0,90,3.023708,2,46.968128,spots
3,5.899542,4.652094,1.505541,0.909492,0.274411,1.649942,-0.327696,-6.780548,22.795031,2.237062,4.648962,20.315399,3.704202,6.985126,6.340011,1,10,3.857143,3,8.142858,5.716375,-0.183167,0.68089,0.674908,0.653765,0.016338,0.021392,0.000256,-0.006477,-0.000072,-0.659747,2.189893,3.394551,0.377308,0.843515,0.733956,1,62,6.909091,5,109.210228,3.379609,-2.519933,-2.336766,0.097353,0.094569,0.005772,0.000777,-0.000037,-0.000001,-0,-0,-0.197694,0.390974,0.128247,0.007926,0.052911,0.024799,0,72,5.976654,3,98.897888,2.03618,-3.863362,-3.680195,-1.343429,0.00643,0.005959,0.004337,-0.000031,-0.000001,-0,0,0,-0.016726,0.047121,0.002136,0.000038,0.00163,0.000225,0,90,3.183974,2,49.19574,spots
4,5.331359,3.201824,1.679746,0.792177,-0.037619,0.072857,0.895004,-0.45285,-25.803228,0.729902,3.484399,14.635524,2.94397,6.181797,5.693443,1,11,5.571429,5,11.952381,5.120581,-0.210779,0.706727,0.62371,0.562642,0.025239,0.006098,0.001343,-0.002955,-0.00243,-0.479625,1.935454,2.834854,0.32371,0.733558,0.688976,0,13,5.060606,4,13.183712,3.233638,-2.097721,-1.886943,0.092022,0.087571,0.006725,0.001214,-0.000054,-0.000002,0,0,-0.172867,0.389584,0.128138,0.007162,0.052754,0.023325,0,72,5.396887,3,87.841866,2.014206,-3.317154,-3.106375,-1.219432,0.0062,0.006061,0.003612,-0.000024,-0.000001,-0,0,0,-0.015873,0.048464,0.002255,0.000035,0.001701,0.000211,0,90,3.10716,2,48.46479,spots
9,4.210007,1.600297,1.471561,0.627291,-0.290454,-1.112038,0.639816,7.600862,8.041761,-0.498555,2.018185,7.571913,1.514296,5.01054,4.751919,1,9,4.571429,4,7.619048,4.178645,-0.031362,0.709928,0.484795,0.397934,0.022228,-0.008337,0.001847,0.00255,-0.002177,-0.172801,1.538426,2.061193,0.208035,0.670319,0.578294,0,12,4,4,8.4375,3.019505,-1.190502,-1.159141,0.081648,0.076464,0.023431,0.001474,-0.000059,-0.000002,0,0,-0.134681,0.38164,0.12449,0.005763,0.052097,0.020751,0,72,4.700389,2,77.257538,1.987431,-2.222576,-2.191214,-1.032073,0.006056,0.005882,0.002764,-0.000018,-0,-0,0,0,-0.014702,0.049599,0.002358,0.000032,0.00176,0.000194,0,90,3.020389,2,46.167042,spots
5,3.123704,0.929849,0.836853,0.422376,-0.194164,-0.502559,0.262906,8.486303,-20.885202,-0.515373,1.099473,2.764855,0.527474,3.821936,3.583905,1,9,3.142857,2,8.476191,3.226105,0.102401,0.608486,0.31837,0.232914,0.013505,-0.013676,0.001194,0.004195,-0.00016,0.057202,1.079696,1.240928,0.10172,0.594058,0.432474,0,9,2.909091,2,4.460227,2.764705,-0.358999,-0.4614,0.068123,0.06313,0.040135,0.001549,-0.000051,-0.000002,0.000001,0,-0.091118,0.360896,0.113712,0.004149,0.050179,0.017348,0,62,3.40856,2,35.453522,1.956699,-1.167005,-1.269406,-0.808006,0.005957,0.005494,0.00182,-0.000012,-0,-0,0,0,-0.013272,0.050328,0.002425,0.000028,0.001796,0.000173,0,90,2.883357,2,42.329842,spots
1,5.308687,3.916921,0.880392,0.757433,0.10819,0.409736,0.606572,-1.735536,-12.759552,2.279096,4.241389,16.287863,2.746977,6.382112,5.834048,1,13,4.285714,3,17.571428,5.345455,0.036768,0.683263,0.625306,0.581391,0.047139,0.009295,0.002341,-0.001943,-0.001489,-0.523434,2.015427,2.991645,0.337212,0.754167,0.719374,1,27,5.242424,3,27.189394,3.314691,-1.993996,-2.030764,0.09518,0.089923,0.001963,0.002033,-0.000045,-0.000003,-0,0,-0.18314,0.384866,0.124526,0.007638,0.050946,0.024688,0,72,5.618677,3,87.963402,2.034486,-3.274201,-3.310969,-1.280205,0.006629,0.005924,0.003961,-0.000024,-0.000001,-0,0,0,-0.016514,0.046564,0.002085,0.000038,0.001585,0.000229,0,90,3.195353,2,49.107929,spots
5,5.023954,2.718606,1.356635,0.904639,0.542107,0.113979,1.19666,2.949786,-23.458364,0.457332,3.279276,11.656923,2.442163,5.714256,5.157396,1,12,4.571429,4,12.285714,4.826907,-0.197047,0.695393,0.583236,0.505861,0.100769,0.001482,-0.00075,-0.001153,-0.001968,-0.393704,1.774265,2.480901,0.285946,0.673619,0.631869,0,16,5,4,15.6875,3.174846,-1.849108,-1.652061,0.089097,0.083959,0.013091,0.003287,-0.000057,-0.000006,0,0,-0.159966,0.381961,0.123563,0.006764,0.050795,0.022945,0,72,5.202334,3,80.404213,2.013182,-3.010772,-2.813725,-1.161664,0.006458,0.005968,0.003259,-0.000011,-0.000001,-0,0,0,-0.015685,0.047735,0.002187,0.000036,0.001647,0.000216,0,90,3.088193,2,47.534912,spots
4,4.164267,1.487676,1.485148,0.698592,0.409573,-0.388705,-0.431475,0.185898,19.166435,-0.701121,1.894863,6.003386,1.385022,4.704947,4.223314,0,9,4.714286,5,9.238095,3.988169,-0.176098,0.678937,0.457598,0.37063,0.10947,-0.005369,-0.002306,0.001005,-0.000678,-0.149291,1.404791,1.789586,0.183651,0.632787,0.519284,0,12,3.878788,3,8.672348,2.969674,-1.194593,-1.018495,0.078687,0.073578,0.028041,0.004055,-0.000057,-0.000008,0,0,-0.124224,0.372316,0.119001,0.005391,0.050133,0.020208,0,62,4.287938,2,57.635517,1.987151,-2.177116,-2.001018,-0.982523,0.00627,0.005833,0.002441,0,-0,-0,0,0,-0.014544,0.048717,0.002274,0.000033,0.001696,0.000199,0,90,2.963016,2,43.359161,spots
2,3.177377,1.000617,0.782126,0.324872,0.130312,-0.13121,-0.764781,-7.889478,30.778307,-0.543364,1.064444,2.229836,0.526457,3.605692,3.169182,2,5,3.714286,4,1.238095,3.128013,-0.049364,0.573109,0.303909,0.231005,0.083626,-0.007386,-0.001715,0.001845,0.000522,0.038196,0.984955,1.072729,0.090429,0.560866,0.391691,0,9,3.333333,3,4.604167,2.725386,-0.451991,-0.402627,0.065543,0.060791,0.04293,0.004293,-0.000046,-0.000007,0,0,-0.083404,0.350502,0.107818,0.003867,0.048225,0.016816,0,62,3.2607,2,32.045052,1.957203,-1.220174,-1.17081,-0.768183,0.006088,0.005525,0.001536,0.00001,-0,-0,0,0,-0.013149,0.049323,0.002329,0.000029,0.001726,0.000179,0,90,2.835467,2,40.795971,spots
