@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
9,8.31452,-1.408943,17,10.142858,11,15.476191,6.299385,-2.015135,-1.162494,19,8.030303,8,27.780304,Spots
11,8.476202,-0.658861,14,8,9,18.666666,6.441615,-2.034587,-1.253645,19,8.545455,9,26.068182,Spots
5,9.177732,-1.070574,17,9.428572,11,25.619047,6.594433,-2.583299,-1.368581,42,9.909091,10,63.772728,Spots
17,11.200492,-4.128168,18,12.428572,14,28.619047,7.22628,-3.974212,-1.715145,42,11.212121,11,65.297348,Spots
14,11.421059,-3.921168,19,13.285714,12,12.904762,7.317824,-4.103235,-1.776161,42,11.484848,10,62.320076,Spots
11,10.166057,-3.022396,19,12.285714,11,20.238094,6.833107,-3.332949,-1.519385,25,10.242424,9,36.626892,Spots
5,4.24559,-0.454813,7,4.428571,5,4.285714,3.810117,-0.435473,-0.261526,14,4.636364,4,11.238636,Spots
14,8.562541,-2.293317,14,8.714286,10,16.238094,6.06435,-2.498191,-1.176654,21,8.636364,7,31.488636,Spots
12,11.305131,-4.069108,20,12.142858,14,52.142857,7.112298,-4.192833,-1.727966,42,12,12,71.4375,Spots
18,13.337972,-6.902357,42,18.285715,17,133.571426,7.743663,-5.594308,-2.085023,42,13.666667,14,70.166664,Spots
12,13.096935,-5.375641,19,14.285714,15,31.904762,7.762886,-5.334049,-2.08579,42,14.090909,15,60.335228,Spots
19,11.360871,-4.507006,19,13.142858,12,33.142857,7.16144,-4.199431,-1.727185,31,11.575758,9,44.251892,Spots
3,4.450289,-0.621414,13,5,3,15.666667,3.852297,-0.597992,-0.307769,13,4.575758,4,10.439394,Spots
