@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
2,3.732457,-0.650809,16,4.428571,2,27.619047,2.900507,-0.83195,-0.452575,16,3.69697,3,12.405303,Spots
5,3.931311,-1.469855,11,4.428571,5,14.285714,2.828432,-1.102879,-0.44471,16,4.030303,2,15.280303,Spots
5,4.872048,-1.445722,16,6.428571,5,20.952381,3.466542,-1.405505,-0.681714,16,4.848485,5,10.070076,Spots
16,5.819328,-3.19947,16,7.142857,6,20.809525,3.707127,-2.112201,-0.819091,16,5.545455,5,15.443182,Spots
6,5.960216,-2.98085,16,7.571429,6,18.952381,3.661158,-2.299058,-0.827542,17,6.30303,5,21.405304,Spots
8,5.084088,-1.99557,12,5.285714,5,14.571428,3.320879,-1.76321,-0.676332,16,5.818182,5,21.21591,Spots
5,3.546081,-0.53569,8,3.714286,5,7.571429,2.770812,-0.775269,-0.420703,13,3.606061,2,11.996212,Spots
6,4.722497,-1.014112,8,5.285714,6,4.238095,3.480658,-1.241839,-0.651681,14,4.666667,5,8.916667,Spots
6,6.095902,-1.479362,9,5.714286,6,3.238095,4.083076,-2.012826,-0.953787,19,6.424242,6,15.439394,Spots
9,7.413342,-3.293696,16,9,8,11.333333,4.439466,-2.973876,-1.172207,19,7.575758,6,27.189394,Spots
10,7.864445,-4.322628,17,9,9,34.666668,4.436172,-3.428273,-1.207565,21,8.424242,7,33.876892,Spots
3,6.853629,-3.250117,16,8.857142,8,20.476191,4.056951,-2.796679,-1.025581,21,7.030303,5,31.717804,Spots
