@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
12,8.981726,-9.242891,35,14.142858,12,137.476196,3.530001,-5.451725,-1.361897,38,9.212121,6,88.484848,Spots
20,8.898797,-9.183804,29,13.857142,12,69.809525,3.605609,-5.293188,-1.344081,38,9.424242,6,86.189392,Spots
20,9.523255,-12.067852,38,17.857143,13,142.476196,3.385372,-6.137883,-1.36658,38,9.212121,5,90.109848,Spots
29,9.141124,-10.994101,29,13.857142,12,91.14286,3.431271,-5.709853,-1.325575,38,9.272727,6,89.954544,Spots
13,6.355268,-5.703615,20,8.714286,9,46.904762,2.818906,-3.536362,-0.981576,38,6.272727,4,71.954544,Spots
12,5.943779,-4.712399,29,9,4,103.333336,2.842265,-3.101514,-0.923784,38,6.151515,3,79.507576,Spots
11,5.982658,-5.199149,21,8.857142,8,49.142857,3.080491,-2.902168,-0.737002,36,5.939394,3,48.558712,Spots
14,7.334429,-8.240241,36,12.714286,9,114.238098,3.234772,-4.099657,-0.879334,36,7.090909,5,50.835228,Spots
9,5.919226,-4.913978,20,8.428572,7,42.952381,3.048378,-2.870847,-0.729149,36,6,4,48.0625,Spots
7,5.849998,-4.00119,14,6.285714,7,25.238094,3.112866,-2.737132,-0.740107,36,6.69697,4,54.030304,Spots
7,5.092018,-3.09889,10,6.285714,7,8.571428,2.966557,-2.125461,-0.629395,36,5.515152,3,47.882576,Spots
5,5.391243,-2.647851,14,5.285714,4,18.238094,3.057743,-2.333501,-0.73206,36,6.30303,3,57.217804,Spots
15,5.588606,-5.275365,16,8.285714,8,32.57143,2.795013,-2.793594,-0.724207,23,5.424242,4,29.689394,Spots
16,5.757088,-5.730596,16,8.571428,8,32.619049,2.670447,-3.08664,-0.772751,23,5.787879,4,27.859848,Spots
4,3.943321,-2.020665,16,5.428571,4,22.285715,2.253244,-1.690077,-0.579185,18,4.181818,3,20.52841,Spots
8,4.327209,-2.716827,15,5.857143,4,21.809525,2.534883,-1.792326,-0.584546,16,4.060606,3,13.496212,Spots
7,4.436417,-3.193005,16,6.571429,4,20.619047,2.399793,-2.036624,-0.613601,16,4.454545,4,14.068182,Spots
4,3.190936,-1.363506,7,3.571429,4,5.619048,2.009991,-1.180945,-0.448525,16,3.272727,2,9.579545,Spots
21,7.158754,-7.930766,36,12.571428,7,144.285721,3.286828,-3.871926,-0.856667,36,7,5,53.5,Spots
2,5.326002,-2.697754,21,6.285714,2,53.904762,3.104644,-2.221358,-0.68017,36,5.818182,4,49.028408,Spots
36,8.780369,-12.512053,36,16.428572,14,108.285713,3.428207,-5.352161,-1.001135,36,8.030303,6,47.780304,Spots
11,6.783754,-6.480872,36,10.857142,7,132.809525,3.254333,-3.529421,-0.820903,36,6.69697,5,53.530304,Spots
20,7.021466,-7.845806,36,12.428572,9,141.619049,3.218287,-3.803179,-0.831019,36,6.757576,5,56.251892,Spots
10,5.733096,-4.519882,20,7.714286,7,44.238094,3.086088,-2.647007,-0.693029,36,5.666667,3,47.479168,Spots
5,3.836099,-0.988678,20,4.571429,2,49.285713,2.74019,-1.095909,-0.457541,36,4.393939,2,47.808712,Spots
2,3.399714,-0.30737,10,3.428571,2,9.952381,2.667755,-0.731959,-0.386147,20,3.515152,2,15.945076,Spots
9,5.361167,-4.724161,23,9,4,73.666664,2.780714,-2.580453,-0.679254,23,5.212121,3,28.859848,Spots
19,5.798176,-6.471727,19,9.571428,7,41.285713,2.679518,-3.118658,-0.736437,23,5.30303,3,27.342804,Spots
23,6.380247,-7.270754,23,9.857142,9,62.142857,2.892587,-3.487659,-0.800429,23,6.121212,4,33.234848,Spots
18,6.703682,-8.120178,23,12.142858,10,61.809525,2.804616,-3.899066,-0.864776,23,6.515152,4,31.320076,Spots
9,5.74337,-5.352938,23,9.428572,8,52.952381,2.778061,-2.965309,-0.754199,23,5.666667,4,29.291666,Spots
8,5.838291,-5.351157,18,8.714286,8,38.238094,2.686452,-3.151838,-0.806712,23,6.212121,4,32.672348,Spots
15,6.163054,-4.816235,15,7.428571,7,15.619047,3.249443,-2.91361,-0.785931,36,6.393939,5,50.933712,Spots
