@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spots,'Not Spots'}

@data
3,4.173179,2.491093,1.524649,1.453561,-2.562181,3.571954,3.822938,1.97026,0.559083,0.472171,13,4.857143,4,17.809525,2.057633,-2.115546,0.327593,0.250487,0.08295,-0.66103,0.516301,0.143747,0.055717,0.039823,0.032698,35,4.393939,2,54.871212,0.876207,-3.296972,-1.181425,0.024941,0.017828,0.016636,-0.059405,0.05014,0.002293,0.000477,0.001541,0.00108,35,1.836576,1,16.027876,Spots
13,5.790485,4.03419,2.691683,0.3507,-7.076571,3.669331,3.634854,2.95522,0.585994,0.492238,35,11.142858,3,164.809525,2.193387,-3.597098,0.355591,0.310502,0.145464,-0.811557,0.477771,0.133694,0.058648,0.041027,0.032238,35,5.69697,2,66.530304,0.878957,-4.911528,-1.31443,0.025378,0.019357,0.0164,-0.061135,0.048272,0.002133,0.000506,0.001441,0.001138,35,1.875486,1,15.929749,Spots
7,4.306606,2.379927,2.07375,1.338955,-3.114723,3.38803,3.648943,1.683828,0.555639,0.462246,21,5.428571,2,50.952381,2.006149,-2.300457,0.318753,0.28553,0.069073,-0.673357,0.519801,0.151095,0.051201,0.040352,0.031162,35,4.727273,2,53.954544,0.85202,-3.454586,-1.154129,0.022876,0.01798,0.015401,-0.056257,0.058976,0.003088,0.000389,0.001762,0.000947,35,1.770428,1,15.974435,Spots
21,6.001092,4.21558,3.39304,0.27484,-7.88346,3.125646,3.040687,2.656208,0.579835,0.484459,21,10.571428,7,47.285713,2.152984,-3.848109,0.362793,0.336818,0.130145,-0.829755,0.469553,0.12976,0.062592,0.040479,0.031378,35,5.909091,2,72.585228,0.857103,-5.14399,-1.295881,0.023876,0.019421,0.014977,-0.058274,0.056098,0.002811,0.000425,0.001654,0.000988,35,1.801556,1,15.972185,Spots
1,2.770582,1.921807,1.429421,1.114905,-0.622518,2.511313,2.841799,1.145687,0.501278,0.417627,7,2.714286,1,8.904762,1.686579,-1.084004,0.250285,0.237204,0.026998,-0.460492,0.556633,0.176872,0.034285,0.039415,0.027479,21,2.848485,1,21.882576,0.806036,-1.964546,-0.880542,0.019604,0.016807,0.011516,-0.047927,0.069776,0.004151,0.000301,0.001959,0.000812,35,1.575876,1,15.87801,Spots
7,3.747378,2.461857,1.675265,1.30241,-2.834712,2.945518,2.901913,1.786175,0.520595,0.440244,21,5.714286,3,51.904762,1.813077,-1.934301,0.294326,0.26334,0.021736,-0.579402,0.54638,0.169051,0.04406,0.039025,0.02866,21,3.515152,2,25.070076,0.812701,-2.934677,-1.000376,0.02053,0.018139,0.011331,-0.05,0.067161,0.003856,0.000322,0.001851,0.000841,35,1.638132,1,15.817759,Spots
0,4.466619,2.240681,1.928032,0.440896,-0.128246,4.258474,8.220445,2.51152,1.88051,1.36892,17,4,2,35.666668,3.058627,-1.407992,0.492494,0.249176,0.047067,-0.788737,0.931549,0.488018,0.140309,0.145147,0.102096,24,5.151515,2,48.507576,1.347395,-3.119224,-1.711232,0.046838,0.029657,0.026434,-0.102929,0.085626,0.006791,0.001551,0.005577,0.003127,36,3.338521,1,41.279488,Spots
17,8.065749,4.322608,2.640589,0.184963,-7.148159,4.739237,9.624958,4.724626,2.051898,1.508795,22,11.428572,14,61.619049,3.625447,-4.440302,0.635087,0.461641,0.180741,-1.277469,0.763168,0.369287,0.20869,0.15155,0.110817,25,7.909091,4,70.897728,1.386027,-6.679723,-2.239421,0.050548,0.033373,0.02862,-0.112542,0.066037,0.004269,0.002033,0.005291,0.003234,36,3.392996,1,41.442608,Spots
22,8.930882,5.75607,2.986743,0.848922,-9.591736,4.598596,8.60203,7.047351,2.045412,1.528002,25,13.428572,17,96.285713,3.631608,-5.299274,0.642576,0.470997,0.223447,-1.337019,0.795715,0.423313,0.196407,0.15247,0.110473,30,9.30303,4,94.280304,1.376315,-7.554567,-2.255293,0.047829,0.034362,0.028678,-0.11087,0.073011,0.005286,0.001562,0.005343,0.003081,36,3.299611,1,41.51535,Spots
4,5.905818,2.970721,1.126849,0.445002,-2.288873,4.237844,7.598176,3.73686,1.903507,1.407716,15,6.285714,4,25.238094,3.304903,-2.600915,0.557942,0.430136,0.059642,-1.04772,0.848749,0.453935,0.160516,0.147628,0.107443,25,6.424242,4,48.626892,1.328681,-4.577137,-1.976222,0.044134,0.033913,0.025219,-0.103265,0.093107,0.007979,0.001269,0.005807,0.002842,36,3.424124,1,41.424885,Spots
