@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spots,'Not Spots'}

@data
8,7.329404,1.524289,1.469899,0.469665,0.79866,-0.09889,-0.830703,-7.378789,-2.082016,-0.524055,1.540641,1.766298,0.850493,1.248043,0.45923,5,12,8.285714,8,7.904762,6.436044,-0.89336,0.394294,0.222842,0.020774,0.030205,-0.002668,-0.003651,0.000078,0.003041,-0.596363,0.41867,0.13834,0.076497,0.216195,0.026759,2,21,6.818182,5,18.77841,5.596112,-1.733292,-0.839931,0.043683,0.006551,0.00275,0.001047,-0.000035,-0.000002,0,0,-0.047484,0.116329,0.013622,0.000239,0.011481,0.002121,0,35,6.560311,6,19.747324,5.451885,-1.877519,-0.984159,-0.144228,0.006858,0.003505,0.000416,0.000017,0,-0,0,0,-0.002937,0.054785,0.002971,0.000028,0.002765,0.00026,0,35,5.261198,5,10.505173,Spots
7,7.900219,1.959057,1.310771,0.744011,0.591169,0.162876,-2.976339,0.759691,53.554142,-0.095725,2.363257,2.224797,1.164384,1.240684,0.477675,2,21,6.857143,4,44.142857,6.598711,-1.301507,0.408536,0.266121,0.066457,0.012688,-0.004884,-0.001414,0.000183,0.001589,-0.741114,0.422479,0.159919,0.067039,0.215893,0.026783,2,35,8.575758,7,42.626892,5.556536,-2.343683,-1.042175,0.043528,0.009687,0.00001,0.000975,-0.000042,-0.000001,0,0,-0.053225,0.119364,0.01418,0.000226,0.011551,0.001938,0,35,6.642024,6,19.418226,5.405649,-2.49457,-1.193063,-0.150887,0.006602,0.003632,0.000824,0.000019,0,-0,0,0,-0.002145,0.053676,0.002853,0.000026,0.002663,0.000243,0,35,5.162979,5,9.982063,Spots
11,8.582499,2.052094,1.468199,1.255673,0.634412,-0.291451,-2.174795,-3.509609,-7.428714,-2.264619,2.363027,2.464553,1.16634,1.259993,0.506002,5,21,10.285714,9,25.571428,6.646656,-1.935843,0.43713,0.262421,0.109683,0.01725,-0.005507,-0.00222,0.000728,0.002069,-0.809234,0.42136,0.161137,0.07988,0.218486,0.028413,2,25,8.515152,7,26.695076,5.562372,-3.020127,-1.084284,0.044441,0.006096,0.001415,0.000949,-0.000042,-0.000001,0,0,-0.051953,0.116107,0.013476,0.00021,0.011119,0.002004,0,35,6.700389,6,19.421602,5.419709,-3.162789,-1.226946,-0.142663,0.006844,0.003592,0.000845,0.000008,0,-0,0,0,-0.002406,0.05486,0.00298,0.000028,0.002779,0.000256,0,35,5.214247,5,10.271028,Spots
21,10.124649,2.884712,2.719434,0.410519,0.213436,-0.6612,-0.631106,18.946728,34.642273,-5.193627,2.729447,2.476273,1.981475,1.256004,0.529323,4,21,11.857142,11,43.142857,6.859303,-3.265347,0.438995,0.323356,0.25093,0.00714,-0.00989,-0.000389,0.002036,0.000567,-1.013281,0.350474,0.186203,0.053677,0.218768,0.028766,2,35,10.363636,8,54.801136,5.525961,-4.598688,-1.333342,0.044294,0.009918,0.004471,0.000905,-0.000049,-0,0,-0,-0.058683,0.120337,0.014281,0.000204,0.011252,0.001806,0,35,6.642024,6,19.691664,5.371954,-4.752695,-1.487349,-0.154007,0.006586,0.003738,0.001255,0.000011,0,-0,0,0,-0.001594,0.05342,0.002828,0.000026,0.002651,0.000239,0,35,5.153265,5,10.127685,Spots
9,8.715889,2.326594,1.528968,1.484017,-0.364742,-0.108247,0.657202,6.415193,50.073788,-2.371545,2.329485,2.358004,1.77771,1.248269,0.514898,7,16,9.571428,9,10.619047,6.627409,-2.08848,0.433724,0.271786,0.118058,-0.004654,-0.00511,0.001202,0.000434,-0.00157,-0.823568,0.447026,0.175882,0.078633,0.216495,0.028597,2,25,8.424242,7,25.126894,5.525175,-3.190714,-1.102234,0.044673,0.005515,0.002837,0.000778,-0.000041,0,0,-0,-0.053025,0.117023,0.013514,0.000234,0.010811,0.001935,0,35,6.521401,6,19.625517,5.390025,-3.325864,-1.237384,-0.13515,0.00684,0.003661,0.001227,-0,0,-0,0,0,-0.001951,0.05474,0.002969,0.000028,0.002775,0.000254,0,35,5.174851,5,10.174594,Spots
16,10.201395,3.328723,2.624518,0.644461,-0.467967,-0.14977,4.144936,-8.729437,-122.587448,-5.30878,2.760369,3.11235,2.031464,1.245387,0.540981,6,25,13.428572,9,53.619049,6.835443,-3.365952,0.409739,0.328025,0.282237,-0.003349,-0.008936,0.001116,0.001597,-0.001207,-1.020001,0.40047,0.205813,0.054599,0.21692,0.028721,3,35,10.515152,7,65.007576,5.489902,-4.711493,-1.34554,0.044464,0.008635,0.006982,0.000781,-0.000048,0,0,-0,-0.06008,0.122315,0.014537,0.000231,0.010995,0.00172,0,35,6.653697,6,19.235075,5.340952,-4.860443,-1.494491,-0.148951,0.006582,0.003825,0.001639,0.000004,0,-0,0,0,-0.001118,0.052988,0.002785,0.000025,0.002624,0.000236,0,35,5.141932,5,10.054898,Spots
7,7.258786,1.785833,1.571239,0.265043,-0.73918,0.352825,1.912446,-2.807611,-43.053082,-0.050449,2.017038,2.28721,1.286051,1.211723,0.483647,4,9,6.714286,7,3.571429,6.35628,-0.902506,0.37448,0.230156,0.000904,-0.023833,-0.001604,0.00319,-0.00042,-0.002663,-0.60554,0.500349,0.182522,0.071445,0.209777,0.027035,3,25,7.69697,6,17.655304,5.482583,-1.776204,-0.873698,0.044372,0.005929,0.000038,0.000579,-0.000032,0.000001,0,-0,-0.050339,0.117878,0.013513,0.000283,0.010504,0.001911,0,35,6.533074,6,19.16394,5.363281,-1.895505,-0.992999,-0.119301,0.006846,0.003706,0.001561,-0.000008,0,-0,0,0,-0.001579,0.054493,0.002944,0.000028,0.002759,0.000252,0,35,5.174851,5,10.146516,Spots
9,7.752399,1.939428,1.585549,0.503111,-0.449077,0.488229,0.302596,-1.084973,41.133797,-0.149233,3.013853,3.471784,1.308206,1.20707,0.510359,3,16,7,6,20.333334,6.505309,-1.24709,0.351496,0.260251,0.118886,-0.012301,-0.002564,0.001454,-0.000727,-0.001064,-0.730633,0.542913,0.220177,0.061473,0.209883,0.026822,2,25,8.393939,6,40.121212,5.446313,-2.306086,-1.058996,0.044074,0.007466,0.005543,0.000642,-0.000038,0.000001,0,-0,-0.057083,0.124107,0.014714,0.000284,0.01072,0.001674,0,35,6.548638,6,19.170477,5.313083,-2.439316,-1.192226,-0.13323,0.006589,0.003889,0.001977,-0.000003,0,-0,0,0,-0.000723,0.052454,0.002731,0.000025,0.002587,0.000235,0,35,5.136535,5,10.123357,Spots
13,12.234841,4.655716,1.864238,0.942316,0.042855,0.908719,-0.668011,-23.892017,42.610649,-5.577638,4.14577,5.39494,4.093795,2.78297,1.028415,7,30,16.285715,13,92.571426,8.429831,-3.805011,0.595061,0.44961,0.224389,-0.003087,-0.009751,-0.000034,0.000606,-0.000054,-1.26906,0.613067,0.346989,0.146895,0.410526,0.056647,2,58,13.090909,10,162.02272,6.613129,-5.621712,-1.816701,0.064945,0.020692,0.017074,0.000034,-0.000057,0,0,0,-0.10271,0.108339,0.013007,0.002163,0.015177,0.004452,0,58,8.249027,7,39.054932,5.879238,-6.355604,-2.550593,-0.733891,0.011262,0.001713,0.000821,-0.000023,-0,-0,0,0,-0.010371,0.077346,0.005925,0.000061,0.005598,0.000411,0,58,6.043713,6,17.393877,Spots
10,10.128566,2.558525,2.213702,1.257304,-0.569825,0.117923,4.257078,6.833204,-122.326836,-0.912482,4.385116,6.781916,2.366591,2.682806,0.996649,3,13,8.142858,8,13.809524,8.117365,-2.011201,0.543398,0.347384,0.154465,-0.007373,-0.005775,0.000828,0.000116,-0.001646,-1.045248,0.766034,0.396083,0.161552,0.397496,0.059719,2,56,11.151515,9,103.320076,6.502323,-3.626243,-1.615042,0.06407,0.019849,0.014238,0.000232,-0.000052,0.000001,0,-0,-0.098157,0.12206,0.015257,0.002391,0.015271,0.004779,0,58,8.22179,7,39.102962,5.828172,-4.300394,-2.289193,-0.67415,0.011075,0.002133,0.000267,-0.000023,-0,-0,0,0,-0.009208,0.076766,0.005834,0.000059,0.005496,0.000399,0,58,5.926606,5,16.982731,Spots
