@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
3,3.003688,0.980943,0.438039,0.207676,0.073695,0.03638,-0.339683,-2.498393,11.877359,-0.75058,1.169617,1.184479,0.427265,0.713382,0.239076,1,9,3.571429,3,7.952381,2.579674,-0.424014,0.254456,0.151973,0.124726,0.011575,0.001249,-0.000258,-0.000598,-0.000177,-0.281703,0.638696,0.291946,0.037104,0.105594,0.050159,0,9,2.939394,3,5.121212,2.008223,-0.995465,-0.571451,0.024732,0.010865,0.006775,0.000124,-0.000016,-0.000001,0,0,-0.042373,0.116429,0.011567,0.000488,0.00573,0.001795,0,15,2.625532,2,7.884815,1.52908,-1.474608,-1.050594,-0.479143,0.006406,0.001741,0.001301,-0.000002,-0,-0,0,-0,-0.009448,0.02746,0.000734,0.000005,0.000619,0.000026,0,15,1.824298,1,4.45473,Spot
5,2.748212,0.707491,0.422269,0.216053,-0.039538,0.011358,0.480952,2.723573,-20.626469,-0.501275,1.330848,1.334849,0.334901,0.708274,0.23608,0,5,2.857143,3,3.476191,2.494345,-0.253867,0.241846,0.134544,0.126356,0.000486,0.0011,-0.000059,-0.000179,-0.000148,-0.250033,0.66214,0.309368,0.035013,0.107593,0.049542,0,9,2.818182,3,3.715909,1.963114,-0.785098,-0.531231,0.025437,0.010335,0.005635,0.000279,-0.000015,-0,-0,-0,-0.041408,0.122772,0.012898,0.000534,0.006262,0.001894,0,15,2.6,2,8.394872,1.503343,-1.244869,-0.991002,-0.459771,0.006284,0.001407,0.001267,0.000003,-0,-0,0,0,-0.008959,0.02862,0.000796,0.000004,0.000661,0.000024,0,15,1.779882,1,4.41753,Spot
1,2.290277,0.554396,0.445648,0.128618,-0.026656,0.023084,0.386758,-5.386639,-3.031845,-0.019869,1.208164,1.18338,0.215342,0.656508,0.22266,1,5,2.571429,2,2.285714,2.267168,-0.023109,0.206974,0.151753,0.116301,-0.00978,0.000116,0.000026,0.000463,0.000193,-0.171522,0.638017,0.296087,0.028032,0.105122,0.046159,0,7,2.30303,2,3.467803,1.88943,-0.400847,-0.377738,0.024985,0.008814,0.001618,0.000397,-0.000011,0.000001,-0,-0,-0.035417,0.128108,0.014072,0.000525,0.006688,0.001888,0,15,2.387234,2,7.614366,1.47616,-0.814116,-0.791008,-0.413269,0.006144,0.001329,0.000907,0.000007,-0,-0,0,0,-0.00838,0.029459,0.000843,0.000004,0.000692,0.000022,0,15,1.749837,1,4.375939,Spot
3,3.940375,1.397612,0.707266,0.69896,0.141777,0.22985,0.940257,-6.287108,-36.854462,-1.405918,1.336015,1.593063,0.768768,0.838004,0.273571,3,9,4.571429,4,4.952381,3.042955,-0.89742,0.314754,0.198174,0.066145,0.022043,-0.000946,-0.000926,-0.000298,0.000197,-0.446783,0.69594,0.323352,0.05286,0.116905,0.055297,0,12,4.121212,4,7.297348,2.144679,-1.795696,-0.898276,0.028856,0.016667,0.010872,0.000002,-0.000027,-0.000001,0,0,-0.056396,0.096789,0.008056,0.000609,0.00469,0.002021,0,15,3.093617,2,9.589489,1.563303,-2.377072,-1.479652,-0.581377,0.006586,0.00228,0.001617,-0.000006,-0,0,0,-0,-0.010484,0.025354,0.000629,0.000006,0.000549,0.00003,0,15,1.896799,1,4.476924,Spot
4,4.245771,1.401853,0.711054,0.55622,0.040343,0.210453,-0.270484,-3.194391,7.663989,-1.247019,1.700935,2.000843,0.815122,0.893527,0.278363,3,8,4.142857,3,3.476191,3.188984,-1.056787,0.340268,0.223171,0.027796,0.010408,-0.001038,-0.000283,-0.000307,-0.000067,-0.535643,0.737053,0.354871,0.059786,0.124012,0.057638,0,13,4.878788,4,9.234848,2.133054,-2.112717,-1.05593,0.029999,0.020139,0.011426,0.000112,-0.00003,-0.000001,0,0,-0.061563,0.102568,0.009182,0.000705,0.005286,0.002241,0,15,3.187234,2,10.768212,1.539559,-2.706213,-1.649425,-0.593495,0.006487,0.001978,0.001633,-0.000002,-0,-0,0,-0,-0.010098,0.026901,0.000706,0.000005,0.000603,0.000028,0,15,1.841933,1,4.457352,Spot
5,3.993344,1.150296,0.574079,0.501858,-0.14919,-0.279688,-0.028899,4.44352,20.390476,-1.222518,1.830589,2.217378,0.644657,0.888796,0.277261,3,7,4.714286,5,1.571429,3.093529,-0.899815,0.323458,0.208902,0.029376,-0.00428,-0.001038,0.000482,0.000207,-0.000415,-0.502984,0.768962,0.383543,0.05548,0.126503,0.057106,0,13,3.666667,3,7.291667,2.085743,-1.9076,-1.007785,0.030864,0.018692,0.010643,0.000212,-0.000028,0,0,-0,-0.060198,0.112275,0.010957,0.000772,0.005906,0.002385,0,15,3.191489,3,11.044372,1.513931,-2.479413,-1.579598,-0.571813,0.006368,0.001705,0.001528,0.000001,-0,-0,0,0,-0.009601,0.028206,0.000774,0.000005,0.000649,0.000026,0,15,1.815807,1,4.461475,Spot
4,3.255443,0.71291,0.528187,0.315001,-0.197291,-0.182065,0.563472,0.791021,-15.910156,-0.499725,1.615659,2.001402,0.392176,0.823008,0.267628,1,5,3.285714,4,2.571429,2.778551,-0.476892,0.272304,0.181982,0.083889,-0.01705,-0.000889,0.000934,0.00059,-0.000444,-0.370397,0.765453,0.388778,0.043122,0.123669,0.053903,0,13,3.333333,3,6.354167,2.003904,-1.251539,-0.774647,0.03011,0.013888,0.008374,0.000288,-0.000022,0.000001,0,-0,-0.052371,0.123312,0.013072,0.000746,0.006501,0.002365,0,15,2.919149,2,10.407965,1.486699,-1.768744,-1.291852,-0.517205,0.006228,0.001632,0.00114,0.000005,-0,-0,0,0,-0.009,0.029199,0.000829,0.000004,0.000684,0.000024,0,15,1.779882,1,4.420144,Spot
5,2.463507,0.532289,0.422824,0.23452,-0.132686,-0.064173,-0.327187,2.159374,-4.918793,-0.343986,1.291897,1.454391,0.196739,0.709657,0.241421,0,5,2.857143,3,2.476191,2.33881,-0.124697,0.206589,0.152019,0.147169,-0.023963,-0.000397,0.000892,0.000376,-0.000017,-0.20174,0.69849,0.346291,0.028941,0.115447,0.047995,0,8,2.212121,2,3.422348,1.894171,-0.569337,-0.44464,0.027394,0.009468,0.002799,0.000331,-0.000013,0.000001,0,-0,-0.039661,0.131328,0.014754,0.000633,0.006953,0.002179,0,15,2.429787,2,8.194836,1.458363,-1.005144,-0.880447,-0.435807,0.00607,0.001563,0.00068,0.000008,-0,-0,0,0,-0.008313,0.029823,0.000864,0.000004,0.000706,0.000021,0,15,1.742652,1,4.393859,Spot
3,5.100141,1.588846,0.956601,0.698282,0.211024,0.273056,-1.011776,-7.601424,42.086105,-1.847165,2.083963,2.384682,1.082923,0.98209,0.311879,3,12,6.142857,6,10.476191,3.562764,-1.537376,0.387751,0.252404,0.047432,0.019437,-0.002964,-0.001014,0.000125,0.000149,-0.687586,0.737251,0.347559,0.072803,0.132253,0.060113,0,15,5.393939,4,11.871212,2.242712,-2.857428,-1.320052,0.033137,0.025825,0.012863,0.000042,-0.000036,-0.000001,0,0,-0.071826,0.073821,0.005027,0.000784,0.004108,0.002365,0,15,3.451064,3,10.761484,1.571734,-3.528406,-1.99103,-0.670978,0.006644,0.002511,0.001845,-0.000006,-0,0,0,-0,-0.011001,0.02458,0.000593,0.000006,0.000527,0.000032,0,15,1.900718,1,4.482947,Spot
8,5.792063,1.847737,1.125149,0.237275,0.034753,-0.008537,0.189595,5.237643,-17.45731,-2.735611,2.309732,2.906303,1.070913,1.050326,0.325237,3,10,6.428571,6,6.952381,3.768931,-2.023132,0.417819,0.292889,0.113423,0.006756,-0.003838,-0.000312,0.000372,0.000171,-0.824131,0.751057,0.366158,0.079069,0.140494,0.061872,0,15,6.030303,5,14.092803,2.234104,-3.557958,-1.534827,0.034255,0.030378,0.013219,0.000079,-0.00004,-0.000001,0,0,-0.077852,0.078891,0.005928,0.000927,0.004676,0.002694,0,15,3.66383,3,11.873686,1.548292,-4.243771,-2.220639,-0.685813,0.006548,0.002273,0.001798,-0.000003,-0,-0,0,-0,-0.010619,0.026236,0.000673,0.000006,0.000583,0.00003,0,15,1.85565,1,4.501372,Spot
