@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
65535,38598.265625,-21676.677734,52526.285156,434695296,23655.740234,-14942.525391,-5230.940918,39172.515625,575595136,12357.149414,-26241.117188,-11298.59082,-677.54834,23949.646484,445936736,8142.673828,-30455.591797,-15513.066406,-4214.475586,-54.708565,11146.387695,121088592,Spot
65535,43899.925781,-22986.378906,57494.429688,452555520,26039.103516,-17860.822266,-6535.065918,44418.453125,576417984,12584.677734,-31315.248047,-13454.425781,-745.5625,26160.113281,477533568,8133.08252,-35766.84375,-17906.021484,-4451.595215,-55.108116,11115.032227,121150144,Spot
65535,43641.617188,-20570.183594,53312.570313,411655616,26396.400391,-17245.216797,-6672.049805,45417.878906,566991552,12582.12793,-31059.488281,-13814.272461,-758.290649,27203.623047,496071616,8109.109863,-35532.507813,-18287.291016,-4473.018066,-54.642658,11095.413086,121567304,Spot
65535,28622.882813,-16898.675781,43852,667220736,19341.304688,-9281.578125,-3139.606445,26666.03125,418593856,11750.407227,-16872.476563,-7590.897461,-537.644592,19320.773438,345606400,8108.814453,-20514.068359,-11232.490234,-3641.592773,-52.387432,11099.472656,120910992,Spot
58958,36787.433594,-20726.724609,49105.714844,360511904,22576.150391,-14211.283203,-4837.632813,36791,551752896,12139.462891,-24647.970703,-10436.6875,-638.169556,22760.376953,409798976,8111.644043,-28675.789063,-14464.505859,-4027.818848,-53.543072,11090.980469,121514672,Spot
65535,41021.308594,-22488.460938,56423.429688,219954624,24563.699219,-16457.609375,-5844.099609,41278.242188,559273472,12349.137695,-28672.171875,-12214.561523,-699.904724,24393.537109,446965664,8101.11377,-32920.195313,-16462.585938,-4248.023926,-53.907627,11024.004883,121890960,Spot
47456,39281.542969,-17437.369141,46522.144531,562685504,24618.537109,-14663.005859,-5702.082031,41099.546875,591594560,12338.135742,-26943.40625,-12280.401367,-709.221924,25530.917969,474885312,8076.480469,-31205.0625,-16542.056641,-4261.655273,-53.427109,10993.047852,121995952,Spot
65535,24586.355469,-12412.209961,33166.714844,605578752,17533.179688,-7053.175781,-2439.843018,23413.636719,377912800,11380.598633,-13205.756836,-6152.581055,-469.215027,17630.263672,291233888,8065.323242,-16521.03125,-9467.856445,-3315.275391,-50.460114,10948.841797,120818632,Spot
36714,30740.214844,-14516.083008,38023.144531,645718336,20112.978516,-10627.236328,-3701.315674,31445.302734,450701536,11726.871094,-19013.34375,-8386.107422,-556.129395,20253.753906,367493824,8066.577148,-22673.636719,-12046.401367,-3660.293945,-51.528267,10958.640625,121504360,Spot
65535,33652.1875,-17592.15625,47122.285156,416920224,21569.023438,-12083.164063,-4327.762695,33880.757813,485626016,11908.197266,-21743.990234,-9660.826172,-608.296509,21402.345703,391885760,8054.897461,-25597.289063,-13514.125977,-3853.299805,-51.839447,10936.697266,122037432,Spot
