@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {background,spots}

@data
1,2.209154,0.635333,0.396663,0.185576,-0.022653,0.298757,0.342239,-9.781303,0.653027,-0.424247,1.063067,0.679926,0.032453,0.423227,0.032248,0,10,2.857143,1,14.142858,2.383435,0.174281,0.039801,0.022341,0.014036,0.004212,0.000027,0.000233,-0.000074,-0.000513,0.003423,0.42822,0.132537,0.000757,0.085204,0.002223,0,10,2.1875,2,5.705645,2.5008,0.291646,0.117364,0.027972,0.001938,0.000404,0.000434,-0.000005,-0.000001,0,0,0.026438,0.079433,0.006002,0.000025,0.005757,0.000298,0,10,2.338384,2,4.600651,2.562709,0.353555,0.179274,0.061909,0.003504,0.001636,0.001058,0.000002,0,-0,-0,0,0.004082,0.014159,0.000205,0.00001,0.000254,0.00003,0,10,2.413076,2,3.780171,background
0,2.209795,0.65178,0.60695,0.011276,0.028283,0.29725,-0.197937,2.914924,12.614061,-0.056106,0.969157,0.692115,0.032195,0.433253,0.03226,0,5,1.714286,1,3.238095,2.416324,0.206528,0.039123,0.035206,0.003843,0.004812,0.000373,-0.000014,-0.000307,0.000193,-0.00776,0.423545,0.128916,0.001031,0.083737,0.002356,0,10,2.21875,2,6.36996,2.509226,0.29943,0.092902,0.027714,0.002626,0.000501,0.00036,-0.000005,-0.000001,0,0,0.02559,0.078454,0.005869,0.000027,0.005686,0.000322,0,10,2.232323,2,4.463519,2.565532,0.355736,0.149208,0.056306,0.003487,0.001726,0.001222,-0.000003,0,-0,-0,0,0.00399,0.014169,0.000205,0.00001,0.000255,0.000031,0,10,2.415305,2,3.787989,background
10,2.757287,1.069973,0.613452,0.259888,0.008646,-0.413306,-0.275086,11.878958,-9.05337,-1.943313,1.091276,0.753295,0.053934,0.425163,0.033718,0,10,3.714286,3,11.571428,2.445705,-0.311582,0.045568,0.037404,0.027787,0.00377,-0.000768,0.000093,0.000246,0.000002,-0.03595,0.427583,0.133163,0.001077,0.08694,0.002012,0,10,2.375,1.5,6.564516,2.521617,-0.23567,0.075912,0.02975,0.003126,0.00018,0.000436,-0.000004,-0.000001,0,0,0.026443,0.082992,0.006597,0.000027,0.006312,0.0003,0,10,2.227273,2,4.602907,2.575455,-0.181832,0.12975,0.053838,0.003707,0.001575,0.001557,-0.000001,0,-0,-0,0,0.003725,0.013452,0.000189,0.00001,0.00025,0.000034,0,10,2.421248,2,3.720559,background
3,2.670187,1.00622,0.280112,0.022155,0.031797,0.101097,-0.05221,-7.846157,-5.422024,-1.308486,1.11342,0.76999,0.045383,0.434358,0.033268,0,10,3.857143,3,15.142858,2.463528,-0.206659,0.049386,0.035257,0.023492,0.004744,-0.000159,0.000034,-0.000181,0.000193,-0.037621,0.428539,0.132694,0.001185,0.086118,0.002111,0,10,2.53125,2,6.579637,2.529423,-0.140764,0.065895,0.029642,0.003865,0.000078,0.000356,-0.000002,-0.000001,-0,0,0.025699,0.082279,0.006498,0.000029,0.00626,0.000326,0,10,2.237374,2,4.557581,2.577807,-0.09238,0.114279,0.048384,0.00369,0.001724,0.001679,-0.000006,0,-0,-0,0,0.003645,0.013315,0.000185,0.00001,0.000248,0.000036,0,10,2.422734,2,3.738635,background
6,2.880725,1.145178,0.555847,0.307506,0.043999,-0.187959,-0.655594,0.229756,20.596437,-2.008531,1.097154,0.76995,0.066109,0.427393,0.035173,0,10,4.285714,3,12.571428,2.450103,-0.430622,0.042527,0.037646,0.0333,0.004411,-0.001214,-0.000012,0.000461,0.000363,-0.038181,0.427593,0.134486,0.000834,0.088665,0.00174,0,10,2.53125,2.5,5.805444,2.539087,-0.341638,0.088984,0.031294,0.00407,0.000336,0.0004,-0.000001,-0,0,0,0.026889,0.085848,0.007107,0.000027,0.006804,0.0003,0,10,2.171717,2,4.35615,2.586545,-0.29418,0.136442,0.047458,0.003892,0.002016,0.001533,-0.000005,0,-0,-0,0,0.003409,0.012482,0.000167,0.00001,0.000242,0.000039,0,10,2.43685,2,3.762924,background
7,2.93972,1.182217,0.679762,0.383849,0.036633,-0.465491,-0.26476,6.982442,7.462282,-2.245828,1.090424,0.79884,0.059631,0.435572,0.034418,0,7,4,4,5.333333,2.461792,-0.477928,0.041812,0.037975,0.03504,0.005261,-0.000819,-0.000003,0.0003,-0.000156,-0.038877,0.433661,0.137113,0.000859,0.088462,0.001795,0,10,2.46875,2,6.773185,2.545841,-0.393879,0.084049,0.031324,0.004628,0.000422,0.00032,0.000001,-0,-0,0,0.026275,0.085473,0.007055,0.000029,0.006772,0.000327,0,10,2.171717,2,4.35615,2.588263,-0.351457,0.126471,0.042423,0.003872,0.002179,0.00165,-0.000009,0,-0,-0,0,0.003344,0.012213,0.000161,0.00001,0.000237,0.000042,0,10,2.405646,2,3.738674,background
3,1.750243,0.555572,0.185682,0.068949,0.01583,0.061156,-0.300833,1.827846,1.894521,-0.438839,0.805121,0.472011,0.03738,0.332505,0.038219,0,4,1.857143,2,1.809524,1.867777,0.117534,0.032065,0.020127,0.009171,0.003712,-0.00008,-0.000184,-0.000167,0.000146,-0.002767,0.301705,0.061875,0.001587,0.041214,0.0057,0,6,1.65625,2,2.426411,1.983103,0.232859,0.115326,0.016192,0.011749,0.00396,0.000228,-0.000005,-0,0,0,0.031901,0.070306,0.004698,0.000137,0.004721,0.000949,0,9,1.752525,1,3.354689,2.353654,0.603411,0.485878,0.370552,0.005243,0.004148,0.002408,0.000005,-0,0,0,0,0.011798,0.025627,0.00066,0.000025,0.000761,0.000098,0,10,1.813522,2,2.721334,background
1,1.864325,0.656276,0.367155,0.005367,0.027446,0.194306,0.317955,-5.178652,-5.765721,-0.283754,0.866887,0.533752,0.047056,0.347175,0.039414,0,6,2.142857,2,3.809524,1.964147,0.099822,0.041829,0.017887,0.002801,0.003867,-0.000541,-0.000248,-0.000262,0.000227,-0.026743,0.313013,0.067229,0.001992,0.045176,0.006384,0,8,1.875,2,3.532258,2.025805,0.16148,0.061659,0.017368,0.010573,0.002521,0.000205,-0.000009,-0,0,0,0.030462,0.075452,0.00542,0.000118,0.005412,0.000854,0,9,1.838384,2,3.354458,2.375663,0.511338,0.411516,0.349858,0.005408,0.003865,0.002064,0.000001,-0,0,0,0,0.011337,0.028186,0.000793,0.000027,0.00087,0.000088,0,10,1.859584,2,2.813726,background
6,2.125234,0.936319,0.191909,0.082582,0.011627,-0.16351,0.313747,3.641868,-6.331339,-1.045647,0.844693,0.566228,0.053604,0.364425,0.03987,0,8,2.714286,1,9.904762,2.048766,-0.076468,0.050889,0.018416,0.00099,0.00178,-0.000939,-0.000128,0.000084,-0.000186,-0.033463,0.325977,0.074136,0.002366,0.050047,0.006992,0,8,1.84375,1.5,4.265121,2.080632,-0.044602,0.031866,0.018901,0.009236,0.000559,0.00015,-0.000011,-0,0,0,0.028695,0.080631,0.006211,0.000136,0.00619,0.000744,0,9,1.939394,2,3.377019,2.401633,0.276399,0.352867,0.321001,0.005598,0.003522,0.001611,-0.000004,-0,0,0,0,0.010731,0.030506,0.000923,0.000029,0.000973,0.000082,0,10,1.881872,2,2.815032,background
3,2.225716,0.931183,0.265287,0.078988,-0.03117,-0.069252,-0.278803,-1.347199,-6.851769,-1.117482,0.87573,0.610125,0.042406,0.381852,0.03962,0,6,3,3,4.666667,2.115351,-0.110364,0.055708,0.027548,0.002597,-0.000981,-0.001002,-0.000016,0.000505,-0.000308,-0.025563,0.348625,0.085159,0.002565,0.055614,0.007433,0,8,2.0625,2,4.254032,2.144033,-0.081682,0.028682,0.020839,0.007924,0.001789,0.000068,-0.000011,-0,0,0,0.026975,0.085198,0.006971,0.000162,0.006996,0.000635,0,9,1.924242,2,3.278496,2.430923,0.205207,0.315571,0.286889,0.005808,0.003134,0.001062,-0.000007,-0,0,0,0,0.010005,0.032395,0.001037,0.000031,0.001064,0.000081,0,10,1.938336,2,2.956046,background
