@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spots,'Not Spots'}

@data
3,1.899912,0.463959,0.166304,0.075554,-0.054817,-0.096536,-0.033621,5.713894,9.920163,-0.554709,0.284887,0.155996,0.019916,0.089793,0.02196,1,3,2.142857,3,1.142857,1.338709,-0.561202,0.157324,0.06045,0.027869,-0.002439,-0.000063,0.000346,-0.000169,-0.000548,-0.245643,0.080753,0.019124,0.002939,0.016818,0.003317,0,5,1.787879,2,2.047348,0.862481,-1.037431,-0.476229,0.013866,0.008965,0.007327,-0.000207,-0.000013,0,0,-0,-0.030158,0.029799,0.000887,0.000064,0.000804,0.000167,0,9,1.36965,1,2.312044,0.732152,-1.16776,-0.606558,-0.130329,0.002467,0.000577,0.00005,-0.000002,-0,0,0,-0,-0.002994,0.00502,0.000026,0,0.000028,0.000002,0,9,0.807339,1,1.10919,Spots
1,1.947012,0.651848,0.227074,0.213725,-0.059739,0.062333,0.213717,-2.986126,5.732383,-0.6385,0.271686,0.174808,0.020234,0.090639,0.022285,1,5,2.285714,2,2.238095,1.33953,-0.607482,0.158683,0.061349,0.02725,-0.005226,-0.000534,0.000503,-0.000044,-0.00044,-0.247281,0.078455,0.019079,0.003169,0.016928,0.003375,0,9,1.969697,2,3.155303,0.861608,-1.085405,-0.477922,0.014003,0.009149,0.007313,-0.000235,-0.000013,0,0,-0,-0.030465,0.029761,0.000885,0.000071,0.000802,0.000187,0,9,1.326848,1,2.38494,0.726604,-1.220409,-0.612926,-0.135004,0.002452,0.000577,0.000011,-0.000002,-0,0,0,-0,-0.00304,0.004996,0.000025,0,0.000027,0.000002,0,9,0.813276,1,1.120623,Spots
3,1.914087,0.773149,0.22255,0.112662,-0.005005,0.069946,0.260939,-2.172993,-12.389668,-0.883036,0.333131,0.157493,0.045784,0.085751,0.022449,0,9,2.142857,1,10.142858,1.279544,-0.634543,0.146897,0.053838,0.022697,-0.006503,-0.000926,0.000215,0.000073,0.000172,-0.223431,0.111748,0.018641,0.005552,0.016306,0.003382,0,9,2.151515,2,3.757576,0.850886,-1.063201,-0.428658,0.013768,0.008056,0.00687,-0.000241,-0.000011,0,0,-0,-0.028695,0.032249,0.000993,0.000072,0.000805,0.0002,0,9,1.307393,1,2.315297,0.721101,-1.192986,-0.558443,-0.129785,0.002435,0.000571,0.000044,-0.000002,-0,0,0,-0,-0.003051,0.005013,0.000025,0,0.000026,0.000002,0,9,0.815974,1,1.127563,Spots
0,1.634286,0.524744,0.325666,0.247099,0.03785,0.009738,-0.241959,-0.269802,2.948133,-0.603311,0.432878,0.103919,0.08966,0.07621,0.022197,0,5,2.142857,2,2.476191,1.166898,-0.467388,0.12413,0.034935,0.01244,-0.005894,-0.000689,-0.000112,0.000041,0.000498,-0.171506,0.148211,0.019621,0.006427,0.015069,0.003297,0,9,1.484848,1,3.695076,0.831551,-0.802735,-0.335347,0.013207,0.006605,0.00543,-0.000222,-0.000008,0,0,-0,-0.025242,0.03565,0.001155,0.000068,0.000809,0.000205,0,9,1.163424,1,1.840376,0.715556,-0.91873,-0.451342,-0.115995,0.002417,0.000557,0.000047,-0.000002,-0,0,0,-0,-0.003022,0.005048,0.000025,0,0.000025,0.000002,0,9,0.804101,1,1.112251,Spots
0,1.773378,0.593714,0.296832,0.088841,-0.015163,0.233597,-0.243915,-1.983389,29.812296,-0.385723,0.180608,0.149318,0.028255,0.087981,0.021606,0,6,1.857143,1,5.142857,1.266045,-0.507334,0.152724,0.047389,0.019327,0.000656,-0.000069,-0.000282,-0.000268,0.000094,-0.21944,0.099172,0.016858,0.005751,0.015816,0.003175,0,6,1.939394,2,2.308712,0.849905,-0.923473,-0.41614,0.013253,0.007457,0.006256,-0.000156,-0.000012,-0,0,0,-0.026966,0.032237,0.000981,0.000054,0.000789,0.000139,0,9,1.276265,1,2.278848,0.739196,-1.034182,-0.526848,-0.110709,0.002485,0.000549,0.000138,-0.000002,-0,0,0,-0,-0.002896,0.005005,0.000026,0,0.00003,0.000002,0,9,0.80572,1,1.116663,Spots
3,1.881929,0.803265,0.156862,0.043834,-0.113414,0.255798,1.002295,-3.710769,-40.675594,-0.602569,0.204375,0.201986,0.015465,0.094708,0.022059,0,5,2.142857,2,2.809524,1.321944,-0.559985,0.165618,0.057679,0.017445,-0.002141,0.000245,0.00026,-0.000633,-0.000499,-0.240742,0.06716,0.018178,0.003056,0.016675,0.003231,0,9,2.151515,1,5.070076,0.858204,-1.023725,-0.46374,0.013745,0.008645,0.006841,-0.000186,-0.000013,0,0,-0,-0.029231,0.030166,0.000895,0.00006,0.000791,0.000156,0,9,1.350195,1,2.619072,0.733475,-1.148454,-0.588469,-0.124729,0.00247,0.000554,0.000055,-0.000002,-0,0,0,-0,-0.002969,0.004909,0.000024,0,0.000027,0.000002,0,9,0.801943,1,1.10816,Spots
5,2.063943,1.091106,0.31423,0.05747,-0.081955,-0.212915,0.122512,2.788625,4.331254,-1.462806,0.275462,0.237928,0.021019,0.095479,0.022505,0,9,3.285714,3,8.904762,1.320668,-0.743275,0.165886,0.060196,0.016021,-0.004482,-0.000372,0.000495,-0.000219,-0.000524,-0.242102,0.069987,0.018546,0.003182,0.016814,0.003267,0,9,1.818182,1,3.465909,0.857423,-1.20652,-0.463246,0.013884,0.008897,0.006729,-0.000205,-0.000013,0,0,-0,-0.02951,0.030247,0.000901,0.000065,0.000794,0.000173,0,9,1.361868,1,2.497447,0.727906,-1.336037,-0.592763,-0.129517,0.002455,0.000553,0.000005,-0.000001,-0,0,0,-0,-0.003013,0.00488,0.000024,0,0.000026,0.000002,0,9,0.805181,1,1.118073,Spots
9,2.145756,1.260026,0.543007,0.439738,-0.031834,-0.524014,-0.703621,6.948088,30.757751,-2.242771,0.167497,0.224371,0.057351,0.090085,0.022821,0,9,3.857143,3,8.142858,1.259775,-0.885981,0.152304,0.054304,0.012646,-0.005491,-0.001156,0.000359,0.000432,-0.000061,-0.219254,0.109384,0.018467,0.005658,0.016221,0.003264,0,9,1.787879,1,3.609848,0.84716,-1.298595,-0.412614,0.013651,0.008116,0.006006,-0.000207,-0.000011,0,0,-0,-0.027773,0.032548,0.001004,0.000065,0.0008,0.000184,0,9,1.284047,1,2.422909,0.722387,-1.423369,-0.537388,-0.124774,0.002438,0.000548,0.000036,-0.000001,-0,0,0,-0,-0.003022,0.004893,0.000024,0,0.000025,0.000002,0,9,0.810038,1,1.112923,Spots
5,1.756089,0.884539,0.327047,0.135512,-0.009277,-0.017173,0.2335,-2.471032,-21.117144,-1.347099,0.624426,0.152514,0.117596,0.079729,0.022656,0,9,2.714286,1,11.904762,1.145805,-0.610284,0.126983,0.032454,0.004571,-0.004937,-0.000967,0.000085,0.000465,0.000313,-0.164008,0.148382,0.019685,0.006245,0.015007,0.003173,0,9,1.818182,1,5.340909,0.828584,-0.927505,-0.317221,0.013088,0.006903,0.004427,-0.00019,-0.000008,0,0,-0,-0.024418,0.035657,0.001155,0.000061,0.000806,0.000188,0,9,1.143969,1,1.951848,0.71684,-1.039249,-0.428966,-0.111744,0.00242,0.000536,0.000038,-0.000001,-0,0,0,-0,-0.002994,0.004923,0.000024,0,0.000024,0.000002,0,9,0.808958,1,1.111432,Spots
0,1.094407,0.358488,0.323275,0.106032,0.038657,0.356524,-0.000877,-5.131114,-6.309947,0.141245,0.601285,0.131878,0.069147,0.066597,0.021659,0,5,1.142857,0,3.476191,1.001268,-0.093139,0.096235,0.013063,0.002472,-0.003133,0.000144,-0.000136,-0.00005,0.000298,-0.085644,0.161231,0.019856,0.004627,0.013367,0.002956,0,9,1.333333,1,3.479167,0.804416,-0.289992,-0.196852,0.012282,0.005763,0.002079,-0.000156,-0.000003,0,-0,-0,-0.020123,0.037994,0.00128,0.000055,0.000807,0.000184,0,9,1.07393,1,1.701544,0.71127,-0.383137,-0.289997,-0.093145,0.0024,0.000519,0.000013,-0.000001,-0,0,0,-0,-0.002932,0.004942,0.000024,0,0.000023,0.000002,0,9,0.798705,1,1.091748,Spots
