@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {spots,'not spots'}

@data
6,2.392204,1.018585,0.674248,0.264108,0.00708,-0.239464,0.042995,7.731157,-3.87285,-1.956941,0.394776,0.270451,0.108659,0.11371,0.029327,0,6,3.285714,3,3.571429,1.40646,-0.985744,0.136967,0.08576,0.07818,0.001421,-0.00213,0.00001,0.000212,0.000119,-0.300906,0.07647,0.011079,0.004293,0.008054,0.003739,0,9,2.151515,2,3.757576,0.899938,-1.492266,-0.506522,0.009471,0.008183,0.001107,0.000085,-0.000015,-0,0,0,-0.018761,0.012811,0.000147,0.000073,0.000232,0.000196,0,9,1.212766,1,1.988725,0.757153,-1.635051,-0.649308,-0.142785,0.002335,0.000349,0.000239,-0.000005,-0,0,0,0,-0.002923,0.002429,0.000006,0,0.000004,0.000001,0,9,0.768779,0,0.955652,spots
5,1.981647,0.927939,0.372918,0.052683,-0.172487,-0.103087,0.639264,4.153381,-11.152376,-1.248174,0.52091,0.228095,0.091269,0.108356,0.027,0,6,2.571429,2,4.952381,1.33016,-0.651487,0.126247,0.074763,0.043974,0.002027,-0.00131,0.000223,-0.00021,-0.000537,-0.244984,0.122113,0.014552,0.003567,0.00846,0.003343,0,6,1.939394,2,2.496212,0.895072,-1.086576,-0.435088,0.009336,0.007749,0.000634,0.000099,-0.000013,-0,0,0,-0.017719,0.016135,0.000249,0.000062,0.000286,0.000169,0,9,1.187234,1,1.9477,0.756151,-1.225497,-0.574009,-0.138921,0.002324,0.000364,0.00025,-0.000005,-0,0,0,0,-0.002938,0.002538,0.000006,0,0.000004,0.000001,0,9,0.773351,0,0.968858,spots
1,1.588523,0.71028,0.301659,0.225484,-0.067054,0.06625,-0.14699,-9.033811,18.942755,-0.786454,0.343882,0.163513,0.066,0.097652,0.023516,1,5,2.571429,3,1.952381,1.195549,-0.392974,0.104935,0.059771,0.006531,0.002947,-0.000308,0.000082,-0.000189,-0.000454,-0.171237,0.154512,0.018875,0.002384,0.008837,0.002922,0,6,1.515152,1,2.132576,0.880318,-0.708205,-0.31523,0.008632,0.006619,0.000319,0.000104,-0.000009,-0,0,0,-0.014932,0.022252,0.000443,0.000054,0.00035,0.000153,0,9,1.114894,1,1.734606,0.754785,-0.833738,-0.440764,-0.125533,0.002307,0.000352,0.00025,-0.000005,-0,0,0,0,-0.002908,0.00267,0.000007,0,0.000005,0.000001,0,9,0.785108,1,0.972745,spots
3,2.263699,0.823382,0.328888,0.225826,0.118782,0.047881,-0.151585,3.175551,-9.856614,-1.378096,0.573329,0.246627,0.126598,0.10947,0.029604,0,5,2.285714,3,2.904762,1.361945,-0.901754,0.129929,0.086087,0.077235,0.000548,-0.002048,-0.000423,0.000301,0.00066,-0.293251,0.117531,0.015369,0.004429,0.008395,0.003836,0,9,2.575758,3,3.751894,0.892439,-1.371259,-0.469506,0.009102,0.007377,0.000427,0.000054,-0.000014,0,0,-0,-0.016906,0.017029,0.000266,0.000067,0.000252,0.000203,0,9,1.174468,1,1.930969,0.757529,-1.50617,-0.604416,-0.134911,0.002339,0.000321,0.000289,-0.000004,-0,0,0,0,-0.002949,0.00237,0.000006,0,0.000004,0.000001,0,9,0.777923,1,0.971565,spots
3,2.292038,0.987424,0.562192,0.04819,0.140225,-0.077551,-0.973489,-4.471549,29.103355,-1.597806,0.41778,0.258388,0.105569,0.110744,0.028986,1,6,3.285714,3,2.238095,1.378734,-0.913304,0.131493,0.085339,0.07474,0.002374,-0.002377,-0.00026,0.000373,0.000411,-0.291571,0.105721,0.014339,0.003913,0.008591,0.00376,0,9,2.393939,3,4.371212,0.897739,-1.394299,-0.480995,0.009527,0.007772,0.000578,0.00013,-0.000015,-0,0,-0,-0.017877,0.014941,0.00021,0.000067,0.000272,0.000179,0,9,1.187234,1,1.922059,0.756894,-1.535144,-0.62184,-0.140845,0.002333,0.000364,0.000307,-0.000005,-0,0,0,0,-0.003004,0.002454,0.000006,0,0.000004,0.000001,0,9,0.779229,1,0.970836,spots
3,2.034994,0.983715,0.36217,0.203327,-0.077695,-0.085707,0.498156,-3.009599,-13.399681,-1.549213,0.441962,0.227825,0.08623,0.105584,0.02663,1,5,3,3,1.666667,1.301069,-0.733926,0.119536,0.068151,0.047752,0.003588,-0.001626,0.000117,0.000207,-0.000332,-0.235439,0.142594,0.017535,0.002954,0.008895,0.003358,0,6,2.060606,2,2.621212,0.892251,-1.142743,-0.408817,0.009023,0.00757,0.000236,0.000193,-0.000013,-0,0,0,-0.016829,0.018349,0.00032,0.000046,0.000324,0.000143,0,9,1.238298,1,1.925877,0.755892,-1.279102,-0.545177,-0.136359,0.002321,0.000376,0.000316,-0.000004,-0,-0,0,0,-0.003013,0.002566,0.000007,0,0.000005,0.000001,0,9,0.77727,1,0.979771,spots
3,1.530536,0.572679,0.318347,0.138112,-0.066997,0.007432,0.364908,6.280246,-9.492232,-0.752913,0.586527,0.181252,0.077802,0.095201,0.023265,0,3,1.571429,1,1.952381,1.162542,-0.367994,0.097672,0.047936,0.010101,0.004543,-0.00035,0.000163,-0.000165,-0.000468,-0.155709,0.171352,0.021489,0.002004,0.009159,0.002795,0,5,1.575758,1,2.064394,0.876938,-0.653598,-0.285604,0.007931,0.00667,0.000576,0.000236,-0.00001,-0,0,0,-0.014024,0.024142,0.000517,0.000042,0.000385,0.000127,0,9,1.148936,1,1.793963,0.754515,-0.77602,-0.408027,-0.122423,0.002304,0.00036,0.000313,-0.000004,-0,-0,0,0,-0.002977,0.002698,0.000007,0,0.000005,0.000001,0,9,0.787067,1,0.969009,spots
0,1.072632,0.244126,0.202244,0.081979,0.055465,0.154794,-0.147063,-3.274301,13.824609,-0.040097,0.507729,0.135068,0.038344,0.081791,0.019665,0,3,1.142857,1,1.809524,1.00764,-0.064991,0.072823,0.03042,0.019349,0.004795,0.000621,-0.000049,-0.000331,-0.000024,-0.083893,0.176037,0.022593,0.001325,0.009238,0.002212,0,3,1.151515,1,1.007576,0.854052,-0.21858,-0.153589,0.006832,0.005002,0.001772,0.000253,-0.000005,-0,-0,0,-0.010062,0.029371,0.000735,0.000035,0.000447,0.000118,0,6,0.991489,1,1.384543,0.752814,-0.319818,-0.254827,-0.101238,0.002282,0.000328,0.000291,-0.000004,-0,-0,0,0,-0.002901,0.002832,0.000008,0,0.000005,0.000001,0,9,0.785761,1,0.978908,spots
3,1.823659,0.700814,0.222504,0.05977,0.109105,-0.01993,0.062927,3.605175,-17.493317,-0.863547,0.529136,0.193107,0.108312,0.101736,0.027115,0,4,1.857143,2,2.476191,1.261446,-0.562213,0.111828,0.076297,0.034863,0.002127,-0.001555,-0.000299,0.000299,0.00023,-0.222989,0.157255,0.019238,0.003317,0.008946,0.003505,0,6,1.848485,2,2.382576,0.886203,-0.937456,-0.375243,0.00899,0.006668,0.00044,0.000153,-0.000012,-0,0,-0,-0.015218,0.020415,0.000373,0.00006,0.000328,0.000167,0,9,1.148936,1,1.776868,0.756386,-1.067273,-0.505059,-0.129816,0.002325,0.000391,0.000331,-0.000004,-0,-0,0,0,-0.003047,0.002503,0.000006,0,0.000005,0.000001,0,9,0.785761,1,0.972372,spots
4,1.755224,0.788255,0.462151,0.087598,0.075221,-0.179118,-0.33524,1.647283,14.081586,-1.338005,0.486651,0.175205,0.090779,0.097095,0.024745,0,5,2.571429,3,2.952381,1.198721,-0.556503,0.101586,0.064071,0.016227,0.004209,-0.001155,-0.000112,0.000433,0.000158,-0.181885,0.166942,0.020496,0.002558,0.009133,0.003167,0,5,1.727273,1,2.267045,0.880159,-0.875065,-0.318562,0.008212,0.006645,0.000622,0.000258,-0.000011,-0,0,-0,-0.014234,0.023207,0.00048,0.000043,0.000376,0.000137,0,9,1.148936,1,1.793963,0.755365,-0.999859,-0.443356,-0.124794,0.002313,0.000392,0.000343,-0.000004,-0,-0,0,0,-0.003048,0.002617,0.000007,0,0.000005,0.000001,0,9,0.772698,1,0.963986,spots
