@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {spots,'not spots'}

@data
3,1.364604,0.653136,0.316344,0.119143,-0.025593,-0.109222,0.12566,2.188967,6.946679,-1.088622,0.460854,0.099163,0.05531,0.02771,0.013947,1,4,1.857143,1,1.47619,0.835546,-0.529058,0.073748,0.030958,0.023358,0.0005,-0.00142,0.000157,0.000439,0.000142,-0.128065,0.071863,0.004195,0.002297,0.004682,0.001006,0,5,1.333333,1,1.916667,0.592757,-0.771846,-0.242789,0.011541,0.003951,0.002195,0.000041,-0.000007,-0,0,-0,-0.017687,0.014769,0.00029,0.000012,0.000407,0.000034,0,5,0.828794,1,1.001824,0.533669,-0.830935,-0.301877,-0.059088,0.001922,0.000219,0.000071,0.000003,-0,0,0,-0,-0.002211,0.002262,0.000005,0,0.000005,0.000001,0,5,0.564843,0,0.621997,spots
4,1.615846,0.830442,0.39494,0.249571,0.094937,-0.150904,-0.983624,-1.712234,25.425148,-1.474953,0.306796,0.128474,0.036032,0.029331,0.013992,0,5,2.571429,3,2.952381,0.876542,-0.739304,0.082545,0.053872,0.03488,0.000769,-0.002315,-0.000204,0.000757,0.000609,-0.171297,0.046963,0.004626,0.001807,0.004721,0.001094,0,5,1.727273,2,1.829545,0.591258,-1.024587,-0.285284,0.011505,0.004186,0.00241,0.000001,-0.000008,-0,0,-0,-0.018101,0.014948,0.000291,0.000017,0.0004,0.000041,0,5,0.840467,1,0.993981,0.53141,-1.084436,-0.345132,-0.059848,0.001913,0.000197,0.000064,0.000003,-0,0,0,-0,-0.002174,0.002436,0.000006,0,0.000005,0.000001,0,5,0.574468,0,0.622683,spots
3,1.386807,0.727136,0.157037,0.075707,-0.093005,-0.1638,0.125675,4.928168,-1.090419,-0.808465,0.338086,0.097507,0.029529,0.028283,0.013484,0,4,1.714286,1,2.571429,0.868827,-0.51798,0.077412,0.053319,0.028381,-0.001101,-0.001162,0.000403,0.000153,-0.000286,-0.159113,0.054167,0.00498,0.001579,0.004706,0.001128,0,5,1.242424,1,2.001894,0.588472,-0.798334,-0.280355,0.011437,0.00406,0.002353,0.000007,-0.000007,-0,0,-0,-0.017851,0.015784,0.000305,0.000023,0.000399,0.000045,0,5,0.844358,1,1.006931,0.530523,-0.856284,-0.338304,-0.057949,0.001909,0.000192,0.000064,0.000003,-0,0,0,-0,-0.002165,0.002477,0.000006,0,0.000005,0.000001,0,5,0.560284,0,0.607363,spots
3,1.13863,0.34299,0.061015,0.052119,-0.214799,0.074819,0.995372,-0.633701,-29.415981,-0.351886,0.225579,0.054607,0.025233,0.025703,0.012396,0,3,1.285714,1,1.904762,0.827464,-0.311165,0.063447,0.046147,0.018828,-0.001709,0.00026,0.000625,-0.000579,-0.000764,-0.128423,0.074744,0.005514,0.001288,0.004538,0.001116,0,4,1.242424,1,1.564394,0.582714,-0.555916,-0.244751,0.011223,0.003557,0.001918,0.000004,-0.000006,-0,0,-0,-0.016698,0.016924,0.000322,0.000029,0.000392,0.000049,0,5,0.809339,1,1.045537,0.529462,-0.609167,-0.298002,-0.053252,0.001903,0.000185,0.00006,0.000003,-0,-0,0,-0,-0.002149,0.002509,0.000006,0,0.000006,0.000001,0,5,0.56079,0,0.611356,spots
3,0.748485,0.252814,0.234001,0.174472,-0.057972,-0.115453,-0.17476,4.58492,3.880356,-0.15566,0.299586,0.053243,0.016693,0.021866,0.012417,0,3,0.714286,0,1.238095,0.701504,-0.046981,0.036023,0.028022,0.017475,-0.002843,-0.000447,0.000411,0.00029,-0.000291,-0.025476,0.064654,0.002794,0.001022,0.003711,0.000757,0,3,0.666667,0,0.854167,0.586938,-0.161547,-0.114566,0.012612,0.001817,0.00144,0.000053,-0.000005,-0,0,-0,-0.015869,0.006792,0.000139,0.00003,0.000398,0.000021,0,5,0.70428,0,0.849708,0.536845,-0.21164,-0.164659,-0.050093,0.001954,0.000202,0.000074,0.000003,-0,0,0,-0,-0.002231,0.001916,0.000004,0,0.000004,0.000001,0,5,0.579049,0,0.633971,spots
1,1.027003,0.384089,0.246443,0.111471,-0.026261,-0.173382,-0.281089,-1.652877,2.098414,-0.519061,0.388379,0.069567,0.030803,0.024033,0.012865,0,3,1.714286,1,1.571429,0.75344,-0.273563,0.046997,0.029271,0.007685,-0.001064,-0.00126,0.000183,0.000628,-0.000393,-0.068583,0.078546,0.003493,0.001361,0.003882,0.00084,0,3,0.878788,1,0.859848,0.5895,-0.437503,-0.16394,0.012757,0.002801,0.001493,0.00002,-0.000006,0,0,-0,-0.017051,0.005579,0.000138,0.000023,0.000398,0.000025,0,5,0.735409,0,0.921905,0.534845,-0.492158,-0.218595,-0.054655,0.001947,0.000197,0.000071,0.000003,-0,0,0,-0,-0.002215,0.002097,0.000004,0,0.000004,0.000001,0,5,0.575655,0,0.624793,spots
3,1.187486,0.495296,0.316312,0.025881,-0.080713,-0.182711,-0.078306,3.91875,20.218697,-0.785728,0.55647,0.115447,0.034601,0.02605,0.013627,0,3,1.285714,1,1.238095,0.801001,-0.386485,0.05409,0.029002,0.009222,-0.000291,-0.001285,0.000217,0.00046,-0.00046,-0.092314,0.083278,0.003849,0.001616,0.004105,0.000942,0,5,1.272727,1,1.829545,0.593508,-0.593978,-0.207493,0.013008,0.003398,0.002064,0.000043,-0.000007,-0,0,-0,-0.01847,0.003722,0.000143,0.000013,0.000405,0.000029,0,5,0.762646,0,0.947349,0.534091,-0.653395,-0.266911,-0.059417,0.001944,0.000201,0.000076,0.000004,-0,0,0,-0,-0.002221,0.002143,0.000004,0,0.000004,0.000001,0,5,0.562561,0,0.615929,spots
3,1.195894,0.500191,0.235224,0.000798,-0.033323,-0.023173,-0.026538,0.927312,8.0814,-0.734617,0.380197,0.067717,0.045851,0.025176,0.012967,0,3,1.428571,1,0.952381,0.790461,-0.405433,0.0552,0.038719,0.007838,0.000961,-0.001137,-0.000218,0.000169,-0.000051,-0.101757,0.074736,0.003252,0.001522,0.003926,0.0009,0,5,1.242424,1,1.439394,0.589418,-0.606476,-0.201043,0.012729,0.003504,0.001424,-0.000019,-0.000006,0,0,-0,-0.017658,0.005049,0.000136,0.000018,0.000392,0.000031,0,5,0.754864,1,0.91233,0.532657,-0.663237,-0.257804,-0.056761,0.001938,0.000184,0.000066,0.000003,-0,0,0,-0,-0.002188,0.002262,0.000005,0,0.000005,0.000001,0,5,0.56838,0,0.618078,spots
2,1.480758,0.714112,0.368194,0.144907,-0.007524,-0.033043,-0.097012,-2.59289,2.224459,-1.227213,0.429397,0.119234,0.035864,0.027393,0.013747,1,5,2.571429,3,1.952381,0.847871,-0.632887,0.065381,0.049543,0.026263,0.000587,-0.00198,-0.000143,0.000325,0.000281,-0.141186,0.063313,0.003399,0.001513,0.004158,0.00102,0,5,1.393939,1,1.746212,0.592679,-0.888079,-0.255192,0.01298,0.003928,0.00209,0,-0.000008,0,0,-0,-0.018998,0.003846,0.000141,0.000016,0.000399,0.000036,0,5,0.770428,1,0.89631,0.531862,-0.948896,-0.316009,-0.060818,0.001935,0.000184,0.00007,0.000004,-0,0,0,-0,-0.002189,0.00231,0.000005,0,0.000005,0.000001,0,5,0.57032,0,0.622661,spots
5,1.519365,0.602405,0.416892,0.269704,0.020995,-0.176688,0.04269,5.435329,-16.909054,-1.289001,0.532079,0.137349,0.032852,0.028063,0.013959,0,5,2,2,3.666667,0.879683,-0.639682,0.071192,0.054157,0.031031,0.000082,-0.001795,0.000124,0.000263,0.000285,-0.15638,0.043835,0.003379,0.001567,0.00428,0.001106,0,5,1.484848,1,2.070076,0.593379,-0.925986,-0.286303,0.013095,0.004169,0.002437,0.00002,-0.000009,-0,0,-0,-0.0197,0.004036,0.000144,0.000024,0.000402,0.000041,0,5,0.836576,1,0.965376,0.531008,-0.988357,-0.348675,-0.062371,0.001931,0.000182,0.000072,0.000004,-0,0,0,-0,-0.002185,0.002356,0.000005,0,0.000005,0.000001,0,5,0.557711,0,0.611661,spots
