@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
0,2.043613,2.142857,3.142857,1.813132,-0.230481,2.242424,2.689394,1.799291,-0.244323,-0.013842,1.697872,2.083542,1.797713,-0.2459,-0.015419,-0.001577,1.713259,2.092236,NotSpot
1,1.964418,1.714286,0.904762,1.770898,-0.19352,2.212121,1.984848,1.790771,-0.173647,0.019873,1.680851,2.149845,1.796094,-0.168324,0.025196,0.005323,1.728282,2.120893,NotSpot
2,1.896634,2.285714,1.238095,1.705106,-0.191529,1.787879,1.172348,1.782399,-0.114236,0.077293,1.625532,2.192508,1.794348,-0.102286,0.089243,0.01195,1.704768,2.090559,NotSpot
1,1.683527,1.571429,1.619048,1.637042,-0.046485,1.69697,1.280303,1.775066,0.091539,0.138024,1.519149,1.951555,1.792682,0.109155,0.15564,0.017617,1.711953,2.192138,NotSpot
0,1.461629,1.285714,1.571429,1.593743,0.132114,1.515152,1.320076,1.769433,0.307805,0.175691,1.523404,2.011202,1.790914,0.329285,0.197171,0.021481,1.704768,2.195134,NotSpot
1,1.381413,0.714286,1.238095,1.594917,0.213505,1.333333,1.479167,1.766243,0.38483,0.171326,1.557447,2.179378,1.789201,0.407788,0.194283,0.022958,1.694971,2.163759,NotSpot
0,1.574303,1.142857,1.142857,1.638122,0.063819,1.787879,2.734848,1.765196,0.190893,0.127074,1.497872,2.1485,1.787471,0.213168,0.149349,0.022275,1.699543,2.167183,NotSpot
0,2.121736,2.571429,7.952381,1.697827,-0.423909,2.424242,3.689394,1.765755,-0.355981,0.067928,1.53617,2.412148,1.785777,-0.335959,0.08795,0.020022,1.7113,2.145356,NotSpot
8,2.45963,4.142857,7.809524,1.740079,-0.719551,2.151515,4.070076,1.767636,-0.691994,0.027557,1.604255,2.641862,1.784126,-0.675505,0.044046,0.016489,1.705421,2.150422,NotSpot
4,2.111131,2.714286,8.238095,1.750175,-0.360956,2.060606,4.183712,1.770103,-0.341028,0.019928,1.617021,2.536461,1.782485,-0.328647,0.03231,0.012382,1.700196,2.147314,NotSpot
2,1.845302,1.714286,2.238095,1.740028,-0.105273,1.969697,3.405303,1.772555,-0.072747,0.032526,1.659575,2.524641,1.780903,-0.064399,0.040874,0.008348,1.702809,2.182861,NotSpot
3,1.904967,2.571429,1.619048,1.727344,-0.177623,1.848485,1.945076,1.774588,-0.130379,0.047243,1.591489,2.182833,1.779432,-0.125535,0.052087,0.004844,1.713259,2.198118,NotSpot
2,1.766341,1.428571,1.952381,1.720566,-0.045775,1.939394,1.871212,1.775672,0.009331,0.055106,1.6,2.095726,1.77808,0.011739,0.057514,0.002409,1.711953,2.146386,NotSpot
1,1.996554,1.857143,1.142857,1.843639,-0.152915,2.363636,2.363636,1.828416,-0.168138,-0.015223,1.782979,2.28176,1.808901,-0.187653,-0.034738,-0.019515,1.739386,2.153605,NotSpot
1,1.86912,1.571429,1.952381,1.833567,-0.035553,2.060606,1.621212,1.826904,-0.042216,-0.006663,1.8,2.263248,1.807169,-0.061951,-0.026398,-0.019735,1.710647,2.092037,NotSpot
4,1.981544,2.428571,0.952381,1.833023,-0.148522,1.939394,2.246212,1.823702,-0.157842,-0.00932,1.8,2.263248,1.805313,-0.176231,-0.027709,-0.018389,1.714566,2.124356,NotSpot
2,2.11918,1.857143,3.809524,1.844195,-0.274985,2.30303,2.842803,1.81846,-0.30072,-0.025735,1.72766,2.233206,1.803349,-0.315831,-0.040846,-0.015111,1.717831,2.088956,NotSpot
0,2.265249,2.857143,5.809524,1.85172,-0.413529,2.484848,2.882576,1.81153,-0.453719,-0.04019,1.689362,2.044117,1.801425,-0.463824,-0.050295,-0.010105,1.718485,2.083442,NotSpot
5,2.277226,2.428571,3.952381,1.833035,-0.444192,2.333333,2.791667,1.803053,-0.474173,-0.029981,1.697872,2.17756,1.799492,-0.477735,-0.033543,-0.003562,1.72175,2.091154,NotSpot
2,2.073557,2.714286,3.904762,1.780436,-0.29312,1.969697,2.092803,1.794017,-0.27954,0.013581,1.714894,2.102128,1.797544,-0.276013,0.017107,0.003527,1.723057,2.123252,NotSpot
2,1.772285,1.571429,0.619048,1.706983,-0.065302,1.878788,1.734848,1.785459,0.013174,0.078476,1.625532,2.021568,1.795491,0.023206,0.088508,0.010032,1.722404,2.147073,NotSpot
0,1.530026,1,0.666667,1.637536,0.10751,1.818182,1.403409,1.778444,0.248417,0.140907,1.510638,1.874886,1.793528,0.263501,0.155991,0.015084,1.716525,2.140505,NotSpot
1,1.447307,1,1.333333,1.59902,0.151713,1.545455,1.755682,1.773648,0.326341,0.174628,1.52766,1.925514,1.791472,0.344164,0.192452,0.017824,1.70934,2.186703,NotSpot
0,1.409491,1.428571,1.619048,1.60851,0.199018,1.393939,1.871212,1.771734,0.362242,0.163224,1.574468,2.279687,1.789473,0.379982,0.180963,0.017739,1.705421,2.153036,NotSpot
3,1.571125,1,1.333333,1.662191,0.091066,1.69697,2.217803,1.772285,0.20116,0.110094,1.544681,2.214875,1.787459,0.216334,0.125268,0.015174,1.689092,2.135953,NotSpot
1,2.073749,2.714286,3.571429,1.735579,-0.338169,2.090909,4.147727,1.774544,-0.299204,0.038965,1.702128,2.799782,1.785475,-0.288274,0.049896,0.01093,1.694971,2.080099,NotSpot
5,2.384926,3.142857,7.142857,1.794769,-0.590157,2.424242,3.689394,1.777897,-0.607029,-0.016871,1.685106,2.738025,1.783535,-0.601392,-0.011234,0.005637,1.705421,2.091598,NotSpot
0,2.142343,2.142857,3.476191,1.82214,-0.320203,2.484848,4.007576,1.781368,-0.360975,-0.040772,1.702128,2.774141,1.781602,-0.36074,-0.040537,0.000235,1.705421,2.117742,NotSpot
0,2.046984,1.714286,3.571429,1.823512,-0.223472,2.242424,2.689394,1.784211,-0.262774,-0.039301,1.731915,2.684233,1.779733,-0.267251,-0.043779,-0.004478,1.693664,2.170803,NotSpot
5,2.214473,2.857143,3.142857,1.812352,-0.402121,2.242424,2.689394,1.785868,-0.428605,-0.026484,1.710638,2.616767,1.777981,-0.436492,-0.034371,-0.007887,1.697583,2.153582,NotSpot
2,2.138336,3,1.666667,1.796512,-0.341825,2.030303,2.592803,1.785749,-0.352588,-0.010763,1.66383,2.095908,1.776351,-0.361985,-0.02016,-0.009397,1.709993,2.165514,NotSpot
4,1.934738,1.714286,2.904762,1.778243,-0.156495,2,2,1.784002,-0.150736,0.005759,1.685106,2.114094,1.774796,-0.159942,-0.003447,-0.009206,1.699543,2.101823,NotSpot
0,1.743718,1.857143,1.809524,1.760201,0.016484,1.727273,1.642045,1.780324,0.036606,0.020122,1.753191,2.161047,1.773366,0.029649,0.013165,-0.006957,1.693664,2.111979,NotSpot
1,1.613687,1,0.666667,1.745159,0.131472,1.878788,2.172348,1.774787,0.161099,0.029628,1.714894,2.059393,1.772201,0.158514,0.027043,-0.002585,1.68256,2.090016,NotSpot
1,1.627676,1.285714,1.571429,1.730984,0.103308,1.575758,1.251894,1.767759,0.140083,0.036775,1.659575,1.986179,1.771095,0.14342,0.040111,0.003336,1.667538,2.012926,NotSpot
1,1.826925,2,1.333333,1.711373,-0.115552,1.939394,1.933712,1.759789,-0.067136,0.048416,1.634043,1.95952,1.770172,-0.056753,0.058799,0.010383,1.648596,1.922186,NotSpot
3,1.946613,2.142857,2.476191,1.84749,-0.099122,1.878788,2.547348,1.848507,-0.098106,0.001017,1.8,2.374359,1.820202,-0.126411,-0.027288,-0.028305,1.747877,2.108942,NotSpot
0,1.916928,1.714286,1.571429,1.864532,-0.052395,2.060606,1.871212,1.844892,-0.072036,-0.019641,1.804255,2.397418,1.819016,-0.097911,-0.045516,-0.025875,1.760941,2.145428,NotSpot
2,2.061791,1.857143,1.47619,1.883821,-0.17797,2.242424,1.689394,1.842639,-0.219152,-0.041182,1.757447,2.312711,1.817393,-0.244398,-0.066428,-0.025246,1.745265,2.167747,NotSpot
2,2.146401,2.285714,1.571429,1.893841,-0.25256,2.060606,1.871212,1.840803,-0.305598,-0.053038,1.8,2.254701,1.815661,-0.33074,-0.07818,-0.025142,1.755715,2.210874,NotSpot
2,2.00762,1.714286,2.571429,1.888578,-0.119042,2.030303,1.842803,1.838895,-0.168725,-0.049682,1.757447,2.175959,1.813699,-0.193921,-0.074879,-0.025196,1.720444,2.125719,NotSpot
1,1.955733,2.142857,0.809524,1.875124,-0.08061,2.060606,1.933712,1.836344,-0.11939,-0.03878,1.834043,2.309947,1.811595,-0.144138,-0.063529,-0.024749,1.711953,2.078413,NotSpot
2,2.071002,2.428571,2.952381,1.86739,-0.203612,1.969697,1.967803,1.832212,-0.238791,-0.035178,1.8,2.323077,1.809383,-0.26162,-0.058007,-0.022829,1.694971,2.06572,NotSpot
5,2.183812,2.285714,2.571429,1.869488,-0.314324,2.333333,2.729167,1.826214,-0.357598,-0.043274,1.782979,2.290307,1.807084,-0.376728,-0.062404,-0.01913,1.714566,2.09952,NotSpot
1,2.271614,2.571429,3.285714,1.869314,-0.4023,2.484848,2.945076,1.818747,-0.452867,-0.050567,1.723404,2.072741,1.804851,-0.466763,-0.064463,-0.013896,1.714566,2.085141,NotSpot
4,2.332295,3,4,1.846156,-0.486139,2.363636,3.051136,1.810016,-0.522279,-0.036139,1.710638,2.052664,1.802611,-0.529684,-0.043545,-0.007406,1.725016,2.08708,NotSpot
6,2.18421,2.714286,3.904762,1.792392,-0.391818,2,1.9375,1.800978,-0.383231,0.008587,1.685106,2.071358,1.800376,-0.383834,0.007984,-0.000602,1.737427,2.137546,NotSpot
1,1.796539,2,3.666667,1.720849,-0.07569,1.878788,1.672348,1.792669,-0.00387,0.071819,1.668085,2.085943,1.798053,0.001514,0.077203,0.005384,1.749837,2.221691,NotSpot
0,1.553015,1.142857,1.142857,1.657111,0.104096,1.666667,1.729167,1.786238,0.233223,0.129127,1.587234,1.944281,1.795823,0.242808,0.138712,0.009585,1.724363,2.160576,NotSpot
1,1.557702,1.428571,2.952381,1.62677,0.069068,1.606061,1.433712,1.782324,0.224622,0.155554,1.557447,1.897327,1.793509,0.235806,0.166738,0.011184,1.713912,2.200453,NotSpot
0,1.566269,1.285714,1.904762,1.643701,0.077432,1.727273,2.079545,1.781478,0.215209,0.137777,1.587234,2.234879,1.791249,0.22498,0.147548,0.009771,1.703462,2.159066,NotSpot
1,1.698813,1.857143,4.476191,1.702507,0.003694,1.606061,1.933712,1.783211,0.084398,0.080704,1.595745,2.44699,1.788973,0.09016,0.086467,0.005763,1.706074,2.116166,NotSpot
5,2.020737,2.285714,1.904762,1.780591,-0.240146,1.939394,2.496212,1.786638,-0.234099,0.006047,1.714894,2.726059,1.786718,-0.234019,0.006127,0.00008,1.691705,2.089206,NotSpot
2,2.143171,2.857143,3.476191,1.846878,-0.296293,2.090909,2.897727,1.790911,-0.352259,-0.055966,1.744681,2.866158,1.784507,-0.358664,-0.062371,-0.006404,1.688439,2.106134,NotSpot
2,2.07752,1.857143,1.142857,1.883652,-0.193868,2.090909,2.647727,1.794942,-0.282578,-0.08871,1.787234,2.928896,1.782299,-0.295221,-0.101353,-0.012643,1.687133,2.104011,NotSpot
