@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
3,1.498011,2.428571,3.285714,0.978675,-0.519336,1.515152,3.320076,0.781185,-0.716826,-0.19749,0.968872,1.374027,0.713412,-0.784599,-0.265263,-0.067773,0.777102,0.902141,Spot
2,1.393557,2.285714,7.571429,0.996577,-0.396981,1.454545,3.318182,0.785901,-0.607656,-0.210675,0.961089,1.287543,0.71466,-0.678897,-0.281916,-0.071241,0.767477,0.889139,Spot
4,1.402085,2.142857,4.809524,0.992334,-0.409751,1.363636,3.613636,0.780415,-0.62167,-0.211919,1.027237,1.362536,0.712773,-0.689312,-0.279561,-0.067641,0.772543,0.884375,Spot
2,1.734565,3.285714,6.238095,1.050028,-0.684537,1.575758,3.439394,0.789015,-0.94555,-0.261013,1.035019,1.36205,0.71407,-1.020494,-0.335958,-0.074944,0.778622,0.901296,Spot
8,1.787264,2.285714,7.571429,1.073884,-0.713381,1.545455,3.068182,0.794239,-0.993025,-0.279645,1.015564,1.304444,0.715357,-1.071907,-0.358526,-0.078882,0.779635,0.892621,Spot
0,1.518641,2.428571,7.952381,1.064887,-0.453754,1.484848,2.695076,0.795529,-0.723112,-0.269358,1.031128,1.405277,0.71664,-0.802001,-0.348247,-0.078889,0.780142,0.89031,Spot
2,1.360025,2,3,1.031305,-0.328719,1.363636,2.176136,0.784987,-0.575038,-0.246319,1.019455,1.331651,0.713646,-0.646378,-0.317659,-0.07134,0.762918,0.87534,Spot
4,1.672534,1.857143,1.809524,1.094473,-0.578061,1.666667,3.041667,0.794043,-0.878491,-0.30043,1.019455,1.316026,0.714994,-0.95754,-0.379479,-0.079049,0.754813,0.875484,Spot
3,1.802474,3.285714,6.238095,1.120207,-0.682266,1.757576,2.689394,0.79959,-1.002883,-0.320617,1.054475,1.418896,0.716322,-1.086152,-0.403886,-0.083269,0.765451,0.877042,Spot
4,1.631413,2,2,1.112043,-0.51937,1.575758,2.689394,0.801034,-0.830379,-0.311009,1.136187,1.508724,0.717641,-0.913772,-0.394402,-0.083393,0.775076,0.886028,Spot
