@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
8,6.24382,2.740896,1.106304,0.052055,0.181101,0.070632,-1.280421,-3.576968,42.72049,-3.899255,2.778057,3.566173,1.541389,1.264174,0.374635,2,15,8.142858,8,23.142857,3.600496,-2.643324,0.547835,0.200641,0.109771,-0.009971,-0.002983,-0.000558,0.000624,0.001069,-0.858248,0.663697,0.292837,0.166794,0.171822,0.079642,0,19,6.636364,6,25.176136,1.943185,-4.300635,-1.657311,0.046463,0.036973,0.022906,-0.000545,-0.000044,0,0,-0,-0.106342,0.104983,0.009839,0.001685,0.006082,0.004523,0,19,3.513619,2,13.461728,1.187831,-5.055989,-2.412665,-0.755354,0.005247,0.003407,0.003088,-0.000006,-0,0,0,-0,-0.011742,0.017177,0.000282,0.000011,0.000201,0.000062,0,19,1.685915,1,5.138878,Spot
5,5.742421,2.134047,0.843877,0.679674,0.118775,0.04473,0.203043,-0.558717,-39.823727,-1.969843,2.18041,2.957409,1.202843,1.30328,0.390932,1,10,6.428571,7,8.285714,3.762117,-1.980304,0.554151,0.155731,0.142012,-0.007017,-0.001241,0.000021,0.000092,0.000441,-0.851894,0.646973,0.28809,0.169352,0.180061,0.083553,1,16,6.030303,5,16.217804,1.996636,-3.745785,-1.765481,0.048076,0.037907,0.028843,-0.000291,-0.00005,0,0,-0,-0.114825,0.093133,0.008094,0.001811,0.005866,0.004756,0,19,3.859922,3,15.019364,1.192855,-4.549565,-2.569262,-0.803781,0.00524,0.003518,0.003244,-0.000001,-0,0,0,-0,-0.012002,0.016481,0.00026,0.000012,0.000184,0.000068,0,19,1.691851,1,5.163632,Spot
7,5.365537,1.688921,0.463526,0.01976,-0.139623,-0.012202,0.090823,-0.197327,3.675054,-1.245155,1.548376,2.236807,1.032886,1.266864,0.388189,3,8,5.857143,6,2.809524,3.76742,-1.598117,0.533712,0.161939,0.118202,-0.003801,0.000098,0.000994,-0.000506,-0.00079,-0.813852,0.641486,0.28645,0.159127,0.178472,0.083762,1,12,5.424242,6,8.314394,2.009098,-3.356439,-1.758322,0.048169,0.037954,0.0305,-0.00001,-0.000051,0,0,-0,-0.116622,0.090037,0.007684,0.001829,0.005772,0.004865,0,19,3.902724,3,15.299094,1.194003,-4.171535,-2.573417,-0.815095,0.005235,0.003593,0.003211,0.000005,-0,0,0,-0,-0.012038,0.016277,0.000253,0.000012,0.000177,0.000071,0,19,1.711279,1,5.148237,Spot
6,5.32407,1.643534,0.430027,0.412609,-0.135819,0.017051,-0.763074,4.007887,43.211262,-1.626117,1.677482,1.987512,1.043514,1.164553,0.365796,2,7,5.714286,6,3.238095,3.634359,-1.689712,0.494475,0.184916,0.094329,0.002367,-0.000137,0.000894,-0.00062,-0.000693,-0.77372,0.642523,0.283844,0.140064,0.167361,0.079914,2,14,5.575758,5,8.501894,1.97914,-3.344931,-1.655219,0.046752,0.038097,0.026653,0.000266,-0.000045,0,0,-0,-0.111503,0.097789,0.008744,0.001735,0.005803,0.004825,0,19,3.774319,3,13.128556,1.191435,-4.132636,-2.442924,-0.787705,0.005239,0.003581,0.003031,0.000011,-0,-0,0,0,-0.011851,0.016603,0.000262,0.000012,0.000183,0.00007,0,19,1.690232,1,5.144813,Spot
7,5.086166,1.623114,0.711628,0.26952,0.097785,-0.130176,0.578175,3.670349,-40.772034,-2.065223,2.009685,2.028173,0.963512,1.01403,0.326353,2,12,6,6,10.666667,3.364548,-1.721618,0.437142,0.207441,0.056516,0.011017,-0.001133,-0.000303,-0.000253,0.000274,-0.7011,0.647661,0.280307,0.114815,0.148554,0.072788,0,14,4.939394,4,10.246212,1.910035,-3.176131,-1.454513,0.044025,0.037069,0.019155,0.00051,-0.000035,-0,0,0,-0.100249,0.11087,0.010795,0.001547,0.006043,0.004551,0,19,3.326848,2,10.252128,1.185115,-3.901051,-2.179433,-0.72492,0.005237,0.003493,0.002718,0.000016,-0,-0,0,0,-0.011448,0.017342,0.000286,0.000011,0.000199,0.000066,0,19,1.670804,1,5.130232,Spot
2,4.223793,1.186499,0.679707,0.396924,0.21889,0.335574,0.377923,-12.506863,1.203331,-0.903716,1.953681,1.85923,0.691178,0.836577,0.275173,2,8,4.428571,4,5.619048,2.969492,-1.254301,0.364042,0.207173,0.005258,0.018185,-0.001489,-0.001263,0.00021,0.000568,-0.565956,0.641174,0.271041,0.086361,0.124928,0.064465,1,14,4.818182,4,11.778409,1.809203,-2.41459,-1.160289,0.040286,0.034466,0.009729,0.000701,-0.000022,-0,0,0,-0.084481,0.122317,0.012891,0.001302,0.006393,0.004074,0,19,3.015564,2,9.171632,1.175413,-3.04838,-1.794079,-0.63379,0.005212,0.003351,0.002291,0.000021,-0,-0,0,0,-0.010854,0.018286,0.000317,0.00001,0.00022,0.000061,0,19,1.6449,1,5.052022,Spot
13,7.657059,3.118989,1.314152,1.217354,0.030469,-0.433387,0.615366,4.511804,-31.092798,-5.650495,2.72241,4.835225,0.897289,1.411777,0.388558,3,16,10.428572,11,16.952381,4.061485,-3.595573,0.621979,0.293013,0.202666,-0.008209,-0.005084,-0.000266,0.001179,0.000883,-1.117658,0.537364,0.280153,0.147685,0.188247,0.081024,0,19,7.757576,8,27.876894,2.008659,-5.6484,-2.052826,0.048428,0.040807,0.029806,-0.000306,-0.000055,0,0,-0,-0.119042,0.087541,0.00737,0.001846,0.005669,0.004919,0,19,3.980545,3,14.089464,1.189399,-6.46766,-2.872087,-0.81926,0.005247,0.00343,0.003382,-0.000002,-0,0,0,-0,-0.01206,0.01705,0.000279,0.000011,0.000204,0.000066,0,19,1.687534,1,5.153392,Spot
10,6.785662,2.319496,0.601165,0.484363,-0.160471,0.127964,-0.285762,7.368586,27.081446,-2.436298,2.454721,4.052368,0.711544,1.455956,0.408754,1,13,7.142857,6,21.142857,4.231908,-2.553754,0.623997,0.297086,0.178461,-0.006351,-0.001614,0.000965,-0.000599,-0.000619,-1.099544,0.498455,0.291954,0.127231,0.197343,0.085996,1,16,7.30303,7,19.905304,2.064509,-4.721153,-2.167399,0.049899,0.041601,0.036603,-0.000146,-0.000062,0,0,-0,-0.128103,0.067835,0.005192,0.001968,0.005454,0.005149,0,19,4.361868,3,15.434946,1.194431,-5.591231,-3.037477,-0.870077,0.005229,0.003625,0.003467,0.000001,-0,0,0,-0,-0.01232,0.016317,0.000256,0.000012,0.000185,0.000072,0,19,1.705343,1,5.149632,Spot
3,6.171688,1.520121,0.88245,0.074611,-0.333111,0.57983,0.402164,-9.050671,-6.871607,-0.712282,1.928984,3.22201,0.62957,1.415373,0.407554,3,10,6.428571,7,8.619047,4.220583,-1.951105,0.595845,0.298369,0.150039,-0.002576,0.000512,0.001502,-0.001598,-0.001642,-1.044252,0.507757,0.291911,0.117119,0.195587,0.086488,1,16,6.606061,6,13.808712,2.076619,-4.095069,-2.143964,0.049802,0.040655,0.039329,0.000021,-0.000061,0,0,-0,-0.129786,0.063139,0.004811,0.001964,0.005433,0.005231,0,19,4.451362,3,15.240789,1.19549,-4.976198,-3.025093,-0.881129,0.005224,0.0037,0.003425,0.000004,-0,0,0,-0,-0.012349,0.016137,0.00025,0.000013,0.000179,0.000074,0,19,1.701565,1,5.164128,Spot
5,6.294219,1.758058,0.385671,0.116358,-0.276075,0.044182,1.155293,-2.094843,-30.030064,-2.027371,2.158247,2.975187,0.694932,1.300633,0.384479,3,12,6.571429,6,10.952381,4.050644,-2.243574,0.54647,0.297695,0.142297,0.003529,-0.000428,0.000628,-0.000764,-0.000933,-0.986461,0.544222,0.282551,0.108534,0.183315,0.082098,1,19,6.848485,6,16.945076,2.043604,-4.250614,-2.00704,0.048233,0.041924,0.03374,0.000175,-0.000054,-0,0,0,-0.123898,0.077884,0.006244,0.001855,0.005485,0.005218,0,19,4.178988,3,13.366276,1.19274,-5.101479,-2.857904,-0.850864,0.005239,0.003643,0.003266,0.000007,-0,-0,0,0,-0.012147,0.016541,0.000262,0.000012,0.000188,0.00007,0,19,1.67674,1,5.156246,Spot
