@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
1,1.994799,2.428571,3.285714,1.810151,-0.184648,1.939394,2.933712,1.403019,-0.591781,-0.407133,1.929961,3.901325,1.210389,-0.78441,-0.599762,-0.192629,1.336212,1.860443,Spot
5,2.393818,3.142857,5.809524,1.843135,-0.550684,2.363636,3.613636,1.403086,-0.990732,-0.440048,1.894942,3.906888,1.218988,-1.174831,-0.624147,-0.184099,1.328656,1.865469,Spot
6,2.454381,3.142857,6.142857,1.797272,-0.657109,2.212121,3.484848,1.39102,-1.063361,-0.406252,1.848249,3.8636,1.228016,-1.226365,-0.569257,-0.163004,1.317323,1.860375,Spot
3,2.598003,2,1.666667,2.043566,-0.554437,2.69697,4.342803,1.432445,-1.165559,-0.611121,2.097276,4.213157,1.2154,-1.382603,-0.828166,-0.217045,1.330275,1.866021,Spot
1,3.019817,3.428571,4.952381,2.086013,-0.933803,3.424242,6.001894,1.432846,-1.586971,-0.653167,2.046693,4.161874,1.224018,-1.795798,-0.861995,-0.208828,1.327577,1.880216,Spot
6,3.199543,4.285714,2.904762,2.0206,-1.178943,3.151515,5.257576,1.419777,-1.779766,-0.600824,1.929961,4.174763,1.233023,-1.96652,-0.787577,-0.186754,1.320022,1.878632,Spot
3,2.911615,2.857143,6.476191,2.083502,-0.828113,3.30303,7.780303,1.435322,-1.476294,-0.64818,2.136187,4.125912,1.211939,-1.699676,-0.871563,-0.223382,1.320022,1.868913,Spot
1,3.401467,3.714286,2.904762,2.225594,-1.175873,3.575758,10.876894,1.450488,-1.950979,-0.775106,2.225681,4.206682,1.220353,-2.181114,-1.005242,-0.230135,1.335132,1.888166,Spot
5,3.811755,3.857143,5.476191,2.267166,-1.54459,4.272727,11.017045,1.451283,-2.360472,-0.815883,2.14786,4.204615,1.229016,-2.582739,-1.038149,-0.222267,1.334593,1.868549,Spot
4,3.692482,5.142857,8.476191,2.17764,-1.514842,3.727273,7.267045,1.437855,-2.254627,-0.739785,2.081712,4.075328,1.238033,-2.454449,-0.939607,-0.199822,1.328117,1.862044,Spot
2,3.084566,3.285714,1.571429,2.134748,-0.949818,3.363636,9.426136,1.438796,-1.64577,-0.695952,2.155642,4.249118,1.216613,-1.867953,-0.918135,-0.222183,1.327037,1.891909,Spot
5,3.786519,4.714286,26.238094,2.279826,-1.506693,3.939394,11.683712,1.454272,-2.332247,-0.825554,2.237354,4.298912,1.225102,-2.561418,-1.054724,-0.22917,1.323799,1.876739,Spot
7,4.094956,5.714286,10.904762,2.310181,-1.784775,4.151515,11.570076,1.455431,-2.639525,-0.854751,2.284047,4.321346,1.233827,-2.861129,-1.076354,-0.221603,1.337291,1.898592,Spot
5,3.545622,4,2.666667,2.203839,-1.341783,3.818182,7.403409,1.442353,-2.103269,-0.761486,2.178988,4.16315,1.242882,-2.302741,-0.960957,-0.199471,1.324879,1.849041,Spot
3,2.730314,1.857143,1.47619,2.057432,-0.672883,3.060606,8.371212,1.428319,-1.301995,-0.629113,2.085603,4.180143,1.221268,-1.509047,-0.836164,-0.207051,1.318403,1.870487,Spot
