@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
3729,5504.961914,6116.856934,3022336.75,4867.654297,-637.307617,5636.54541,7279665,4081.557129,-1423.404785,-786.097168,4635.931641,10214903,2912.439941,-2592.521973,-1955.214355,-1169.117188,3537.41748,11044792,NotSpot
7843,5973.38916,6557,1143245.5,4915.650391,-1057.73877,6013.515137,7361371,3987.312744,-1986.076416,-928.337646,4645.585449,10996734,2812.419678,-3160.969482,-2103.230713,-1174.893066,3396.464111,10688290,NotSpot
6694,5840.642578,7086.856934,4499140,4873.333984,-967.308594,6046.211914,7754145.5,3955.072754,-1885.569824,-918.26123,4658.382813,11008347,2756.373291,-3084.269287,-2116.960693,-1198.699463,3425.267578,10865445,NotSpot
6752,5749.866211,6465.856934,6555373,4850.479492,-899.386719,6097.36377,7179497,3907.617432,-1842.248779,-942.862061,4688.629883,10688393,2717.149658,-3032.716553,-2133.329834,-1190.467773,3370.431396,10555235,NotSpot
8904,6543.647949,7304.143066,7394410.5,4989.834473,-1553.813477,6912.394043,7309337.5,3969.83667,-2573.811279,-1019.997803,4727.578613,9586293,2807.28418,-3736.36377,-2182.550293,-1162.55249,3446.1521,10410072,NotSpot
7294,6418.717285,8395.286133,5428622.5,4899.859863,-1518.857422,6361.727051,11574264,4031.720459,-2386.996826,-868.139404,4488.01709,10546759,2831.411865,-3587.30542,-2068.447998,-1200.308594,3569.359863,10667500,NotSpot
2776,6127.72168,7255,12621676,5236.231445,-891.490234,6310.666504,7010726.5,4372.077637,-1755.644043,-864.153809,4978.399902,11279045,3000.146484,-3127.575195,-2236.084961,-1371.931152,3912.336914,12489283,NotSpot
3197,6251.399902,5604,6060685,5360.430664,-890.969238,6591.303223,8773183,4537.722168,-1713.677734,-822.708496,5154.238281,11525522,3163.979736,-3087.420166,-2196.450928,-1373.742432,4058.896729,12480605,NotSpot
5559,6187.691406,7124,6088976.5,5337.984375,-849.707031,6229.181641,9066915,4635.928711,-1551.762695,-702.055664,5232.480957,11412676,3269.059326,-2918.63208,-2068.925049,-1366.869385,4200.996582,12131738,NotSpot
10071,6795.790527,7825.856934,1826098.625,5594.911621,-1200.878906,6997.121094,8892195,4659.668457,-2136.12207,-935.243164,5400.11084,12144926,3249.764404,-3546.026123,-2345.147217,-1409.904053,4239.616699,12158872,NotSpot
4352,5781.183105,5853.428711,6380549,5447.810059,-333.373047,6131.666504,6859433.5,4528.573242,-1252.609863,-919.236816,5409.659668,12437511,3089.858398,-2691.324707,-2357.95166,-1438.714844,3991.92749,11636946,NotSpot
