@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
1,1.911848,0.710263,0.146609,0.042054,-0.074537,0.088897,0.137854,-0.33419,15.9909,0.5216,0.501199,0.196428,0.045441,0.089535,0.053736,0,3,1.714286,2,0.904762,2.158532,0.246684,0.105347,0.046534,0.000641,-0.0018,0.000391,0.00018,-0.000372,-0.000341,0.059453,0.134474,0.014891,0.005954,0.029097,0.006005,0,6,1.848485,2,1.757576,2.400723,0.488875,0.242191,0.018398,0.006745,0.00043,-0.000063,0.000009,-0,-0,-0,0.025573,0.131684,0.017591,0.000119,0.016331,0.000743,0,10,2.171206,2,2.736199,2.791439,0.879591,0.632907,0.390716,0.005467,0.003522,0.001616,0.000035,0,0,-0,-0,0.003561,0.065418,0.004163,0.000028,0.003396,0.000194,0,12,2.368421,2,2.970938,'class 1'
2,2.419375,0.435517,0.417793,0.308885,-0.052118,0.241214,0.001933,-6.067121,16.050123,-0.291161,0.820508,0.270616,0.0661,0.092609,0.060236,1,6,2.857143,2,3.809524,2.296562,-0.122812,0.072514,0.071364,0.013487,-0.000826,-0.000691,0.000008,0.000023,-0.000145,-0.012338,0.162437,0.017063,0.003916,0.027547,0.006074,0,9,2.575758,2,3.689394,2.41688,-0.002495,0.120317,0.016919,0.004403,0.000901,0.000096,0.000004,-0,0,-0,0.020422,0.130283,0.017257,0.000092,0.016299,0.000629,0,10,2.276265,2,3.161661,2.794117,0.374743,0.497555,0.377238,0.005123,0.00358,0.002117,0.000038,0,0,-0,-0,0.00366,0.066419,0.004292,0.000024,0.003508,0.000171,0,12,2.364154,2,2.929948,'class 1'
5,2.838917,0.684425,0.374653,0.036842,0.033038,-0.174644,0.313527,3.075494,-20.154833,-1.022236,0.912214,0.292767,0.074277,0.094515,0.066018,0,9,3.571429,3,9.285714,2.419307,-0.419609,0.078726,0.029065,0.027205,0.000208,-0.001559,-0.000184,0.000551,0.000442,-0.076866,0.173596,0.01626,0.003727,0.026433,0.006089,0,10,2.606061,2,5.183712,2.43844,-0.400476,0.019133,0.015525,0.002758,0.001854,0.000231,-0,-0,0,-0,0.016429,0.129745,0.017134,0.000074,0.016351,0.000585,0,12,2.435798,2,3.621839,2.801483,-0.037434,0.382175,0.363043,0.004676,0.003656,0.002535,0.000041,0,0,-0,-0,0.003555,0.067404,0.004423,0.00002,0.003618,0.000145,0,12,2.384542,2,2.978717,'class 1'
5,2.917421,0.594385,0.389808,0.100929,0.107873,-0.247574,-0.838007,0.875517,7.01459,-0.883264,0.834161,0.264745,0.057196,0.094616,0.069882,0,10,3.714286,3,11.238095,2.4934,-0.424021,0.072451,0.045637,0.013683,-0.000052,-0.001486,-0.000182,0.000514,0.000617,-0.104405,0.163551,0.014041,0.003456,0.025802,0.006049,0,10,2.787879,2,4.859848,2.462825,-0.454597,-0.030575,0.014439,0.002324,0.002189,0.000351,-0.000002,0,0,-0,0.014304,0.130095,0.017227,0.000063,0.016493,0.000581,0,12,2.463035,2,3.85898,2.813274,-0.104147,0.319875,0.35045,0.004133,0.003745,0.002862,0.000044,0,-0,-0,-0,0.003251,0.068347,0.004548,0.000016,0.00372,0.000118,0,12,2.411569,2,2.937741,'class 1'
3,2.71186,0.429185,0.341095,0.270992,0.021962,-0.018763,-0.899177,-0.484817,26.153769,-0.182901,0.586866,0.201666,0.050318,0.093024,0.070748,0,5,2.857143,3,3.142857,2.503115,-0.208745,0.071299,0.045986,0.034328,-0.001243,-0.000786,-0.00001,0.000078,0.00004,-0.082957,0.142764,0.011652,0.003197,0.025687,0.005865,0,10,2.666667,3,3.479167,2.489745,-0.222115,-0.01337,0.013702,0.00294,0.00239,0.000469,-0.000003,0,0,-0,0.014253,0.131429,0.017554,0.000056,0.016735,0.000601,0,12,2.587549,2,4.055782,2.82933,0.117469,0.326215,0.339584,0.003846,0.003516,0.003077,0.000047,0,-0,-0,0,0.002747,0.069176,0.004658,0.000012,0.003808,0.000094,0,12,2.434803,2,2.944158,'class 1'
1,1.63162,0.514294,0.106957,0.001863,-0.045899,-0.047588,-0.262349,1.009098,28.045424,0.619387,0.388632,0.148413,0.024579,0.076504,0.046881,1,2,1.571429,2,0.285714,2.0122,0.38058,0.088897,0.016837,0.006189,0.004178,0.001787,-0.000033,-0.000132,-0.000593,0.099545,0.148931,0.01714,0.004212,0.0253,0.00626,0,6,1.575758,1,1.439394,2.318038,0.686418,0.305839,0.018875,0.009634,0.001421,-0.000187,0.000013,-0.000001,-0,0,0.02993,0.120538,0.014942,0.000151,0.014697,0.001006,0,10,2.050584,2,2.57165,2.761393,1.129773,0.749194,0.443355,0.006018,0.003315,0.001932,0.000029,0,0,-0,-0,0.004634,0.063491,0.003922,0.000034,0.003206,0.000235,0,12,2.266003,2,2.765547,'class 1'
2,2.198668,0.30817,0.286107,0.122416,0.003407,0.1579,0.218177,-1.257287,-3.464787,-0.144479,0.812371,0.254319,0.050807,0.079583,0.053568,1,6,2.428571,2,3.619048,2.184328,-0.014339,0.055918,0.044971,0.003855,0.000911,0.00067,-0.000037,-0.000251,0.00007,0.007092,0.192563,0.023499,0.002745,0.023644,0.006285,0,9,2.181818,2,3.465909,2.329915,0.131247,0.145586,0.017003,0.006447,0.000278,-0.000035,0.000004,-0,-0,-0,0.023172,0.118993,0.014561,0.000103,0.014528,0.000789,0,10,2.198444,2,2.86281,2.757492,0.558825,0.573164,0.427578,0.005831,0.003345,0.002478,0.000033,0,0,-0,-0,0.004964,0.064174,0.004009,0.000032,0.003289,0.000219,0,12,2.271219,2,2.743294,'class 1'
6,2.963716,0.713402,0.439589,0.26717,0.024304,0.139885,-0.033262,-4.35254,-37.006786,-1.420161,0.818336,0.275623,0.103114,0.082856,0.060661,2,9,4.285714,3,7.571429,2.378288,-0.585428,0.083093,0.028766,0.002202,-0.00228,-0.001221,0.000063,0.00016,0.000734,-0.109657,0.200339,0.023316,0.0037,0.022414,0.006156,0,10,2.969697,2,6.780303,2.3489,-0.614816,-0.029387,0.015227,0.003575,0.001784,0.000086,-0.000003,-0,0,-0,0.017018,0.118336,0.0144,0.000072,0.014489,0.000645,0,12,2.385214,2,3.479937,2.758619,-0.205097,0.380331,0.409718,0.005524,0.003393,0.002947,0.000037,0,0,-0,-0,0.005078,0.064979,0.004112,0.000028,0.003382,0.000195,0,12,2.255571,2,2.715962,'class 1'
9,3.487667,0.972524,0.668708,0.426822,-0.046349,-0.291138,-0.622491,1.169877,34.800678,-2.068054,0.50579,0.227241,0.134763,0.085262,0.066911,1,10,5.142857,5,11.809524,2.542466,-0.9452,0.106304,0.066023,0.035502,-0.004887,-0.002608,0.000445,0.000514,0.000255,-0.207829,0.163558,0.016699,0.005473,0.021606,0.005911,0,10,3.151515,3,4.757576,2.372298,-1.115369,-0.170168,0.013774,0.002898,0.001565,0.000182,-0.000009,0,0,-0,0.012441,0.118382,0.014414,0.000055,0.014568,0.000588,0,12,2.435798,2,3.660901,2.76488,-0.722786,0.222414,0.392583,0.005103,0.00346,0.003328,0.000041,0,0,-0,-0,0.004972,0.065877,0.004228,0.000023,0.003483,0.000167,0,12,2.280228,2,2.715079,'class 1'
10,3.577035,0.945202,0.492768,0.387467,-0.148842,-0.445014,0.61324,5.665649,3.772013,-1.825436,0.431792,0.225664,0.091579,0.086002,0.071098,2,10,5,4,10.666667,2.630055,-0.94698,0.106385,0.101215,0.038352,-0.00631,-0.002701,0.000755,0.00038,-0.00078,-0.245952,0.110214,0.010574,0.005605,0.021225,0.00567,0,10,3.212121,3,6.734848,2.397295,-1.17974,-0.23276,0.012815,0.003472,0.00089,0.000264,-0.000012,0,0,-0,0.010232,0.119161,0.014603,0.000048,0.014764,0.000584,0,12,2.509728,2,3.813382,2.77598,-0.801055,0.145925,0.378685,0.004576,0.003616,0.003541,0.000045,0,-0,-0,-0,0.004651,0.066833,0.004352,0.000019,0.003585,0.000138,0,12,2.302987,2,2.703696,'class 1'
