@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {spots,'no spots'}

@data
8,9.555885,1.633847,1.517192,0.948124,-0.376282,0.113478,0.726605,-9.739829,-6.70433,-1.064778,2.329973,1.835045,0.83006,0.418496,0.276814,4,19,10.571428,11,20.952381,8.474437,-1.081449,0.221342,0.162376,0.007786,-0.013971,-0.003248,0.002054,-0.000044,-0.001514,-0.391503,0.286692,0.041748,0.022112,0.042538,0.012738,0,21,9.69697,8,28.092804,7.909758,-1.646128,-0.564679,0.021657,0.002572,0.001088,-0.000611,-0.000045,0.000001,0,-0,-0.02314,0.132438,0.018672,0.000042,0.027636,0.000665,0,30,8.4786,8,15.852079,7.963571,-1.592315,-0.510866,0.053813,0.015189,0.00215,0.000574,0.000002,0,0,0,-0,-0.012465,0.091402,0.008317,0.000008,0.007801,0.00005,0,30,7.774775,8,9.055037,spots
4,9.183474,1.50579,1.004128,0.62415,-0.34893,1.102152,1.267243,-18.686388,-22.796171,-0.122488,2.50643,1.901575,0.889825,0.413158,0.27817,2,20,9.571428,8,37.285713,8.396351,-0.787123,0.216902,0.146067,0.016999,-0.007957,-0.001767,0.001176,-0.000479,-0.001201,-0.34597,0.310333,0.051068,0.020878,0.041932,0.012603,2,30,9.727273,8,30.954546,7.886539,-1.296935,-0.509812,0.02111,0.001606,0.000689,-0.000557,-0.000043,0.000001,0,-0,-0.022027,0.131407,0.018309,0.000026,0.027019,0.000569,0,30,8.385214,8,16.120562,7.954064,-1.229409,-0.442286,0.067526,0.015166,0.002392,0.00066,-0,0,0,0,-0,-0.012114,0.090525,0.008163,0.000009,0.007687,0.000051,0,30,7.770507,8,9.035543,spots
6,10.350105,1.704475,1.139249,1.012732,-0.310396,0.102534,1.150563,-22.149237,-39.353664,-1.830992,2.405421,1.838307,0.963271,0.447509,0.291677,6,21,12.142858,11,34.476189,8.603586,-1.746519,0.261718,0.207082,0.058612,-0.012408,-0.006839,0.001307,0.000459,-0.001422,-0.527411,0.253018,0.041232,0.02161,0.045209,0.013899,0,23,10.787879,10,29.797348,7.947649,-2.402456,-0.655937,0.020743,0.001867,0.001796,-0.000581,-0.000041,0.000001,0,-0,-0.020672,0.134633,0.019262,0.000069,0.028008,0.000773,0,30,8.428016,8,15.628587,7.98419,-2.365916,-0.619397,0.03654,0.015215,0.001701,0.00025,-0.000003,0,0,0,-0,-0.013264,0.091803,0.008388,0.000007,0.007853,0.000042,0,30,7.811285,8,8.893212,spots
19,12.07834,2.926099,2.640016,0.922289,-0.012212,-0.289886,-0.406126,11.291361,-26.493248,-6.488403,2.435205,2.181049,1.479275,0.47336,0.308201,6,21,15,17,35.333332,8.726576,-3.351764,0.304157,0.232412,0.148669,-0.010971,-0.009825,0.001063,0.001489,-0.000369,-0.685238,0.193593,0.042142,0.026401,0.045047,0.014004,0,30,12.393939,12,37.496212,7.92602,-4.152319,-0.800556,0.020837,0.002558,0.000509,-0.000675,-0.000049,0.000001,0,-0,-0.022887,0.131246,0.018349,0.000046,0.027237,0.00064,0,30,8.377432,8,16.134333,7.972372,-4.105968,-0.754204,0.046351,0.015186,0.001987,0.000411,-0.000002,0,0,0,-0,-0.012788,0.090999,0.008247,0.000007,0.007749,0.000045,0,30,7.813181,8,8.872103,spots
20,11.723642,3.21418,2.021218,1.042982,-0.038108,-0.268888,-0.018519,4.561041,26.371214,-6.27838,2.813851,2.120273,1.940961,0.467648,0.30791,4,30,14.571428,12,79.952377,8.636995,-3.086647,0.298011,0.200362,0.11831,-0.004809,-0.007771,-0.00011,0.001217,0.000431,-0.616682,0.269456,0.047378,0.033475,0.04412,0.01364,2,30,12.090909,11,40.960228,7.90401,-3.819633,-0.732985,0.020398,0.002124,0.0004,-0.00066,-0.00005,0.000001,0,-0,-0.022122,0.129681,0.01788,0.000028,0.026647,0.000539,0,30,8.392996,8,16.005108,7.962801,-3.760842,-0.674195,0.058791,0.015173,0.002229,0.000507,-0.000001,0,0,0,-0,-0.012437,0.090146,0.008099,0.000008,0.007639,0.000047,0,30,7.757705,8,9.058438,spots
9,9.61346,2.100278,1.69742,1.236439,0.103013,0.016636,-0.438448,-10.643949,23.296515,-1.639297,2.455028,1.952345,1.179381,0.432181,0.290245,6,20,11.142858,9,27.142857,8.373927,-1.239532,0.247011,0.134253,0.010945,0.003223,-0.002063,-0.001578,-0.000097,0.001249,-0.370319,0.337599,0.059553,0.02628,0.042432,0.012857,2,30,9.757576,9,30.876894,7.88251,-1.730949,-0.491417,0.01956,0.001773,0.000848,-0.000533,-0.000043,0,0,0,-0.018635,0.129725,0.01778,0.000021,0.026241,0.000482,0,30,8.307393,8,15.971547,7.955555,-1.657905,-0.418372,0.073045,0.015177,0.0024,0.000559,0.000001,0,0,0,-0,-0.012218,0.089278,0.00795,0.000008,0.00753,0.000047,0,30,7.725936,7,9.183867,spots
6,10.954046,2.423518,0.817914,0.666856,-0.160041,0.764526,1.188094,-1.513683,-11.633219,-2.574576,2.488827,1.770211,1.618763,0.472155,0.304377,6,21,10.714286,9,26.904762,8.654912,-2.299134,0.287949,0.215985,0.1103,-0.006677,-0.006972,0.000015,0.000056,-0.000718,-0.614234,0.256969,0.042997,0.034252,0.047307,0.014799,2,30,11.787879,10,41.109848,7.961239,-2.992807,-0.693673,0.019272,0.002057,0.000846,-0.000542,-0.000035,0.000001,0,-0,-0.01806,0.134968,0.019253,0.000071,0.027571,0.000745,0,30,8.210116,8,16.072866,7.993477,-2.960569,-0.661435,0.032238,0.015228,0.001557,0.000051,-0.00001,0,0,0,-0,-0.013621,0.091105,0.008266,0.000006,0.007764,0.000038,0,30,7.85633,8,8.978875,spots
21,13.125261,3.762968,2.747091,2.299023,0.427675,-0.292725,-3.368346,-8.2036,96.053703,-8.809082,1.509366,2.504561,1.702468,0.500051,0.320337,6,30,18.428572,19,56.952381,8.809122,-4.316139,0.32979,0.266999,0.208815,-0.004802,-0.011729,-0.000793,0.001934,0.000992,-0.805604,0.098126,0.045596,0.029592,0.046824,0.014689,6,30,13.575758,13,36.439392,7.940958,-5.184304,-0.868165,0.019497,0.001825,0.000749,-0.000662,-0.000045,0.000001,0,-0,-0.020574,0.130876,0.018191,0.000049,0.026816,0.000616,0,30,8.272373,8,15.308335,7.98188,-5.143381,-0.827242,0.040923,0.015209,0.001821,0.000228,-0.000006,0,0,0,-0,-0.01316,0.090332,0.008132,0.000007,0.007665,0.000041,0,30,7.850166,8,8.89974,spots
30,12.827549,4.075398,2.936161,2.487487,0.341924,-1.689789,-0.256368,11.067657,-64.106392,-9.499045,2.079959,2.709493,1.747106,0.494567,0.318312,12,30,19.428572,20,35.285713,8.724529,-4.10302,0.322988,0.212655,0.195798,-0.00234,-0.010296,-0.001161,0.002173,0.001502,-0.731442,0.221025,0.045215,0.036168,0.045555,0.014058,2,30,11.636364,11,46.301136,7.920304,-4.907245,-0.804225,0.019125,0.002058,0.001028,-0.000688,-0.000048,0.000001,0,-0,-0.020155,0.128649,0.017587,0.000031,0.026248,0.000514,0,30,8.237354,8,16.00985,7.972333,-4.855216,-0.752196,0.052029,0.015205,0.002058,0.000331,-0.000002,0,0,0,-0,-0.012816,0.089502,0.007988,0.000007,0.007559,0.000042,0,30,7.775249,8,9.111702,spots
17,10.22953,2.735669,1.486326,0.911705,0.088684,-0.311302,0.368111,13.472541,-8.4146,-3.31029,2.843253,2.252027,1.334516,0.457426,0.298401,2,30,11.714286,9,91.238098,8.444679,-1.784851,0.272242,0.13918,0.0387,0.000368,-0.003572,-0.001036,-0.000051,0.000799,-0.450122,0.336519,0.054579,0.033277,0.043541,0.013048,2,30,9.969697,9,36.217804,7.899991,-2.329539,-0.544688,0.018416,0.002371,0.000947,-0.000614,-0.000044,0,0,0,-0.016992,0.128186,0.017388,0.000021,0.02587,0.000452,0,30,8.311284,8,16.504286,7.964943,-2.264587,-0.479736,0.064952,0.015217,0.00224,0.00038,0.000002,0,0,0,-0,-0.012597,0.088649,0.007844,0.000007,0.007454,0.000043,0,30,7.761972,8,9.293411,spots
