@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spots,'Nots Spots'}

@data
3,11.126096,5.002226,3.930752,3.640721,1.125455,0.678327,-2.754362,-3.245062,33.353027,-4.712194,9.401185,27.944334,11.043756,3.676173,3.250644,0,30,11.857142,4,145.809525,5.832632,-5.293464,0.894727,0.717999,0.306547,0.030484,-0.011858,-0.004696,-0.000398,0.004093,-1.919273,1.523048,1.27013,0.424667,0.308915,0.264758,0,67,12.30303,5,260.030304,2.3509,-8.775196,-3.481732,0.064611,0.054709,0.05166,0.001145,-0.000147,-0.000001,0.000001,0,-0.170981,0.11809,0.013481,0.00332,0.01041,0.008458,0,67,5.529183,2,83.601685,1.297644,-9.828452,-4.534987,-1.053256,0.004677,0.00396,0.003741,0.000003,-0,-0,0,0,-0.012378,0.007501,0.000067,0.00002,0.000133,0.000107,0,67,2.024182,1,13.868959,Spots
5,10.479788,4.92159,4.362604,2.948351,0.628499,0.811787,0.164935,4.034637,-77.713821,-3.507337,9.132566,27.854851,10.14621,3.70283,3.158607,0,30,10.428572,6,121.619049,5.691122,-4.788666,0.838121,0.730628,0.264467,0.01965,-0.01061,-0.002615,-0.001061,0.002541,-1.833217,1.584834,1.391316,0.367939,0.326884,0.243649,0,67,11.484848,5,233.757568,2.341293,-8.138494,-3.349829,0.064611,0.056101,0.047224,0.000974,-0.000139,-0.000001,0.000001,0,-0.167936,0.12239,0.014013,0.003318,0.009906,0.008903,0,67,5.350194,2,84.150322,1.294664,-9.185124,-4.396459,-1.04663,0.004711,0.003937,0.003663,-0.000001,-0,-0,0,0,-0.012311,0.008911,0.000089,0.00002,0.000154,0.000103,0,67,2.044097,1,14.05166,Spots
30,17.803514,8.652462,7.948251,2.227039,0.713281,-0.238495,-4.060999,-16.382353,115.769531,-18.827751,9.414431,27.335789,17.231409,3.98292,3.490431,3,67,27.714285,30,495.238098,6.715311,-11.088203,1.067986,0.989956,0.660333,0.017176,-0.028819,-0.002065,0.004591,0.002117,-2.718275,1.138431,0.926843,0.522972,0.334572,0.266346,0,67,19.060606,15,296.933716,2.410258,-15.393256,-4.305053,0.068954,0.061165,0.055641,0.000993,-0.000174,-0.000001,0.000001,0,-0.18576,0.085319,0.008611,0.003736,0.009719,0.008985,0,67,5.657588,3,82.874481,1.301777,-16.501738,-5.413534,-1.108481,0.004723,0.004024,0.003809,0.000003,-0,-0,0,0,-0.012556,0.005232,0.000041,0.00002,0.000134,0.000094,0,67,2.033191,1,14.009335,Spots
38,18.345259,9.732942,8.332807,2.929157,-0.028456,-1.371218,0.077006,-5.165982,-1.72149,-20.994904,8.772589,24.250147,19.898638,3.9504,3.500136,9,54,30.571428,30,220.619049,6.751866,-11.593393,1.08444,0.974692,0.685466,0.008098,-0.031287,0.000127,0.0063,-0.00077,-2.744598,1.107433,0.8833,0.543713,0.330917,0.266684,3,67,18.575758,12,300.189392,2.412601,-15.932657,-4.339265,0.068147,0.060345,0.058064,0.000932,-0.000178,-0,0.000001,0,-0.186557,0.084601,0.008712,0.003584,0.010064,0.00859,0,67,5.70428,3,83.045021,1.304839,-17.040421,-5.447027,-1.107762,0.004697,0.004049,0.003792,0.000005,-0,-0,0,0,-0.012538,0.002251,0.00002,0.000018,0.000128,0.00009,0,67,2.014225,1,13.888792,Spots
13,10.723289,5.112809,3.990123,3.715994,-1.216895,0.446784,3.776013,-1.136664,-17.77458,-4.83868,8.547942,25.555119,10.54917,3.639131,3.136897,2,35,11.428572,8,121.619049,5.665047,-5.058243,0.827102,0.755717,0.23639,-0.020936,-0.012706,0.004983,-0.000197,-0.004168,-1.819209,1.562325,1.358219,0.351844,0.326813,0.234938,0,67,11.969697,6,230.655304,2.34078,-8.382509,-3.324266,0.064282,0.058705,0.044864,0.000588,-0.000137,0,0.000001,-0,-0.167851,0.121023,0.013623,0.003172,0.009691,0.008639,0,67,5.299611,2,84.39035,1.294514,-9.428776,-4.370533,-1.046267,0.004699,0.003856,0.003684,-0.000001,-0,-0,0,0,-0.012239,0.009139,0.000094,0.000019,0.000162,0.000102,0,67,2.035088,1,14.080362,Spots
35,17.583433,9.309782,8.293788,1.325117,-0.565762,-1.290451,2.696647,9.055452,-78.263077,-18.928686,8.653114,23.318409,18.822674,3.929574,3.446308,13,42,27.285715,30,154.571426,6.662315,-10.921118,1.084105,0.964093,0.617829,-0.001256,-0.030124,0.002022,0.005386,-0.002338,-2.666028,1.144016,0.888381,0.538447,0.334826,0.256614,1,67,18,9,310.625,2.409354,-15.17408,-4.252962,0.070032,0.062263,0.053367,0.000734,-0.000172,-0,0.000001,0,-0.185662,0.083772,0.008047,0.003843,0.009466,0.008723,0,67,5.622568,3,82.610893,1.301771,-16.281662,-5.360544,-1.107582,0.004722,0.003997,0.003758,0.000002,-0,-0,0,0,-0.012477,0.005419,0.000044,0.000019,0.00014,0.000097,0,67,2.031769,1,14.083905,Spots
40,17.605814,8.504929,8.300373,2.616007,0.942551,-1.524153,-4.670331,5.619369,94.006668,-19.42131,9.184922,26.244295,16.343864,3.921193,3.429851,8,53,27.857143,35,322.476196,6.674293,-10.931521,1.030301,0.959229,0.669926,0.022003,-0.030984,-0.002961,0.006255,0.002485,-2.659457,1.164951,0.941512,0.490221,0.332363,0.256589,1,67,18.242424,12,301.939392,2.410734,-15.19508,-4.263558,0.068065,0.062015,0.056209,0.000831,-0.000177,-0.000001,0.000001,0,-0.18629,0.085098,0.008741,0.003388,0.010046,0.008278,0,67,5.723735,3,82.263222,1.304999,-16.300816,-5.369294,-1.105735,0.004704,0.004071,0.003678,0.000005,-0,-0,0,0,-0.012453,0.002138,0.000022,0.000018,0.000131,0.000092,0,67,2.015173,1,13.969409,Spots
16,10.876067,5.255651,4.233068,3.769525,-1.057403,-0.282267,4.867353,12.166069,-85.748154,-5.719193,8.209893,23.422291,10.943599,3.523358,3.141291,1,35,12.714286,11,119.238098,5.725026,-5.151042,0.90284,0.704248,0.209911,-0.014638,-0.01494,0.003898,0.001146,-0.003672,-1.817,1.469832,1.159933,0.432566,0.309161,0.242736,0,53,11.181818,6,178.090912,2.348935,-8.527132,-3.37609,0.067816,0.05771,0.045534,0.000407,-0.000143,0,0.000001,-0,-0.171059,0.113766,0.012178,0.003642,0.009187,0.008614,0,67,5.435798,3,82.403091,1.297756,-9.578311,-4.42727,-1.051179,0.004681,0.003895,0.003569,0.000001,-0,-0,0,0,-0.012145,0.007792,0.000073,0.000019,0.000151,0.000101,0,67,2.018492,1,14.057058,Spots
1,4.361004,3.224958,2.061849,0.876652,0.997185,0.358428,-2.16303,-7.777792,39.701893,0.286457,4.306049,9.465605,2.612323,1.467099,1.307404,0,16,4.285714,1,35.904762,3.474598,-0.886406,0.45127,0.260067,0.06375,0.032826,0.000794,-0.004364,-0.001047,0.003264,-0.647588,1.152002,0.753176,0.128696,0.154774,0.120466,0,36,4.727273,2,59.704544,1.862325,-2.498679,-1.612273,0.042948,0.033555,0.027444,-0.000104,-0.000076,-0.000001,0,0,-0.103947,0.123675,0.013289,0.001482,0.007273,0.003869,0,37,3.793774,2,38.351837,1.230521,-3.130483,-2.244077,-0.631804,0.003611,0.002285,0.001176,-0.000018,-0,0,0,-0,-0.007071,0.008836,0.000077,0.000007,0.000092,0.000034,0,37,1.713608,1,7.267087,Spots
3,4.18104,3.123203,1.971903,0.89681,0.282604,-0.109485,0.802429,0.130685,-25.518316,0.254489,3.596253,8.679066,2.318019,1.495626,1.248552,1,16,4.571429,3,26.952381,3.419565,-0.761475,0.432226,0.261,0.086147,0.010621,-0.000518,-0.002041,-0.000674,0.001519,-0.607078,1.150721,0.760474,0.1158,0.157438,0.111151,0,20,3.545455,2,21.443182,1.875363,-2.305676,-1.544201,0.039504,0.033887,0.029435,-0.00034,-0.000074,0,0,0,-0.102826,0.121497,0.012864,0.001265,0.007337,0.003422,0,37,3.673152,2,38.564629,1.235452,-2.945587,-2.184112,-0.639911,0.003613,0.002309,0.001402,-0.000016,-0,0,0,-0,-0.007324,0.008416,0.000073,0.000005,0.000098,0.000029,0,37,1.738739,1,7.354386,Spots
