@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
10,7.011681,1.418818,1.269567,0.181202,-0.112561,-0.587999,1.564705,6.270369,-78.729362,-2.869586,1.317821,0.6882,0.398176,0.167084,0.141582,7,10,8.571428,8,1.285714,5.565809,-1.445872,0.165683,0.102147,0.072896,0.000562,-0.004627,0.000535,0.001458,-0.000385,-0.340727,0.294634,0.055371,0.014085,0.027537,0.010251,1,17,6.818182,7,12.153409,5.095474,-1.916207,-0.470335,0.00542,0.003023,0.001353,0.000143,-0.000031,-0,0,0,-0.009796,0.127826,0.016963,0.000014,0.020137,0.000363,0,17,5.513618,5,6.532041,5.602768,-1.408913,0.036959,0.507294,0.006676,0.004317,0.004294,-0.000037,-0,-0,0,-0,0.006699,0.092616,0.008358,0.000042,0.006889,0.000316,0,17,4.93504,5,5.362476,'class 1'
9,7.455351,1.276224,1.163157,0.589154,0.064562,-0.027522,-0.081098,-2.062036,18.076441,-3.028535,1.268327,0.659682,0.475299,0.176647,0.142925,4,10,8.571428,9,4.619048,5.669044,-1.786307,0.186186,0.138981,0.098465,-0.002069,-0.005523,0.000216,0.000701,-0.000151,-0.423633,0.262594,0.04955,0.015839,0.028091,0.010652,3,17,7.787879,8,9.859848,5.122251,-2.333101,-0.546793,0.006253,0.002311,0.000579,0.000166,-0.000036,-0,0,0,-0.009144,0.126682,0.016785,0.000018,0.020564,0.000436,0,17,5.509727,5,6.821194,5.631099,-1.824252,-0.037945,0.508849,0.006268,0.004336,0.00421,-0.000021,-0,0,0,-0,0.006142,0.094868,0.00877,0.000036,0.007229,0.000275,0,17,4.971076,5,5.279523,'class 1'
9,6.783613,0.947373,0.677687,0.070587,0.088365,0.124108,-0.735887,-1.465464,35.82486,-1.695647,1.52547,0.830799,0.270579,0.176915,0.138585,4,12,7.857143,9,8.476191,5.605636,-1.177977,0.149556,0.126033,0.075694,-0.001471,-0.002822,-0.000098,-0.000472,0.000143,-0.351283,0.292323,0.054262,0.011667,0.028496,0.010564,2,17,6.909091,7,10.335227,5.144495,-1.639118,-0.461142,0.005193,0.001516,0.001104,0.00019,-0.000037,-0,0,-0,-0.004781,0.124986,0.016494,0.000015,0.021097,0.000555,0,17,5.498055,5,6.860348,5.665939,-1.117673,0.060303,0.521445,0.005794,0.004412,0.004043,-0.000007,-0,0,0,-0,0.005425,0.097267,0.009219,0.000031,0.007588,0.000235,0,17,4.970602,5,5.317921,'class 1'
12,7.182579,1.133955,0.994003,0.161973,0.003402,-0.245836,-0.071595,11.46002,-23.120134,-2.289931,1.314239,0.696963,0.317622,0.18006,0.139611,5,12,7.571429,7,5.952381,5.681839,-1.50074,0.18803,0.151422,0.071627,-0.006891,-0.004546,0.000468,0.000831,0.000793,-0.411079,0.229978,0.03689,0.013505,0.028896,0.010726,2,17,7.363636,7,11.051136,5.171385,-2.011194,-0.510454,0.005658,0.002581,0.000442,0.000101,-0.000037,-0,0,-0,-0.002634,0.125294,0.016746,0.000019,0.022065,0.000676,0,17,5.540856,5,7.046176,5.693672,-1.488907,0.011833,0.522287,0.005705,0.004622,0.00343,-0.000011,-0,0,0,-0,0.004513,0.097824,0.009317,0.00003,0.007621,0.00023,0,17,4.990991,5,5.330564,'class 1'
7,5.934466,0.525587,0.448246,0.238504,0.003362,-0.093191,-0.042031,-0.643144,15.074425,-0.315845,1.307253,0.707417,0.128946,0.169977,0.13179,3,12,6.714286,7,8.571428,5.49085,-0.443616,0.134633,0.092951,0.00855,-0.007248,-0.000354,0.000227,-0.000155,0.000288,-0.236133,0.283334,0.046332,0.009546,0.029565,0.010454,1,12,5.69697,6,5.905303,5.193021,-0.741445,-0.297829,0.006127,0.003695,0.002732,0.000083,-0.000035,-0,0,-0,0.005164,0.123793,0.016547,0.000055,0.022904,0.000856,0,17,5.583658,5,6.923638,5.73412,-0.200346,0.243269,0.541099,0.005195,0.00473,0.003157,0.000003,-0,0,0,-0,0.003623,0.100074,0.009749,0.000025,0.007955,0.000195,0,17,5.006164,5,5.35907,'class 1'
6,5.640924,0.908761,0.567923,0.108767,0.03903,0.154093,-0.867555,-4.238753,72.258286,-1.367917,0.442512,0.168025,0.095729,0.103133,0.071821,1,11,6.714286,7,9.238095,4.965751,-0.675172,0.08212,0.048547,0.007609,-0.006228,-0.001665,-0.000732,-0.000242,0.001018,-0.138277,0.148446,0.01877,0.002083,0.02721,0.005138,1,11,5.545455,6,8.068182,4.977892,-0.663031,0.012141,0.016095,0.007203,0.000472,-0.00006,-0.000026,0,0,-0,0.02377,0.121623,0.015337,0.000089,0.01701,0.001076,0,12,4.867704,5,5.35743,5.565791,-0.075133,0.600039,0.587898,0.00699,0.00678,0.005161,0.000037,0,-0,0,0,0.004952,0.080865,0.006404,0.000045,0.005469,0.000341,0,14,4.889047,5,5.215387,'class 1'
11,5.582808,0.731073,0.530193,0.073332,-0.164127,-0.144571,1.627529,9.45266,-50.168758,-1.187934,0.405318,0.134666,0.060202,0.102209,0.069203,1,11,6.428571,8,13.619047,4.994569,-0.588239,0.082271,0.059432,0.010909,-0.005874,-0.000855,0.000113,-0.000569,-0.000147,-0.130795,0.115507,0.013003,0.002339,0.027444,0.004593,1,11,5.363636,6,7.051136,5.00118,-0.581628,0.006611,0.016268,0.007949,0.001105,-0.000141,-0.000027,0,0,-0,0.023112,0.120887,0.015264,0.000089,0.017308,0.001081,0,12,4.972763,5,5.229724,5.580712,-0.002096,0.586143,0.579532,0.007038,0.006609,0.00498,0.000025,0,-0,0,0,0.004551,0.081853,0.00656,0.000043,0.00559,0.000322,0,14,4.886676,5,5.181174,'class 1'
8,5.539345,0.744292,0.423617,0.189667,-0.209149,-0.125186,1.032616,-2.950327,-7.549188,-1.357576,0.237716,0.116388,0.031183,0.101308,0.066443,3,11,6.857143,6,6.142857,4.986203,-0.553143,0.074979,0.049592,0.020961,-0.004847,-0.000587,0.001084,-0.000309,-0.001037,-0.10361,0.086821,0.008179,0.002293,0.02829,0.004118,1,11,5.242424,5,6.251894,5.027416,-0.511929,0.041214,0.016855,0.008917,0.001657,-0.000201,-0.000025,0,0,-0,0.024115,0.120518,0.015308,0.000095,0.017798,0.001101,0,11,4.883268,5,4.853508,5.602764,0.063418,0.616561,0.575347,0.00713,0.006371,0.004743,0.000013,0,-0,0,0,0.003983,0.083183,0.006771,0.00004,0.005751,0.000299,0,14,4.905643,5,5.168986,'class 1'
1,4.58308,0.635275,0.081744,0.039107,-0.059752,0.102569,0.903698,-8.71567,-1.431778,0.677912,0.687366,0.193608,0.065097,0.099328,0.077409,1,9,5,6,12.666667,4.91935,0.33627,0.101958,0.006663,0.004621,0.002898,0.001356,-0.000066,0.000232,-0.000139,0.099915,0.07557,0.009105,0.000624,0.021146,0.00534,1,10,4.454545,4,6.005682,5.273929,0.690849,0.354579,0.020789,0.008984,0.005372,0.000161,-0.000003,-0,-0,0,0.035144,0.080786,0.007151,0.000165,0.009946,0.001223,0,15,4.875486,4,5.273499,5.935623,1.352542,1.016273,0.661694,0.00745,0.007333,0.004354,-0.000058,0,-0,0,0,0.004237,0.072816,0.005232,0.000048,0.004689,0.000345,0,15,5.182077,5,5.236282,'class 1'
6,5.272659,0.561997,0.290295,0.135003,0.136045,-0.256368,-1.557127,5.808759,6.032064,-0.71729,0.994326,0.277602,0.115329,0.107922,0.081456,1,10,5.142857,4,8.142858,5.029323,-0.243336,0.070933,0.031339,0.020602,-0.001981,-0.00097,0.000067,0.000471,0.000778,0.018992,0.158735,0.018621,0.000938,0.024654,0.005753,1,14,5.333333,5,8.416667,5.315251,0.042592,0.285928,0.022262,0.009404,0.005389,0.000096,-0.000013,-0,0,-0,0.037054,0.093551,0.009434,0.000139,0.01215,0.001223,0,15,4.859922,5,5.019364,5.980559,0.7079,0.951236,0.665308,0.007667,0.006938,0.004026,-0.000061,0,-0,0,0,0.003297,0.077214,0.005873,0.000043,0.005195,0.000309,0,15,5.186819,5,5.352179,'class 1'
