@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute class {Spot,NotSpot}

@data
13,14.012211,5.563316,2.48693,0.197001,1.48722,-1.011051,3.994307,13.139042,-201.592712,2.879385,5.508036,29.650846,8.167598,6.773375,5.511389,13.895227,-0.116983,0.761183,0.554254,0.475112,0.086141,-0.003203,-0.011758,0.002011,0.00708,-0.840325,2.125767,2.677891,0.373759,0.514574,0.378001,11.658705,-2.353506,-2.236523,0.08009,0.053664,0.031439,0.000677,-0.000119,-0.000003,0,0,-0.165193,0.199511,0.03327,0.005977,0.046742,0.016076,10.423509,-3.588702,-3.471719,-1.235196,0.027205,0.006214,0.001691,0.000025,-0,-0,0,0,-0.03511,0.03574,0.001231,0.000509,0.002827,0.000963,Spot
12,19.195574,7.743104,6.352309,1.854785,3.232657,0.468181,-9.950308,-17.267303,203.830215,-0.463989,9.657819,44.829426,20.516392,7.744823,6.485465,15.370729,-3.824844,1.109505,0.787081,0.009034,0.07403,-0.010417,-0.013413,-0.000354,0.012429,-1.905621,2.246451,2.733638,0.650253,0.53687,0.445255,11.810912,-7.384662,-3.559817,0.084926,0.057909,0.049994,0.00026,-0.000162,-0.000002,0.000001,0,-0.192829,0.16567,0.024291,0.006534,0.046728,0.014807,10.460766,-8.734808,-4.909964,-1.350146,0.02701,0.006633,0.00279,0.000026,-0,0,0,0,-0.036433,0.033803,0.001116,0.000491,0.002791,0.000891,Spot
13,21.95735,7.732731,7.602621,3.467249,1.032442,1.664162,-2.452667,8.296741,-10.502453,-3.337138,12.362885,54.572868,25.34568,8.199451,6.871821,16.058372,-5.898977,1.237109,0.883927,0.275836,0.023794,-0.011357,-0.003519,-0.002894,0.002763,-2.396872,2.190761,2.553915,0.788107,0.52715,0.484933,11.908213,-10.049137,-4.15016,0.087644,0.063424,0.053764,-0.000247,-0.000182,-0.000001,0.000001,0,-0.204832,0.127544,0.015945,0.006826,0.046438,0.013517,10.494751,-11.462599,-5.563622,-1.413462,0.02679,0.006963,0.003797,0.000024,0,0,0,0,-0.03755,0.031259,0.000999,0.000445,0.002768,0.000785,Spot
10,18.528435,10.072811,4.680604,2.688917,-2.373373,0.615347,9.860669,1.726336,-158.052353,2.703291,10.925735,55.64003,17.142014,8.014018,6.570743,15.615696,-2.912739,1.059453,0.80908,0.052256,-0.03527,-0.004986,0.008789,-0.002648,-0.009977,-1.920789,2.249253,2.636883,0.636391,0.505553,0.471292,11.941365,-6.58707,-3.674331,0.086775,0.064453,0.047159,-0.000755,-0.00017,0.000001,0.000001,-0,-0.198388,0.107833,0.012302,0.006196,0.045755,0.012493,10.524111,-8.004324,-5.091585,-1.417254,0.026555,0.007189,0.004666,0.00002,0,0,0,0,-0.038409,0.028354,0.000911,0.000363,0.002757,0.000659,Spot
12,16.796974,5.954777,4.048028,1.969738,0.250663,-1.328878,0.108007,20.833921,16.891115,-0.062989,7.441532,35.413311,11.217713,7.187367,5.727735,14.611548,-2.185426,0.865834,0.764826,0.278628,-0.014476,-0.008097,-0.000764,0.002194,0.002555,-1.352033,2.151155,2.61823,0.44508,0.514738,0.399251,11.716407,-5.080567,-2.895142,0.080253,0.063052,0.036773,-0.000163,-0.00014,0,0,-0,-0.180077,0.188617,0.030226,0.005833,0.048285,0.014546,10.426039,-6.370935,-4.18551,-1.290368,0.027243,0.006421,0.001515,0.000065,-0,-0,0,0,-0.035179,0.03455,0.001149,0.00051,0.00283,0.000889,Spot
31,24.774162,10.198428,5.219916,5.074812,0.175004,-0.32019,0.27095,28.293781,-88.750412,-10.343533,11.249808,45.394741,29.177332,8.234241,6.739641,16.268444,-8.505718,1.281122,1.081484,0.296092,-0.016666,-0.024057,0.000456,0.003683,-0.000132,-2.658699,2.049169,2.334812,0.785403,0.537986,0.465775,11.873776,-12.900386,-4.394668,0.084577,0.06751,0.056911,-0.000188,-0.000188,0,0.000001,0,-0.208999,0.145027,0.020019,0.006085,0.04808,0.012817,10.46255,-14.311612,-5.805894,-1.411226,0.027061,0.006842,0.00261,0.000062,-0,-0,0,0,-0.036513,0.032649,0.001038,0.000495,0.002794,0.000821,Spot
19,28.75366,11.622223,7.252742,1.690635,-0.13715,2.083255,-0.813819,-81.678345,43.647865,-17.18433,13.510397,54.579567,34.702965,8.711451,7.165699,16.989182,-11.764479,1.41112,1.195882,0.607295,-0.0096,-0.026768,0.001006,0.001525,-0.002176,-3.214297,1.877998,2.0515,0.943043,0.530883,0.505357,11.974984,-16.778675,-5.014197,0.088182,0.071114,0.062266,-0.000221,-0.000208,0,0.000001,0,-0.221563,0.09012,0.011042,0.005983,0.047595,0.01239,10.49584,-18.25782,-6.493341,-1.479144,0.026857,0.007163,0.003622,0.000055,-0,-0,0,0,-0.037642,0.030161,0.000929,0.000451,0.00277,0.000721,Spot
24,23.178997,7.62121,7.00458,4.208336,-0.013181,1.452745,-1.509793,25.293362,99.537758,-4.824966,13.677985,62.350014,24.097038,8.492069,6.891271,16.411144,-6.767853,1.189755,0.978365,0.401614,0.005479,-0.01273,-0.000186,-0.002671,-0.001134,-2.569734,2.137913,2.416565,0.73779,0.511843,0.492393,12.010538,-11.168459,-4.400606,0.089349,0.071195,0.054512,-0.000244,-0.000193,-0,0.000001,0,-0.215056,0.051562,0.007185,0.005439,0.046735,0.012277,10.524555,-12.654442,-5.886589,-1.485983,0.02664,0.007365,0.004507,0.000043,0,0,0,0,-0.038512,0.027332,0.000852,0.000368,0.002758,0.000602,Spot
20,17.411745,5.01288,3.940217,3.759233,-1.681298,0.563619,-2.64351,-20.289785,108.411118,-2.68657,7.354596,31.044827,9.18205,6.929631,5.478159,14.580556,-2.831189,0.842947,0.789327,0.277801,-0.109549,-0.00868,0.011812,0.000511,-0.00565,-1.354474,2.041637,2.377428,0.43419,0.481502,0.399358,11.70576,-5.705985,-2.874796,0.076143,0.069221,0.033814,-0.000874,-0.000134,0.000004,0.000001,-0,-0.179178,0.19195,0.031555,0.005144,0.04934,0.015094,10.422077,-6.989668,-4.158479,-1.283683,0.027272,0.006418,0.001172,0.000107,-0,-0,0,0,-0.034862,0.03395,0.001108,0.000509,0.002832,0.000835,Spot
47,25.398329,10.237462,7.861942,2.466497,-3.455811,-1.663675,9.127091,-5.684501,-115.075752,-15.632908,9.641139,36.305428,23.021194,7.94619,6.448121,16.133114,-9.265215,1.225557,1.135108,0.207369,-0.100053,-0.025719,0.014369,0.005181,-0.012967,-2.568034,1.944457,2.08842,0.734211,0.503908,0.456061,11.861936,-13.536393,-4.271178,0.078081,0.07486,0.054123,-0.000516,-0.00018,0.000003,0.000001,-0,-0.207063,0.153007,0.022387,0.00494,0.048906,0.014538,10.457396,-14.940933,-5.675718,-1.40454,0.027108,0.006816,0.002264,0.000101,-0,-0,0,0,-0.036188,0.032358,0.001011,0.000502,0.002796,0.000782,Spot
