@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute class {Spot,NotSpot}

@data
12,15.602531,4.700383,2.180597,0.062585,-6.943565,5.852327,10.630027,-4.972505,0.588433,0.472513,0.317463,-1.378409,0.703174,8.178836,-7.423696,-2.451191,0.097655,0.03762,0.034721,-0.169996,0.056009,7.271317,-8.331214,-3.358709,-0.907518,0.013444,0.003655,0.00196,-0.019059,0.014074,Spot
24,17.056002,5.300179,3.438339,2.103158,-10.841677,5.772095,10.636159,-6.419843,0.555707,0.495536,0.467699,-1.518941,0.759051,8.14752,-8.908482,-2.488639,0.096925,0.036819,0.03076,-0.164505,0.070544,7.27402,-9.781981,-3.362139,-0.8735,0.013412,0.003567,0.001809,-0.018788,0.013962,Spot
23,14.203582,4.071874,2.739458,1.129592,-5.68174,5.704882,10.127971,-4.075611,0.531947,0.418916,0.199288,-1.15015,0.947604,8.08584,-6.117742,-2.04213,0.094768,0.034999,0.02192,-0.151687,0.089289,7.274252,-6.92933,-2.853719,-0.811588,0.013369,0.003418,0.001598,-0.018385,0.014311,Spot
28,18.368324,6.520904,3.963413,3.107855,-13.592173,4.62628,11.009003,-7.359322,0.656852,0.578672,0.481306,-1.71683,0.361249,8.173674,-10.194651,-2.835329,0.098611,0.040082,0.036679,-0.175372,0.060432,7.259967,-11.108356,-3.749035,-0.913706,0.013462,0.003505,0.0019,-0.018867,0.015744,Spot
59,20.251272,7.857078,7.362642,4.130152,-19.349873,1.452041,11.052323,-9.198949,0.696851,0.651752,0.53555,-1.884152,0.313355,8.14255,-12.108722,-2.909773,0.097935,0.040181,0.032507,-0.170623,0.074007,7.261801,-12.989471,-3.790522,-0.880749,0.013424,0.003359,0.001791,-0.018574,0.015858,Spot
16,16.20616,5.330619,3.267923,0.8159,-9.414442,5.715116,10.491777,-5.714382,0.61278,0.469215,0.35873,-1.440725,0.821205,8.079559,-8.1266,-2.412218,0.095744,0.03806,0.024018,-0.157822,0.093283,7.261167,-8.944993,-3.230611,-0.818393,0.013374,0.003156,0.001616,-0.018146,0.016326,Spot
15,15.678766,4.329467,2.780151,0.481869,-6.627749,5.481044,10.771443,-4.907323,0.604507,0.469139,0.411525,-1.48517,0.619156,8.128878,-7.549889,-2.642566,0.097782,0.037951,0.035037,-0.17077,0.085171,7.245691,-8.433075,-3.525752,-0.883186,0.013466,0.003285,0.00176,-0.018512,0.017465,Spot
36,16.85672,5.465586,3.141344,1.373039,-9.979969,5.616505,10.808728,-6.047992,0.618806,0.53787,0.457787,-1.614462,0.622801,8.097757,-8.758963,-2.710971,0.097171,0.037865,0.031601,-0.166636,0.094947,7.246706,-9.610014,-3.562023,-0.851052,0.013423,0.003078,0.001698,-0.018198,0.017728,Spot
14,13.696939,3.229054,2.257233,1.806353,-3.679934,5.736772,10.285535,-3.411405,0.530996,0.441353,0.238342,-1.21069,0.900912,8.035489,-5.66145,-2.250046,0.095068,0.036749,0.022762,-0.154579,0.108839,7.245301,-6.451639,-3.040234,-0.790188,0.013368,0.002816,0.001568,-0.017752,0.01824,Spot
6,10.160469,4.854621,1.656862,0.924003,2.273756,4.184958,10.45297,0.2925,0.495338,0.4405,0.419781,-0.474619,1.663042,8.652137,-1.508332,-1.800833,0.112439,0.049584,0.022883,-0.184906,0.208394,7.56962,-2.590849,-2.88335,-1.082517,0.014983,0.004378,0.002941,-0.022302,0.017344,Spot
11,9.280931,3.956235,0.90349,0.597703,2.455042,2.661072,10.143247,0.862315,0.521023,0.43473,0.357498,-0.271204,1.451635,8.629502,-0.651429,-1.513744,0.110384,0.05332,0.013132,-0.176836,0.200908,7.578983,-1.701948,-2.564263,-1.050519,0.014971,0.004394,0.002884,-0.022249,0.01492,Spot
20,16.77268,5.064154,4.941121,3.791276,-6.213999,9.120447,12.236919,-4.535761,0.828542,0.723461,0.091685,-1.643689,1.848651,8.822909,-7.949771,-3.41401,0.122389,0.061654,0.044356,-0.228399,0.174685,7.579992,-9.192688,-4.656927,-1.242917,0.014987,0.004634,0.00323,-0.022851,0.014205,Spot
8,13.289984,5.812337,3.319732,2.594365,-0.10176,6.905415,11.61136,-1.678624,0.721672,0.609137,0.192944,-1.137866,1.743949,8.786391,-4.503592,-2.824968,0.119702,0.063899,0.032117,-0.215718,0.176022,7.588597,-5.701387,-4.022763,-1.197794,0.014974,0.004558,0.003233,-0.022765,0.011618,Spot
77,26.082977,10.246695,8.94491,4.831396,-24.023001,9.000285,13.855021,-12.227957,1.144761,0.986074,0.797862,-2.928697,1.386128,8.942182,-17.140797,-4.912839,0.129835,0.072967,0.058417,-0.261219,0.129103,7.58573,-18.497248,-6.269291,-1.356452,0.014966,0.004817,0.00336,-0.023143,0.011535,Spot
29,19.179953,6.041165,5.67118,3.034027,-8.678318,9.900712,12.932138,-6.247814,0.989008,0.824776,0.302593,-2.116376,1.66414,8.894876,-10.285076,-4.037262,0.126625,0.071087,0.046957,-0.244669,0.144963,7.593697,-11.586256,-5.338442,-1.30118,0.014953,0.004677,0.003403,-0.023033,0.008758,Spot
