@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute class {Spot,NotSpot}

@data
48,49.568398,16.302488,7.557758,1.400169,0.361074,-1.757003,-1.761853,8.629781,-150.393158,-10.144898,13.820578,201.08667,49.727657,222.828995,23.516396,46.754612,-2.813786,3.644545,1.529828,0.683418,0.144152,-0.012539,-0.006804,0.015498,0.001693,-2.798135,3.425266,9.963802,5.507874,9.741257,2.358914,41.261864,-8.306534,-5.492748,0.291636,0.11198,0.015058,0.00229,-0.000048,-0.000009,0,0,-0.418675,0.840045,0.719195,0.033476,0.79099,0.070929,Spot
64,52.929493,17.76025,7.837848,2.935225,2.048793,-4.211668,0.835643,124.413406,20.844316,-12.857628,16.050884,225.612869,94.07103,230.515793,28.117369,48.659393,-4.2701,3.920945,1.308377,0.976664,0.12863,0.006401,-0.0103,0.001673,0.004354,-3.589232,4.304921,13.019838,6.468068,10.376173,2.635871,41.699993,-11.2295,-6.9594,0.296901,0.123506,0.054311,0.002185,-0.000068,-0.000006,0,0,-0.474718,0.822945,0.699342,0.033605,0.797582,0.074621,Spot
85,66.249336,24.133543,11.104858,9.770535,2.857994,-2.925321,-9.617452,39.010464,45.932594,-22.799219,21.240608,318.340485,149.999405,241.796417,33.10857,52.971699,-13.277637,4.51403,1.873769,0.15557,0.12353,-0.023808,-0.015773,0.005468,0.00555,-6.232228,4.952118,15.68496,7.811807,11.202173,2.886951,42.204346,-24.044991,-10.767353,0.303412,0.151894,0.110656,0.002045,-0.000125,-0.000006,0,0,-0.565963,0.78275,0.654669,0.034884,0.793278,0.081504,Spot
43,79.366333,32.358398,16.989281,12.673093,2.938321,5.463306,-14.637362,-157.883224,421.649292,-36.674583,25.707388,392.466095,196.617615,249.451035,36.676453,56.391544,-22.974789,4.999983,2.572386,0.911614,0.085967,-0.049663,-0.012684,0.005809,0.004008,-8.483984,4.65002,15.953691,7.700474,11.796059,2.992279,42.545986,-36.820347,-13.845558,0.308011,0.187189,0.137172,0.00183,-0.000161,-0.000004,0.000001,0,-0.632372,0.730613,0.60159,0.035175,0.786356,0.086397,Spot
101,81.492226,32.7925,14.769794,8.128889,0.410687,2.348006,9.988038,70.454163,-399.912842,-39.433403,29.549107,387.572998,244.730835,251.076782,37.695953,57.369038,-24.123188,5.128565,2.637406,1.190794,0.021873,-0.051803,-0.000807,0.00304,0.000115,-8.956765,4.44773,16.257326,6.642043,12.029025,2.978153,42.667297,-38.824928,-14.70174,0.309758,0.206466,0.140187,0.001493,-0.000166,-0.000002,0.000001,-0,-0.656411,0.701804,0.573248,0.033973,0.779954,0.087276,Spot
43,70.189346,24.948606,18.990557,13.473678,-2.430308,0.158472,13.652122,-10.373219,-123.586494,-19.431726,23.919802,307.328491,221.870773,245.907242,35.68005,55.576069,-14.613277,4.850656,2.266713,0.333763,-0.051559,-0.027412,0.011999,-0.001641,-0.002981,-7.451131,4.742885,16.377171,6.73192,11.847037,2.882044,42.549595,-27.639751,-13.026474,0.308498,0.196289,0.126239,0.00097,-0.000138,0.000001,0.000001,-0,-0.631025,0.716887,0.585092,0.032386,0.775236,0.083102,Spot
64,57.060238,17.739759,16.803602,6.609512,-1.600556,-1.229943,-8.823814,-14.952223,258.311951,-7.545671,14.05119,223.007339,139.476944,235.195145,31.099754,52.031422,-5.028816,4.31155,1.607255,0.830374,-0.10834,0.005163,0.016579,-0.005422,-0.003878,-5.088431,4.608197,15.273629,6.354036,11.289042,2.701948,42.217346,-14.842892,-9.814075,0.30406,0.166004,0.0925,0.000226,-0.000086,0.000004,0,-0,-0.562564,0.757766,0.621865,0.031522,0.77062,0.07478,Spot
48,48.907753,14.960966,8.317831,4.884475,-2.296757,0.665192,1.882222,34.692825,-0.441893,-1.758659,9.616491,174.251587,55.953892,221.695969,25.092657,48.257027,-0.650726,3.737926,1.417582,0.85816,-0.128351,0.024516,0.011303,-0.004495,-0.004463,-3.178504,3.73788,12.080542,5.08546,10.472905,2.42207,41.727646,-7.180107,-6.529381,0.296981,0.132783,0.03831,-0.000715,-0.000024,0.000006,-0,-0,-0.468075,0.787848,0.649894,0.030349,0.762929,0.06485,Spot
43,55.344353,19.17885,11.925685,5.615596,1.224984,3.955036,-1.058164,-100.070801,80.050537,-12.868761,16.923336,239.747681,128.596878,234.990646,30.961071,49.916378,-5.427975,4.076294,1.260291,1.160495,0.061705,0.029208,-0.006137,-0.019524,0.002497,-4.17609,4.674848,14.704039,6.722703,10.793876,2.766061,42.013046,-13.331306,-7.903332,0.299954,0.132829,0.07715,0.002121,-0.000076,-0.000002,0,0,-0.509933,0.790701,0.660374,0.032869,0.795453,0.076621,Spot
107,75.162209,31.523542,16.477615,10.317754,0.64142,1.49268,0.517139,28.604599,55.899475,-37.683403,26.237144,366.96582,207.32518,246.736526,36.49181,54.936005,-20.226204,4.759665,2.148663,0.628159,0.046996,-0.028706,-0.006834,-0.002345,0.001863,-7.536487,5.128324,17.212887,7.909264,11.673159,3.058591,42.535751,-32.626457,-12.400253,0.306526,0.154341,0.146597,0.001889,-0.000144,-0.000002,0.000001,0,-0.607464,0.730104,0.596469,0.034925,0.786779,0.085177,Spot
