@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spots,NotSpots}

@data
13,16.464142,5.426473,2.583395,2.095742,-0.425352,0.957662,-1.722762,-14.653936,56.335033,-4.93882,21.503502,10.848943,3.535803,3.082651,18.285715,184.571426,11.496312,-4.96783,0.916451,0.583997,0.338753,-0.023906,-0.010859,0.003113,-0.001597,-0.001268,-1.839201,1.261208,0.441826,0.380706,0.313303,17.727272,202.267044,7.834926,-8.629215,-3.661386,0.111823,0.068132,0.054664,-0.000686,-0.000145,0,0.000001,-0,-0.234619,0.013766,0.008328,0.036562,0.011114,11.233463,80.210907,Spots
16,13.330961,4.31951,3.509568,1.289232,0.652814,-0.458086,-3.478074,13.825377,74.612213,-0.47929,21.232679,6.541828,3.426828,2.842206,12.142858,23.142857,10.939763,-2.391198,0.764139,0.50411,0.105488,0.000502,-0.006524,-0.001587,-0.000639,0.002755,-1.373737,1.395556,0.341261,0.367742,0.288202,13.424242,131.376892,7.817909,-5.513052,-3.121854,0.110333,0.065472,0.046915,-0.000629,-0.000127,0,0.000001,-0,-0.22272,0.013647,0.007655,0.036302,0.009758,11.163424,80.113815,Spots
21,21.297606,7.549065,4.342131,1.671369,-0.164346,-0.321838,-0.856625,-24.231623,-17.719889,-13.562566,22.447664,14.471955,3.763135,3.320786,28.428572,317.952393,12.292129,-9.005477,1.019923,0.834008,0.661509,-0.014034,-0.024593,0.002293,0.003934,-0.001054,-2.51544,1.042732,0.510707,0.395005,0.347878,22.181818,210.528412,7.852985,-13.44462,-4.439143,0.114276,0.069956,0.066377,-0.000507,-0.000168,0,0.000001,-0,-0.25061,0.014812,0.008019,0.03738,0.011688,11.622568,77.837456,Spots
48,23.731766,9.376521,6.06604,3.662018,-0.099566,-1.213652,-3.649924,22.992315,123.437195,-19.10458,22.272644,16.596563,3.928386,3.39858,33.142857,329.142853,12.652985,-11.078781,1.133143,0.954208,0.735008,-0.016071,-0.028228,0.002262,0.003484,-0.000757,-2.82236,0.812791,0.600334,0.405803,0.342401,24.181818,199.403412,7.899886,-15.831881,-4.753099,0.115717,0.073076,0.066469,-0.000578,-0.000178,0,0.000001,-0,-0.255261,0.012866,0.005001,0.037792,0.010679,11.785993,78.340744,Spots
18,18.153696,4.996825,2.256648,0.849979,0.023735,0.494708,0.444709,-1.926904,-51.689049,-6.403494,26.450571,10.019687,3.784819,3.164617,20.428572,184.619049,11.949956,-6.20374,0.939827,0.647726,0.597864,-0.008607,-0.015773,0.000638,-0.000077,0.000702,-2.185418,1.176914,0.463296,0.390905,0.321219,18.90909,197.64772,7.877472,-10.276224,-4.072484,0.11399,0.069473,0.058589,-0.000611,-0.000157,0,0.000001,-0,-0.242052,0.012928,0.004993,0.037431,0.009855,11.533074,79.109253,Spots
33,22.569132,7.388735,5.741822,2.302169,0.830006,-1.473084,-4.053611,33.821068,132.559906,-15.432726,21.797152,14.031978,3.816712,3.36851,27.571428,180.619049,12.531909,-10.037223,1.088984,0.960613,0.676539,0.011117,-0.028171,-0.002467,0.005461,0.002714,-2.726136,0.847355,0.568986,0.398611,0.346155,23.69697,211.030304,7.851707,-14.717424,-4.680202,0.114907,0.074526,0.06499,-0.000298,-0.000173,-0,0.000001,0,-0.254423,0.015753,0.006961,0.037857,0.010664,11.817121,77.235954,Spots
51,25.472515,10.726922,8.10488,4.070716,-0.008624,-1.503901,2.607549,-12.980784,-119.639076,-22.902519,21.283018,16.760742,3.969544,3.471795,39.42857,87.619049,12.887233,-12.585282,1.161582,1.122063,0.760055,-0.001563,-0.032077,-0.000094,0.005866,0.000262,-3.043699,0.680413,0.611243,0.408353,0.349151,25.666666,188.729172,7.895873,-17.576643,-4.99136,0.116368,0.073776,0.068684,-0.000439,-0.000183,0,0.000001,-0,-0.258828,0.013819,0.004941,0.038203,0.010483,11.700389,78.593475,Spots
24,19.741304,6.17705,2.786073,0.658478,-0.967194,0.552192,3.396499,-13.520524,-43.484459,-9.621601,24.732889,12.266971,3.805432,3.261557,24,176,12.15422,-7.587085,1.007468,0.727767,0.650465,-0.014316,-0.01773,0.003009,0.000679,-0.002653,-2.3857,1.092634,0.506458,0.391994,0.334367,20.90909,245.64772,7.870957,-11.870348,-4.283263,0.114589,0.069639,0.061077,-0.000556,-0.000161,0.000001,0.000001,-0,-0.245306,0.014021,0.005954,0.037763,0.01028,11.583657,79.533012,Spots
18,17.776197,4.935702,3.09852,1.223629,0.702697,-0.257579,0.633297,-6.35701,-33.018059,-6.810592,21.343145,9.796365,3.529668,3.160252,20.142857,209.809525,11.769767,-6.006431,0.943719,0.695963,0.450306,0.026853,-0.016191,-0.004428,0.002012,0.002534,-2.089987,1.181357,0.467238,0.379812,0.324978,18.515152,150.632568,7.778286,-9.997911,-3.99148,0.112096,0.070289,0.057666,-0.000106,-0.000149,-0,0.000001,0,-0.240051,0.020973,0.008242,0.037461,0.011008,11.533074,78.72644,Spots
45,20.036385,7.231807,4.460354,1.408337,0.288177,-1.242781,2.454545,10.887099,-69.526817,-13.100498,21.065071,13.368906,3.650601,3.284765,28,224,12.056039,-7.980346,0.988864,0.748071,0.596959,0.010989,-0.018353,-0.002017,0.002827,0.000803,-2.333894,1.133666,0.49059,0.387389,0.338319,19.454546,174.505676,7.819128,-12.217257,-4.236911,0.113566,0.066217,0.064163,-0.000293,-0.000156,0,0.000001,-0,-0.243945,0.018097,0.008021,0.037741,0.011179,11.540856,80.069611,Spots
