@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_middle_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_middle_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_middle_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_middle_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_middle_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_middle_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_middle_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_middle_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,Notspot}

@data
538,534.072327,9.667965,6.408894,5.532253,0.24667,0.048051,-1.483568,3.697206,46.124096,-10.544606,13.362832,111.754654,74.700829,17.196867,142.367844,39.213669,27.092173,522,553,537.285706,534,118.571426,520.160156,-13.91217,5.16031,2.451649,0.118243,-0.144148,0.01347,-0.001332,-0.001465,0.005237,-7.730203,6.623361,55.541142,10.851663,0.990807,77.736366,15.719541,8.590862,513,586,535.272705,533,290.954559,494.659515,-39.412811,-25.500641,1.347842,0.697129,0.572112,-0.007604,-0.000254,0.000006,-0.000001,-0,-2.617083,6.877302,47.584305,1.042324,0.285873,44.526142,5.478274,1.353491,469,618,522.653687,521,587.422546,465.574707,-68.49762,-54.585449,-29.084808,0.397122,0.182374,0.123316,0.000038,-0.000011,0,0,-0,-0.702812,4.43278,19.364433,0.150127,0.030095,17.376244,1.167626,0.231763,418,618,495.266479,501,1125.674683,Spot
534,528.964966,11.424456,6.558706,4.309681,-1.447904,0.360135,0.027352,-3.329982,-62.364269,-13.67348,16.038977,219.868347,60.162918,16.291893,171.667847,37.103516,23.107948,518,548,533.285706,534,129.904755,513.357971,-15.606995,5.323918,2.337363,0.141371,-0.261833,-0.000578,0.010176,-0.001831,0.001276,-7.802652,10.477791,114.076035,8.436855,0.831051,97.886589,13.678307,7.781747,495,586,530.69696,529,358.967804,488.896423,-40.068542,-24.461548,1.271147,0.628736,0.558441,-0.005891,-0.000308,0.00001,0,-0,-2.458325,7.828858,60.193588,0.912361,0.273896,50.794044,5.053298,1.349548,448,618,515.159546,517,876.259583,461.970428,-66.994537,-51.387543,-26.925995,0.384836,0.180321,0.082964,-0.000029,-0.000011,0,0,-0,-0.648121,4.519672,20.101017,0.140871,0.029596,17.859995,1.103232,0.226817,411,618,489.471802,498,1380.083252,Spot
550,543.560059,11.311345,9.241827,3.425727,-0.021788,1.288172,0.046162,-9.261359,-75.354263,-17.127445,11.024415,107.668938,70.296066,25.862139,155.199936,38.714893,28.907042,538,586,550,547,272.333344,523.782043,-19.778015,5.860918,3.122098,0.721504,-0.140376,0.0049,0.002019,-0.005756,0.002711,-9.70452,5.191967,52.871307,8.822063,1.869613,81.252968,14.74819,9.900499,522,608,545.818176,541,316.590912,495.163757,-48.396301,-28.618286,1.391336,0.708986,0.633688,-0.005318,-0.000402,0.000007,0,-0,-2.73401,6.866385,47.598209,1.049658,0.338307,44.858093,5.559591,1.436276,464,618,525.972778,525,574.284424,465.608154,-77.951904,-58.173889,-29.555603,0.399012,0.176749,0.124922,0.00025,-0.000012,-0,0,-0,-0.700683,4.441971,19.445618,0.151541,0.02823,17.453718,1.178036,0.216614,417,618,495.539124,502,1139.697388,Spot
548,537.891785,14.24581,9.294015,1.303519,-0.25824,-0.006603,-4.518171,-5.030327,106.525459,-22.236305,15.080843,253.601501,58.43494,24.800499,186.564362,36.668625,24.61759,533,571,545.571411,548,180.285721,516.327393,-21.564392,5.912265,2.849939,0.696675,-0.142939,-0.022678,0.006425,0.00206,0.000529,-9.458879,10.556812,122.506317,7.17773,1.182409,102.637299,12.361603,9.226471,496,586,540.939392,540,361.621216,489.293884,-48.5979,-27.033508,1.296047,0.645355,0.616311,-0.002062,-0.000426,0.000004,0.000001,-0,-2.557714,7.877077,60.968185,0.891999,0.325986,51.370625,5.083008,1.431028,443,618,517.700378,520,963.320068,461.983887,-75.907898,-54.343506,-27.309998,0.386309,0.175006,0.084168,0.000131,-0.000012,-0,0,-0,-0.645483,4.530167,20.194796,0.141938,0.027838,17.945635,1.111394,0.212589,411,618,489.70224,498,1401.878052,Spot
547,544.878113,11.645623,7.764663,3.445411,-0.547821,1.04845,0.104948,4.025434,15.155215,-15.964874,9.368117,124.028282,41.463974,32.397461,162.689301,38.537739,27.21134,541,574,549.428589,547,127.952377,524.41333,-20.464783,6.142877,3.12751,0.895349,-0.085167,-0.007308,0.004658,-0.005443,-0.003149,-10.165735,5.199847,58.459419,6.370481,2.21617,84.674347,14.511614,9.447282,529,589,547.151489,541,220.945068,495.031128,-49.846985,-29.382202,1.406777,0.717271,0.637933,-0.001819,-0.000524,0.000005,0.000001,-0,-2.761981,6.937527,48.564358,1.034944,0.335765,45.527744,5.562167,1.411816,456,618,526.494141,526,586.235291,465.468597,-79.409515,-58.944733,-29.562531,0.399894,0.170065,0.124556,0.000482,-0.000013,-0,0,-0,-0.694515,4.454788,19.557018,0.152204,0.02611,17.548393,1.18347,0.20024,417,618,495.331909,503,1165.316772,Spot
548,538.577759,15.534738,8.007356,0.681617,0.492297,-0.545593,0.433289,13.216355,-1.029736,-22.860476,15.261628,297.199768,37.262276,29.072636,195.360153,35.721096,23.699301,529,564,544.857117,547,119.809525,516.440918,-22.136841,6.007507,2.797112,0.835559,0.03865,-0.036296,-0.000847,0.005184,-0.001855,-9.640178,11.160112,134.86087,5.299089,1.295926,106.634598,11.970305,8.947052,489,586,541.363647,541,370.051147,489.060883,-49.516876,-27.380035,1.29542,0.65063,0.626732,0.002787,-0.000514,-0.000003,0.000001,0,-2.572781,7.972987,62.36647,0.866652,0.328219,52.148575,5.055779,1.411472,439,618,517.801575,522,1054.159668,461.825775,-76.751984,-54.615143,-27.235107,0.38673,0.168653,0.083295,0.000313,-0.000013,-0,0,-0,-0.638677,4.54259,20.30472,0.142248,0.025821,18.038431,1.114488,0.197059,411,618,489.415375,498,1430.759033,Spot
544,539.189209,11.506949,5.899432,4.443008,-0.773891,0.269951,-0.006442,-0.899919,70.583023,-12.963373,9.416977,129.889236,46.171761,19.530748,163.631821,38.142307,23.181749,535,559,543.285706,541,65.571426,522.062134,-17.127075,5.932796,2.672903,0.482267,-0.007152,-0.017483,0.003871,-0.000512,-0.005857,-9.087965,6.675908,68.582527,7.401158,1.044713,87.520317,14.969215,7.562054,518,574,540.757568,538,168.439392,494.269653,-44.919556,-27.79248,1.393427,0.732476,0.577483,0.002796,-0.000595,0.000003,0.000001,0,-2.703386,7.083347,50.412441,1.010641,0.280736,46.49651,5.499048,1.285825,449,618,524.680908,525,634.429077,465.161591,-74.027618,-56.900543,-29.108063,0.399743,0.162413,0.122221,0.000727,-0.000013,-0,0,-0,-0.684377,4.4709,19.696054,0.152095,0.023804,17.658213,1.183776,0.1831,417,618,494.643433,503,1200.479004,Spot
541,531.830872,14.704165,5.977219,3.002592,0.705401,-0.573607,4.785511,-5.51914,-111.193214,-17.678791,16.803278,316.862793,29.12347,20.171005,196.651382,34.595215,20.712278,518,552,538,541,139.666672,513.866028,-17.964844,5.711532,2.38564,0.356679,0.202395,-0.033458,-0.007422,0.00489,-0.0024,-8.453851,11.93705,145.695068,4.992349,0.865218,109.362709,12.669,7.042265,478,574,534.060608,535,386.683716,488.207428,-43.623444,-25.6586,1.271288,0.662467,0.572871,0.008384,-0.000555,-0.00001,0.000001,0,-2.506627,8.106853,64.272873,0.851355,0.279378,53.078686,4.986491,1.294487,439,618,515.743164,521,1083.621338,461.501282,-70.32959,-52.364746,-26.706146,0.386088,0.161362,0.080338,0.000511,-0.000013,-0,0,-0,-0.627788,4.556576,20.427763,0.141794,0.02361,18.13612,1.112454,0.18067,412,618,488.628265,498,1467.175781,Spot
535,530.432922,10.592646,4.746255,4.11711,-0.349188,-0.385594,1.52851,-1.214054,-76.559738,-9.963499,9.329881,124.270912,41.688629,12.234772,158.735428,36.413319,18.711422,528,544,533.857117,535,32.809525,517.709717,-12.723206,5.372651,2.2128,0.289746,0.056616,-0.019864,-0.000087,0.004405,-0.002632,-7.295705,7.968271,78.217957,8.004384,0.655461,89.557747,15.03408,5.604759,509,559,531.454529,531,120.005684,492.934723,-37.498199,-24.774994,1.353804,0.736785,0.48379,0.008211,-0.000604,0.000001,0.000001,0,-2.574378,7.279511,52.902142,0.975661,0.203081,47.685787,5.380915,1.090111,449,608,520.521423,521,613.484863,464.693939,-65.738983,-53.015778,-28.240784,0.398558,0.153976,0.117916,0.000974,-0.000013,-0,0,-0,-0.670449,4.489673,19.857571,0.151214,0.021399,17.779465,1.178914,0.165724,415,618,493.534363,503,1246.730957,Spot
529,522.312683,12.01026,4.552319,3.94503,1.285668,-0.217689,-0.403254,-3.502368,87.647362,-11.402971,16.763802,288.58078,26.035854,11.809992,191.071426,32.742683,17.025558,509,541,526.571411,528,114.619049,509.621643,-12.69104,5.209392,1.995484,0.429546,0.286832,-0.017308,-0.01017,0.001579,0.000356,-6.775329,12.286132,149.489136,5.349982,0.669834,110.63459,13.000393,5.200819,475,559,523.272705,527,326.892059,486.787781,-35.524902,-22.833862,1.226695,0.657434,0.490354,0.014283,-0.000546,-0.000014,0.000001,0,-2.374483,8.259645,66.456467,0.836443,0.20849,54.085583,4.881215,1.109207,437,608,511.78598,517,1007.645447,461.017517,-61.295166,-48.604126,-25.770264,0.384402,0.153313,0.0753,0.000712,-0.000013,-0,0,0,-0.613015,4.571489,20.558479,0.140593,0.021289,18.234871,1.10534,0.163928,411,618,487.373169,498,1511.501587,Spot
