@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
20,18.403225,6.296033,5.228719,3.021517,-1.458611,-0.824406,1.32719,3.956546,50.284058,-1.954203,8.008862,34.892509,14.192008,13.405645,7.651046,38,14.388641,-4.014584,1.402643,1.087262,0.10067,-0.03451,-0.002254,0.005338,-0.000465,-0.005531,-2.389236,2.411873,3.652008,0.975115,1.335343,0.780934,236.484848,10.455138,-7.948087,-3.933503,0.105721,0.068027,0.029474,-0.001286,-0.00009,0.000001,0,0,-0.203222,0.334108,0.097127,0.008475,0.051951,0.024487,200.953781,Spot
25,26.81712,9.322053,5.942386,3.879301,-1.986822,-0.507652,7.734827,-1.027492,-169.98555,-11.385138,11.951138,47.440369,27.071383,15.469368,9.20184,289.238098,16.707312,-10.109808,1.746756,1.497962,0.635115,-0.040116,-0.024121,0.006938,0.003217,-0.007985,-3.879834,2.08509,2.84345,1.408482,1.39882,0.912612,548.155273,10.736927,-16.080193,-5.970385,0.120972,0.086283,0.048538,-0.001022,-0.000138,0.000001,0.000001,0,-0.255793,0.265492,0.065328,0.010988,0.044299,0.02843,219.363724,Spot
34,33.130817,11.054209,7.429846,0.474641,-0.562339,0.468809,-0.21376,-6.428033,84.042229,-18.958694,13.004568,58.417835,37.020061,16.646257,10.090384,323,18.144547,-14.986271,1.931423,1.678675,1.291825,-0.024455,-0.038595,0.00283,0.004864,-0.001521,-4.901923,1.349717,2.008839,1.72303,1.438208,0.984323,542.047363,10.909718,-22.2211,-7.234829,0.129421,0.099675,0.057293,-0.000633,-0.000166,0,0.000001,-0,-0.286389,0.197264,0.038822,0.013249,0.036507,0.031859,216.630371,Spot
43,32.891296,10.556032,7.427781,1.09503,1.595125,0.368834,-7.495527,12.627582,58.18264,-19.078842,12.843662,59.185204,36.307999,16.646702,10.07936,224.238098,18.122858,-14.768438,1.959442,1.56356,1.319532,0.005744,-0.03605,-0.003702,0.003178,0.006809,-4.842534,1.408669,2.161943,1.753516,1.464612,0.974991,525.507568,10.949556,-21.94174,-7.173302,0.127019,0.10359,0.058429,-0.000199,-0.000167,-0,0.000001,-0,-0.289038,0.181937,0.034474,0.010567,0.037781,0.02779,215.651337,Spot
32,26.529099,7.863663,6.908303,2.484044,1.833041,0.056375,-2.041291,-16.620796,-41.834145,-12.287921,11.824757,48.586838,26.122955,15.476215,9.170453,375.952393,16.699688,-9.829411,1.790919,1.398875,0.55622,0.030803,-0.01929,-0.006531,-0.000084,0.006995,-3.746015,2.08417,2.843956,1.444596,1.466138,0.891031,310.75,10.854535,-15.674563,-5.845153,0.114156,0.097977,0.051973,0.000196,-0.000141,-0,0.000001,-0,-0.264105,0.23517,0.054149,0.007975,0.043976,0.022929,218.546814,Spot
10,18.095667,7.208865,4.119408,2.772259,0.981912,1.048044,-4.135844,14.821198,117.390007,0.317199,9.101237,40.783016,14.734674,13.592612,7.780339,33.476189,14.377604,-3.718062,1.420038,1.038226,0.043242,0.036501,0.002585,-0.002938,-0.004541,0.001436,-2.415021,2.527875,3.98854,0.989139,1.368675,0.780781,290.405304,10.434856,-7.66081,-3.942748,0.098179,0.071204,0.030311,0.000058,-0.000089,-0.000001,0,0,-0.199693,0.350774,0.107374,0.006948,0.057321,0.020413,202.992996,Spot
19,28.166031,9.76112,6.896545,2.460058,0.549529,0.653447,2.368084,-32.985054,-43.005741,-14.197607,13.121403,51.562225,33.228962,15.735528,9.294078,654.476196,16.822325,-11.343706,1.819109,1.444221,0.770898,0.022755,-0.025319,-0.002623,0.001815,0.00228,-4.034229,2.122398,3.122095,1.444364,1.434249,0.910515,562.751892,10.731796,-17.434235,-6.090528,0.114308,0.091707,0.048347,-0.00011,-0.000141,-0.000001,0.000001,0,-0.254362,0.278633,0.072958,0.008524,0.050131,0.022679,218.459061,Spot
59,36.256676,13.901318,9.38901,5.03708,0.047754,-1.514014,3.382573,14.606587,-152.219543,-28.327408,11.851385,52.890083,48.402225,16.969948,10.144689,1047.285767,18.377348,-17.879328,2.041733,1.674739,1.458903,0.001709,-0.046691,-0.000988,0.00788,0.00161,-5.175374,1.082537,2.134724,1.679973,1.467578,0.987649,547.729187,10.920312,-25.336365,-7.457036,0.127271,0.103037,0.056709,-0.000308,-0.000173,-0,0.000001,-0,-0.287017,0.200037,0.042126,0.009231,0.042599,0.024623,216.626328,Spot
58,36.145931,13.159742,10.020492,4.200336,0.061256,-1.327852,-5.677724,-4.7763,199.42421,-27.380569,11.024219,51.877953,44.584354,16.994951,10.097235,284.952393,18.419079,-17.726852,2.042495,1.738757,1.378717,-0.017477,-0.046877,0.001099,0.007897,0.000347,-5.159969,0.982305,2.053565,1.544566,1.483678,0.985111,478.814392,10.975615,-25.170317,-7.443464,0.130731,0.103161,0.057597,-0.00052,-0.000176,0,0.000001,-0,-0.291489,0.16686,0.028146,0.013446,0.036562,0.028944,218.520813,Spot
42,28.845942,10.126288,8.10568,1.348314,-0.613534,-0.614027,0.257699,4.588104,-27.245773,-16.883654,11.034023,41.36512,33.982597,15.81332,9.157558,132.809525,16.987078,-11.858864,1.873472,1.484482,0.652333,-0.029003,-0.026893,0.002886,0.002674,-0.00176,-4.010287,1.921937,2.568644,1.437272,1.478109,0.901683,313.058716,10.895271,-17.95067,-6.091806,0.122908,0.094587,0.050543,-0.000721,-0.000152,0.000001,0.000001,-0,-0.268038,0.211883,0.043744,0.011265,0.038374,0.029261,219.439651,Spot
