@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
4,1.44697,0.483465,0.266232,0.11064,-0.04936,-0.190915,-0.347679,7.691805,16.708553,-0.639056,0.266432,0.058897,0.045154,0.042693,0.020945,0,4,1.714286,1,1.904762,1.148076,-0.298895,0.068213,0.032845,0.023264,-0.001498,-0.00015,0.000293,-0.00022,-0.000216,-0.077794,0.075242,0.004613,0.002105,0.008385,0.001429,0,5,1.242424,1,1.376894,0.949169,-0.497801,-0.198906,0.018362,0.003963,0.002255,0.000122,-0.000002,0,-0,-0,-0.02458,0.023038,0.000678,0.000101,0.001011,0.000193,0,6,1.105058,1,1.500638,0.861709,-0.585261,-0.286366,-0.08746,0.003048,0.000795,0.000047,0.000014,-0,-0,0,0,-0.003891,0.008075,0.000064,0,0.000058,0.000003,0,6,0.93453,1,1.058788,Spot
2,1.409566,0.510527,0.179896,0.14406,-0.023253,0.011685,0.417906,-0.689132,-19.143351,-0.546364,0.468546,0.085358,0.061468,0.042892,0.021316,0,5,1.714286,1,4.238095,1.135037,-0.274529,0.069698,0.0318,0.022402,0.002162,-0.00022,0.000196,-0.00006,-0.000362,-0.079095,0.08946,0.004895,0.003182,0.008211,0.001657,0,6,1.424242,1,2.439394,0.934356,-0.475209,-0.200681,0.01827,0.003662,0.001833,0.000129,-0.000003,-0,-0,0,-0.023765,0.023942,0.00067,0.000145,0.000976,0.000232,0,6,1.11284,1,1.475499,0.855184,-0.554382,-0.279853,-0.079172,0.003025,0.000746,0.000029,0.000014,-0,-0,0,0,-0.003742,0.008443,0.00007,0,0.000063,0.000003,0,6,0.923375,1,1.044102,Spot
0,1.221382,0.377975,0.302277,0.142162,0.01815,0.136038,-0.124894,-8.13285,9.309141,-0.21786,0.490514,0.097062,0.052902,0.041069,0.021192,0,6,1.714286,2,4.571429,1.084699,-0.136683,0.058871,0.029854,0.025712,0.004495,-0.000036,-0.000048,0.000083,-0.000182,-0.05473,0.102425,0.006429,0.00264,0.007748,0.001846,0,6,1.30303,1,2.217803,0.915757,-0.305625,-0.168942,0.017849,0.002917,0.001293,0.000136,-0.000003,-0,-0,0,-0.022059,0.025237,0.00068,0.000175,0.000933,0.000264,0,6,1.108949,1,1.519334,0.84848,-0.372902,-0.236219,-0.067277,0.003001,0.000687,0.000108,0.000013,-0,-0,0,0,-0.00358,0.008765,0.000076,0,0.000067,0.000003,0,6,0.903007,1,1.006599,Spot
1,1.33883,0.232615,0.227402,0.081387,-0.144738,0.172612,0.738428,3.793589,-1.264337,-0.076173,0.40081,0.097485,0.031636,0.044745,0.02205,0,2,0.857143,1,0.47619,1.154483,-0.184346,0.056397,0.035981,0.017816,-0.006402,0.000445,0.000624,-0.00049,-0.000248,-0.074562,0.09855,0.007266,0.000927,0.008622,0.001314,0,5,1.575758,1,1.939394,0.951668,-0.387161,-0.202815,0.018214,0.003985,0.002749,0.000076,-0.000003,0,0,-0,-0.024948,0.024095,0.000747,0.000067,0.001041,0.000173,0,6,1.128405,1,1.440479,0.862037,-0.476793,-0.292446,-0.089631,0.003048,0.000748,0.000131,0.000013,-0,-0,0,0,-0.003927,0.008279,0.000067,0,0.00006,0.000003,0,6,0.939864,1,1.077411,Spot
0,1.667664,0.598569,0.221814,0.203733,-0.078073,0.362716,-0.009705,-10.304049,-3.552618,-0.61665,0.415824,0.122557,0.047608,0.047374,0.022704,0,5,2.285714,2,2.904762,1.204942,-0.462722,0.083002,0.050096,0.002609,-0.002842,-0.000746,0.000505,-0.000269,-0.000496,-0.130488,0.093719,0.007277,0.002139,0.008799,0.001566,0,6,1.909091,1,2.585227,0.94154,-0.726124,-0.263403,0.018477,0.004204,0.00267,0.000076,-0.000005,0,0,-0,-0.025351,0.024016,0.000718,0.000108,0.001017,0.000213,0,6,1.163424,1,1.535688,0.855452,-0.812212,-0.34949,-0.086087,0.003025,0.000697,0.000065,0.000013,-0,-0,0,0,-0.003787,0.008668,0.000074,0,0.000065,0.000003,0,6,0.918526,1,1.038482,Spot
5,1.841969,0.930535,0.401809,0.01561,0.052803,-0.279886,-0.550068,1.935775,6.482296,-1.347955,0.448951,0.141664,0.081148,0.047757,0.023062,0,6,2.714286,2,5.238095,1.212706,-0.629263,0.093863,0.049999,0.007694,0.001459,-0.00156,0.000131,0.00031,-0.000184,-0.151556,0.097352,0.006654,0.004066,0.008659,0.001818,0,6,1.69697,1,2.780303,0.926942,-0.915028,-0.285765,0.01843,0.00391,0.002473,0.000083,-0.000006,0,0,0,-0.024814,0.024729,0.000706,0.000151,0.000981,0.000252,0,6,1.202335,1,1.583901,0.848544,-0.993425,-0.364162,-0.078397,0.003001,0.000635,0.000007,0.000012,-0,-0,0,0,-0.003629,0.009004,0.00008,0,0.00007,0.000003,0,6,0.899612,1,1.013207,Spot
6,1.688494,0.819885,0.297376,0.099413,0.119362,-0.429966,0.088342,10.041351,4.559062,-1.216675,0.590175,0.118414,0.113123,0.045631,0.022894,0,6,2.285714,1,5.904762,1.165881,-0.522613,0.084707,0.03847,0.005223,0.004737,-0.001448,-0.000279,0.000585,0.000227,-0.128401,0.116907,0.007821,0.004307,0.008189,0.002032,0,6,1.424242,1,2.376894,0.908341,-0.780153,-0.25754,0.018035,0.003058,0.002172,0.000097,-0.000006,-0,0,0,-0.023265,0.025966,0.000715,0.000182,0.000936,0.000285,0,6,1.167315,1,1.569553,0.841457,-0.847037,-0.324424,-0.066884,0.002976,0.000565,0.000082,0.000012,-0,-0,0,0,-0.003459,0.009286,0.000085,0,0.000074,0.000003,0,6,0.880213,1,0.962355,Spot
1,1.267419,0.384172,0.24079,0.105268,0.11773,0.028706,0.357059,-4.345352,-22.591982,-0.24865,0.571435,0.124267,0.059806,0.041387,0.021998,0,6,1.571429,1,4.619048,1.075977,-0.191442,0.061943,0.025406,0.012858,0.00658,-0.000484,-0.000541,0.000269,0.000362,-0.074492,0.127818,0.009444,0.00285,0.007453,0.002155,0,6,1.30303,1,2.155303,0.886531,-0.380888,-0.189446,0.017346,0.00195,0.001552,0.000112,-0.000005,-0,0,0,-0.020848,0.02705,0.000731,0.000191,0.000885,0.000305,0,6,1.108949,1,1.519334,0.834164,-0.433255,-0.241813,-0.052367,0.002951,0.000487,0.00016,0.000011,-0,-0,0,0,-0.003277,0.009512,0.000089,0,0.000077,0.000003,0,6,0.85451,1,0.971544,Spot
0,1.385081,0.312069,0.241723,0.086454,-0.091124,0.172953,0.51275,-7.348094,-26.440802,-0.1568,0.622216,0.152953,0.049876,0.047136,0.023146,0,4,1.857143,2,2.476191,1.169404,-0.215677,0.06055,0.037166,0.007283,-0.005303,0.000338,0.000601,-0.000235,-0.000305,-0.090432,0.119343,0.009556,0.001303,0.00877,0.00138,0,4,1.484848,1,1.820076,0.94077,-0.44431,-0.228634,0.018083,0.004069,0.002847,0.000035,-0.000005,0,0,-0,-0.024999,0.025611,0.0008,0.000079,0.001039,0.000192,0,6,1.167315,1,1.452365,0.855471,-0.52961,-0.313933,-0.085299,0.003024,0.000653,0.000134,0.000011,-0,-0,0,0,-0.003811,0.008818,0.000076,0,0.000067,0.000003,0,6,0.916101,1,1.024981,Spot
2,1.857368,0.61906,0.205616,0.015525,-0.096116,0.077549,0.539771,3.135252,-3.888325,-0.840201,0.62458,0.186562,0.061153,0.050164,0.023752,0,4,1.857143,2,3.476191,1.245705,-0.611663,0.086806,0.061723,0.021779,-0.00233,-0.001409,0.000246,0.000125,-0.000185,-0.170309,0.105018,0.009582,0.001981,0.009001,0.001631,0,5,2,2,2.6875,0.931222,-0.926146,-0.314483,0.018399,0.00442,0.00293,0.000025,-0.000008,0,0,-0,-0.02575,0.025265,0.000764,0.000115,0.001014,0.000231,0,6,1.167315,1,1.569553,0.848558,-1.00881,-0.397147,-0.082664,0.003,0.000589,0.000075,0.000011,-0,-0,0,0,-0.003664,0.009171,0.000082,0,0.000072,0.000003,0,6,0.903007,1,1.026007,Spot
