@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_middle_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_middle_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_middle_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_middle_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_middle_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_middle_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_middle_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_middle_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
10,6.856835,2.191502,1.965085,1.411811,-0.006747,-0.040941,-0.490863,-14.513377,11.793979,-1.185393,2.840683,7.865774,1.965018,1.212089,2.034683,1.922692,1.664276,5,15,9.285714,9,13.571428,5.882453,-0.974382,0.525728,0.45321,0.280091,0.024915,-0.002386,-0.000192,0.000835,-0.000615,-0.698847,1.513367,1.592754,0.179426,0.148316,0.448119,0.227726,0.202997,0,21,6.515152,6,20.445076,4.438498,-2.418337,-1.443955,0.052498,0.041081,0.009415,0.000068,-0.000045,-0.000002,0,0,-0.102995,0.262383,0.05681,0.002259,0.001527,0.02481,0.006899,0.00611,0,39,6.171875,4,51.091911,3.655452,-3.201383,-2.227001,-0.783046,0.004206,0.002807,0.001967,-0.000013,-0,0,0,-0,-0.008979,0.015393,0.000235,0.00001,0.000002,0.000233,0.000054,0.000052,0,39,4.159251,3.5,17.632504,Spot
13,6.49908,2.290748,1.773237,0.993334,-0.567772,-0.152518,0.660375,12.551175,3.201284,-0.475823,2.754939,7.88045,1.643662,1.076625,2.106176,1.905792,1.598875,1,13,6.714286,6,15.904762,5.820343,-0.678737,0.507868,0.432979,0.29519,-0.039322,-0.001124,0.004118,0.000071,-0.002308,-0.645657,1.522147,1.618551,0.1726,0.139665,0.451887,0.22936,0.199564,0,27,6,5,27.5,4.43031,-2.06877,-1.390034,0.05188,0.040865,0.009827,-0.000546,-0.000042,0.000002,0,-0,-0.102572,0.264471,0.057774,0.002195,0.001527,0.025233,0.006639,0.006242,0,39,6.171875,4,52.982109,3.651316,-2.847764,-2.169027,-0.778993,0.00394,0.002972,0.001956,-0.00001,-0,0,0,-0,-0.008867,0.016712,0.000276,0.000008,0.000002,0.000259,0.000053,0.000048,0,39,4.124122,3,17.580366,Spot
5,5.2086,2.235048,1.095174,0.186492,-0.637076,0.283427,0.216703,-2.790843,-24.140688,0.953382,1.93512,6.106624,0.880523,0.608231,2.022362,1.739729,1.41906,2,13,5.142857,5,13.476191,5.360345,0.151746,0.43723,0.382733,0.32956,-0.086167,0.000596,0.005252,-0.000677,-0.00153,-0.384057,1.411315,1.478607,0.138833,0.097177,0.435383,0.216262,0.180138,0,13,5.060606,4,8.808712,4.365789,-0.842811,-0.994556,0.048196,0.035758,0.00681,-0.001096,-0.000032,0.000006,0,-0,-0.090764,0.268587,0.059745,0.00192,0.001234,0.025861,0.006161,0.005791,0,36,5.675781,4,44.063099,3.643611,-1.564989,-1.716735,-0.722178,0.003681,0.00295,0.001894,-0.000006,-0,0,0,-0,-0.008525,0.018243,0.000324,0.000008,0.000002,0.000282,0.000053,0.000046,0,39,4.120023,3,17.56555,Spot
15,9.638675,3.228833,2.337779,1.886975,0.378601,-0.148858,-2.04077,9.742119,46.536144,-2.77803,5.006582,12.333595,4.363555,2.481636,2.342137,2.254693,1.969824,1,21,10.285714,10,44.57143,6.862872,-2.775803,0.663365,0.623527,0.00413,0.022346,-0.004406,-0.001397,0.000632,0.000668,-1.291022,1.693333,1.849927,0.260221,0.238992,0.495112,0.254507,0.236361,1,36,9.848485,7,74.070076,4.568669,-5.070006,-2.294203,0.058593,0.051889,0.016725,-0.000125,-0.00006,-0.000001,0,0,-0.127207,0.254917,0.053392,0.002761,0.002242,0.024188,0.007829,0.006917,0,39,7.070313,5,60.622486,3.669853,-5.968822,-3.193019,-0.898815,0.004536,0.003152,0.002015,-0.000013,-0,0,0,-0,-0.009703,0.011591,0.000141,0.000011,0.000003,0.000187,0.000057,0.000055,0,39,4.194379,4,17.638821,Spot
6,9.468117,3.221112,2.28886,1.778467,-0.432584,-0.035271,0.498083,-17.897429,-45.736935,-2.710719,5.01275,12.22524,3.864148,2.561302,2.398968,2.272608,1.890983,4,27,11.285714,9,64.904762,6.806275,-2.661841,0.658844,0.585385,0.002485,-0.031744,-0.003098,0.003718,0.000589,-0.002244,-1.241744,1.71099,1.888488,0.259486,0.220123,0.498188,0.258092,0.231759,1,36,9.818182,7,63.653408,4.561471,-4.906646,-2.244805,0.057498,0.052264,0.017048,-0.000551,-0.000058,0.000001,0,-0,-0.12681,0.256805,0.054246,0.002645,0.00228,0.024535,0.007662,0.006973,0,39,6.863281,4,61.412609,3.666319,-5.801798,-3.139957,-0.895152,0.004343,0.003264,0.002004,-0.000011,-0,0,0,-0,-0.009611,0.01303,0.000175,0.00001,0.000002,0.000208,0.000056,0.000053,0,39,4.165105,4,17.621231,Spot
5,7.235788,2.97489,1.851241,1.074041,-0.961011,0.228708,1.094584,7.524077,13.804873,0.049607,4.027565,10.368133,1.99122,1.691685,2.299812,2.079619,1.681151,3,12,6,5,8.666667,6.196188,-1.039599,0.561311,0.45959,0.184767,-0.072114,0.000262,0.005934,-0.000508,-0.002901,-0.836133,1.649252,1.810382,0.204479,0.157319,0.47904,0.243425,0.210083,1,36,7.727273,5,55.517044,4.491565,-2.744223,-1.704623,0.052663,0.045882,0.014604,-0.000918,-0.000046,0.000004,0,-0,-0.11315,0.264376,0.057558,0.002268,0.001827,0.025356,0.007115,0.006398,0,39,6.484375,4,58.219364,3.658954,-3.576834,-2.537235,-0.832611,0.004139,0.003185,0.00195,-0.000009,-0,0,0,-0,-0.009274,0.014932,0.000223,0.00001,0.000002,0.000229,0.000057,0.000052,0,39,4.15808,4,17.573122,Spot
27,12.391578,4.779181,3.698749,0.106768,0.065776,-0.874217,-1.757777,12.810271,37.774151,-8.371162,5.513813,12.593249,6.196237,4.451162,2.553166,2.499212,2.038464,6,36,17.285715,12,124.571426,7.419124,-4.972454,0.758179,0.678333,0.22808,-0.010806,-0.004196,0.000329,0.000384,0.000047,-1.664592,1.723498,1.923792,0.322642,0.27175,0.52285,0.271821,0.247973,1,36,11.939394,10,72.933716,4.638831,-7.752747,-2.780293,0.06109,0.05927,0.020246,-0.000496,-0.000066,0.000001,0,-0,-0.140607,0.24848,0.050733,0.002977,0.002812,0.023897,0.00834,0.00732,0,39,7.265625,5,64.917404,3.676823,-8.714755,-3.742301,-0.962008,0.00461,0.003467,0.002022,-0.000012,-0,0,0,-0,-0.010099,0.009236,0.000097,0.000011,0.000003,0.000166,0.000061,0.000055,0,39,4.222482,4,17.638815,Spot
12,9.478977,3.132563,2.560508,1.953222,-0.509765,-0.016307,1.467867,-7.049171,-16.902929,-3.739849,4.952131,11.654796,3.56206,2.847047,2.420287,2.310069,1.822937,2,27,11.714286,9,78.571426,6.740058,-2.738919,0.643211,0.568394,0.029045,-0.025973,-0.000638,0.001983,0.000128,-0.001038,-1.18256,1.707708,1.891252,0.252804,0.206317,0.501049,0.255754,0.22709,2,36,9.818182,7,69.528412,4.567267,-4.91171,-2.172791,0.056359,0.051975,0.01789,-0.000616,-0.000053,0.000001,0,-0,-0.126225,0.257864,0.054687,0.00259,0.002205,0.024765,0.007821,0.006638,0,39,7.015625,4,64.031128,3.669827,-5.809151,-3.070232,-0.897441,0.004438,0.003358,0.001974,-0.000011,-0,0,0,-0,-0.00977,0.011676,0.000142,0.000012,0.000002,0.000182,0.000066,0.000054,0,39,4.204332,4,17.627234,Spot
12,11.835797,3.905853,3.243008,0.877438,0.400092,0.384584,-0.032822,-9.803063,20.459265,-6.271422,5.525777,12.697953,5.429308,4.46445,2.617472,2.439099,2.010687,3,32,15.285714,13,109.571426,7.361905,-4.473892,0.732421,0.686378,0.183378,0.012956,-0.003041,-0.003354,-0.000622,0.002336,-1.602177,1.718857,1.909961,0.308954,0.267821,0.522586,0.266772,0.245578,3,36,12.272727,9,80.954544,4.651174,-7.184623,-2.710731,0.062611,0.057702,0.020327,-0.000389,-0.000062,-0,0,0,-0.14064,0.246779,0.049986,0.003134,0.002677,0.023773,0.008387,0.00722,0,39,7.367188,5,65.166603,3.682644,-8.153152,-3.679261,-0.96853,0.004715,0.003588,0.002011,-0.000012,-0,0,0,-0,-0.010313,0.006013,0.000048,0.000014,0.000004,0.000136,0.000068,0.000055,0,39,4.250586,4,17.661833,Spot
7,9.367173,2.818989,2.374323,2.130357,0.594771,-0.260217,-0.672272,4.332086,-14.052142,-3.062954,4.650689,10.958599,3.702683,2.78379,2.424613,2.300603,1.81473,5,13,9.571428,10,8.952381,6.73052,-2.636653,0.625793,0.600636,0.064664,0.032505,-0.001015,-0.003893,0.000565,0.002372,-1.161765,1.672547,1.828069,0.244877,0.216004,0.498722,0.249529,0.228373,1,36,10.121212,8,67.297348,4.581946,-4.785227,-2.148574,0.059565,0.049577,0.017664,-0.000243,-0.000051,-0.000002,0,0,-0.126806,0.254988,0.053433,0.002857,0.002048,0.024468,0.008031,0.006475,0,39,6.960938,4,63.559254,3.67607,-5.691103,-3.05445,-0.905876,0.004566,0.003463,0.001969,-0.000013,-0,0,0,-0,-0.009998,0.009115,0.00009,0.000015,0.000003,0.000146,0.000076,0.000054,0,39,4.218969,4,17.577097,Spot
