@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
0,1.479065,0.792822,0.471738,0.304956,0.068568,0.08228,-0.298826,-7.792495,1.133987,-0.959604,1.10162,0.362166,0.108192,0.131774,0.040449,0,12,2.428571,0,19.285715,1.213829,-0.265235,0.066416,0.016591,0.00507,-0.001987,0.000376,-0.000004,0.000133,0.00005,-0.054894,0.21459,0.029114,0.002699,0.015419,0.005944,0,12,1.4375,0,6.641129,1.032258,-0.446807,-0.181571,0.013246,0.003792,0.001745,-0.00003,0.000001,0,-0,-0,-0.011199,0.050756,0.002594,0.000029,0.002538,0.000192,0,12,1.090909,1,2.296262,0.729986,-0.749079,-0.483843,-0.302272,0.003142,0.001726,0.000665,-0.000011,-0,0,0,-0,-0.005533,0.028112,0.000774,0.000009,0.000669,0.000067,0,12,0.963596,1,1.538451,'class 1'
0,1.143382,0.637796,0.448318,0.35398,-0.123335,-0.046202,0.627972,3.466358,-12.326472,-0.164501,0.965852,0.32025,0.088099,0.118791,0.039786,0,3,0.714286,0,1.238095,1.117665,-0.025718,0.061941,0.020451,0.000534,-0.00261,0.000168,0.00063,0.00014,-0.000775,-0.040955,0.21723,0.030888,0.002663,0.015141,0.005886,0,12,1.25,0,6.451613,0.965459,-0.177923,-0.152205,0.010635,0.003847,0.002033,-0.000025,0,0,-0,-0,-0.008821,0.062238,0.003734,0.000022,0.003024,0.000174,0,12,0.984848,1,2.177434,0.701019,-0.442364,-0.416646,-0.26444,0.002844,0.001603,0.000417,-0.00001,-0,0,0,-0,-0.004864,0.029075,0.000826,0.000007,0.000707,0.000057,0,12,0.898217,1,1.447625,'class 1'
1,1.593452,0.58456,0.488953,0.174582,-0.037741,0.013835,0.410511,-1.656203,1.090792,-0.898931,1.086099,0.391427,0.09603,0.146295,0.042181,0,12,2.285714,1,18.904762,1.311941,-0.281511,0.050709,0.014871,0.009018,-0.003468,0.000008,0.000011,0.000099,-0.000047,-0.074598,0.222749,0.030587,0.002024,0.015734,0.006051,0,12,1.4375,0,6.512097,1.076829,-0.516623,-0.235112,0.015194,0.003131,0.002337,0.000003,0.000003,0,-0,-0,-0.014399,0.036348,0.001454,0.000042,0.001941,0.000261,0,12,1.181818,1,2.707891,0.742026,-0.851426,-0.569915,-0.334803,0.003369,0.00184,0.000696,-0.000012,-0,0,-0,-0,-0.005906,0.026772,0.000703,0.00001,0.000619,0.000075,0,12,1.01263,1,1.618428,'class 1'
12,2.089501,1.162865,0.993238,0.605601,0.020507,-0.618999,0.021051,13.49206,-9.116805,-2.761704,1.024922,0.404554,0.145112,0.138289,0.043022,0,12,3.428571,1,21.952381,1.285022,-0.804478,0.076636,0.017259,0.010299,-0.002517,-0.000553,0.000013,0.000657,0.000078,-0.104195,0.217974,0.029851,0.003343,0.015094,0.006527,0,12,1.71875,1,7.305444,1.027042,-1.062459,-0.257981,0.013696,0.003043,0.002741,0,0.000001,0,-0,-0,-0.013393,0.049845,0.002507,0.000024,0.002452,0.00021,0,12,1.085859,1,2.54589,0.716389,-1.373112,-0.568633,-0.310653,0.003106,0.001734,0.000517,-0.000011,-0,0,0,-0,-0.005357,0.027828,0.000759,0.000009,0.00066,0.000065,0,12,0.967311,1,1.575139,'class 1'
1,1.583428,0.70765,0.620307,0.074939,0.035045,-0.053043,-0.110444,-4.140612,1.623191,-1.253018,1.138188,0.376816,0.11284,0.124429,0.041686,0,12,2.428571,1,18.952381,1.169342,-0.414086,0.063851,0.013212,0.001364,-0.001396,-0.00048,-0.000014,0.000437,0.000267,-0.078427,0.224452,0.032049,0.00296,0.014729,0.006344,0,12,1.46875,0.5,6.515121,0.960713,-0.622715,-0.208629,0.010741,0.0031,0.002886,0.000007,-0.000001,0,-0,-0,-0.010528,0.061679,0.003657,0.000017,0.00293,0.000183,0,12,1.020202,1,2.425986,0.688759,-0.894669,-0.480583,-0.271954,0.002821,0.001615,0.000297,-0.000011,-0,0,0,-0,-0.004733,0.028678,0.000805,0.000007,0.000692,0.000056,0,12,0.893759,1,1.457106,'class 1'
0,0.859671,0.57364,0.231402,0.166616,0.011737,0.236543,-0.199119,-4.811948,7.401946,0.175622,0.714207,0.263961,0.052571,0.106461,0.038054,0,3,0.857143,0,1.47619,0.989462,0.12979,0.036057,0.019176,0.005055,-0.000318,-0.000014,-0.000009,-0.000166,0.000151,-0.021936,0.221601,0.032913,0.001824,0.014417,0.005566,0,12,1.03125,0,5.063508,0.88145,0.021778,-0.108012,0.006711,0.003252,0.002775,0.000023,-0.000002,0,-0,0,-0.006234,0.070188,0.004623,0.000014,0.003303,0.000161,0,12,0.919192,0,2.155874,0.65968,-0.199991,-0.329782,-0.22177,0.002532,0.001488,0.000031,-0.00001,-0,0,0,-0,-0.004051,0.029232,0.000835,0.000006,0.000712,0.000047,0,12,0.822437,0,1.365474,'class 1'
2,1.633817,0.67498,0.426688,0.355865,-0.192091,-0.045956,0.820502,-1.616847,-24.237371,-0.745803,0.852709,0.380927,0.087327,0.152586,0.044244,0,4,1.857143,2,1.47619,1.378085,-0.255732,0.063829,0.0176,0.015997,-0.004393,-0.000502,0.000678,0.000304,-0.000995,-0.097425,0.217609,0.029647,0.002688,0.015438,0.006717,0,12,1.59375,1,6.765121,1.068475,-0.565342,-0.30961,0.015817,0.003789,0.002274,0.000031,0.000001,0,-0,-0,-0.017331,0.035485,0.001406,0.000043,0.00188,0.000309,0,12,1.232323,1,2.697021,0.725038,-0.908779,-0.653047,-0.343438,0.003294,0.001833,0.000526,-0.000012,-0,-0,-0,0,-0.005653,0.026668,0.000698,0.00001,0.000617,0.000072,0,12,0.995542,1,1.589571,'class 1'
2,1.829663,0.723488,0.609088,0.066023,-0.097948,0.06444,-0.003046,-3.570933,15.900357,-1.266554,0.998871,0.39197,0.120207,0.143776,0.044196,0,12,2.714286,2,17.571428,1.334643,-0.495019,0.079168,0.024378,0.016975,-0.002352,-0.001019,0.000224,0.000344,-0.00029,-0.120521,0.213829,0.029157,0.003717,0.014743,0.007047,0,12,1.78125,1,6.240927,1.01924,-0.810422,-0.315403,0.013933,0.004022,0.002214,0.000032,-0.000001,0,0,-0,-0.015741,0.049478,0.002467,0.000023,0.002377,0.000245,0,12,1.090909,1,2.529765,0.700844,-1.128819,-0.6338,-0.318397,0.003053,0.001732,0.000369,-0.000012,-0,-0,0,0,-0.005154,0.027555,0.000744,0.000008,0.00065,0.000063,0,12,0.952452,1,1.521901,'class 1'
1,1.427536,0.536269,0.410586,0.355132,0.088662,0.033209,-0.605444,-1.578917,5.290931,-0.591723,0.965637,0.353865,0.094089,0.128824,0.042053,0,3,1.571429,1,1.285714,1.203367,-0.224169,0.059795,0.024068,0.005761,-0.000197,-0.000764,-0.00035,0.000107,0.000725,-0.089624,0.222468,0.031589,0.002996,0.014301,0.006693,0,12,1.4375,0.5,6.383065,0.953206,-0.47433,-0.250161,0.010618,0.003987,0.002291,0.000037,-0.000002,0,0,-0,-0.012314,0.061383,0.003606,0.000018,0.002838,0.000204,0,12,1.080808,1,2.54166,0.674621,-0.752915,-0.528745,-0.278585,0.002783,0.001619,0.000172,-0.000012,-0,-0,0,0,-0.004574,0.028278,0.000783,0.000007,0.000677,0.000054,0,12,0.893016,1,1.459178,'class 1'
3,0.908624,0.463476,0.277218,0.195226,0.069668,-0.076603,0.249901,6.637974,-17.609322,-0.008968,0.602317,0.239789,0.050948,0.10973,0.037831,0,3,0.571429,0,1.285714,1.016153,0.107529,0.035457,0.020548,0.018502,0.001369,-0.000252,-0.000477,-0.000072,0.000675,-0.033411,0.217209,0.031733,0.001852,0.013878,0.005776,0,3,0.8125,0,1.060484,0.874403,-0.034221,-0.14175,0.00645,0.003616,0.002461,0.000049,-0.000003,-0,0,0,-0.007605,0.069624,0.004534,0.000016,0.003194,0.000173,0,12,1.025253,1,2.451136,0.646894,-0.26173,-0.369259,-0.227509,0.002503,0.001497,0.000068,-0.000011,-0,-0,0,0,-0.003932,0.028746,0.000808,0.000006,0.000694,0.000045,0,12,0.814264,0,1.333506,'class 1'
