@relation segment

@attribute original numeric
@attribute Gaussian_blur_8.0 numeric
@attribute class {nucleus,background}

@data
1,1.90521,nucleus
2,1.911529,nucleus
2,1.916999,nucleus
1,1.921898,nucleus
2,1.927716,nucleus
2,1.936681,nucleus
3,1.950829,nucleus
2,1.971061,nucleus
2,1.918093,nucleus
1,1.92,nucleus
2,1.92463,nucleus
2,1.931398,nucleus
3,1.938949,nucleus
2,1.94603,nucleus
2,1.952385,nucleus
2,1.959109,nucleus
1,1.968298,nucleus
2,1.98213,nucleus
1,2.001832,nucleus
1,2.026929,nucleus
2,2.055093,nucleus
2,2.082681,nucleus
2,1.949134,nucleus
2,1.945358,nucleus
3,1.941547,nucleus
1,1.939213,nucleus
2,1.939825,nucleus
2,1.944082,nucleus
3,1.951469,nucleus
1,1.960491,nucleus
2,1.969521,nucleus
2,1.977762,nucleus
1,1.985782,nucleus
2,1.995358,nucleus
2,2.008687,nucleus
2,2.027337,nucleus
2,2.051306,nucleus
2,2.078612,nucleus
3,2.105619,nucleus
2,2.128064,nucleus
2,2.142405,nucleus
2,2.146897,nucleus
3,1.973031,nucleus
4,1.967443,nucleus
2,1.960979,nucleus
3,1.955044,nucleus
2,1.951244,nucleus
2,1.951147,nucleus
2,1.95558,nucleus
1,1.964134,nucleus
3,1.975259,nucleus
3,1.987006,nucleus
2,1.998,nucleus
2,2.008151,nucleus
1,2.018754,nucleus
3,2.031917,nucleus
1,2.049532,nucleus
1,2.072145,nucleus
2,2.098238,nucleus
3,2.124285,nucleus
1,2.145732,nucleus
4,2.158526,nucleus
2,2.160526,nucleus
3,2.152118,nucleus
2,1.993393,nucleus
2,1.986577,nucleus
2,1.977586,nucleus
2,1.968313,nucleus
2,1.960309,nucleus
2,1.955237,nucleus
2,1.954716,nucleus
2,1.959701,nucleus
2,1.969907,nucleus
2,1.983766,nucleus
2,1.999017,nucleus
3,2.013679,nucleus
2,2.026922,nucleus
2,2.039465,nucleus
3,2.053229,nucleus
2,2.070366,nucleus
2,2.091945,nucleus
3,2.11692,nucleus
3,2.141934,nucleus
2,2.16223,nucleus
3,2.173358,nucleus
2,2.172878,nucleus
3,2.161224,nucleus
3,2.141273,nucleus
3,2.010242,nucleus
1,2.013286,nucleus
1,2.007434,nucleus
3,1.996643,nucleus
1,1.984025,nucleus
2,1.971708,nucleus
1,1.961396,nucleus
2,1.954849,nucleus
2,1.953801,nucleus
2,1.95936,nucleus
2,1.971369,nucleus
2,1.988228,nucleus
1,2.007365,nucleus
2,2.026209,nucleus
2,2.043225,nucleus
2,2.058554,nucleus
3,2.073868,nucleus
2,2.091446,nucleus
2,2.112723,nucleus
2,2.137005,nucleus
1,2.161079,nucleus
2,2.180078,nucleus
2,2.189326,nucleus
2,2.186279,nucleus
1,2.171539,nucleus
2,2.148428,nucleus
2,2.12135,nucleus
3,2.093813,nucleus
3,2.020177,nucleus
