@relation segment

@attribute original numeric
@attribute class {nuclei,background}

@data
2,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
4,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
1,nuclei
1,nuclei
1,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
1,nuclei
2,nuclei
4,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
4,nuclei
4,nuclei
3,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
4,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
3,nuclei
3,nuclei
3,nuclei
3,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
1,nuclei
4,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
1,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
1,nuclei
2,nuclei
1,nuclei
3,nuclei
3,nuclei
1,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
1,nuclei
4,nuclei
2,nuclei
4,nuclei
2,nuclei
2,nuclei
1,nuclei
4,nuclei
1,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
5,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
1,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
4,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
4,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
4,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
4,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
3,nuclei
4,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
1,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
4,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
3,nuclei
1,nuclei
3,nuclei
1,nuclei
1,nuclei
2,nuclei
1,nuclei
4,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
1,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
1,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
1,nuclei
2,nuclei
3,nuclei
1,nuclei
3,nuclei
1,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
4,nuclei
4,nuclei
1,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
3,nuclei
3,nuclei
3,nuclei
4,nuclei
4,nuclei
1,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
1,nuclei
3,nuclei
1,nuclei
1,nuclei
2,nuclei
1,nuclei
1,nuclei
3,nuclei
1,nuclei
3,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
1,nuclei
3,nuclei
2,nuclei
3,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
1,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
2,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
4,nuclei
3,nuclei
3,nuclei
2,nuclei
2,nuclei
3,nuclei
3,nuclei
4,nuclei
3,nuclei
2,nuclei
3,nuclei
4,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
1,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
4,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
2,nuclei
4,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
2,nuclei
1,nuclei
1,nuclei
3,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
2,nuclei
1,nuclei
3,nuclei
2,nuclei
2,nuclei
2,nuclei
3,nuclei
2,nuclei
3,nuclei
