@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
51,42.034668,5.083608,2.848978,0.493983,-0.412645,-1.012853,-0.939008,-36.77927,95.026421,-7.438604,3.48846,6.74608,5.774634,2.732593,1.939657,36,73,50.42857,47,158.285721,37.547318,-4.48735,0.662135,0.575101,0.180116,-0.028681,-0.007986,0.002842,-0.001192,-0.002382,-1.417351,0.778566,0.37341,0.206818,0.772963,0.137547,25,73,40.969696,41,91.655304,35.070591,-6.964077,-2.476727,0.152912,0.03417,0.023164,-0.001589,-0.000115,0.000001,0.000001,0,-0.210247,0.59254,0.401255,0.0008,0.675321,0.002959,19,93,37.5214,36,89.422394,34.71553,-7.319138,-2.831787,-0.355061,0.056762,0.007895,0.005516,-0.00005,0,0,0,-0,-0.043351,0.387131,0.146987,0.000097,0.126676,0.000694,15,93,34.963017,35,43.222542,'class 1'
46,40.388607,3.260547,2.499046,2.371433,-0.800933,-0.709158,-0.268702,18.63061,-28.164011,-3.38816,3.357739,6.332,3.77192,2.630432,1.873523,25,51,41.714287,43,85.904762,37.247559,-3.141048,0.593562,0.53401,0.062071,-0.053678,-0.009688,0.004784,0.00014,-0.000839,-1.189642,0.816042,0.408123,0.170063,0.768585,0.130435,25,73,40.18182,38,108.403412,35.021076,-5.367531,-2.226482,0.154537,0.031889,0.024221,-0.001576,-0.000101,0.000001,0,-0,-0.210646,0.596626,0.405314,0.00068,0.671145,0.002258,19,93,37.245136,36,90.373268,34.679459,-5.709148,-2.5681,-0.341618,0.056335,0.008351,0.005918,-0.000064,-0,0,0,-0,-0.042066,0.383806,0.144479,0.000097,0.124573,0.000726,15,93,34.89521,35,42.612827,'class 1'
51,42.034668,5.083608,2.848978,0.493983,-0.412645,-1.012853,-0.939008,-36.77927,95.026421,-7.438604,3.48846,6.74608,5.774634,2.732593,1.939657,36,73,50.42857,47,158.285721,37.547318,-4.48735,0.662135,0.575101,0.180116,-0.028681,-0.007986,0.002842,-0.001192,-0.002382,-1.417351,0.778566,0.37341,0.206818,0.772963,0.137547,25,73,40.969696,41,91.655304,35.070591,-6.964077,-2.476727,0.152912,0.03417,0.023164,-0.001589,-0.000115,0.000001,0.000001,0,-0.210247,0.59254,0.401255,0.0008,0.675321,0.002959,19,93,37.5214,36,89.422394,34.71553,-7.319138,-2.831787,-0.355061,0.056762,0.007895,0.005516,-0.00005,0,0,0,-0,-0.043351,0.387131,0.146987,0.000097,0.126676,0.000694,15,93,34.963017,35,43.222542,'class 1'
60,40.546852,3.387922,2.700479,1.373775,0.534053,-0.177711,1.369631,30.933727,-59.544228,-4.714626,4.263068,9.180668,3.986526,2.703059,1.910826,30,60,42.285713,40,104.238098,37.262955,-3.283897,0.586713,0.486264,0.107338,0.004699,-0.003291,-0.001286,-0.001505,-0.000562,-1.180314,0.955589,0.534121,0.176478,0.776473,0.139518,23,73,40.090908,40,123.960228,35.098827,-5.448025,-2.164127,0.149707,0.033841,0.015133,-0.001428,-0.000108,0,0,0,-0.198681,0.592758,0.401568,0.000812,0.682196,0.004027,19,93,37.241245,36,89.418137,34.758205,-5.788647,-2.504749,-0.340622,0.057256,0.007413,0.005054,-0.000035,0,0,-0,-0,-0.04479,0.390686,0.149676,0.000098,0.128886,0.000667,16,93,35.055477,35,42.994549,'class 1'
43,42.400467,3.871138,3.527039,0.971175,1.195167,1.199277,-0.721426,-42.330372,-99.877518,-6.427002,5.540046,12.73516,4.003605,2.853763,2.03524,27,73,47.714287,43,220.571426,37.536903,-4.863564,0.641589,0.573966,0.283607,0.0097,-0.011354,-0.004233,0.000345,0.003399,-1.499162,0.974748,0.627091,0.193002,0.788602,0.155191,23,93,43.333332,40,254.354172,35.087158,-7.313309,-2.449745,0.147591,0.033779,0.014159,-0.001343,-0.000118,-0,0.000001,0,-0.195529,0.599867,0.408818,0.000741,0.683733,0.004351,19,93,37.284046,36,88.766655,34.773609,-7.626858,-2.763294,-0.313549,0.05708,0.006805,0.004921,-0.000016,0,0,-0,-0,-0.045354,0.392313,0.150884,0.000098,0.129701,0.00064,16,93,34.859177,34,42.842113,'class 1'
51,42.034668,5.083608,2.848978,0.493983,-0.412645,-1.012853,-0.939008,-36.77927,95.026421,-7.438604,3.48846,6.74608,5.774634,2.732593,1.939657,36,73,50.42857,47,158.285721,37.547318,-4.48735,0.662135,0.575101,0.180116,-0.028681,-0.007986,0.002842,-0.001192,-0.002382,-1.417351,0.778566,0.37341,0.206818,0.772963,0.137547,25,73,40.969696,41,91.655304,35.070591,-6.964077,-2.476727,0.152912,0.03417,0.023164,-0.001589,-0.000115,0.000001,0.000001,0,-0.210247,0.59254,0.401255,0.0008,0.675321,0.002959,19,93,37.5214,36,89.422394,34.71553,-7.319138,-2.831787,-0.355061,0.056762,0.007895,0.005516,-0.00005,0,0,0,-0,-0.043351,0.387131,0.146987,0.000097,0.126676,0.000694,15,93,34.963017,35,43.222542,'class 1'
47,38.713139,3.170178,1.607141,1.26721,-0.74504,-0.33684,1.762869,7.79484,-129.973724,-2.830246,2.920784,5.097281,3.200459,2.495331,1.718585,28,51,40.57143,42,62.285713,36.859764,-1.853374,0.485196,0.403686,0.066211,-0.049356,0.001708,0.004259,-0.00315,-0.001583,-0.822671,0.841865,0.416813,0.131304,0.76124,0.119566,19,73,38.272728,36,109.579544,35.05072,-3.662418,-1.809044,0.153306,0.028405,0.01975,-0.001472,-0.000087,0.000002,0,-0,-0.201462,0.589431,0.397592,0.000645,0.674571,0.002819,19,93,37.178989,36,85.155334,34.708996,-4.004143,-2.150768,-0.341724,0.056989,0.008607,0.005472,-0.000067,0,0,0,-0,-0.042911,0.385833,0.146021,0.000099,0.126053,0.00074,15,93,34.926506,35,44.018791,'class 1'
73,44.53952,6.607798,5.141201,0.146086,0.507454,-1.444495,-0.821501,74.838577,58.416538,-11.895085,3.569098,9.778735,6.23347,2.873258,2.072281,41,73,48.142857,43,131.809525,37.844215,-6.695305,0.757282,0.660586,0.340096,0.002166,-0.018123,-0.001379,0.002055,-0.000284,-1.757964,0.718225,0.419891,0.244536,0.782782,0.150228,25,89,44.030304,41,171.405304,35.058125,-9.481396,-2.786091,0.150722,0.034294,0.022817,-0.001546,-0.000127,-0,0.000001,0,-0.207833,0.598212,0.406901,0.000763,0.676019,0.003202,19,93,37.435799,36,89.395279,34.73077,-9.80875,-3.113445,-0.327354,0.056584,0.007227,0.005472,-0.000035,0,0,0,-0,-0.043885,0.388754,0.14818,0.000096,0.127481,0.000658,16,93,34.805122,34,42.520351,'class 1'
43,42.400467,3.871138,3.527039,0.971175,1.195167,1.199277,-0.721426,-42.330372,-99.877518,-6.427002,5.540046,12.73516,4.003605,2.853763,2.03524,27,73,47.714287,43,220.571426,37.536903,-4.863564,0.641589,0.573966,0.283607,0.0097,-0.011354,-0.004233,0.000345,0.003399,-1.499162,0.974748,0.627091,0.193002,0.788602,0.155191,23,93,43.333332,40,254.354172,35.087158,-7.313309,-2.449745,0.147591,0.033779,0.014159,-0.001343,-0.000118,-0,0.000001,0,-0.195529,0.599867,0.408818,0.000741,0.683733,0.004351,19,93,37.284046,36,88.766655,34.773609,-7.626858,-2.763294,-0.313549,0.05708,0.006805,0.004921,-0.000016,0,0,-0,-0,-0.045354,0.392313,0.150884,0.000098,0.129701,0.00064,16,93,34.859177,34,42.842113,'class 1'
57,46.850384,6.458825,3.472394,1.760532,-0.39197,-0.643611,0.799761,-10.804925,145.100204,-11.691751,4.846888,8.905384,7.781466,3.647666,1.854484,39,71,54.714287,56,112.238098,40.366646,-6.483738,0.745228,0.517096,0.307402,-0.001701,-0.014535,0.002281,0.001759,-0.00254,-1.569726,1.112818,1.111513,0.148944,1.426923,0.146288,32,71,46.78788,45,98.172348,37.49263,-9.357754,-2.874016,0.230212,0.04409,0.019684,0.000466,-0.000141,-0.000001,0.000001,0,-0.293986,0.870575,0.823716,0.001682,1.152482,0.005976,21,71,39.953308,39,59.90406,35.876919,-10.973465,-4.489727,-1.615711,0.07113,0.007731,0.006903,0.000071,-0.000001,-0,0,0,-0.070302,0.422684,0.175651,0.000076,0.153076,0.000628,17,71,37.53912,37,51.025627,'class 1'
