# Tr2d export from 2017-01-18 12:04:22
# t, id, area, com_x, com_y, angle, r1, r2
  0,  0, 86, 11.6512, 64.8023, -0.7265,  5.7566,  4.7502
  0,  1,163, 70.0061,252.4663, -0.0072, 14.9537,  4.1122
  0,  2,1173,180.4996,235.4825,  1.5271, 18.9688, 18.0813
  0,  3,1202,468.7329,120.1913,  0.8622, 20.7095, 17.5258
  0,  4,1190,132.0176,150.4345, -0.6321, 19.5368, 18.0684
  0,  5,1237, 47.7745, 20.9863,  2.0239, 19.9203, 17.9195
  0,  6,1244, 59.6077,197.7902,  0.1833, 21.7717, 16.5907
  0,  7,1167,397.9280,216.3333,  1.7164, 20.4465, 17.2894
  0,  8,1188,214.4916,178.6625,  0.3920, 20.6022, 16.7136
  0,  9,1230,254.0699, 33.6854,  1.2109, 21.6809, 17.0494
  0, 10,1186,227.7513,105.0211,  1.6981, 19.7031, 17.6818
  0, 11,1102,493.4074, 41.5064, -0.1689, 18.8400, 16.9612
  0, 12,642,177.6059,  8.2835,  0.0423, 19.5845, 10.0005
  0, 13,1166,334.5678, 75.0146,  1.8576, 19.6519, 17.2290
  0, 14,1216, 46.8133,110.2056,  1.6679, 20.6675, 17.7190
  0, 15,1283,459.0452,205.2985,  1.3505, 20.3734, 18.9244
  0, 16,1203,159.6110, 76.0740,  2.1320, 20.3360, 17.6467
  0, 17,286,420.3671,  3.9336, -0.0611, 18.2749,  6.0702
  0, 18,1169,392.6424,125.7716,  2.0586, 20.2565, 16.7341
  0, 19,1101,297.4487,154.0972, -0.5809, 19.7761, 16.5951
  0, 20,748,267.2607,243.2366, -0.2623, 17.3106, 13.7842
  0, 21,1225,333.7600,219.7461,  0.2014, 19.5088, 18.1464
  1,  0,1070,226.6561,102.3150,  0.4898, 19.2815, 17.3762
  1,  1,1008,300.8105,152.9653,  1.6545, 18.1152, 17.6548
  1,  2,991, 55.4864,196.8133, -0.7402, 19.3754, 17.6780
  1,  3,207, 63.9372,251.7053, -0.0405, 14.9825,  4.9809
  1,  4,1030,333.3806,216.9864,  1.8925, 19.0376, 17.0069
  1,  5,1037,492.7146, 40.9749, -0.1402, 19.3621, 17.2551
  1,  6,387,174.5478,  4.8269,  0.0031, 20.4259,  7.1578
  1,  7,1010, 45.3099,108.4851,  0.1041, 19.7840, 17.1293
  1,  8,1045,333.1789, 72.1215,  1.9645, 18.1534, 17.4914
  1,  9,166,420.3253,  2.5904, -0.0554, 15.9985,  4.3772
  1, 10, 75, 10.3733, 59.8667,  2.2042,  5.6038,  4.7616
  1, 11,1169,396.2951,216.2669,  1.0768, 20.3200, 17.8993
  1, 12,1039,251.3022, 29.7449, -0.5615, 18.8486, 17.3138
  1, 13,1106,392.5443,123.7107, -0.3892, 19.1743, 17.8237
  1, 14,1085,212.2719,177.0028, -0.3663, 19.8759, 18.5098
